Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	48.111915	7	0.282752	0.214299	0.388727	0.282752	0.324205	0.178363	0.493587	0.324205	0.214299	0.388727	0.263934	
2000	48.111915	6	0.284789	0.284789	0.354904	0.290250	0.284789	0.284789	0.463273	0.365775	0.354904	0.284789	0.268810	
3000	48.111915	9	0.265964	0.266887	0.406366	0.302011	0.232580	0.232580	0.619192	0.272020	0.332955	0.406366	0.179082	
4000	48.111915	6	0.292795	0.172520	0.409616	0.292795	0.292795	0.172520	0.409616	0.409616	0.348056	0.429666	0.442992	
5000	48.111915	6	0.303211	0.228172	0.412058	0.294972	0.276154	0.230199	0.412058	0.412058	0.303211	0.412058	0.230199	
6000	48.111915	5	0.307092	0.210965	0.375051	0.307092	0.307092	0.210965	0.375051	0.423682	0.374579	0.375051	0.307092	
7000	48.111915	6	0.335364	0.239761	0.452925	0.335364	0.335364	0.218626	0.520653	0.520653	0.335364	0.452925	0.247389	
8000	48.111915	10	0.318221	0.214004	0.522285	0.267587	0.374513	0.204130	0.930784	0.340306	0.267587	0.404995	0.175183	
9000	48.111915	7	0.369216	0.215729	0.427132	0.304872	0.304872	0.155015	1.079233	0.304872	0.304872	0.427132	0.398055	
10000	48.111915	6	0.312178	0.213514	0.385736	0.295843	0.295843	0.218227	0.453174	0.385736	0.295843	0.385736	0.218227	
11000	48.111915	5	0.316059	0.199062	0.414783	0.305148	0.305148	0.199062	1.546523	0.414783	0.414783	0.414783	0.199062	
12000	48.111915	9	0.348940	0.226657	0.417621	0.307087	0.288979	0.204582	0.745945	0.492908	0.288979	0.417621	0.179093	
13000	48.111915	6	0.287547	0.194208	0.395970	0.287547	0.287547	0.194208	0.693376	0.336567	0.287547	0.321395	0.194208	
14000	48.111915	9	0.289374	0.210547	0.479778	0.312274	0.363295	0.168844	0.516312	0.302533	0.289374	0.312274	0.164758	
15000	48.111915	7	0.337045	0.232875	0.559521	0.312240	0.312240	0.224526	0.559521	0.364569	0.312240	0.312240	0.249912	
16000	48.111915	9	0.276430	0.188482	0.515201	0.305711	0.273861	0.188482	0.703128	0.305711	0.272940	0.449591	0.126932	
17000	48.111915	9	0.329480	0.208196	0.418124	0.324871	0.296946	0.208196	1.125784	0.313726	0.304721	0.565911	0.324871	
