Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	48.111915	8	0.316384	0.167198	0.524563	0.309620	0.309620	0.155028	0.524563	0.287237	0.268324	0.309620	0.135630	
2000	48.111915	6	0.318605	0.203496	0.481545	0.332642	0.318605	0.203496	0.774218	0.434102	0.318605	0.318605	0.203496	
3000	48.111915	7	0.317690	0.228543	0.396272	0.228543	0.336782	0.228543	0.824964	0.384468	0.317690	0.384468	0.340269	
4000	48.111915	5	0.320531	0.205539	0.456200	0.243702	0.320531	0.205539	0.456200	0.320531	0.391740	0.456200	0.243702	
5000	48.111915	7	0.283323	0.207268	0.482415	0.283323	0.342096	0.174635	0.630160	0.361188	0.361188	0.361188	0.207268	
6000	48.111915	9	0.318057	0.212417	0.421137	0.318057	0.318610	0.149759	0.470398	0.353908	0.318057	0.399633	0.119479	
7000	48.111915	8	0.298356	0.235334	0.433870	0.298356	0.348629	0.235334	0.642688	0.400630	0.298356	0.451337	0.136964	
8000	48.111915	8	0.305263	0.273150	0.448754	0.273150	0.356206	0.182057	1.241958	0.472448	0.305263	0.356206	0.251725	
9000	48.111915	7	0.302490	0.225160	0.451605	0.302490	0.324045	0.192127	0.451605	0.302490	0.264298	0.451605	0.272974	
10000	48.111915	6	0.302427	0.249142	0.388634	0.272304	0.302427	0.224612	0.739110	0.388634	0.272304	0.388634	0.302427	
11000	48.111915	6	0.309707	0.232626	0.472963	0.309707	0.271965	0.232626	0.472963	0.472963	0.271965	0.483094	0.254384	
12000	48.111915	5	0.297502	0.297502	0.442786	0.297502	0.297502	0.245320	0.899889	0.297502	0.297502	0.536312	0.297502	
13000	48.111915	8	0.329407	0.278894	0.432673	0.329407	0.278894	0.207033	0.875891	0.432673	0.266914	0.400713	0.362184	
14000	48.111915	8	0.299668	0.226432	0.479887	0.226432	0.343845	0.226432	0.721772	0.479887	0.215923	0.403857	0.094936	
