Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	11.688050	4	0.426382	0.317591	0.067947	0.188081	0.282457	0.245036	0.161350	0.311157	0.426382	0.317591	0.067947	0.188081	0.282457	0.245036	0.161350	0.311157	0.327570	0.334228	0.098069	0.240133	0.327570	0.334228	0.098069	0.240133	0.426382	0.317591	0.067947	0.188081	0.327570	0.334228	0.098069	0.240133	0.327570	0.334228	0.098069	0.240133	0.327570	0.334228	0.098069	0.240133	0.352217	0.147098	0.223689	0.276997	
2000	11.688050	3	0.327570	0.334228	0.098069	0.240133	0.304821	0.254703	0.164696	0.275780	0.484353	0.289182	0.061991	0.164474	0.304821	0.254703	0.164696	0.275780	0.327570	0.334228	0.098069	0.240133	0.327570	0.334228	0.098069	0.240133	0.484353	0.289182	0.061991	0.164474	0.304821	0.254703	0.164696	0.275780	0.327570	0.334228	0.098069	0.240133	0.327570	0.334228	0.098069	0.240133	0.304821	0.254703	0.164696	0.275780	
3000	11.688050	4	0.362761	0.314579	0.112703	0.209957	0.316343	0.259938	0.177144	0.246576	0.461115	0.278040	0.085970	0.174875	0.316343	0.259938	0.177144	0.246576	0.362761	0.314579	0.112703	0.209957	0.362761	0.314579	0.112703	0.209957	0.461115	0.278040	0.085970	0.174875	0.362761	0.314579	0.112703	0.209957	0.362761	0.314579	0.112703	0.209957	0.362761	0.314579	0.112703	0.209957	0.329673	0.249526	0.255821	0.164979	
4000	11.688050	3	0.356738	0.318162	0.122157	0.202943	0.265891	0.286967	0.172935	0.274207	0.461115	0.278040	0.085970	0.174875	0.265891	0.286967	0.172935	0.274207	0.356738	0.318162	0.122157	0.202943	0.265891	0.286967	0.172935	0.274207	0.461115	0.278040	0.085970	0.174875	0.356738	0.318162	0.122157	0.202943	0.356738	0.318162	0.122157	0.202943	0.265891	0.286967	0.172935	0.274207	0.265891	0.286967	0.172935	0.274207	
5000	11.688050	2	0.414143	0.289123	0.118002	0.178732	0.269819	0.258973	0.164350	0.306858	0.414143	0.289123	0.118002	0.178732	0.269819	0.258973	0.164350	0.306858	0.414143	0.289123	0.118002	0.178732	0.269819	0.258973	0.164350	0.306858	0.414143	0.289123	0.118002	0.178732	0.414143	0.289123	0.118002	0.178732	0.414143	0.289123	0.118002	0.178732	0.269819	0.258973	0.164350	0.306858	0.269819	0.258973	0.164350	0.306858	
6000	11.688050	3	0.420333	0.274792	0.099485	0.205390	0.283581	0.258603	0.178363	0.279453	0.420333	0.274792	0.099485	0.205390	0.283581	0.258603	0.178363	0.279453	0.420333	0.274792	0.099485	0.205390	0.271072	0.327013	0.141381	0.260534	0.420333	0.274792	0.099485	0.205390	0.420333	0.274792	0.099485	0.205390	0.420333	0.274792	0.099485	0.205390	0.271072	0.327013	0.141381	0.260534	0.420333	0.274792	0.099485	0.205390	
7000	11.688050	3	0.486365	0.284809	0.079872	0.148954	0.193663	0.320662	0.244812	0.240863	0.486365	0.284809	0.079872	0.148954	0.359840	0.271651	0.170039	0.198470	0.359840	0.271651	0.170039	0.198470	0.193663	0.320662	0.244812	0.240863	0.486365	0.284809	0.079872	0.148954	0.359840	0.271651	0.170039	0.198470	0.359840	0.271651	0.170039	0.198470	0.359840	0.271651	0.170039	0.198470	0.193663	0.320662	0.244812	0.240863	
8000	11.688050	4	0.486603	0.270772	0.083669	0.158956	0.227528	0.210828	0.247381	0.314263	0.486603	0.270772	0.083669	0.158956	0.283434	0.266341	0.176727	0.273499	0.407674	0.286097	0.119478	0.186752	0.283434	0.266341	0.176727	0.273499	0.486603	0.270772	0.083669	0.158956	0.407674	0.286097	0.119478	0.186752	0.407674	0.286097	0.119478	0.186752	0.283434	0.266341	0.176727	0.273499	0.283434	0.266341	0.176727	0.273499	
9000	11.688050	3	0.486603	0.270772	0.083669	0.158956	0.291978	0.227555	0.202928	0.277538	0.486603	0.270772	0.083669	0.158956	0.291978	0.227555	0.202928	0.277538	0.336751	0.328722	0.092445	0.242081	0.336751	0.328722	0.092445	0.242081	0.486603	0.270772	0.083669	0.158956	0.336751	0.328722	0.092445	0.242081	0.336751	0.328722	0.092445	0.242081	0.336751	0.328722	0.092445	0.242081	0.336751	0.328722	0.092445	0.242081	
10000	11.688050	4	0.481649	0.290670	0.074321	0.153360	0.306563	0.227346	0.202658	0.263433	0.481649	0.290670	0.074321	0.153360	0.306563	0.227346	0.202658	0.263433	0.295472	0.367443	0.113305	0.223780	0.295472	0.367443	0.113305	0.223780	0.481649	0.290670	0.074321	0.153360	0.382916	0.240246	0.125615	0.251223	0.382916	0.240246	0.125615	0.251223	0.382916	0.240246	0.125615	0.251223	0.306563	0.227346	0.202658	0.263433	
