Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
5708000	268.021876	9	0.334203	0.271197	0.399641	0.294435	0.273975	0.271197	0.537253	0.574711	0.273975	0.360158	0.332040	
5709000	268.021876	7	0.290068	0.212688	0.461157	0.212688	0.306221	0.212688	0.461157	0.544715	0.290068	0.317041	0.230794	
5710000	268.021876	7	0.313813	0.247035	0.493040	0.250917	0.274233	0.247035	0.561941	0.493040	0.313813	0.462094	0.313813	
5711000	268.021876	6	0.303130	0.263023	0.477788	0.303130	0.303130	0.263023	0.517551	0.676346	0.263023	0.477788	0.359799	
5712000	268.021876	9	0.289814	0.232207	0.429744	0.289814	0.289814	0.222559	1.403683	0.633904	0.359445	0.367474	0.179602	
5713000	268.021876	11	0.297075	0.203208	0.410581	0.306817	0.291118	0.183060	0.431376	0.489733	0.343729	0.323038	0.190278	
5714000	268.021876	9	0.294185	0.217983	0.368931	0.294185	0.303522	0.217983	0.538493	0.546455	0.309829	0.292019	0.262357	
5715000	268.021876	6	0.280995	0.280995	0.391443	0.280995	0.280995	0.153141	0.492585	0.391443	0.240914	0.391443	0.107778	
5716000	268.021876	8	0.280978	0.280978	0.464676	0.280978	0.280978	0.124830	0.975749	0.557121	0.398267	0.372891	0.355886	
5717000	268.021876	8	0.310649	0.190206	0.410851	0.310649	0.310649	0.191310	0.516291	0.441921	0.348302	0.310649	0.130240	
5718000	268.021876	6	0.293153	0.219499	0.667552	0.326227	0.293153	0.219499	0.667552	0.278477	0.293153	0.284690	0.278477	
5719000	268.021876	9	0.331875	0.198732	0.528832	0.293103	0.348269	0.198732	0.588228	0.521070	0.331875	0.543069	0.414148	
5720000	268.021876	8	0.272774	0.195001	0.445431	0.272774	0.272774	0.195001	0.536356	0.455419	0.272116	0.359069	0.125845	
5721000	268.021876	7	0.315548	0.262153	0.504869	0.262153	0.340162	0.221598	0.881373	0.262153	0.315548	0.315548	0.226286	
5722000	268.021876	8	0.316062	0.299200	0.471572	0.299200	0.316062	0.299200	0.867849	0.262184	0.294635	0.408787	0.122409	
5723000	268.021876	9	0.299579	0.194942	0.432069	0.300158	0.338271	0.194942	1.434036	0.277653	0.299579	0.543886	0.184507	
5724000	268.021876	6	0.328015	0.175916	0.407127	0.296106	0.328015	0.175916	0.877740	0.328015	0.325932	0.328015	0.296106	
5725000	268.021876	8	0.304598	0.274674	0.371381	0.304598	0.304598	0.206315	0.531594	0.300054	0.274674	0.377092	0.228300	
5726000	268.021876	8	0.321164	0.229592	0.399838	0.229592	0.321164	0.150965	0.946141	0.552073	0.321164	0.359190	0.371580	
5727000	268.021876	7	0.331638	0.224960	0.384063	0.335636	0.331638	0.224960	1.442649	0.454194	0.331638	0.386392	0.331638	
5728000	268.021876	6	0.316997	0.212164	0.525171	0.265150	0.316997	0.212164	0.525171	0.312540	0.259611	0.525171	0.212164	
5729000	268.021876	4	0.305159	0.195508	0.479482	0.305159	0.305159	0.195508	0.479482	0.515781	0.305159	0.515781	0.195508	
5730000	268.021876	8	0.307470	0.271134	0.407522	0.306982	0.306982	0.262331	1.199626	0.407522	0.262331	0.375084	0.123619	
5731000	268.021876	8	0.308570	0.224558	0.425708	0.308570	0.308570	0.201020	1.227053	0.308570	0.267530	0.537180	0.321107	
5732000	268.021876	7	0.319763	0.189720	0.466564	0.330882	0.277649	0.189720	0.550759	0.455451	0.277649	0.330882	0.189720	
5733000	268.021876	7	0.268163	0.224525	0.363089	0.357468	0.268163	0.158073	1.430377	0.268163	0.268163	0.363089	0.134608	
5734000	268.021876	7	0.352392	0.200975	0.547642	0.273200	0.236875	0.200975	0.547642	0.320540	0.273200	0.547642	0.184221	
5735000	268.021876	8	0.297495	0.247512	0.439148	0.247512	0.326271	0.224597	1.331783	0.297495	0.276794	0.320493	0.247512	
5736000	268.021876	7	0.346619	0.203439	0.423199	0.305323	0.305323	0.203439	0.795572	0.344996	0.305323	0.423199	0.134396	
5737000	268.021876	7	0.321930	0.207994	0.365479	0.278947	0.321930	0.207994	1.179424	0.303618	0.321930	0.365479	0.360064	
5738000	268.021876	10	0.271033	0.201858	0.312595	0.279135	0.314641	0.200460	0.864629	0.404798	0.251151	0.404798	0.539282	
5739000	268.021876	7	0.309053	0.274471	0.394676	0.274471	0.274471	0.207739	0.453570	0.453570	0.277099	0.394676	0.119606	
5740000	268.021876	7	0.297071	0.217501	0.377793	0.297071	0.297071	0.217501	0.763555	0.292138	0.292138	0.380564	0.230759	
5741000	268.021876	8	0.314517	0.220865	0.372631	0.314517	0.325812	0.220865	1.436011	0.355435	0.325812	0.290840	0.190062	
5742000	268.021876	8	0.317467	0.182985	0.415672	0.338175	0.338175	0.182985	1.047762	0.277254	0.283123	0.338175	0.157141	
5743000	268.021876	6	0.373648	0.225781	0.526795	0.321636	0.321636	0.225781	0.558232	0.321636	0.321636	0.493666	0.321636	
5744000	268.021876	8	0.322148	0.171107	0.501057	0.287291	0.287291	0.171107	0.674161	0.346812	0.287291	0.364556	0.247802	
5745000	268.021876	10	0.294442	0.180385	0.425010	0.249851	0.297622	0.187900	0.803736	0.425010	0.276819	0.513814	0.487967	
5746000	268.021876	7	0.322514	0.217544	0.353277	0.322514	0.322514	0.217544	1.551904	0.353277	0.384328	0.533352	0.246131	
5747000	268.021876	7	0.343733	0.224521	0.477037	0.224521	0.292329	0.224521	0.614292	0.477037	0.224521	0.470206	0.035399	
5748000	268.021876	9	0.296243	0.216886	0.453889	0.281171	0.296243	0.186012	1.400727	0.307976	0.318982	0.402765	0.216886	
5749000	268.021876	7	0.277448	0.219923	0.411156	0.298560	0.271658	0.219923	0.922202	0.411156	0.277448	0.411156	0.169531	
5750000	268.021876	9	0.274689	0.190722	0.412499	0.262340	0.305178	0.190722	2.550110	0.549385	0.305178	0.442897	0.195695	
5751000	268.021876	10	0.322690	0.221656	0.458539	0.322690	0.241704	0.193811	1.051017	0.573264	0.206049	0.424609	0.574586	
5752000	268.021876	9	0.305041	0.193632	0.438519	0.331735	0.266862	0.193632	0.800280	0.331735	0.243131	0.407720	0.169727	
5753000	268.021876	9	0.319207	0.249281	0.338330	0.249281	0.378221	0.249281	1.200758	0.353499	0.327781	0.495180	0.196502	
5754000	268.021876	8	0.256247	0.195841	0.368861	0.256247	0.291465	0.195841	0.507000	0.459652	0.261676	0.459652	0.157009	
5755000	268.021876	8	0.276750	0.240932	0.417709	0.256750	0.276750	0.196994	0.620441	0.486037	0.276750	0.417709	0.122330	
5756000	268.021876	6	0.293034	0.211514	0.486038	0.293034	0.293034	0.177159	0.486038	0.293034	0.371244	0.371244	0.222555	
5757000	268.021876	8	0.286658	0.264092	0.452335	0.286658	0.286658	0.216813	0.540443	0.505395	0.365149	0.365149	0.135890	
5758000	268.021876	11	0.285594	0.264118	0.471113	0.246557	0.257422	0.207678	0.555314	0.511616	0.214800	0.445932	0.383174	
5759000	268.021876	6	0.262899	0.262899	0.394048	0.262899	0.262899	0.171174	1.185613	0.394048	0.262899	0.443841	0.181338	
5760000	268.021876	7	0.297498	0.297498	0.394356	0.285476	0.285476	0.207965	0.486225	0.338271	0.297498	0.338271	0.273428	
5761000	268.021876	8	0.310666	0.168843	0.377571	0.319441	0.335947	0.168843	0.411336	0.579537	0.319441	0.310666	0.401340	
5762000	268.021876	10	0.324122	0.214655	0.391312	0.348064	0.339987	0.215457	0.672423	0.402394	0.339987	0.432296	0.224577	
5763000	268.021876	6	0.296896	0.171627	0.442081	0.296896	0.296896	0.171627	1.398842	0.442081	0.296896	0.474029	0.251883	
5764000	268.021876	9	0.310607	0.230671	0.381046	0.228533	0.344332	0.155624	0.614265	0.381046	0.382023	0.381046	0.210428	
5765000	268.021876	8	0.321055	0.227778	0.462767	0.299669	0.321055	0.227778	1.043443	0.410680	0.299669	0.511172	0.208448	
5766000	268.021876	8	0.279603	0.226954	0.488437	0.286587	0.286587	0.226954	1.022583	0.411910	0.309296	0.488437	0.217941	
5767000	268.021876	10	0.332737	0.202128	0.382079	0.296757	0.288159	0.202128	1.492327	0.472234	0.218955	0.545884	0.275043	
5768000	268.021876	8	0.270482	0.259434	0.375645	0.259434	0.256007	0.259434	1.089861	0.510496	0.286900	0.375645	0.175737	
5769000	268.021876	7	0.287371	0.237358	0.423993	0.308581	0.287371	0.207565	0.491428	0.491428	0.287371	0.308581	0.235975	
5770000	268.021876	7	0.319276	0.224777	0.427367	0.319276	0.255358	0.224777	0.565167	0.335340	0.255358	0.427367	0.275903	
5771000	268.021876	6	0.348985	0.207264	0.530839	0.348985	0.348985	0.215687	0.530839	0.383135	0.348985	0.383135	0.316459	
5772000	268.021876	8	0.303425	0.186957	0.489219	0.295158	0.295158	0.186957	0.505786	0.370322	0.303425	0.554359	0.338623	
5773000	268.021876	9	0.279814	0.248119	0.436998	0.248119	0.313523	0.174029	0.522725	0.448442	0.313523	0.508221	0.148304	
5774000	268.021876	7	0.338070	0.242088	0.350405	0.266581	0.242088	0.189955	0.609133	0.338070	0.242088	0.350405	0.101650	
5775000	268.021876	9	0.320837	0.229566	0.349351	0.354910	0.229566	0.229566	0.393047	0.343746	0.260498	0.409490	0.614986	
5776000	268.021876	8	0.314110	0.258563	0.369697	0.260292	0.260292	0.239318	0.672773	0.314110	0.260292	0.516967	0.107061	
5777000	268.021876	8	0.288673	0.238270	0.500202	0.268075	0.268075	0.154465	0.633026	0.288673	0.288673	0.328640	0.338510	
5778000	268.021876	9	0.264372	0.255455	0.439435	0.281989	0.285200	0.255455	0.523561	0.439435	0.225231	0.337235	0.208208	
5779000	268.021876	9	0.303853	0.255670	0.345582	0.350352	0.295786	0.133104	1.255809	0.345582	0.312540	0.349459	0.345582	
5780000	268.021876	5	0.292081	0.170806	0.494081	0.282102	0.292081	0.170806	0.494081	0.494081	0.282102	0.429209	0.170806	
5781000	268.021876	8	0.285467	0.285467	0.475844	0.259834	0.314044	0.157816	0.575207	0.468196	0.285467	0.389799	0.259834	
5782000	268.021876	9	0.288636	0.193702	0.406528	0.237016	0.319310	0.193702	0.968428	0.477013	0.353903	0.471249	0.193702	
5783000	268.021876	6	0.297763	0.221446	0.432968	0.297763	0.284399	0.221446	0.570774	0.284399	0.210507	0.432968	0.284399	
5784000	268.021876	7	0.282435	0.265164	0.367926	0.282435	0.282435	0.156480	0.763438	0.349667	0.400095	0.367926	0.156480	
5785000	268.021876	7	0.323288	0.227492	0.426203	0.323288	0.309675	0.166606	0.426203	0.346669	0.318681	0.346669	0.166606	
5786000	268.021876	4	0.305026	0.207994	0.402250	0.305026	0.305026	0.207994	0.761791	0.305026	0.305026	0.402250	0.305026	
