Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	268.021876	6	13.222548	6.375313	18.136767	6.375313	6.375313	6.375313	18.136767	6.375313	9.951156	12.126167	11.517892	
2000	268.021876	5	20.307946	6.349890	20.307946	6.349890	6.349890	6.349890	20.307946	6.349890	11.549633	9.411879	9.968473	
3000	268.021876	6	23.728874	6.303562	23.728874	6.303562	10.656673	6.303562	23.728874	6.303562	11.741307	11.172430	9.542078	
4000	268.021876	6	27.312932	5.198692	27.312932	9.983684	9.983684	5.198692	27.312932	5.198692	11.452015	10.310166	9.818810	
5000	268.021876	9	13.374291	4.456999	30.884895	10.714883	11.111089	4.456999	30.884895	11.803201	11.980704	11.534049	11.178157	
6000	268.021876	8	12.558060	4.450618	30.884895	9.615335	9.988963	4.450618	30.884895	12.200671	12.167768	11.286621	9.615335	
7000	268.021876	7	12.687562	4.779691	33.253993	11.487476	9.719887	4.779691	33.253993	12.687562	11.109330	9.719887	12.548216	
8000	268.021876	8	12.406010	4.721055	33.473234	12.378339	10.451271	4.721055	33.473234	12.289731	11.445320	12.441572	4.721055	
9000	268.021876	8	14.264803	5.252903	32.926436	5.252903	10.362057	5.252903	32.926436	11.902792	11.880553	9.684209	9.837587	
10000	268.021876	8	12.413950	5.231421	31.371337	10.562458	10.562458	5.231421	31.371337	10.417244	11.474861	11.216514	10.953272	
11000	268.021876	7	19.160838	5.852511	19.160838	5.852511	10.620058	5.852511	19.160838	12.447833	11.301687	10.701151	10.348978	
12000	268.021876	7	20.823128	6.336664	20.823128	6.336664	11.244430	6.336664	20.823128	12.490941	10.496912	10.816598	10.524978	
13000	268.021876	8	13.499648	5.452534	16.257324	5.452534	10.800034	5.452534	16.257324	12.069944	11.508458	10.085432	12.920402	
14000	268.021876	8	12.091083	5.749808	18.826671	5.749808	10.660154	5.749808	18.826671	12.166561	13.034622	10.036660	10.887901	
15000	268.021876	8	13.494581	6.039185	23.785746	6.039185	10.188532	6.039185	23.785746	11.168383	11.389174	10.122541	12.837342	
16000	268.021876	8	13.448761	5.252648	26.700519	5.252648	10.516797	5.252648	26.700519	11.542453	12.140489	11.576204	12.724682	
17000	268.021876	8	11.521138	5.391404	26.321288	9.342415	9.342415	5.391404	26.321288	10.891409	11.623409	10.587154	10.719506	
18000	268.021876	8	13.503684	5.119173	28.316820	10.710760	10.773161	5.119173	28.316820	12.607003	12.409850	10.380842	5.119173	
19000	268.021876	7	13.415334	5.285968	30.712500	5.285968	10.517548	5.285968	30.712500	5.285968	12.125665	13.522811	11.619413	
20000	268.021876	6	16.985006	5.291178	16.985006	5.291178	10.762568	5.291178	16.985006	12.439587	12.800414	13.082988	12.800414	
21000	268.021876	8	15.248007	5.791257	23.917814	5.791257	10.806669	5.791257	23.917814	10.147331	10.734450	10.899175	12.888490	
22000	268.021876	9	12.805460	5.188677	29.115874	10.146488	10.794047	5.188677	29.115874	11.643123	11.739968	9.909834	11.314458	
23000	268.021876	9	12.549991	5.177058	30.881424	10.227795	10.006140	5.177058	30.881424	12.197959	11.297952	12.045640	10.071221	
24000	268.021876	8	12.972803	5.039285	30.692745	8.376466	8.376466	5.039285	30.692745	10.577581	11.878997	10.572383	10.519418	
25000	268.021876	9	12.103277	5.084030	29.929174	9.798335	10.866203	5.084030	29.929174	11.380630	10.635201	11.046165	10.094242	
26000	268.021876	7	12.459080	5.151734	28.237965	9.819259	9.819259	5.151734	28.237965	5.151734	11.751476	10.775993	12.200263	
27000	268.021876	8	12.488993	4.894114	30.078650	10.067431	10.067431	4.894114	30.078650	11.875183	11.418312	12.384883	13.458538	
28000	268.021876	7	13.181044	5.571242	32.460163	5.571242	11.226339	5.571242	32.460163	5.571242	10.603565	10.442961	13.426906	
29000	268.021876	7	12.383653	5.246501	29.811645	5.246501	10.682150	5.246501	29.811645	5.246501	11.299281	11.938226	13.944932	
30000	268.021876	7	12.046761	5.762851	29.811747	5.762851	9.025028	5.762851	29.811747	5.762851	11.711205	11.031935	10.949161	
31000	268.021876	7	12.845705	5.600666	31.288219	5.600666	10.529699	5.600666	31.288219	5.600666	10.428573	11.001166	10.496028	
32000	268.021876	6	12.766270	5.827163	31.493235	5.827163	5.827163	5.827163	31.493235	5.827163	11.361973	10.526033	10.845549	
33000	268.021876	6	12.219668	5.589113	31.500256	5.589113	5.589113	5.589113	31.500256	5.589113	11.513181	11.074669	11.761228	
34000	268.021876	6	14.918295	5.429682	29.637076	5.429682	5.429682	5.429682	29.637076	5.429682	11.576198	9.750101	13.145133	
35000	268.021876	6	12.569392	5.607226	32.952710	5.607226	5.607226	5.607226	32.952710	5.607226	12.032895	10.838404	12.006613	
36000	268.021876	6	14.679861	5.992638	30.943391	5.992638	5.992638	5.992638	30.943391	5.992638	11.194882	11.278028	12.953282	
37000	268.021876	7	11.747426	5.665833	28.066938	5.665833	5.665833	5.665833	28.066938	10.912165	10.980471	10.120141	10.186485	
38000	268.021876	5	13.164689	6.460732	30.346374	6.460732	6.460732	6.460732	30.346374	6.460732	11.062660	10.700425	6.460732	
39000	268.021876	7	11.061065	6.048653	29.241368	6.048653	6.048653	6.048653	29.241368	11.628265	11.034599	12.340365	11.504608	
40000	268.021876	5	13.521575	5.742257	30.444825	5.742257	5.742257	5.742257	30.444825	5.742257	11.482102	10.015275	5.742257	
41000	268.021876	5	13.190588	5.655511	29.552503	5.655511	5.655511	5.655511	29.552503	5.655511	12.174330	11.505345	5.655511	
