Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	11.688050	5	0.304063	0.213983	0.449750	0.304063	0.304063	0.193018	0.542266	0.304063	0.304063	0.542266	0.193018	
2000	11.688050	5	0.308859	0.193016	0.352142	0.308859	0.232332	0.193016	0.832568	0.308859	0.308859	0.352142	0.232332	
3000	11.688050	3	0.304398	0.179304	0.388806	0.304398	0.304398	0.179304	0.388806	0.388806	0.304398	0.304398	0.179304	
4000	11.688050	6	0.312285	0.203717	0.398740	0.272782	0.312285	0.203717	1.029062	0.398740	0.272782	0.398740	0.228727	
5000	11.688050	6	0.297707	0.190920	0.394336	0.297707	0.297707	0.190920	0.786721	0.369988	0.297707	0.394336	0.309505	
6000	11.688050	6	0.288896	0.186143	0.428642	0.288896	0.288896	0.172275	1.772880	0.428642	0.288896	0.428642	0.165715	
7000	11.688050	5	0.326959	0.185541	0.365398	0.326959	0.326959	0.185541	1.496080	0.326959	0.326959	0.365398	0.217505	
8000	11.688050	6	0.269038	0.255023	0.459147	0.255023	0.255023	0.255023	0.622930	0.424082	0.269038	0.536645	0.269038	
9000	11.688050	7	0.304965	0.179352	0.437058	0.270885	0.304965	0.179352	0.944478	0.370040	0.270885	0.428052	0.304965	
10000	11.688050	9	0.315494	0.213817	0.412435	0.265011	0.315494	0.205474	0.615854	0.293061	0.412435	0.420725	0.186881	
11000	11.688050	8	0.304969	0.205561	0.354388	0.268457	0.247387	0.167909	0.610111	0.304969	0.354388	0.406832	0.205561	
12000	11.688050	8	0.300346	0.188113	0.420896	0.256498	0.329953	0.188113	0.831491	0.513202	0.329953	0.368369	0.188113	
13000	11.688050	6	0.321172	0.159009	0.441487	0.310143	0.340968	0.159009	0.724688	0.441487	0.321172	0.441487	0.321172	
14000	11.688050	6	0.317489	0.271700	0.395948	0.271700	0.271700	0.158985	1.229829	0.395948	0.271700	0.458906	0.158985	
15000	11.688050	7	0.293057	0.194987	0.320938	0.314459	0.314459	0.194987	0.765202	0.466458	0.320938	0.364010	0.194987	
16000	11.688050	6	0.316647	0.216033	0.411595	0.339848	0.316647	0.212668	0.411595	0.338177	0.316647	0.411595	0.339848	
17000	11.688050	9	0.310315	0.213180	0.366311	0.310315	0.264162	0.167535	0.577750	0.356185	0.310315	0.455259	0.095363	
18000	11.688050	7	0.327438	0.217508	0.394311	0.327438	0.327438	0.172697	0.731175	0.327438	0.327438	0.464912	0.295283	
19000	11.688050	7	0.287443	0.179790	0.401118	0.253078	0.287443	0.185043	0.626928	0.401118	0.306590	0.401118	0.179790	
20000	11.688050	6	0.313789	0.194857	0.360116	0.313789	0.313789	0.170971	0.444295	0.313789	0.444295	0.444295	0.144278	
21000	11.688050	6	0.314878	0.174066	0.392789	0.314878	0.329265	0.174066	0.888001	0.369543	0.314878	0.314878	0.314878	
22000	11.688050	7	0.330346	0.276630	0.414075	0.276630	0.270160	0.140205	0.414075	0.414075	0.331350	0.368251	0.140205	
23000	11.688050	5	0.287532	0.210825	0.398524	0.258091	0.258091	0.210825	0.716875	0.398524	0.398524	0.258091	0.258091	
24000	11.688050	5	0.305643	0.213567	0.376530	0.305643	0.305643	0.213567	0.571363	0.376530	0.305643	0.305643	0.090032	
25000	11.688050	7	0.291020	0.270930	0.363025	0.270930	0.291020	0.151175	0.574420	0.291020	0.291020	0.405441	0.197181	
26000	11.688050	5	0.310420	0.172887	0.408921	0.310420	0.310420	0.172887	1.539331	0.408921	0.325506	0.408921	0.310420	
27000	11.688050	4	0.292514	0.219407	0.360186	0.292514	0.292514	0.219407	0.644040	0.292514	0.360186	0.360186	0.219407	
28000	11.688050	4	0.304590	0.214868	0.491065	0.300787	0.304590	0.214868	0.491065	0.304590	0.304590	0.304590	0.214868	
29000	11.688050	4	0.328522	0.193863	0.477346	0.328522	0.328522	0.193863	0.477346	0.353411	0.328522	0.477346	0.477346	
30000	11.688050	3	0.283441	0.243817	0.451085	0.243817	0.283441	0.243817	0.451085	0.451085	0.283441	0.451085	0.243817	
31000	11.688050	5	0.315579	0.242212	0.315579	0.315579	0.315579	0.242212	1.122726	0.315579	0.315579	0.428960	0.131127	
32000	11.688050	6	0.302172	0.197030	0.406958	0.302172	0.302172	0.167336	1.104421	0.331920	0.302172	0.406958	0.302172	
33000	11.688050	6	0.330618	0.223323	0.487432	0.282558	0.330618	0.223323	0.487432	0.334274	0.299874	0.487432	0.330618	
34000	11.688050	7	0.299261	0.291872	0.428914	0.299261	0.291872	0.133955	1.317131	0.299261	0.291872	0.440697	0.346298	
35000	11.688050	8	0.304314	0.304314	0.444600	0.279004	0.304314	0.135828	0.962933	0.437045	0.304314	0.357493	0.149300	
36000	11.688050	5	0.321178	0.167686	0.440673	0.321178	0.321178	0.236455	0.890359	0.440673	0.321178	0.440673	0.440673	
37000	11.688050	5	0.328839	0.283850	0.527407	0.283850	0.314441	0.260402	0.527407	0.283850	0.283850	0.527407	0.260402	
