Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-114963	1,2,2,3,1,1	2.358446	6.212967	5.610628	5.610628	5.394429	6.212967	6.212967	1,1,1,1,1,1	0.000000	0.010880	0.513437	0.108854	0.366830	0.010880	0.513437	0.108854	0.366830	0.010880	0.513437	0.108854	0.366830	0.010880	0.513437	0.108854	0.366830	0.010880	0.513437	0.108854	0.366830	0.010880	0.513437	0.108854	0.366830	1,2,1,3,4,2	3.232743	0.055295	0.257193	0.202490	0.195138	0.249468	0.040416	0.603116	0.063458	0.067920	0.080656	0.112982	0.071868	0.055295	0.257193	0.202490	0.195138	0.249468	0.040416	0.211224	0.192882	0.170418	0.200667	0.008918	0.215892	0.123507	0.199088	0.213564	0.038769	0.169365	0.255707	0.603116	0.063458	0.067920	0.080656	0.112982	0.071868	1,1,1,1,1,1	0.000000	0.848362	0.848362	0.848362	0.848362	0.848362	0.848362	
1000	-116665	1,1,1,1,1,1	0.000000	5.787454	5.787454	5.787454	5.787454	5.787454	5.787454	1,1,1,2,1,1	0.993179	0.017315	0.535910	0.114874	0.331901	0.017315	0.535910	0.114874	0.331901	0.017315	0.535910	0.114874	0.331901	0.014999	0.415586	0.188834	0.380581	0.017315	0.535910	0.114874	0.331901	0.017315	0.535910	0.114874	0.331901	1,2,3,4,5,5	5.889970	0.052697	0.031475	0.370798	0.248262	0.241028	0.055741	0.449690	0.002008	0.016981	0.181754	0.211393	0.138175	0.078816	0.011841	0.160223	0.273250	0.405945	0.069924	0.164921	0.075166	0.028748	0.484153	0.136092	0.110920	0.395561	0.037884	0.197259	0.066048	0.178072	0.125176	0.395561	0.037884	0.197259	0.066048	0.178072	0.125176	1,1,1,1,1,1	0.000000	0.863859	0.863859	0.863859	0.863859	0.863859	0.863859	
2000	-115994	1,2,1,3,1,1	0.461388	5.983053	5.340839	5.983053	6.768527	5.983053	5.983053	1,1,1,2,1,1	0.389418	0.016756	0.531616	0.119061	0.332567	0.016756	0.531616	0.119061	0.332567	0.016756	0.531616	0.119061	0.332567	0.008455	0.627410	0.130817	0.233318	0.016756	0.531616	0.119061	0.332567	0.016756	0.531616	0.119061	0.332567	1,2,3,4,5,2	2.753601	0.158243	0.406999	0.129347	0.149576	0.117613	0.038223	0.350117	0.142671	0.020907	0.207478	0.213692	0.065135	0.152945	0.074214	0.311638	0.198551	0.209884	0.052769	0.113563	0.195604	0.109333	0.086405	0.011602	0.483492	0.126335	0.049614	0.214633	0.029367	0.245594	0.334457	0.350117	0.142671	0.020907	0.207478	0.213692	0.065135	1,2,2,2,2,2	0.603984	0.648574	0.888702	0.888702	0.888702	0.888702	0.888702	
3000	-115532	1,2,3,2,1,3	3.377798	6.161813	5.469983	5.870630	5.469983	6.161813	5.870630	1,2,1,1,1,2	0.717968	0.012333	0.526188	0.111102	0.350376	0.026723	0.500341	0.151286	0.321650	0.012333	0.526188	0.111102	0.350376	0.012333	0.526188	0.111102	0.350376	0.012333	0.526188	0.111102	0.350376	0.026723	0.500341	0.151286	0.321650	1,1,2,3,4,2	7.475668	0.241950	0.049116	0.119988	0.167129	0.253134	0.168682	0.241950	0.049116	0.119988	0.167129	0.253134	0.168682	0.242438	0.169763	0.114505	0.129502	0.278714	0.065078	0.214179	0.125638	0.354990	0.144708	0.016840	0.143646	0.049005	0.286472	0.333884	0.052284	0.141643	0.136712	0.242438	0.169763	0.114505	0.129502	0.278714	0.065078	1,2,2,2,2,2	0.035831	0.530523	0.916037	0.916037	0.916037	0.916037	0.916037	
4000	-116085	1,2,3,2,1,1	1.014169	6.303758	5.314081	5.977899	5.314081	6.303758	6.303758	1,1,1,1,1,1	0.137655	0.014188	0.537719	0.125355	0.322739	0.014188	0.537719	0.125355	0.322739	0.014188	0.537719	0.125355	0.322739	0.014188	0.537719	0.125355	0.322739	0.014188	0.537719	0.125355	0.322739	0.014188	0.537719	0.125355	0.322739	1,1,2,3,4,5	1.436247	0.050762	0.197900	0.403478	0.151096	0.161699	0.035064	0.050762	0.197900	0.403478	0.151096	0.161699	0.035064	0.062775	0.036896	0.595772	0.052318	0.194823	0.057417	0.099603	0.206536	0.400162	0.153981	0.006601	0.133117	0.068868	0.025964	0.488979	0.060030	0.240685	0.115473	0.297969	0.443048	0.000863	0.053449	0.160635	0.044037	1,1,1,1,1,1	0.000349	0.913000	0.913000	0.913000	0.913000	0.913000	0.913000	
5000	-115575	1,2,3,2,4,1	3.585625	6.126312	5.411258	5.512180	5.411258	5.749711	6.126312	1,1,1,1,1,1	0.000000	0.013214	0.497674	0.127197	0.361915	0.013214	0.497674	0.127197	0.361915	0.013214	0.497674	0.127197	0.361915	0.013214	0.497674	0.127197	0.361915	0.013214	0.497674	0.127197	0.361915	0.013214	0.497674	0.127197	0.361915	1,2,1,3,4,2	0.710772	0.170988	0.218094	0.110576	0.185751	0.271439	0.043152	0.491339	0.045917	0.173371	0.090232	0.144023	0.055118	0.170988	0.218094	0.110576	0.185751	0.271439	0.043152	0.043263	0.348391	0.373504	0.114057	0.031040	0.089745	0.097176	0.111292	0.300046	0.081001	0.180484	0.230001	0.491339	0.045917	0.173371	0.090232	0.144023	0.055118	1,1,1,1,1,1	0.000000	0.812576	0.812576	0.812576	0.812576	0.812576	0.812576	
6000	-116248	1,2,3,2,1,1	10.856315	6.017353	5.134091	6.036910	5.134091	6.017353	6.017353	1,1,1,1,1,1	0.000000	0.011971	0.502993	0.132493	0.352543	0.011971	0.502993	0.132493	0.352543	0.011971	0.502993	0.132493	0.352543	0.011971	0.502993	0.132493	0.352543	0.011971	0.502993	0.132493	0.352543	0.011971	0.502993	0.132493	0.352543	1,1,1,2,3,1	1.328402	0.474807	0.212118	0.080950	0.079490	0.110855	0.041780	0.474807	0.212118	0.080950	0.079490	0.110855	0.041780	0.474807	0.212118	0.080950	0.079490	0.110855	0.041780	0.388585	0.074231	0.045553	0.267265	0.045561	0.178805	0.045343	0.373596	0.027563	0.050009	0.251863	0.251626	0.474807	0.212118	0.080950	0.079490	0.110855	0.041780	1,1,1,1,1,1	0.000000	0.925638	0.925638	0.925638	0.925638	0.925638	0.925638	
7000	-115549	1,2,3,4,5,5	10.847907	6.205921	5.379733	5.893374	5.886078	6.054524	6.054524	1,1,1,1,1,1	0.000000	0.017124	0.516191	0.128406	0.338278	0.017124	0.516191	0.128406	0.338278	0.017124	0.516191	0.128406	0.338278	0.017124	0.516191	0.128406	0.338278	0.017124	0.516191	0.128406	0.338278	0.017124	0.516191	0.128406	0.338278	1,2,3,4,5,2	6.712864	0.155855	0.156512	0.053934	0.315806	0.203690	0.114203	0.463068	0.024238	0.097540	0.100988	0.204011	0.110155	0.115437	0.008417	0.031358	0.239599	0.547023	0.058166	0.008510	0.118928	0.177550	0.251731	0.044927	0.398353	0.356891	0.305102	0.098452	0.039112	0.103759	0.096684	0.463068	0.024238	0.097540	0.100988	0.204011	0.110155	1,2,2,2,2,2	0.176569	0.601706	0.953414	0.953414	0.953414	0.953414	0.953414	
8000	-116017	1,2,2,3,1,1	1.629804	6.179778	5.535717	5.535717	4.993739	6.179778	6.179778	1,1,1,1,1,1	0.000000	0.018632	0.525834	0.115012	0.340521	0.018632	0.525834	0.115012	0.340521	0.018632	0.525834	0.115012	0.340521	0.018632	0.525834	0.115012	0.340521	0.018632	0.525834	0.115012	0.340521	0.018632	0.525834	0.115012	0.340521	1,2,1,3,4,2	5.640465	0.031237	0.121964	0.083634	0.276540	0.428445	0.058178	0.236805	0.130415	0.185606	0.117945	0.224904	0.104324	0.031237	0.121964	0.083634	0.276540	0.428445	0.058178	0.123362	0.142622	0.132228	0.318658	0.076954	0.206176	0.006065	0.231031	0.060326	0.063830	0.237993	0.400755	0.236805	0.130415	0.185606	0.117945	0.224904	0.104324	1,1,1,1,1,1	0.000000	0.859155	0.859155	0.859155	0.859155	0.859155	0.859155	
9000	-115498	1,2,3,2,4,5	3.570380	6.524800	5.314728	5.785902	5.314728	6.174066	6.292258	1,1,1,1,1,1	0.000000	0.017859	0.534044	0.120989	0.327107	0.017859	0.534044	0.120989	0.327107	0.017859	0.534044	0.120989	0.327107	0.017859	0.534044	0.120989	0.327107	0.017859	0.534044	0.120989	0.327107	0.017859	0.534044	0.120989	0.327107	1,2,1,3,4,5	3.171799	0.087976	0.166681	0.147725	0.257677	0.335568	0.004373	0.222423	0.275813	0.160359	0.092167	0.120255	0.128983	0.087976	0.166681	0.147725	0.257677	0.335568	0.004373	0.132031	0.182302	0.269383	0.192512	0.027020	0.196752	0.131788	0.089765	0.199577	0.033919	0.147067	0.397885	0.306664	0.057843	0.021894	0.134573	0.332790	0.146236	1,1,1,1,1,1	0.000000	0.875993	0.875993	0.875993	0.875993	0.875993	0.875993	
