Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-123212	1,1,2,2,3,1	1.695768	6.215077	6.215077	5.144750	5.144750	5.576932	6.215077	1,2,3,4,4,2	1.695768	0.298968	0.115903	0.245894	0.339235	0.006644	0.600358	0.086303	0.306696	0.331474	0.076758	0.290884	0.300885	0.054665	0.334762	0.131700	0.478873	0.054665	0.334762	0.131700	0.478873	0.006644	0.600358	0.086303	0.306696	1,1,1,1,2,1	1.695768	0.274776	0.213253	0.259006	0.026081	0.124565	0.102319	0.274776	0.213253	0.259006	0.026081	0.124565	0.102319	0.274776	0.213253	0.259006	0.026081	0.124565	0.102319	0.274776	0.213253	0.259006	0.026081	0.124565	0.102319	0.325267	0.278470	0.117330	0.003609	0.163645	0.111679	0.274776	0.213253	0.259006	0.026081	0.124565	0.102319	1,2,3,3,1,4	1.695768	0.861971	0.768217	1.859757	1.859757	0.861971	1.036337	
1000	-122175	1,1,1,2,1,1	1.695768	6.131783	6.131783	6.131783	5.097010	6.131783	6.131783	1,2,3,4,4,2	1.695768	0.419272	0.193241	0.130301	0.257186	0.008483	0.597233	0.099819	0.294465	0.599413	0.013101	0.279236	0.108250	0.046148	0.326735	0.084601	0.542516	0.046148	0.326735	0.084601	0.542516	0.008483	0.597233	0.099819	0.294465	1,1,1,1,2,1	1.695768	0.232852	0.154063	0.298835	0.038687	0.139830	0.135733	0.232852	0.154063	0.298835	0.038687	0.139830	0.135733	0.232852	0.154063	0.298835	0.038687	0.139830	0.135733	0.232852	0.154063	0.298835	0.038687	0.139830	0.135733	0.213422	0.136545	0.178722	0.043606	0.352760	0.074946	0.232852	0.154063	0.298835	0.038687	0.139830	0.135733	1,2,3,3,1,1	1.695768	0.881483	0.591022	2.034566	2.034566	0.881483	0.881483	
2000	-123160	1,2,3,3,1,1	1.695768	6.171687	6.238004	5.302752	5.302752	6.171687	6.171687	1,2,3,4,4,2	1.695768	0.306818	0.280350	0.233997	0.178835	0.007000	0.607062	0.100734	0.285204	0.338414	0.164506	0.327465	0.169615	0.065994	0.230499	0.112057	0.591450	0.065994	0.230499	0.112057	0.591450	0.007000	0.607062	0.100734	0.285204	1,1,1,1,2,1	1.695768	0.203899	0.226482	0.253873	0.044031	0.152332	0.119383	0.203899	0.226482	0.253873	0.044031	0.152332	0.119383	0.203899	0.226482	0.253873	0.044031	0.152332	0.119383	0.203899	0.226482	0.253873	0.044031	0.152332	0.119383	0.040022	0.559938	0.038549	0.088597	0.225766	0.047128	0.203899	0.226482	0.253873	0.044031	0.152332	0.119383	1,2,3,3,1,4	1.695768	0.802022	0.616896	1.791570	1.791570	0.802022	1.228715	
3000	-122595	1,2,2,1,3,3	1.695768	5.127780	5.706472	5.706472	5.127780	6.110969	6.110969	1,2,3,4,4,2	1.695768	0.186639	0.142834	0.502200	0.168327	0.010803	0.596951	0.082286	0.309961	0.568686	0.016102	0.279864	0.135348	0.065002	0.206444	0.120960	0.607594	0.065002	0.206444	0.120960	0.607594	0.010803	0.596951	0.082286	0.309961	1,2,1,1,3,2	1.695768	0.249005	0.182958	0.222172	0.068092	0.173260	0.104514	0.189257	0.284637	0.143550	0.054648	0.188118	0.139791	0.249005	0.182958	0.222172	0.068092	0.173260	0.104514	0.249005	0.182958	0.222172	0.068092	0.173260	0.104514	0.379688	0.004603	0.137146	0.010379	0.418017	0.050167	0.189257	0.284637	0.143550	0.054648	0.188118	0.139791	1,2,3,4,1,1	1.695768	0.966409	0.411282	1.818283	1.990685	0.966409	0.966409	
4000	-123581	1,2,3,4,1,2	1.695768	5.531689	6.418305	5.997482	5.090699	5.531689	6.418305	1,2,1,3,4,2	1.695768	0.444823	0.089960	0.196785	0.268432	0.007216	0.578597	0.097024	0.317164	0.444823	0.089960	0.196785	0.268432	0.106997	0.209529	0.289911	0.393563	0.063838	0.213852	0.136071	0.586239	0.007216	0.578597	0.097024	0.317164	1,1,1,1,1,1	1.695768	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	0.270076	0.164597	0.196268	0.042279	0.188892	0.137887	1,2,3,4,1,5	1.695768	0.841191	0.662407	1.932396	1.903492	0.841191	1.028100	
5000	-123807	1,1,2,3,3,4	1.695768	6.228895	6.228895	4.711244	5.148035	5.148035	6.456601	1,2,3,4,5,2	1.695768	0.225480	0.197286	0.280595	0.296639	0.012199	0.582519	0.107318	0.297965	0.287820	0.038333	0.207348	0.466499	0.112096	0.274497	0.171216	0.442191	0.246129	0.291645	0.044608	0.417617	0.012199	0.582519	0.107318	0.297965	1,1,2,1,3,1	1.695768	0.229069	0.134287	0.183661	0.047646	0.251131	0.154207	0.229069	0.134287	0.183661	0.047646	0.251131	0.154207	0.270310	0.303265	0.091670	0.098764	0.216650	0.019341	0.229069	0.134287	0.183661	0.047646	0.251131	0.154207	0.021083	0.288493	0.023808	0.067558	0.292205	0.306853	0.229069	0.134287	0.183661	0.047646	0.251131	0.154207	1,2,3,3,4,1	1.695768	1.007920	0.584122	1.837293	1.837293	0.746764	1.007920	
6000	-125471	1,2,3,4,4,2	1.695768	5.920931	6.429407	5.817678	4.941227	4.941227	6.429407	1,2,3,4,5,2	1.695768	0.236068	0.117303	0.335351	0.311278	0.008072	0.595635	0.096531	0.299763	0.517151	0.096912	0.198161	0.187777	0.157203	0.200252	0.419311	0.223234	0.254774	0.485524	0.020652	0.239049	0.008072	0.595635	0.096531	0.299763	1,1,1,1,2,1	1.695768	0.182222	0.254579	0.233458	0.049806	0.172334	0.107602	0.182222	0.254579	0.233458	0.049806	0.172334	0.107602	0.182222	0.254579	0.233458	0.049806	0.172334	0.107602	0.182222	0.254579	0.233458	0.049806	0.172334	0.107602	0.100614	0.021434	0.029294	0.187566	0.303026	0.358066	0.182222	0.254579	0.233458	0.049806	0.172334	0.107602	1,2,3,4,5,6	1.695768	0.790817	0.723143	1.887265	2.247584	0.818245	0.956517	
7000	-122530	1,1,2,3,1,1	1.695768	6.237548	6.237548	5.765689	5.256632	6.237548	6.237548	1,2,3,4,5,2	1.695768	0.388137	0.137972	0.260460	0.213430	0.005537	0.608862	0.087157	0.298443	0.407843	0.165200	0.262819	0.164137	0.082965	0.224068	0.234637	0.458330	0.084337	0.217932	0.096004	0.601726	0.005537	0.608862	0.087157	0.298443	1,1,2,1,3,1	1.695768	0.230495	0.135881	0.291024	0.041088	0.175146	0.126365	0.230495	0.135881	0.291024	0.041088	0.175146	0.126365	0.026498	0.257864	0.247466	0.120998	0.168221	0.178952	0.230495	0.135881	0.291024	0.041088	0.175146	0.126365	0.053375	0.031806	0.072619	0.150828	0.598236	0.093136	0.230495	0.135881	0.291024	0.041088	0.175146	0.126365	1,2,3,3,4,4	1.695768	0.788672	0.652646	1.936824	1.936824	0.929151	0.929151	
8000	-122632	1,2,3,3,4,5	1.695768	6.234205	5.985356	5.232592	5.232592	7.301555	5.998011	1,2,3,4,4,2	1.695768	0.405162	0.150894	0.178431	0.265514	0.007685	0.625722	0.079921	0.286672	0.351048	0.009039	0.279484	0.360429	0.045064	0.213706	0.128340	0.612891	0.045064	0.213706	0.128340	0.612891	0.007685	0.625722	0.079921	0.286672	1,1,1,1,2,1	1.695768	0.256657	0.187782	0.219770	0.037519	0.149390	0.148883	0.256657	0.187782	0.219770	0.037519	0.149390	0.148883	0.256657	0.187782	0.219770	0.037519	0.149390	0.148883	0.256657	0.187782	0.219770	0.037519	0.149390	0.148883	0.120118	0.027748	0.091342	0.036744	0.693764	0.030285	0.256657	0.187782	0.219770	0.037519	0.149390	0.148883	1,2,3,3,1,4	1.695768	0.854742	0.541211	1.964532	1.964532	0.854742	1.095314	
9000	-123893	1,2,3,3,2,2	1.695768	6.156322	6.021501	5.281856	5.281856	6.021501	6.021501	1,2,1,3,3,2	1.695768	0.536845	0.173918	0.146430	0.142806	0.006462	0.596791	0.082968	0.313779	0.536845	0.173918	0.146430	0.142806	0.102609	0.159213	0.104607	0.633571	0.102609	0.159213	0.104607	0.633571	0.006462	0.596791	0.082968	0.313779	1,1,1,1,2,1	1.695768	0.217264	0.217830	0.150434	0.048252	0.186530	0.179689	0.217264	0.217830	0.150434	0.048252	0.186530	0.179689	0.217264	0.217830	0.150434	0.048252	0.186530	0.179689	0.217264	0.217830	0.150434	0.048252	0.186530	0.179689	0.016099	0.091071	0.299927	0.080167	0.410390	0.102346	0.217264	0.217830	0.150434	0.048252	0.186530	0.179689	1,2,3,3,1,4	1.695768	0.842541	0.648833	1.884293	1.884293	0.842541	0.959105	
