Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-89995.5	1,1,1,1,1,1	0.092720	5.904204	5.904204	5.904204	5.904204	5.904204	5.904204	1,1,1,1,1,1	0.092720	0.026630	0.629483	0.127268	0.216619	0.026630	0.629483	0.127268	0.216619	0.026630	0.629483	0.127268	0.216619	0.026630	0.629483	0.127268	0.216619	0.026630	0.629483	0.127268	0.216619	0.026630	0.629483	0.127268	0.216619	1,1,1,1,1,1	0.092720	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	0.023296	0.113281	0.016008	0.070429	0.511196	0.265791	1,1,1,1,1,1	0.092720	0.411662	0.411662	0.411662	0.411662	0.411662	0.411662	
1000	-89993.2	1,1,1,1,1,1	0.092720	5.669664	5.669664	5.669664	5.669664	5.669664	5.669664	1,1,1,1,1,1	0.092720	0.025812	0.631225	0.130060	0.212903	0.025812	0.631225	0.130060	0.212903	0.025812	0.631225	0.130060	0.212903	0.025812	0.631225	0.130060	0.212903	0.025812	0.631225	0.130060	0.212903	0.025812	0.631225	0.130060	0.212903	1,1,1,1,1,1	0.092720	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	0.029358	0.116350	0.012719	0.067255	0.514594	0.259724	1,1,1,1,1,1	0.092720	0.406959	0.406959	0.406959	0.406959	0.406959	0.406959	
2000	-89991.8	1,1,1,1,1,1	0.092720	5.687274	5.687274	5.687274	5.687274	5.687274	5.687274	1,1,1,1,1,1	0.092720	0.026408	0.623994	0.136314	0.213284	0.026408	0.623994	0.136314	0.213284	0.026408	0.623994	0.136314	0.213284	0.026408	0.623994	0.136314	0.213284	0.026408	0.623994	0.136314	0.213284	0.026408	0.623994	0.136314	0.213284	1,1,1,1,1,1	0.092720	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	0.031683	0.102675	0.010754	0.065648	0.530636	0.258604	1,1,1,1,1,1	0.092720	0.400655	0.400655	0.400655	0.400655	0.400655	0.400655	
3000	-89989.2	1,2,1,2,3,2	0.092720	5.467682	5.874710	5.467682	5.874710	5.629141	5.874710	1,1,1,1,1,1	0.092720	0.022455	0.633325	0.130079	0.214141	0.022455	0.633325	0.130079	0.214141	0.022455	0.633325	0.130079	0.214141	0.022455	0.633325	0.130079	0.214141	0.022455	0.633325	0.130079	0.214141	0.022455	0.633325	0.130079	0.214141	1,1,1,1,1,1	0.092720	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	0.026213	0.095813	0.016116	0.069951	0.524197	0.267710	1,1,1,1,1,1	0.092720	0.404185	0.404185	0.404185	0.404185	0.404185	0.404185	
4000	-89992.2	1,1,1,2,1,2	0.092720	5.694684	5.694684	5.694684	5.786404	5.694684	5.786404	1,1,1,1,1,1	0.092720	0.023423	0.634124	0.129028	0.213425	0.023423	0.634124	0.129028	0.213425	0.023423	0.634124	0.129028	0.213425	0.023423	0.634124	0.129028	0.213425	0.023423	0.634124	0.129028	0.213425	0.023423	0.634124	0.129028	0.213425	1,1,1,1,1,1	0.092720	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	0.029446	0.093466	0.011052	0.070066	0.526078	0.269893	1,1,1,1,1,1	0.092720	0.396784	0.396784	0.396784	0.396784	0.396784	0.396784	
5000	-90007.1	1,1,1,1,1,1	0.092720	5.820098	5.820098	5.820098	5.820098	5.820098	5.820098	1,1,1,1,1,1	0.092720	0.023222	0.633254	0.129220	0.214303	0.023222	0.633254	0.129220	0.214303	0.023222	0.633254	0.129220	0.214303	0.023222	0.633254	0.129220	0.214303	0.023222	0.633254	0.129220	0.214303	0.023222	0.633254	0.129220	0.214303	1,1,1,1,1,1	0.092720	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	0.023588	0.119916	0.020879	0.065332	0.513616	0.256669	1,1,1,1,1,1	0.092720	0.397730	0.397730	0.397730	0.397730	0.397730	0.397730	
6000	-90002.3	1,1,1,1,1,1	0.092720	5.759915	5.759915	5.759915	5.759915	5.759915	5.759915	1,1,1,1,1,1	0.092720	0.024848	0.631701	0.129192	0.214258	0.024848	0.631701	0.129192	0.214258	0.024848	0.631701	0.129192	0.214258	0.024848	0.631701	0.129192	0.214258	0.024848	0.631701	0.129192	0.214258	0.024848	0.631701	0.129192	0.214258	1,1,1,1,1,1	0.092720	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	0.028273	0.116080	0.014497	0.067938	0.516671	0.256541	1,1,1,1,1,1	0.092720	0.392007	0.392007	0.392007	0.392007	0.392007	0.392007	
7000	-90006.1	1,1,1,1,1,2	0.092720	5.656850	5.656850	5.656850	5.656850	5.656850	6.349345	1,1,1,1,1,1	0.092720	0.023324	0.634421	0.130240	0.212015	0.023324	0.634421	0.130240	0.212015	0.023324	0.634421	0.130240	0.212015	0.023324	0.634421	0.130240	0.212015	0.023324	0.634421	0.130240	0.212015	0.023324	0.634421	0.130240	0.212015	1,1,1,1,1,1	0.092720	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	0.027034	0.135707	0.025356	0.064502	0.503490	0.243911	1,1,1,1,1,1	0.092720	0.395070	0.395070	0.395070	0.395070	0.395070	0.395070	
8000	-90010.2	1,1,1,1,1,1	0.092720	5.592740	5.592740	5.592740	5.592740	5.592740	5.592740	1,1,1,1,1,1	0.092720	0.025963	0.633883	0.125174	0.214981	0.025963	0.633883	0.125174	0.214981	0.025963	0.633883	0.125174	0.214981	0.025963	0.633883	0.125174	0.214981	0.025963	0.633883	0.125174	0.214981	0.025963	0.633883	0.125174	0.214981	1,1,1,1,1,1	0.092720	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	0.029509	0.108220	0.008311	0.075184	0.519503	0.259274	1,1,1,1,1,1	0.092720	0.401299	0.401299	0.401299	0.401299	0.401299	0.401299	
9000	-89999.6	1,1,1,1,1,1	0.092720	5.704482	5.704482	5.704482	5.704482	5.704482	5.704482	1,1,1,1,1,1	0.092720	0.025086	0.630968	0.131679	0.212267	0.025086	0.630968	0.131679	0.212267	0.025086	0.630968	0.131679	0.212267	0.025086	0.630968	0.131679	0.212267	0.025086	0.630968	0.131679	0.212267	0.025086	0.630968	0.131679	0.212267	1,1,1,1,1,1	0.092720	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	0.024789	0.116769	0.017168	0.065986	0.510817	0.264471	1,1,1,1,1,1	0.092720	0.400307	0.400307	0.400307	0.400307	0.400307	0.400307	
