Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
344000	-110094	1,1,2,3,4,2	71.354689	4.931633	4.931633	4.544584	5.492146	5.843292	4.544584	1,2,3,4,5,6	71.354689	0.392164	0.007972	0.059718	0.540146	0.606276	0.022132	0.186479	0.185113	0.060057	0.301963	0.463780	0.174200	0.259684	0.135172	0.580251	0.024892	0.088862	0.113381	0.431942	0.365815	0.305654	0.305391	0.209393	0.179563	1,2,3,4,5,6	71.354689	0.591871	0.112009	0.098084	0.053492	0.059397	0.085146	0.060718	0.311027	0.435993	0.085635	0.100563	0.006064	0.242329	0.097035	0.050479	0.035413	0.293806	0.280938	0.250107	0.130637	0.053341	0.011478	0.209716	0.344722	0.113705	0.188111	0.158782	0.342042	0.132661	0.064700	0.299299	0.156968	0.040259	0.300187	0.036562	0.166725	1,2,3,1,4,5	71.354689	3.471173	2.564850	0.027149	3.471173	0.861149	1.424215	
345000	-109585	1,2,1,1,3,4	71.354689	4.467218	5.581066	4.467218	4.467218	5.476812	4.857521	1,1,2,2,2,3	71.354689	0.619586	0.072862	0.036159	0.271393	0.619586	0.072862	0.036159	0.271393	0.360923	0.201105	0.325688	0.112284	0.360923	0.201105	0.325688	0.112284	0.360923	0.201105	0.325688	0.112284	0.506416	0.339600	0.071153	0.082831	1,2,2,3,4,3	71.354689	0.169461	0.175072	0.334532	0.083140	0.048330	0.189465	0.006099	0.061267	0.382744	0.057309	0.342998	0.149583	0.006099	0.061267	0.382744	0.057309	0.342998	0.149583	0.268540	0.436601	0.031465	0.071448	0.124496	0.067450	0.007469	0.062691	0.098242	0.142392	0.336955	0.352251	0.268540	0.436601	0.031465	0.071448	0.124496	0.067450	1,2,3,4,5,6	71.354689	2.765936	1.719964	0.095305	1.914234	0.515587	1.570208	
346000	-108613	1,2,2,3,4,1	71.354689	4.745742	4.751956	4.751956	5.417423	5.385181	4.745742	1,1,2,3,3,4	71.354689	0.462113	0.102812	0.056913	0.378162	0.462113	0.102812	0.056913	0.378162	0.147865	0.321598	0.385935	0.144603	0.337540	0.123314	0.509785	0.029360	0.337540	0.123314	0.509785	0.029360	0.650912	0.153447	0.077566	0.118075	1,2,2,3,4,5	71.354689	0.351018	0.036548	0.253596	0.151680	0.138092	0.069066	0.075454	0.051461	0.246429	0.078416	0.339948	0.208292	0.075454	0.051461	0.246429	0.078416	0.339948	0.208292	0.466168	0.173185	0.234737	0.055096	0.049501	0.021313	0.162499	0.073084	0.303789	0.175191	0.015250	0.270187	0.334040	0.120326	0.022949	0.095151	0.063275	0.364258	1,2,3,2,4,5	71.354689	1.869470	1.921507	0.149775	1.921507	0.545523	1.693659	
347000	-109092	1,1,1,2,3,4	71.354689	4.454023	4.454023	4.454023	5.600353	5.692958	5.156956	1,2,3,4,3,5	71.354689	0.191994	0.178661	0.060853	0.568492	0.706000	0.160897	0.053639	0.079464	0.105979	0.156699	0.665784	0.071538	0.360289	0.056322	0.490250	0.093139	0.105979	0.156699	0.665784	0.071538	0.756290	0.102596	0.090363	0.050751	1,1,2,3,2,3	71.354689	0.030807	0.174062	0.443179	0.258519	0.086386	0.007048	0.030807	0.174062	0.443179	0.258519	0.086386	0.007048	0.076680	0.106162	0.380291	0.097976	0.155614	0.183277	0.189753	0.246927	0.032964	0.053058	0.269333	0.207965	0.076680	0.106162	0.380291	0.097976	0.155614	0.183277	0.189753	0.246927	0.032964	0.053058	0.269333	0.207965	1,2,3,4,5,2	71.354689	1.390150	1.578600	0.129348	3.157534	0.409539	1.578600	
348000	-108255	1,2,3,4,5,6	71.354689	5.376992	5.486034	5.347795	4.776242	6.361943	5.362566	1,1,2,3,4,5	71.354689	0.558018	0.107942	0.045785	0.288254	0.558018	0.107942	0.045785	0.288254	0.089687	0.248663	0.614487	0.047164	0.550117	0.181108	0.242310	0.026465	0.219222	0.104393	0.609540	0.066844	0.601654	0.238769	0.117883	0.041693	1,2,2,3,4,3	71.354689	0.110108	0.060298	0.223829	0.581345	0.001120	0.023300	0.041400	0.080592	0.174701	0.073778	0.159022	0.470507	0.041400	0.080592	0.174701	0.073778	0.159022	0.470507	0.283692	0.431815	0.196329	0.010336	0.064535	0.013293	0.281878	0.060093	0.246360	0.165149	0.018512	0.228007	0.283692	0.431815	0.196329	0.010336	0.064535	0.013293	1,1,2,3,4,5	71.354689	1.997534	1.997534	0.140683	1.760019	0.529638	1.397890	
349000	-107649	1,2,1,3,4,1	71.354689	4.446706	5.111633	4.446706	5.461235	5.298950	4.446706	1,2,3,4,3,2	71.354689	0.308080	0.021966	0.207634	0.462320	0.650292	0.087716	0.104250	0.157742	0.236650	0.218851	0.427111	0.117387	0.364876	0.160219	0.418488	0.056418	0.236650	0.218851	0.427111	0.117387	0.650292	0.087716	0.104250	0.157742	1,2,3,4,5,4	71.354689	0.283250	0.026138	0.257674	0.234105	0.189159	0.009675	0.015949	0.099741	0.542642	0.103216	0.203158	0.035295	0.062075	0.144586	0.059630	0.134712	0.452432	0.146566	0.404336	0.451179	0.037369	0.041229	0.045585	0.020301	0.095615	0.245222	0.062187	0.195260	0.161373	0.240343	0.404336	0.451179	0.037369	0.041229	0.045585	0.020301	1,2,3,4,5,6	71.354689	3.075837	1.753283	0.136881	2.584534	0.615972	1.623631	
350000	-107874	1,2,3,3,4,4	71.354689	5.419422	5.544046	5.645166	5.645166	4.152978	4.152978	1,1,2,3,2,3	71.354689	0.614227	0.019452	0.012015	0.354306	0.614227	0.019452	0.012015	0.354306	0.113384	0.344183	0.440145	0.102288	0.470358	0.106542	0.401435	0.021664	0.113384	0.344183	0.440145	0.102288	0.470358	0.106542	0.401435	0.021664	1,2,3,4,5,1	71.354689	0.508606	0.117839	0.164333	0.038307	0.094617	0.076299	0.008070	0.293309	0.189191	0.236565	0.009458	0.263408	0.072121	0.118619	0.147354	0.071161	0.320359	0.270386	0.285911	0.236954	0.174137	0.048837	0.085813	0.168348	0.050804	0.119071	0.363613	0.049215	0.288172	0.129126	0.508606	0.117839	0.164333	0.038307	0.094617	0.076299	1,2,3,1,4,5	71.354689	2.249927	1.720508	0.053656	2.249927	0.686808	1.718947	
351000	-110015	1,2,1,3,4,2	71.354689	4.846336	4.686057	4.846336	5.796738	5.908831	4.686057	1,2,3,4,4,4	71.354689	0.247515	0.106161	0.126691	0.519633	0.341380	0.043210	0.016865	0.598545	0.179525	0.313177	0.422105	0.085193	0.393734	0.113614	0.460316	0.032336	0.393734	0.113614	0.460316	0.032336	0.393734	0.113614	0.460316	0.032336	1,2,3,1,3,4	71.354689	0.287311	0.153320	0.441006	0.034195	0.068638	0.015530	0.131995	0.299015	0.208762	0.045716	0.184713	0.129799	0.114653	0.019149	0.105542	0.112005	0.140922	0.507730	0.287311	0.153320	0.441006	0.034195	0.068638	0.015530	0.114653	0.019149	0.105542	0.112005	0.140922	0.507730	0.293589	0.134093	0.117994	0.014767	0.213093	0.226465	1,2,3,4,5,6	71.354689	2.186154	1.488862	0.273263	2.541126	0.719368	1.518833	
352000	-109728	1,1,2,3,4,5	71.354689	4.978414	4.978414	7.345002	4.746870	5.785304	7.051221	1,1,2,3,3,4	71.354689	0.526621	0.249566	0.030253	0.193560	0.526621	0.249566	0.030253	0.193560	0.033067	0.353042	0.431634	0.182257	0.133557	0.064246	0.754083	0.048114	0.133557	0.064246	0.754083	0.048114	0.675586	0.249057	0.024082	0.051275	1,2,3,3,4,5	71.354689	0.085307	0.029002	0.459766	0.061319	0.075949	0.288656	0.013945	0.135005	0.322238	0.131340	0.209748	0.187724	0.296950	0.158082	0.038936	0.055176	0.076963	0.373895	0.296950	0.158082	0.038936	0.055176	0.076963	0.373895	0.055535	0.093683	0.200416	0.204879	0.043293	0.402194	0.080974	0.409992	0.148321	0.093053	0.239540	0.028121	1,2,3,4,5,1	71.354689	1.420559	1.978253	0.168200	1.954227	0.534790	1.420559	
353000	-109585	1,2,3,4,5,6	71.354689	5.426731	5.416712	4.626683	5.554667	4.871190	5.444792	1,2,3,4,5,6	71.354689	0.485368	0.043296	0.068163	0.403173	0.521068	0.081473	0.053524	0.343935	0.132478	0.330524	0.251233	0.285764	0.431600	0.045977	0.436657	0.085766	0.424630	0.046993	0.495230	0.033147	0.543850	0.363287	0.043831	0.049032	1,2,2,3,4,5	71.354689	0.133658	0.036319	0.374398	0.241892	0.195964	0.017769	0.067239	0.013744	0.378252	0.177762	0.137598	0.225404	0.067239	0.013744	0.378252	0.177762	0.137598	0.225404	0.465235	0.078572	0.071680	0.176356	0.149395	0.058762	0.061040	0.026037	0.102695	0.274264	0.329926	0.206039	0.165211	0.187840	0.022731	0.327195	0.235902	0.061121	1,2,3,1,4,2	71.354689	2.676930	1.586710	0.064042	2.676930	0.647788	1.586710	
