Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
511000	-88556.7	1,1,1,1,1,1	0.000000	6.683768	6.683768	6.683768	6.683768	6.683768	6.683768	1,1,1,1,1,1	0.000000	0.140410	0.153516	0.123270	0.582803	0.140410	0.153516	0.123270	0.582803	0.140410	0.153516	0.123270	0.582803	0.140410	0.153516	0.123270	0.582803	0.140410	0.153516	0.123270	0.582803	0.140410	0.153516	0.123270	0.582803	1,1,1,1,1,1	0.000001	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	0.132909	0.429275	0.323979	0.046541	0.040195	0.027102	1,2,1,2,2,3	0.889650	0.123821	0.197685	0.123821	0.197685	0.197685	0.244270	
512000	-88564	1,1,1,1,1,1	0.000000	6.655456	6.655456	6.655456	6.655456	6.655456	6.655456	1,1,1,1,1,1	0.000000	0.138993	0.154914	0.121690	0.584402	0.138993	0.154914	0.121690	0.584402	0.138993	0.154914	0.121690	0.584402	0.138993	0.154914	0.121690	0.584402	0.138993	0.154914	0.121690	0.584402	0.138993	0.154914	0.121690	0.584402	1,1,1,1,1,1	0.000000	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	0.138059	0.404981	0.332214	0.050108	0.039352	0.035286	1,2,1,2,2,3	2.115932	0.131287	0.204688	0.131287	0.204688	0.204688	0.335253	
513000	-88547.9	1,1,1,1,1,1	0.000000	6.646424	6.646424	6.646424	6.646424	6.646424	6.646424	1,1,1,1,1,1	0.000237	0.141379	0.153784	0.119138	0.585699	0.141379	0.153784	0.119138	0.585699	0.141379	0.153784	0.119138	0.585699	0.141379	0.153784	0.119138	0.585699	0.141379	0.153784	0.119138	0.585699	0.141379	0.153784	0.119138	0.585699	1,1,1,1,1,1	0.000000	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	0.129569	0.421510	0.322975	0.050766	0.040463	0.034716	1,2,1,2,2,3	2.158947	0.123010	0.207073	0.123010	0.207073	0.207073	0.322697	
514000	-88522.2	1,1,1,1,1,1	0.000000	6.648838	6.648838	6.648838	6.648838	6.648838	6.648838	1,1,1,1,1,1	0.000000	0.140036	0.148268	0.117391	0.594304	0.140036	0.148268	0.117391	0.594304	0.140036	0.148268	0.117391	0.594304	0.140036	0.148268	0.117391	0.594304	0.140036	0.148268	0.117391	0.594304	0.140036	0.148268	0.117391	0.594304	1,1,1,1,1,1	0.000000	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	0.133971	0.415967	0.330061	0.044704	0.041763	0.033533	1,2,1,3,2,4	3.035363	0.126069	0.205909	0.126069	0.180658	0.205909	0.264330	
515000	-88522.4	1,1,1,1,1,1	0.000000	6.706500	6.706500	6.706500	6.706500	6.706500	6.706500	1,1,1,1,1,1	0.000000	0.138891	0.149842	0.118847	0.592419	0.138891	0.149842	0.118847	0.592419	0.138891	0.149842	0.118847	0.592419	0.138891	0.149842	0.118847	0.592419	0.138891	0.149842	0.118847	0.592419	0.138891	0.149842	0.118847	0.592419	1,1,1,1,1,1	0.000000	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	0.128268	0.432428	0.323277	0.047403	0.039962	0.028663	1,2,1,3,2,4	2.244856	0.129266	0.200545	0.129266	0.182345	0.200545	0.263623	
516000	-88579.7	1,1,1,1,1,1	0.000000	6.533191	6.533191	6.533191	6.533191	6.533191	6.533191	1,1,1,1,1,1	0.000000	0.141026	0.150620	0.120368	0.587986	0.141026	0.150620	0.120368	0.587986	0.141026	0.150620	0.120368	0.587986	0.141026	0.150620	0.120368	0.587986	0.141026	0.150620	0.120368	0.587986	0.141026	0.150620	0.120368	0.587986	1,1,1,1,1,1	0.000002	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	0.123827	0.422878	0.326852	0.046018	0.044534	0.035891	1,2,1,3,2,2	0.218212	0.127368	0.185415	0.127368	0.172251	0.185415	0.185415	
517000	-88548.2	1,1,1,1,1,1	0.000000	6.694201	6.694201	6.694201	6.694201	6.694201	6.694201	1,1,1,1,1,1	0.000000	0.139965	0.155808	0.114606	0.589621	0.139965	0.155808	0.114606	0.589621	0.139965	0.155808	0.114606	0.589621	0.139965	0.155808	0.114606	0.589621	0.139965	0.155808	0.114606	0.589621	0.139965	0.155808	0.114606	0.589621	1,1,1,1,1,1	0.000000	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	0.124344	0.431016	0.329154	0.046524	0.039497	0.029464	1,2,1,3,2,2	2.006176	0.127385	0.213102	0.127385	0.172120	0.213102	0.213102	
518000	-88539.1	1,1,1,1,1,1	0.000000	6.715331	6.715331	6.715331	6.715331	6.715331	6.715331	1,1,1,1,1,1	0.000000	0.137868	0.150990	0.116001	0.595140	0.137868	0.150990	0.116001	0.595140	0.137868	0.150990	0.116001	0.595140	0.137868	0.150990	0.116001	0.595140	0.137868	0.150990	0.116001	0.595140	0.137868	0.150990	0.116001	0.595140	1,1,1,1,1,1	0.000000	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	0.129736	0.424568	0.327146	0.043921	0.040876	0.033752	1,2,1,3,2,4	4.928920	0.129092	0.180275	0.129092	0.158745	0.180275	0.317212	
519000	-88541.5	1,1,1,1,1,1	0.000000	6.655326	6.655326	6.655326	6.655326	6.655326	6.655326	1,1,1,1,1,1	0.000000	0.142504	0.152439	0.122829	0.582228	0.142504	0.152439	0.122829	0.582228	0.142504	0.152439	0.122829	0.582228	0.142504	0.152439	0.122829	0.582228	0.142504	0.152439	0.122829	0.582228	0.142504	0.152439	0.122829	0.582228	1,1,1,1,1,1	0.000000	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	0.126622	0.416163	0.331756	0.050063	0.042930	0.032466	1,2,1,3,2,4	6.472526	0.126955	0.193224	0.126955	0.173547	0.193224	0.248662	
520000	-88541.7	1,1,1,1,1,1	0.000000	6.489956	6.489956	6.489956	6.489956	6.489956	6.489956	1,1,1,1,1,1	0.000000	0.140539	0.151560	0.119666	0.588235	0.140539	0.151560	0.119666	0.588235	0.140539	0.151560	0.119666	0.588235	0.140539	0.151560	0.119666	0.588235	0.140539	0.151560	0.119666	0.588235	0.140539	0.151560	0.119666	0.588235	1,1,1,1,1,1	0.000000	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	0.134099	0.421712	0.318433	0.049875	0.041101	0.034779	1,2,1,2,2,3	2.657024	0.134854	0.195324	0.134854	0.195324	0.195324	0.248474	
521000	-88571.2	1,1,1,1,1,1	0.000000	6.709569	6.709569	6.709569	6.709569	6.709569	6.709569	1,1,1,1,1,1	0.000000	0.139055	0.157974	0.117705	0.585267	0.139055	0.157974	0.117705	0.585267	0.139055	0.157974	0.117705	0.585267	0.139055	0.157974	0.117705	0.585267	0.139055	0.157974	0.117705	0.585267	0.139055	0.157974	0.117705	0.585267	1,1,1,1,1,1	0.000000	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	0.127837	0.428362	0.331524	0.044420	0.038113	0.029744	1,2,3,2,2,2	1.523734	0.130787	0.196604	0.125314	0.196604	0.196604	0.196604	
522000	-88524.6	1,1,1,1,1,1	0.000000	6.738429	6.738429	6.738429	6.738429	6.738429	6.738429	1,1,1,1,1,1	0.000000	0.140131	0.146958	0.121386	0.591526	0.140131	0.146958	0.121386	0.591526	0.140131	0.146958	0.121386	0.591526	0.140131	0.146958	0.121386	0.591526	0.140131	0.146958	0.121386	0.591526	0.140131	0.146958	0.121386	0.591526	1,1,1,1,1,1	0.000008	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	0.127700	0.418712	0.327668	0.049589	0.044406	0.031926	1,2,1,3,2,4	0.997360	0.130175	0.202666	0.130175	0.170336	0.202666	0.264657	
523000	-88534.3	1,1,1,1,1,1	0.000000	6.651581	6.651581	6.651581	6.651581	6.651581	6.651581	1,1,1,1,1,1	0.000000	0.140880	0.151695	0.120008	0.587417	0.140880	0.151695	0.120008	0.587417	0.140880	0.151695	0.120008	0.587417	0.140880	0.151695	0.120008	0.587417	0.140880	0.151695	0.120008	0.587417	0.140880	0.151695	0.120008	0.587417	1,1,1,1,1,1	0.000000	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	0.126903	0.419637	0.329503	0.048439	0.040125	0.035393	1,2,1,3,3,4	4.033420	0.125863	0.212888	0.125863	0.195214	0.195214	0.271137	
