Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-126824	1,2,1,1,2,2	1.314926	6.193403	5.513982	6.193403	6.193403	5.513982	5.513982	1,2,3,1,1,4	0.597171	0.032684	0.457693	0.080129	0.429494	0.339888	0.234967	0.279743	0.145403	0.202386	0.088203	0.450115	0.259296	0.032684	0.457693	0.080129	0.429494	0.032684	0.457693	0.080129	0.429494	0.506035	0.116858	0.152850	0.224256	1,2,3,4,3,4	1.090849	0.294140	0.018000	0.137563	0.197143	0.211649	0.141504	0.321204	0.121085	0.050682	0.224828	0.174339	0.107862	0.091023	0.240901	0.250432	0.263455	0.001613	0.152576	0.137426	0.251213	0.087313	0.012435	0.190601	0.321013	0.091023	0.240901	0.250432	0.263455	0.001613	0.152576	0.137426	0.251213	0.087313	0.012435	0.190601	0.321013	1,2,2,1,3,2	3.008445	3.013226	1.990862	1.990862	3.013226	0.745400	1.990862	
1000	-127501	1,2,3,1,2,2	1.663618	5.913234	5.173847	5.532940	5.913234	5.173847	5.173847	1,2,2,1,1,3	2.937446	0.035324	0.394865	0.096546	0.473264	0.185527	0.221292	0.370593	0.222588	0.185527	0.221292	0.370593	0.222588	0.035324	0.394865	0.096546	0.473264	0.035324	0.394865	0.096546	0.473264	0.314238	0.105265	0.413786	0.166712	1,2,3,1,4,1	4.157788	0.206840	0.243067	0.098204	0.103610	0.215001	0.133278	0.283781	0.093149	0.206784	0.266845	0.039766	0.109675	0.093367	0.150551	0.081806	0.403878	0.016318	0.254080	0.206840	0.243067	0.098204	0.103610	0.215001	0.133278	0.130232	0.024058	0.416292	0.304972	0.021596	0.102850	0.206840	0.243067	0.098204	0.103610	0.215001	0.133278	1,2,2,1,3,2	3.425545	2.636892	1.574778	1.574778	2.636892	0.576336	1.574778	
2000	-127770	1,2,3,4,2,5	1.950960	6.136912	5.509439	6.513129	6.051685	5.509439	6.136133	1,2,3,1,1,4	2.368480	0.042553	0.446197	0.074465	0.436786	0.212139	0.256447	0.276752	0.254663	0.037429	0.152718	0.625958	0.183895	0.042553	0.446197	0.074465	0.436786	0.042553	0.446197	0.074465	0.436786	0.495871	0.052484	0.290651	0.160994	1,2,1,1,3,2	1.549688	0.124366	0.451331	0.027408	0.096990	0.134105	0.165799	0.300836	0.314676	0.008448	0.239995	0.013107	0.122938	0.124366	0.451331	0.027408	0.096990	0.134105	0.165799	0.124366	0.451331	0.027408	0.096990	0.134105	0.165799	0.207420	0.022255	0.251622	0.339553	0.027229	0.151921	0.300836	0.314676	0.008448	0.239995	0.013107	0.122938	1,2,3,4,5,2	3.434215	3.222228	1.930091	2.233063	2.966404	0.337010	1.930091	
3000	-127592	1,1,1,2,3,1	1.017259	5.830148	5.830148	5.830148	6.314087	5.362656	5.830148	1,2,2,1,1,3	0.631502	0.059116	0.392243	0.079674	0.468966	0.179252	0.242119	0.435879	0.142750	0.179252	0.242119	0.435879	0.142750	0.059116	0.392243	0.079674	0.468966	0.059116	0.392243	0.079674	0.468966	0.450899	0.087216	0.310497	0.151389	1,2,3,4,3,1	1.372978	0.224925	0.187062	0.080861	0.173974	0.196206	0.136972	0.171222	0.070922	0.081029	0.154956	0.204711	0.317160	0.066579	0.220229	0.298961	0.233873	0.015172	0.165186	0.226973	0.150681	0.089190	0.137651	0.264725	0.130780	0.066579	0.220229	0.298961	0.233873	0.015172	0.165186	0.224925	0.187062	0.080861	0.173974	0.196206	0.136972	1,2,1,1,3,1	0.308800	2.935590	0.732921	2.935590	2.935590	0.432912	2.935590	
4000	-127840	1,2,2,1,3,3	1.371710	5.931754	5.368414	5.368414	5.931754	4.875742	4.875742	1,2,2,1,1,3	1.472803	0.032222	0.446168	0.086333	0.435277	0.231373	0.161614	0.353225	0.253789	0.231373	0.161614	0.353225	0.253789	0.032222	0.446168	0.086333	0.435277	0.032222	0.446168	0.086333	0.435277	0.332996	0.053613	0.185626	0.427765	1,2,3,1,3,1	0.551801	0.084618	0.473027	0.036155	0.091597	0.167878	0.146726	0.441929	0.090649	0.024115	0.364964	0.001946	0.076397	0.243640	0.154538	0.106783	0.173278	0.036982	0.284779	0.084618	0.473027	0.036155	0.091597	0.167878	0.146726	0.243640	0.154538	0.106783	0.173278	0.036982	0.284779	0.084618	0.473027	0.036155	0.091597	0.167878	0.146726	1,2,2,1,3,4	1.814235	2.867542	2.288638	2.288638	2.867542	0.683037	1.532861	
5000	-128581	1,1,2,1,2,3	1.985287	5.930614	5.930614	4.226338	5.930614	4.226338	5.526873	1,2,3,1,4,5	1.743226	0.029981	0.381741	0.099174	0.489105	0.253923	0.304199	0.302326	0.139552	0.237001	0.042671	0.624984	0.095345	0.029981	0.381741	0.099174	0.489105	0.115751	0.426585	0.191433	0.266232	0.325733	0.062015	0.573473	0.038779	1,2,2,3,4,5	4.883946	0.138854	0.348242	0.206917	0.090570	0.147453	0.067964	0.190971	0.047849	0.148518	0.319168	0.084135	0.209359	0.190971	0.047849	0.148518	0.319168	0.084135	0.209359	0.201676	0.160179	0.140217	0.159571	0.245604	0.092753	0.125091	0.265039	0.128987	0.286451	0.036454	0.157977	0.121220	0.073269	0.057710	0.130188	0.284397	0.333217	1,2,2,1,3,2	1.946488	2.789331	1.738022	1.738022	2.789331	0.399915	1.738022	
6000	-130087	1,2,3,1,4,2	0.686912	6.228819	4.687507	5.403654	6.228819	5.344929	4.687507	1,2,3,1,1,4	1.066436	0.032315	0.456976	0.083853	0.426856	0.069853	0.442794	0.180124	0.307229	0.048565	0.442287	0.432219	0.076929	0.032315	0.456976	0.083853	0.426856	0.032315	0.456976	0.083853	0.426856	0.672416	0.061898	0.107637	0.158049	1,2,3,4,3,3	2.206944	0.057989	0.324123	0.176664	0.172249	0.182029	0.086947	0.299105	0.147755	0.063779	0.234055	0.163630	0.091676	0.101187	0.402577	0.127949	0.100725	0.000578	0.266984	0.126559	0.326230	0.219715	0.102659	0.138468	0.086368	0.101187	0.402577	0.127949	0.100725	0.000578	0.266984	0.101187	0.402577	0.127949	0.100725	0.000578	0.266984	1,2,3,1,2,4	2.570009	2.807052	1.053326	2.366017	2.807052	1.053326	1.631110	
7000	-127206	1,2,1,1,3,3	3.246225	6.109403	5.566259	6.109403	6.109403	4.947818	4.947818	1,2,3,1,1,2	1.173864	0.032175	0.495334	0.098194	0.374297	0.351404	0.297192	0.280406	0.070998	0.065141	0.182223	0.459911	0.292725	0.032175	0.495334	0.098194	0.374297	0.032175	0.495334	0.098194	0.374297	0.351404	0.297192	0.280406	0.070998	1,2,3,4,2,5	1.309535	0.301830	0.178595	0.022301	0.074210	0.268041	0.155023	0.161652	0.171161	0.167775	0.231650	0.000983	0.266779	0.046310	0.277566	0.373500	0.159638	0.025388	0.117599	0.038773	0.086744	0.322344	0.043786	0.272922	0.235431	0.161652	0.171161	0.167775	0.231650	0.000983	0.266779	0.075345	0.486885	0.109573	0.029459	0.083428	0.215311	1,2,2,3,4,2	1.085824	3.047934	1.663596	1.663596	3.303764	0.717751	1.663596	
8000	-127644	1,2,2,1,3,2	0.765397	6.113787	5.543213	5.543213	6.113787	5.159440	5.543213	1,2,3,1,4,5	3.450947	0.032207	0.422540	0.090703	0.454550	0.353222	0.249972	0.311675	0.085131	0.214158	0.035670	0.593209	0.156962	0.032207	0.422540	0.090703	0.454550	0.076821	0.417239	0.085557	0.420383	0.490823	0.154271	0.304267	0.050638	1,2,3,4,3,4	2.164736	0.299111	0.093539	0.083758	0.064009	0.240507	0.219076	0.232658	0.160920	0.014776	0.212071	0.170453	0.209122	0.068718	0.215737	0.093737	0.330047	0.004902	0.286859	0.080362	0.346463	0.108571	0.051994	0.198978	0.213632	0.068718	0.215737	0.093737	0.330047	0.004902	0.286859	0.080362	0.346463	0.108571	0.051994	0.198978	0.213632	1,2,2,1,3,2	1.136857	2.876981	2.085661	2.085661	2.876981	0.495498	2.085661	
9000	-126597	1,1,2,1,3,4	1.700284	6.096953	6.096953	4.901407	6.096953	5.358568	5.887150	1,2,2,1,1,3	1.091604	0.037872	0.454485	0.065524	0.442119	0.216017	0.253956	0.345605	0.184422	0.216017	0.253956	0.345605	0.184422	0.037872	0.454485	0.065524	0.442119	0.037872	0.454485	0.065524	0.442119	0.551112	0.045654	0.299517	0.103717	1,2,3,4,2,5	2.188925	0.387476	0.009091	0.056241	0.120042	0.248419	0.178731	0.180893	0.099010	0.074556	0.453656	0.000969	0.190917	0.183919	0.082174	0.039743	0.206864	0.045865	0.441435	0.145365	0.287002	0.043139	0.089579	0.183506	0.251409	0.180893	0.099010	0.074556	0.453656	0.000969	0.190917	0.305654	0.096215	0.026034	0.057593	0.223817	0.290687	1,2,2,1,3,2	2.228053	3.333931	2.170855	2.170855	3.333931	0.431481	2.170855	
