Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-119180	1,2,2,2,2,3	71.288549	5.763052	4.851422	4.851422	4.851422	4.851422	5.899786	1,2,3,4,1,2	70.721742	0.602632	0.063804	0.164869	0.168695	0.107403	0.302556	0.197168	0.392872	0.054115	0.158016	0.644252	0.143617	0.207844	0.143104	0.159156	0.489895	0.602632	0.063804	0.164869	0.168695	0.107403	0.302556	0.197168	0.392872	1,2,1,3,1,1	70.979733	0.071866	0.320671	0.164651	0.113251	0.230306	0.099255	0.080422	0.152936	0.353777	0.081658	0.273079	0.058128	0.071866	0.320671	0.164651	0.113251	0.230306	0.099255	0.009522	0.226540	0.177669	0.041740	0.096689	0.447839	0.071866	0.320671	0.164651	0.113251	0.230306	0.099255	0.071866	0.320671	0.164651	0.113251	0.230306	0.099255	1,2,3,4,5,6	71.246387	0.610126	0.656414	0.437643	2.094257	2.892698	0.705374	
1000	-118924	1,2,1,1,3,4	73.227904	4.901190	5.248370	4.901190	4.901190	5.851703	6.099822	1,2,3,4,5,6	72.630273	0.604288	0.008225	0.268397	0.119090	0.196048	0.312177	0.165467	0.326308	0.205759	0.537483	0.156828	0.099930	0.090835	0.242410	0.090271	0.576484	0.377417	0.103013	0.209336	0.310234	0.054314	0.307570	0.444998	0.193118	1,2,3,4,1,5	70.949921	0.206524	0.180328	0.225937	0.086594	0.193382	0.107235	0.000950	0.019914	0.491612	0.027596	0.316442	0.143486	0.301925	0.178521	0.037339	0.191822	0.236483	0.053909	0.234447	0.035599	0.125572	0.309236	0.013405	0.281740	0.206524	0.180328	0.225937	0.086594	0.193382	0.107235	0.107341	0.430307	0.187157	0.114115	0.127487	0.033592	1,2,1,3,4,5	72.858022	0.533152	0.635135	0.533152	2.913542	2.421950	0.571617	
2000	-117955	1,2,3,4,5,6	70.465959	4.777730	4.755050	5.380230	5.633529	5.358100	6.676004	1,2,3,4,4,3	71.513082	0.309079	0.012797	0.508298	0.169826	0.369415	0.333014	0.026214	0.271357	0.119055	0.320609	0.448171	0.112165	0.466087	0.046450	0.185987	0.301476	0.466087	0.046450	0.185987	0.301476	0.119055	0.320609	0.448171	0.112165	1,2,1,2,3,3	70.770895	0.093241	0.177025	0.195877	0.163639	0.284395	0.085823	0.036521	0.204639	0.110691	0.060090	0.199104	0.388955	0.093241	0.177025	0.195877	0.163639	0.284395	0.085823	0.036521	0.204639	0.110691	0.060090	0.199104	0.388955	0.157621	0.423619	0.213322	0.037555	0.065218	0.102666	0.157621	0.423619	0.213322	0.037555	0.065218	0.102666	1,2,3,4,5,2	69.800915	0.545691	0.554806	0.619119	2.571136	2.371728	0.554806	
3000	-118309	1,1,2,3,1,4	71.711721	4.810351	4.810351	5.556751	5.424057	4.810351	6.586761	1,2,3,4,5,2	69.864404	0.737044	0.104126	0.144789	0.014041	0.232733	0.147779	0.248010	0.371478	0.327702	0.244010	0.371451	0.056837	0.129606	0.055668	0.114296	0.700430	0.438348	0.016549	0.240412	0.304692	0.232733	0.147779	0.248010	0.371478	1,2,3,1,4,4	70.316659	0.019286	0.132466	0.203117	0.108279	0.028843	0.508009	0.056461	0.033970	0.164611	0.057542	0.575181	0.112235	0.033638	0.031497	0.267922	0.280589	0.303660	0.082694	0.019286	0.132466	0.203117	0.108279	0.028843	0.508009	0.024886	0.355072	0.246136	0.219976	0.109629	0.044300	0.024886	0.355072	0.246136	0.219976	0.109629	0.044300	1,1,2,3,3,1	70.746905	0.597012	0.597012	0.724001	1.579593	1.579593	0.597012	
4000	-115720	1,2,3,3,4,5	70.898785	4.228652	5.496259	4.827587	4.827587	5.496399	6.580579	1,2,3,4,5,3	71.876674	0.524127	0.090890	0.308139	0.076843	0.213497	0.321313	0.243184	0.222006	0.121159	0.411761	0.328229	0.138850	0.189144	0.049554	0.043199	0.718102	0.468056	0.052603	0.109983	0.369357	0.121159	0.411761	0.328229	0.138850	1,1,2,3,4,4	72.951973	0.014650	0.241431	0.333674	0.062825	0.221972	0.125448	0.014650	0.241431	0.333674	0.062825	0.221972	0.125448	0.052115	0.035004	0.157117	0.217604	0.295044	0.243116	0.010291	0.086279	0.128211	0.083580	0.120071	0.571568	0.184725	0.270012	0.196865	0.101027	0.066217	0.181154	0.184725	0.270012	0.196865	0.101027	0.066217	0.181154	1,2,3,4,4,2	70.748626	0.556524	0.793649	0.581266	2.558838	2.558838	0.793649	
5000	-114884	1,1,2,3,4,5	71.541032	4.781076	4.781076	5.635755	6.047402	5.547458	5.600538	1,2,3,4,1,5	71.453493	0.445257	0.012941	0.329048	0.212753	0.343256	0.155589	0.212150	0.289005	0.005535	0.538759	0.349668	0.106038	0.094386	0.161444	0.145250	0.598919	0.445257	0.012941	0.329048	0.212753	0.058958	0.243813	0.560144	0.137085	1,2,3,4,1,5	71.467986	0.148760	0.163569	0.224695	0.209307	0.184072	0.069598	0.006442	0.064005	0.319728	0.022760	0.469625	0.117441	0.051723	0.104850	0.138182	0.230725	0.366024	0.108495	0.053219	0.060589	0.401656	0.215834	0.032398	0.236305	0.148760	0.163569	0.224695	0.209307	0.184072	0.069598	0.201529	0.175482	0.386704	0.067545	0.054294	0.114446	1,1,1,2,3,1	72.426133	0.574196	0.574196	0.574196	2.608752	2.296280	0.574196	
6000	-117009	1,2,2,3,4,5	71.110492	5.118105	5.174879	5.174879	5.687287	5.991879	6.074488	1,2,3,4,5,2	72.260846	0.498915	0.036586	0.435902	0.028597	0.124142	0.218313	0.307143	0.350402	0.012045	0.638482	0.147214	0.202260	0.117761	0.081598	0.383919	0.416722	0.458440	0.033951	0.192538	0.315071	0.124142	0.218313	0.307143	0.350402	1,2,3,4,5,5	70.495893	0.249477	0.123410	0.175564	0.271980	0.013470	0.166099	0.044955	0.071818	0.511103	0.071297	0.184994	0.115833	0.045851	0.034001	0.383232	0.339352	0.107996	0.089568	0.053270	0.505639	0.300800	0.021483	0.024455	0.094352	0.128863	0.166976	0.365855	0.174668	0.078751	0.084887	0.128863	0.166976	0.365855	0.174668	0.078751	0.084887	1,2,3,4,4,5	70.408113	0.496040	0.700492	0.739140	2.083577	2.083577	0.491284	
7000	-117494	1,1,1,1,2,3	72.728876	4.447401	4.447401	4.447401	4.447401	5.882546	6.276783	1,2,3,4,1,5	71.879346	0.563470	0.008925	0.317559	0.110046	0.263236	0.407433	0.072482	0.256850	0.065466	0.358620	0.290918	0.284996	0.452737	0.036770	0.104317	0.406176	0.563470	0.008925	0.317559	0.110046	0.103138	0.240326	0.395204	0.261332	1,2,3,4,5,6	70.855678	0.305199	0.158952	0.171010	0.248118	0.048338	0.068382	0.082377	0.248323	0.233136	0.175877	0.199345	0.060942	0.296702	0.063940	0.054154	0.383729	0.146848	0.054627	0.151818	0.092003	0.152510	0.321880	0.068220	0.213569	0.117681	0.219929	0.179294	0.007768	0.396246	0.079081	0.112051	0.364848	0.104114	0.241629	0.049325	0.128033	1,2,2,3,4,1	70.166002	0.586583	0.659283	0.659283	1.924381	2.041568	0.586583	
8000	-119161	1,2,3,4,5,6	70.317405	4.643295	4.805527	5.545948	5.318816	5.725697	6.031925	1,2,3,4,4,5	71.992884	0.228763	0.029719	0.562454	0.179064	0.275760	0.247608	0.202698	0.273934	0.019078	0.406759	0.389547	0.184616	0.222250	0.067233	0.383881	0.326636	0.222250	0.067233	0.383881	0.326636	0.068852	0.156711	0.546475	0.227962	1,2,3,4,1,1	71.577797	0.259947	0.203487	0.207746	0.185653	0.097303	0.045865	0.025953	0.122658	0.117098	0.040799	0.395246	0.298246	0.019760	0.065439	0.148229	0.177864	0.499745	0.088963	0.157020	0.116556	0.502457	0.000002	0.123049	0.100916	0.259947	0.203487	0.207746	0.185653	0.097303	0.045865	0.259947	0.203487	0.207746	0.185653	0.097303	0.045865	1,2,1,3,3,4	72.880521	0.598269	0.525524	0.598269	1.850712	1.850712	0.624952	
9000	-117662	1,2,3,1,4,5	72.085359	4.910516	5.334921	5.463182	4.910516	5.537317	5.722152	1,2,3,4,1,3	70.664466	0.369659	0.055635	0.399332	0.175374	0.378964	0.282338	0.086474	0.252224	0.072425	0.371705	0.203726	0.352145	0.026058	0.178633	0.057493	0.737816	0.369659	0.055635	0.399332	0.175374	0.072425	0.371705	0.203726	0.352145	1,2,3,4,3,1	70.568463	0.111610	0.211042	0.238860	0.220940	0.106421	0.111127	0.051818	0.126685	0.065920	0.123625	0.265990	0.365962	0.019780	0.237607	0.251292	0.226355	0.208171	0.056796	0.056048	0.044356	0.538225	0.059840	0.085796	0.215735	0.019780	0.237607	0.251292	0.226355	0.208171	0.056796	0.111610	0.211042	0.238860	0.220940	0.106421	0.111127	1,1,2,3,4,5	70.383923	0.611455	0.611455	0.785758	2.305129	2.430523	0.645265	
10000	-116039	1,2,3,4,5,6	71.950409	4.869911	5.573583	5.059812	7.089682	5.373941	6.217862	1,2,3,4,5,3	70.566223	0.412464	0.093347	0.479297	0.014892	0.180774	0.182267	0.218034	0.418926	0.100693	0.312088	0.390683	0.196536	0.086299	0.066418	0.129048	0.718236	0.584913	0.138106	0.085944	0.191036	0.100693	0.312088	0.390683	0.196536	1,1,2,3,4,4	71.378252	0.034549	0.097138	0.472069	0.076749	0.238787	0.080707	0.034549	0.097138	0.472069	0.076749	0.238787	0.080707	0.074960	0.039637	0.274654	0.326416	0.186601	0.097733	0.308129	0.068912	0.238065	0.049455	0.040650	0.294789	0.192641	0.262962	0.216212	0.150540	0.096779	0.080866	0.192641	0.262962	0.216212	0.150540	0.096779	0.080866	1,2,3,4,4,1	70.939331	0.650962	0.565339	0.654239	2.033657	2.033657	0.650962	
11000	-116707	1,1,1,2,1,3	69.651657	4.849723	4.849723	4.849723	6.482160	4.849723	5.676607	1,2,3,4,1,3	72.337320	0.611415	0.050501	0.275387	0.062698	0.139656	0.237593	0.148084	0.474667	0.167604	0.303105	0.297574	0.231717	0.211643	0.111679	0.070583	0.606094	0.611415	0.050501	0.275387	0.062698	0.167604	0.303105	0.297574	0.231717	1,1,2,3,1,4	70.728289	0.087355	0.144943	0.367849	0.098012	0.152451	0.149390	0.087355	0.144943	0.367849	0.098012	0.152451	0.149390	0.056646	0.099789	0.118462	0.258805	0.301724	0.164574	0.110682	0.258326	0.156040	0.024346	0.050999	0.399607	0.087355	0.144943	0.367849	0.098012	0.152451	0.149390	0.107290	0.120468	0.305116	0.182321	0.155937	0.128868	1,2,3,4,4,3	69.903846	0.498391	0.706293	0.580785	2.282559	2.282559	0.580785	
