Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-116863	1,2,3,3,4,5	71.392419	5.496216	5.858033	4.015003	4.015003	5.952714	6.491298	1,2,3,1,4,1	71.249623	0.474245	0.235599	0.057678	0.232478	0.239244	0.103679	0.559883	0.097194	0.285077	0.168215	0.255003	0.291704	0.474245	0.235599	0.057678	0.232478	0.376787	0.092814	0.424091	0.106307	0.474245	0.235599	0.057678	0.232478	1,2,3,4,3,2	71.727175	0.086080	0.090254	0.433530	0.314606	0.012717	0.062812	0.171492	0.124218	0.107442	0.162619	0.105662	0.328567	0.073349	0.295370	0.195981	0.231000	0.043559	0.160740	0.142576	0.103374	0.142883	0.203697	0.072746	0.334724	0.073349	0.295370	0.195981	0.231000	0.043559	0.160740	0.171492	0.124218	0.107442	0.162619	0.105662	0.328567	1,2,3,1,3,4	71.467795	0.241172	2.935658	0.924208	0.241172	0.924208	1.016671	
1000	-116556	1,1,2,1,3,4	72.440612	4.556813	4.556813	6.426172	4.556813	6.429694	5.485044	1,2,3,1,2,4	70.456790	0.572898	0.149060	0.090808	0.187234	0.299801	0.098317	0.555175	0.046707	0.365155	0.105852	0.231836	0.297157	0.572898	0.149060	0.090808	0.187234	0.299801	0.098317	0.555175	0.046707	0.153650	0.495224	0.049304	0.301822	1,2,3,4,5,2	70.400403	0.020801	0.163097	0.604029	0.088154	0.109498	0.014421	0.109064	0.095560	0.320656	0.050056	0.098865	0.325799	0.031487	0.109238	0.139636	0.343640	0.083216	0.292784	0.086820	0.169037	0.114871	0.327676	0.197255	0.104341	0.093601	0.585699	0.059308	0.167960	0.048384	0.045047	0.109064	0.095560	0.320656	0.050056	0.098865	0.325799	1,2,3,1,4,4	72.008591	0.244649	3.754141	0.737109	0.244649	0.902260	0.902260	
2000	-119048	1,2,3,3,4,5	71.199830	6.142734	5.236689	5.130251	5.130251	5.822496	5.702441	1,2,2,1,3,4	70.494594	0.380331	0.205478	0.155756	0.258435	0.098193	0.026471	0.435715	0.439622	0.098193	0.026471	0.435715	0.439622	0.380331	0.205478	0.155756	0.258435	0.236964	0.215924	0.245807	0.301305	0.032775	0.531210	0.083754	0.352261	1,2,3,2,3,1	71.463958	0.135821	0.152472	0.390429	0.009752	0.129048	0.182479	0.158400	0.151844	0.083067	0.349840	0.158438	0.098410	0.261083	0.215402	0.117972	0.201367	0.149494	0.054681	0.158400	0.151844	0.083067	0.349840	0.158438	0.098410	0.261083	0.215402	0.117972	0.201367	0.149494	0.054681	0.135821	0.152472	0.390429	0.009752	0.129048	0.182479	1,2,3,1,4,5	72.111722	0.273545	3.017457	0.781657	0.273545	1.230111	0.835474	
3000	-118359	1,2,3,4,5,6	69.966765	5.616388	5.938165	5.815500	5.247673	6.129767	5.911610	1,2,3,4,5,3	73.583526	0.444325	0.221629	0.041391	0.292655	0.093323	0.076827	0.681682	0.148168	0.205907	0.159088	0.118270	0.516736	0.462819	0.491937	0.019305	0.025939	0.293379	0.294219	0.228329	0.184073	0.205907	0.159088	0.118270	0.516736	1,2,3,4,3,5	70.349326	0.048818	0.102448	0.252091	0.298829	0.255767	0.042047	0.005769	0.082208	0.153010	0.172042	0.333741	0.253230	0.349653	0.300444	0.124414	0.091467	0.000660	0.133361	0.026556	0.059590	0.232621	0.241726	0.226964	0.212543	0.349653	0.300444	0.124414	0.091467	0.000660	0.133361	0.105858	0.252096	0.062099	0.164787	0.346034	0.069125	1,2,3,4,5,6	73.297507	0.216612	1.909099	0.976279	0.251939	1.136390	0.965999	
4000	-117076	1,2,3,2,4,3	70.224456	5.559919	4.738768	6.563250	4.738768	6.793377	6.563250	1,2,3,4,2,1	72.375898	0.512385	0.115255	0.060680	0.311680	0.233599	0.243188	0.425952	0.097262	0.095449	0.147945	0.345963	0.410643	0.580877	0.255804	0.117818	0.045501	0.233599	0.243188	0.425952	0.097262	0.512385	0.115255	0.060680	0.311680	1,2,3,1,3,4	71.539700	0.078650	0.045119	0.288085	0.389514	0.094255	0.104377	0.065649	0.239770	0.023177	0.060198	0.036458	0.574748	0.004244	0.534904	0.286697	0.135518	0.012593	0.026045	0.078650	0.045119	0.288085	0.389514	0.094255	0.104377	0.004244	0.534904	0.286697	0.135518	0.012593	0.026045	0.094575	0.016139	0.024035	0.124702	0.662406	0.078143	1,2,3,4,5,6	69.869839	0.250814	2.233874	0.666535	0.216192	1.014524	0.699293	
5000	-117311	1,2,2,2,3,4	69.942322	6.615512	5.017250	5.017250	5.017250	6.568809	5.747644	1,2,3,4,2,4	71.482937	0.424196	0.286913	0.018135	0.270756	0.383851	0.119184	0.374540	0.122425	0.112952	0.125536	0.114608	0.646904	0.446276	0.182247	0.048968	0.322509	0.383851	0.119184	0.374540	0.122425	0.446276	0.182247	0.048968	0.322509	1,2,3,4,4,2	72.745169	0.004881	0.029957	0.283517	0.016252	0.054015	0.611378	0.114764	0.130827	0.061169	0.115974	0.307658	0.269607	0.005473	0.136838	0.136556	0.305680	0.055367	0.360086	0.127000	0.341189	0.139334	0.286542	0.086990	0.018945	0.127000	0.341189	0.139334	0.286542	0.086990	0.018945	0.114764	0.130827	0.061169	0.115974	0.307658	0.269607	1,2,3,1,4,4	71.239906	0.266298	1.367021	0.746662	0.266298	1.082249	1.082249	
6000	-116934	1,2,3,4,5,6	71.228657	5.140924	4.991615	5.941714	5.438151	6.872944	5.715039	1,2,1,3,4,5	71.314110	0.229594	0.095064	0.259634	0.415708	0.045217	0.028733	0.498589	0.427461	0.229594	0.095064	0.259634	0.415708	0.807150	0.083575	0.012869	0.096406	0.321849	0.189434	0.405617	0.083101	0.189196	0.438953	0.103846	0.268005	1,2,2,3,4,5	71.795241	0.070934	0.022991	0.320127	0.195789	0.218221	0.171938	0.186281	0.280709	0.096819	0.260379	0.014751	0.161061	0.186281	0.280709	0.096819	0.260379	0.014751	0.161061	0.019506	0.019209	0.173925	0.058726	0.377221	0.351413	0.145499	0.531969	0.080328	0.182536	0.002269	0.057399	0.085739	0.100717	0.136858	0.059170	0.235806	0.381710	1,2,3,4,5,6	71.345557	0.315848	2.430870	0.822945	0.232289	1.175369	0.980245	
7000	-116008	1,2,2,2,3,4	71.953233	5.501233	4.625673	4.625673	4.625673	6.447378	5.901420	1,2,3,4,2,5	73.202951	0.626230	0.085064	0.050822	0.237884	0.417280	0.086616	0.441691	0.054413	0.454950	0.025570	0.142428	0.377053	0.682291	0.178324	0.088446	0.050939	0.417280	0.086616	0.441691	0.054413	0.321479	0.222312	0.030796	0.425414	1,2,3,1,4,2	72.491464	0.030296	0.163162	0.156842	0.490377	0.123019	0.036305	0.115897	0.072077	0.170098	0.078189	0.129828	0.433912	0.002333	0.193721	0.106713	0.477198	0.043743	0.176291	0.030296	0.163162	0.156842	0.490377	0.123019	0.036305	0.064044	0.240157	0.060402	0.370950	0.205281	0.059165	0.115897	0.072077	0.170098	0.078189	0.129828	0.433912	1,2,3,4,5,6	69.807122	0.245622	2.825065	0.830896	0.175273	0.943410	1.018292	
8000	-115124	1,2,3,3,4,5	70.693804	5.604920	5.341327	5.294164	5.294164	6.367839	5.821998	1,2,3,4,5,6	71.014354	0.406510	0.157722	0.171771	0.263998	0.279339	0.054809	0.431921	0.233931	0.184300	0.153287	0.279779	0.382633	0.453003	0.134700	0.211955	0.200342	0.405144	0.128549	0.430380	0.035928	0.180030	0.398015	0.111030	0.310925	1,2,3,4,5,4	71.425795	0.075057	0.035188	0.470785	0.257859	0.127486	0.033625	0.241941	0.127291	0.106952	0.118191	0.162032	0.243594	0.058082	0.401662	0.145646	0.089042	0.102963	0.202603	0.162312	0.054183	0.213469	0.104847	0.189159	0.276030	0.141051	0.368064	0.103895	0.271572	0.067049	0.048369	0.162312	0.054183	0.213469	0.104847	0.189159	0.276030	1,2,3,4,5,5	70.566694	0.232428	3.369202	0.858849	0.196975	0.952151	0.952151	
9000	-116641	1,2,3,1,3,3	72.594716	5.179936	5.464784	6.651507	5.179936	6.651507	6.651507	1,2,3,1,2,4	71.083900	0.530354	0.220395	0.047157	0.202094	0.352380	0.064022	0.463243	0.120356	0.097869	0.106177	0.310420	0.485534	0.530354	0.220395	0.047157	0.202094	0.352380	0.064022	0.463243	0.120356	0.295338	0.158553	0.121275	0.424835	1,2,3,3,3,2	72.265012	0.064391	0.101294	0.269729	0.328581	0.028493	0.207513	0.053948	0.169025	0.055135	0.284034	0.071902	0.365957	0.040924	0.205896	0.097045	0.493094	0.079573	0.083469	0.040924	0.205896	0.097045	0.493094	0.079573	0.083469	0.040924	0.205896	0.097045	0.493094	0.079573	0.083469	0.053948	0.169025	0.055135	0.284034	0.071902	0.365957	1,2,3,4,5,3	70.605316	0.335741	2.534451	0.907451	0.242116	0.921008	0.907451	
