Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-68530.6	1,2,3,3,4,4	1.502307	5.805837	5.207812	6.287311	6.287311	5.875088	5.875088	1,1,2,1,1,2	1.746182	0.054158	0.307216	0.017507	0.621119	0.054158	0.307216	0.017507	0.621119	0.203553	0.402610	0.321356	0.072481	0.054158	0.307216	0.017507	0.621119	0.054158	0.307216	0.017507	0.621119	0.203553	0.402610	0.321356	0.072481	1,2,2,2,2,2	3.065256	0.098886	0.211023	0.085634	0.246939	0.039913	0.317604	0.181659	0.217726	0.003837	0.398467	0.179605	0.018706	0.181659	0.217726	0.003837	0.398467	0.179605	0.018706	0.181659	0.217726	0.003837	0.398467	0.179605	0.018706	0.181659	0.217726	0.003837	0.398467	0.179605	0.018706	0.181659	0.217726	0.003837	0.398467	0.179605	0.018706	1,1,1,1,1,1	0.575759	0.033594	0.033594	0.033594	0.033594	0.033594	0.033594	
1000	-68597.5	1,2,3,3,4,5	6.060940	5.255071	5.488752	6.599180	6.599180	6.100832	5.802644	1,1,2,1,1,2	1.238519	0.051259	0.311075	0.015220	0.622445	0.051259	0.311075	0.015220	0.622445	0.196454	0.406699	0.324650	0.072197	0.051259	0.311075	0.015220	0.622445	0.051259	0.311075	0.015220	0.622445	0.196454	0.406699	0.324650	0.072197	1,2,2,2,2,2	0.777935	0.213922	0.158603	0.273043	0.183891	0.087793	0.082747	0.190254	0.212829	0.004024	0.395228	0.177901	0.019762	0.190254	0.212829	0.004024	0.395228	0.177901	0.019762	0.190254	0.212829	0.004024	0.395228	0.177901	0.019762	0.190254	0.212829	0.004024	0.395228	0.177901	0.019762	0.190254	0.212829	0.004024	0.395228	0.177901	0.019762	1,1,1,1,1,1	1.381931	0.035061	0.035061	0.035061	0.035061	0.035061	0.035061	
2000	-68542.9	1,1,2,2,3,3	1.531112	5.531837	5.531837	6.264017	6.264017	5.765538	5.765538	1,1,2,1,1,2	0.807538	0.050977	0.309705	0.014823	0.624495	0.050977	0.309705	0.014823	0.624495	0.198827	0.405568	0.319043	0.076563	0.050977	0.309705	0.014823	0.624495	0.050977	0.309705	0.014823	0.624495	0.198827	0.405568	0.319043	0.076563	1,2,2,2,2,2	0.998340	0.042994	0.328184	0.065850	0.394799	0.017302	0.150871	0.193507	0.199947	0.008649	0.408867	0.166279	0.022752	0.193507	0.199947	0.008649	0.408867	0.166279	0.022752	0.193507	0.199947	0.008649	0.408867	0.166279	0.022752	0.193507	0.199947	0.008649	0.408867	0.166279	0.022752	0.193507	0.199947	0.008649	0.408867	0.166279	0.022752	1,1,1,1,1,1	0.581943	0.032738	0.032738	0.032738	0.032738	0.032738	0.032738	
3000	-68564.3	1,1,2,2,3,3	3.119417	5.237970	5.237970	6.222155	6.222155	5.953384	5.953384	1,1,2,1,1,2	1.794146	0.051007	0.311831	0.015411	0.621751	0.051007	0.311831	0.015411	0.621751	0.196890	0.403830	0.320196	0.079084	0.051007	0.311831	0.015411	0.621751	0.051007	0.311831	0.015411	0.621751	0.196890	0.403830	0.320196	0.079084	1,2,2,2,2,2	1.721131	0.123617	0.095078	0.346681	0.197596	0.135701	0.101328	0.189684	0.210719	0.005342	0.401363	0.163280	0.029612	0.189684	0.210719	0.005342	0.401363	0.163280	0.029612	0.189684	0.210719	0.005342	0.401363	0.163280	0.029612	0.189684	0.210719	0.005342	0.401363	0.163280	0.029612	0.189684	0.210719	0.005342	0.401363	0.163280	0.029612	1,1,1,1,1,1	0.447240	0.034899	0.034899	0.034899	0.034899	0.034899	0.034899	
4000	-68616.6	1,2,3,3,4,4	2.892447	4.933258	5.488550	6.431964	6.431964	6.056072	6.056072	1,1,2,1,1,2	0.840855	0.049311	0.308358	0.016955	0.625377	0.049311	0.308358	0.016955	0.625377	0.196532	0.404827	0.330244	0.068397	0.049311	0.308358	0.016955	0.625377	0.049311	0.308358	0.016955	0.625377	0.196532	0.404827	0.330244	0.068397	1,2,2,2,2,2	2.311623	0.051715	0.073905	0.087906	0.509745	0.091236	0.185492	0.195761	0.201259	0.005109	0.399050	0.179840	0.018981	0.195761	0.201259	0.005109	0.399050	0.179840	0.018981	0.195761	0.201259	0.005109	0.399050	0.179840	0.018981	0.195761	0.201259	0.005109	0.399050	0.179840	0.018981	0.195761	0.201259	0.005109	0.399050	0.179840	0.018981	1,1,1,1,1,1	0.312053	0.035206	0.035206	0.035206	0.035206	0.035206	0.035206	
5000	-68622.6	1,2,1,1,3,4	5.915219	6.286950	5.182557	6.286950	6.286950	6.068223	5.900765	1,1,2,1,1,2	2.366749	0.053372	0.306251	0.016072	0.624304	0.053372	0.306251	0.016072	0.624304	0.196014	0.410177	0.319122	0.074687	0.053372	0.306251	0.016072	0.624304	0.053372	0.306251	0.016072	0.624304	0.196014	0.410177	0.319122	0.074687	1,2,2,2,2,2	0.388762	0.150100	0.430261	0.229913	0.023708	0.067134	0.098885	0.176865	0.220662	0.005546	0.405159	0.167465	0.024304	0.176865	0.220662	0.005546	0.405159	0.167465	0.024304	0.176865	0.220662	0.005546	0.405159	0.167465	0.024304	0.176865	0.220662	0.005546	0.405159	0.167465	0.024304	0.176865	0.220662	0.005546	0.405159	0.167465	0.024304	1,1,1,1,1,1	0.873371	0.032297	0.032297	0.032297	0.032297	0.032297	0.032297	
6000	-68608.4	1,1,2,3,4,5	3.022076	5.392836	5.392836	6.413351	6.162637	6.145116	5.756547	1,1,2,1,1,2	1.604515	0.047126	0.303888	0.014485	0.634501	0.047126	0.303888	0.014485	0.634501	0.205262	0.404745	0.317842	0.072151	0.047126	0.303888	0.014485	0.634501	0.047126	0.303888	0.014485	0.634501	0.205262	0.404745	0.317842	0.072151	1,2,2,2,2,2	1.214696	0.112153	0.264707	0.072627	0.381209	0.057247	0.112055	0.192233	0.214030	0.003367	0.399085	0.166125	0.025159	0.192233	0.214030	0.003367	0.399085	0.166125	0.025159	0.192233	0.214030	0.003367	0.399085	0.166125	0.025159	0.192233	0.214030	0.003367	0.399085	0.166125	0.025159	0.192233	0.214030	0.003367	0.399085	0.166125	0.025159	1,1,1,1,1,1	0.457487	0.032321	0.032321	0.032321	0.032321	0.032321	0.032321	
7000	-68524.2	1,2,3,1,1,1	0.374717	6.047142	5.293572	6.496962	6.047142	6.047142	6.047142	1,1,2,1,1,2	0.726585	0.058682	0.309593	0.015985	0.615741	0.058682	0.309593	0.015985	0.615741	0.201810	0.402629	0.323587	0.071973	0.058682	0.309593	0.015985	0.615741	0.058682	0.309593	0.015985	0.615741	0.201810	0.402629	0.323587	0.071973	1,2,2,2,2,2	1.542074	0.071326	0.009406	0.088756	0.249871	0.046783	0.533857	0.173719	0.214999	0.007198	0.401533	0.179676	0.022875	0.173719	0.214999	0.007198	0.401533	0.179676	0.022875	0.173719	0.214999	0.007198	0.401533	0.179676	0.022875	0.173719	0.214999	0.007198	0.401533	0.179676	0.022875	0.173719	0.214999	0.007198	0.401533	0.179676	0.022875	1,1,1,1,1,1	0.468921	0.037360	0.037360	0.037360	0.037360	0.037360	0.037360	
8000	-68495	1,1,2,2,3,3	1.418449	5.296870	5.296870	6.235857	6.235857	5.758670	5.758670	1,1,2,1,1,2	2.383579	0.049040	0.309226	0.016204	0.625530	0.049040	0.309226	0.016204	0.625530	0.190300	0.400819	0.329781	0.079100	0.049040	0.309226	0.016204	0.625530	0.049040	0.309226	0.016204	0.625530	0.190300	0.400819	0.329781	0.079100	1,2,2,2,2,2	2.413033	0.126170	0.031426	0.230429	0.075646	0.084815	0.451514	0.195864	0.218260	0.003726	0.393104	0.172118	0.016929	0.195864	0.218260	0.003726	0.393104	0.172118	0.016929	0.195864	0.218260	0.003726	0.393104	0.172118	0.016929	0.195864	0.218260	0.003726	0.393104	0.172118	0.016929	0.195864	0.218260	0.003726	0.393104	0.172118	0.016929	1,1,1,1,1,1	0.305897	0.037799	0.037799	0.037799	0.037799	0.037799	0.037799	
9000	-68481.4	1,2,3,4,5,6	2.157652	5.569144	5.475608	6.307534	6.002477	5.903082	5.842607	1,1,2,1,1,2	0.672144	0.056030	0.309510	0.015850	0.618611	0.056030	0.309510	0.015850	0.618611	0.196634	0.404203	0.320955	0.078208	0.056030	0.309510	0.015850	0.618611	0.056030	0.309510	0.015850	0.618611	0.196634	0.404203	0.320955	0.078208	1,2,2,2,2,2	0.335232	0.025542	0.161251	0.163706	0.080814	0.080740	0.487948	0.192929	0.216720	0.002371	0.395947	0.167304	0.024729	0.192929	0.216720	0.002371	0.395947	0.167304	0.024729	0.192929	0.216720	0.002371	0.395947	0.167304	0.024729	0.192929	0.216720	0.002371	0.395947	0.167304	0.024729	0.192929	0.216720	0.002371	0.395947	0.167304	0.024729	1,1,1,1,1,1	1.744246	0.031671	0.031671	0.031671	0.031671	0.031671	0.031671	
