Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-112813	1,2,3,2,1,4	71.354689	5.362148	4.575924	5.503362	4.575924	5.362148	6.087599	1,2,3,4,5,6	71.354689	0.367163	0.085128	0.326692	0.221018	0.503301	0.244544	0.141645	0.110509	0.303528	0.373554	0.079123	0.243795	0.173255	0.342229	0.031422	0.453094	0.567666	0.127506	0.096978	0.207850	0.267503	0.057551	0.441585	0.233361	1,2,3,4,5,6	71.354689	0.074777	0.423827	0.082286	0.308962	0.097183	0.012965	0.014859	0.295394	0.113852	0.172159	0.400176	0.003559	0.526440	0.044095	0.064845	0.051057	0.208520	0.105043	0.110332	0.069340	0.075122	0.125732	0.331003	0.288472	0.218705	0.120716	0.060417	0.138199	0.195327	0.266635	0.111148	0.024101	0.129269	0.225069	0.172093	0.338320	1,2,3,4,2,5	71.354689	1.054026	0.420006	1.012416	0.580691	0.420006	1.748355	
1000	-114781	1,2,3,4,5,6	71.354689	5.927090	4.915622	5.550071	4.885361	5.317397	4.730458	1,2,3,4,5,6	71.354689	0.460235	0.157587	0.289120	0.093058	0.464540	0.227570	0.207449	0.100441	0.378046	0.410410	0.014419	0.197126	0.375832	0.336719	0.087528	0.199921	0.303185	0.319106	0.087685	0.290023	0.188517	0.044634	0.705277	0.061572	1,1,2,3,1,4	71.354689	0.038887	0.478986	0.146468	0.101327	0.062667	0.171664	0.038887	0.478986	0.146468	0.101327	0.062667	0.171664	0.258488	0.184061	0.092789	0.224919	0.150367	0.089377	0.039616	0.449226	0.011227	0.091008	0.318404	0.090519	0.038887	0.478986	0.146468	0.101327	0.062667	0.171664	0.160858	0.018673	0.429734	0.104407	0.112673	0.173656	1,2,3,4,2,1	71.354689	1.141306	0.538890	1.001485	0.572138	0.538890	1.141306	
2000	-114920	1,2,3,4,5,4	71.354689	6.379407	5.128008	5.651150	4.179975	4.884539	4.179975	1,2,3,4,5,6	71.354689	0.636545	0.035373	0.269777	0.058305	0.523914	0.165713	0.175529	0.134844	0.344888	0.510361	0.059516	0.085235	0.011472	0.228491	0.267226	0.492811	0.598240	0.048014	0.153710	0.200036	0.071473	0.085463	0.160565	0.682499	1,2,3,2,4,5	71.354689	0.034758	0.288019	0.047890	0.209195	0.361722	0.058415	0.128935	0.507479	0.137368	0.006985	0.207139	0.012094	0.363166	0.018361	0.025115	0.067523	0.234460	0.291375	0.128935	0.507479	0.137368	0.006985	0.207139	0.012094	0.047942	0.304216	0.118346	0.157087	0.124232	0.248178	0.216855	0.028553	0.070348	0.458932	0.094831	0.130482	1,2,1,3,3,4	71.354689	1.130098	0.401657	1.130098	0.490450	0.490450	1.399162	
3000	-112353	1,2,3,2,4,4	71.354689	6.209454	5.276242	5.424171	5.276242	5.867023	5.867023	1,1,2,3,4,5	71.354689	0.476796	0.110008	0.371829	0.041368	0.476796	0.110008	0.371829	0.041368	0.213671	0.419699	0.111663	0.254967	0.353513	0.227469	0.056450	0.362569	0.245889	0.304695	0.103209	0.346207	0.352066	0.069828	0.287806	0.290301	1,1,2,3,4,2	71.354689	0.014210	0.339849	0.144782	0.092821	0.133180	0.275158	0.014210	0.339849	0.144782	0.092821	0.133180	0.275158	0.378049	0.012512	0.123604	0.121197	0.204777	0.159861	0.169195	0.025217	0.025836	0.131188	0.512507	0.136058	0.075229	0.584095	0.113813	0.068325	0.063946	0.094592	0.378049	0.012512	0.123604	0.121197	0.204777	0.159861	1,2,1,2,2,3	71.354689	1.034946	0.493381	1.034946	0.493381	0.493381	1.769870	
4000	-112679	1,2,3,4,5,4	71.354689	5.865527	7.376082	5.456966	4.882874	5.287923	4.882874	1,1,2,3,4,5	71.354689	0.619350	0.104318	0.264677	0.011655	0.619350	0.104318	0.264677	0.011655	0.365791	0.353914	0.075885	0.204410	0.105768	0.199307	0.109529	0.585396	0.496555	0.077585	0.123448	0.302412	0.146657	0.026011	0.766797	0.060535	1,1,2,3,3,2	71.354689	0.004014	0.295540	0.224707	0.052993	0.173356	0.249391	0.004014	0.295540	0.224707	0.052993	0.173356	0.249391	0.369892	0.013901	0.097321	0.015457	0.303167	0.200262	0.243064	0.129987	0.081225	0.050123	0.310513	0.185088	0.243064	0.129987	0.081225	0.050123	0.310513	0.185088	0.369892	0.013901	0.097321	0.015457	0.303167	0.200262	1,2,1,3,4,1	71.354689	1.164146	0.444577	1.164146	0.720600	0.480811	1.164146	
5000	-110956	1,2,3,3,4,5	71.354689	6.019091	6.190886	5.082836	5.082836	5.716030	4.924214	1,2,3,4,5,6	71.354689	0.500097	0.150162	0.327745	0.021996	0.742069	0.052362	0.179584	0.025985	0.484269	0.297467	0.086616	0.131648	0.007020	0.115822	0.240546	0.636612	0.505823	0.104368	0.144967	0.244842	0.312023	0.061935	0.507053	0.118989	1,1,2,3,4,2	71.354689	0.004007	0.204866	0.172992	0.022757	0.391168	0.204211	0.004007	0.204866	0.172992	0.022757	0.391168	0.204211	0.273071	0.014381	0.054245	0.085248	0.297536	0.275519	0.601432	0.083375	0.132401	0.006467	0.156978	0.019347	0.162956	0.310547	0.093922	0.234348	0.048655	0.149571	0.273071	0.014381	0.054245	0.085248	0.297536	0.275519	1,2,1,3,2,4	71.354689	1.088785	0.380881	1.088785	0.549599	0.380881	1.887948	
6000	-113102	1,2,3,4,5,6	71.354689	5.523530	6.420588	5.444747	5.233716	6.412195	5.279446	1,1,2,3,4,4	71.354689	0.541509	0.182010	0.254300	0.022181	0.541509	0.182010	0.254300	0.022181	0.279957	0.371515	0.118974	0.229554	0.183225	0.121002	0.222490	0.473283	0.482444	0.055321	0.212805	0.249431	0.482444	0.055321	0.212805	0.249431	1,1,2,3,4,2	71.354689	0.003374	0.335745	0.224086	0.047455	0.147975	0.241365	0.003374	0.335745	0.224086	0.047455	0.147975	0.241365	0.372104	0.011577	0.020401	0.188363	0.144288	0.263266	0.195781	0.138349	0.020126	0.400928	0.200926	0.043891	0.228707	0.281202	0.103457	0.110050	0.133521	0.143063	0.372104	0.011577	0.020401	0.188363	0.144288	0.263266	1,2,3,4,2,5	71.354689	1.190676	0.459038	0.915879	0.722661	0.459038	2.150723	
7000	-112393	1,2,3,3,4,5	71.354689	5.785751	6.532443	4.003854	4.003854	6.488506	5.281632	1,1,2,2,3,4	71.354689	0.524235	0.124215	0.324421	0.027129	0.524235	0.124215	0.324421	0.027129	0.116227	0.429009	0.030203	0.424560	0.116227	0.429009	0.030203	0.424560	0.274362	0.106145	0.211630	0.407864	0.352414	0.020316	0.347423	0.279847	1,1,2,3,4,2	71.354689	0.005256	0.344613	0.254847	0.050988	0.130150	0.214146	0.005256	0.344613	0.254847	0.050988	0.130150	0.214146	0.509528	0.000155	0.054813	0.180983	0.109205	0.145317	0.059355	0.464287	0.049310	0.070948	0.117535	0.238565	0.215512	0.143239	0.120219	0.158316	0.101461	0.261253	0.509528	0.000155	0.054813	0.180983	0.109205	0.145317	1,2,1,3,3,4	71.354689	1.055059	0.387705	1.055059	0.448167	0.448167	1.257987	
8000	-112150	1,2,3,2,4,5	71.354689	5.922888	4.739279	5.117986	4.739279	6.237458	5.760881	1,2,3,4,4,5	71.354689	0.487972	0.110224	0.327216	0.074588	0.655873	0.206479	0.109082	0.028566	0.258559	0.355760	0.051442	0.334239	0.342805	0.120798	0.116400	0.419997	0.342805	0.120798	0.116400	0.419997	0.321893	0.076381	0.327955	0.273772	1,1,2,3,1,2	71.354689	0.012562	0.387522	0.075644	0.125365	0.107671	0.291236	0.012562	0.387522	0.075644	0.125365	0.107671	0.291236	0.368018	0.038344	0.088287	0.199655	0.116069	0.189626	0.024123	0.029259	0.048946	0.094226	0.683807	0.119639	0.012562	0.387522	0.075644	0.125365	0.107671	0.291236	0.368018	0.038344	0.088287	0.199655	0.116069	0.189626	1,2,1,3,4,5	71.354689	1.149626	0.393204	1.149626	0.564732	0.510742	1.233930	
9000	-112219	1,2,3,4,2,5	71.354689	5.140457	5.255046	5.604241	5.206506	5.255046	5.977599	1,1,2,3,4,5	71.354689	0.462308	0.233589	0.256029	0.048074	0.462308	0.233589	0.256029	0.048074	0.374935	0.429883	0.126185	0.068998	0.207453	0.135117	0.249505	0.407924	0.588350	0.068532	0.168526	0.174592	0.183130	0.028867	0.488220	0.299782	1,1,2,3,4,2	71.354689	0.042413	0.563683	0.139659	0.045028	0.152770	0.056447	0.042413	0.563683	0.139659	0.045028	0.152770	0.056447	0.343103	0.026039	0.071707	0.107884	0.285965	0.165302	0.056242	0.084481	0.106281	0.124194	0.579443	0.049358	0.077656	0.205480	0.104226	0.175543	0.302742	0.134353	0.343103	0.026039	0.071707	0.107884	0.285965	0.165302	1,2,3,2,2,4	71.354689	1.224235	0.467441	0.911092	0.467441	0.467441	2.538372	
