Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-139640	1,1,1,1,2,1	0.092720	7.376248	7.376248	7.376248	7.376248	6.105542	7.376248	1,1,1,1,2,1	0.092720	0.059141	0.103328	0.458829	0.378702	0.059141	0.103328	0.458829	0.378702	0.059141	0.103328	0.458829	0.378702	0.059141	0.103328	0.458829	0.378702	0.216329	0.316760	0.186637	0.280274	0.059141	0.103328	0.458829	0.378702	1,2,1,2,3,2	0.092720	0.105973	0.031371	0.100816	0.055634	0.193747	0.512460	0.278879	0.311511	0.008153	0.087781	0.186156	0.127521	0.105973	0.031371	0.100816	0.055634	0.193747	0.512460	0.278879	0.311511	0.008153	0.087781	0.186156	0.127521	0.217253	0.150390	0.070270	0.003913	0.490535	0.067639	0.278879	0.311511	0.008153	0.087781	0.186156	0.127521	1,1,1,1,2,1	0.092720	3.241301	3.241301	3.241301	3.241301	1.987383	3.241301	
1000	-139633	1,1,1,1,1,1	0.092720	7.287744	7.287744	7.287744	7.287744	7.287744	7.287744	1,1,1,1,2,1	0.092720	0.060359	0.101382	0.465442	0.372817	0.060359	0.101382	0.465442	0.372817	0.060359	0.101382	0.465442	0.372817	0.060359	0.101382	0.465442	0.372817	0.095613	0.451525	0.210583	0.242279	0.060359	0.101382	0.465442	0.372817	1,2,1,2,2,2	0.092720	0.126917	0.028488	0.104058	0.053436	0.178727	0.508374	0.205529	0.320124	0.007666	0.093700	0.223818	0.149163	0.126917	0.028488	0.104058	0.053436	0.178727	0.508374	0.205529	0.320124	0.007666	0.093700	0.223818	0.149163	0.205529	0.320124	0.007666	0.093700	0.223818	0.149163	0.205529	0.320124	0.007666	0.093700	0.223818	0.149163	1,1,1,1,1,1	0.092720	3.238353	3.238353	3.238353	3.238353	3.238353	3.238353	
2000	-140574	1,1,1,1,2,1	0.092720	7.177313	7.177313	7.177313	7.177313	6.339277	7.177313	1,1,1,1,2,1	0.092720	0.069180	0.108511	0.453459	0.368850	0.069180	0.108511	0.453459	0.368850	0.069180	0.108511	0.453459	0.368850	0.069180	0.108511	0.453459	0.368850	0.084642	0.374228	0.318867	0.222263	0.069180	0.108511	0.453459	0.368850	1,2,1,2,2,2	0.092720	0.118718	0.035416	0.095031	0.047702	0.176212	0.526921	0.200279	0.315537	0.003193	0.094948	0.231207	0.154837	0.118718	0.035416	0.095031	0.047702	0.176212	0.526921	0.200279	0.315537	0.003193	0.094948	0.231207	0.154837	0.200279	0.315537	0.003193	0.094948	0.231207	0.154837	0.200279	0.315537	0.003193	0.094948	0.231207	0.154837	1,1,1,1,1,1	0.092720	3.390517	3.390517	3.390517	3.390517	3.390517	3.390517	
3000	-139300	1,1,1,1,2,1	0.092720	7.479431	7.479431	7.479431	7.479431	5.904069	7.479431	1,1,1,1,2,1	0.092720	0.065432	0.112819	0.455764	0.365984	0.065432	0.112819	0.455764	0.365984	0.065432	0.112819	0.455764	0.365984	0.065432	0.112819	0.455764	0.365984	0.348305	0.417456	0.033682	0.200558	0.065432	0.112819	0.455764	0.365984	1,2,1,2,3,2	0.092720	0.085851	0.025412	0.109745	0.049135	0.181453	0.548404	0.214829	0.323236	0.012497	0.098140	0.203509	0.147789	0.085851	0.025412	0.109745	0.049135	0.181453	0.548404	0.214829	0.323236	0.012497	0.098140	0.203509	0.147789	0.089231	0.107285	0.044832	0.062780	0.404286	0.291587	0.214829	0.323236	0.012497	0.098140	0.203509	0.147789	1,2,2,2,1,2	0.092720	2.569065	3.666463	3.666463	3.666463	2.569065	3.666463	
4000	-138865	1,1,1,1,1,1	0.092720	7.417347	7.417347	7.417347	7.417347	7.417347	7.417347	1,1,1,1,2,1	0.092720	0.061438	0.102862	0.460991	0.374709	0.061438	0.102862	0.460991	0.374709	0.061438	0.102862	0.460991	0.374709	0.061438	0.102862	0.460991	0.374709	0.097982	0.447594	0.087407	0.367016	0.061438	0.102862	0.460991	0.374709	1,2,1,2,3,2	0.092720	0.110857	0.028193	0.117025	0.047957	0.183633	0.512335	0.270764	0.314375	0.003390	0.079068	0.196619	0.135784	0.110857	0.028193	0.117025	0.047957	0.183633	0.512335	0.270764	0.314375	0.003390	0.079068	0.196619	0.135784	0.290415	0.185279	0.029710	0.144194	0.286935	0.063468	0.270764	0.314375	0.003390	0.079068	0.196619	0.135784	1,1,1,1,1,1	0.092720	3.128680	3.128680	3.128680	3.128680	3.128680	3.128680	
5000	-139843	1,1,1,2,1,1	0.092720	7.406957	7.406957	7.406957	7.035161	7.406957	7.406957	1,1,1,1,2,1	0.092720	0.063368	0.110550	0.462237	0.363845	0.063368	0.110550	0.462237	0.363845	0.063368	0.110550	0.462237	0.363845	0.063368	0.110550	0.462237	0.363845	0.076746	0.304086	0.168857	0.450311	0.063368	0.110550	0.462237	0.363845	1,2,1,2,2,2	0.092720	0.110839	0.026990	0.107319	0.054041	0.187098	0.513712	0.240451	0.311896	0.003434	0.084376	0.212166	0.147677	0.110839	0.026990	0.107319	0.054041	0.187098	0.513712	0.240451	0.311896	0.003434	0.084376	0.212166	0.147677	0.240451	0.311896	0.003434	0.084376	0.212166	0.147677	0.240451	0.311896	0.003434	0.084376	0.212166	0.147677	1,1,1,1,1,1	0.092720	3.098967	3.098967	3.098967	3.098967	3.098967	3.098967	
6000	-140036	1,1,1,1,2,1	0.092720	7.412817	7.412817	7.412817	7.412817	6.389610	7.412817	1,1,1,1,2,1	0.092720	0.060970	0.109593	0.462909	0.366527	0.060970	0.109593	0.462909	0.366527	0.060970	0.109593	0.462909	0.366527	0.060970	0.109593	0.462909	0.366527	0.301669	0.493816	0.091521	0.112995	0.060970	0.109593	0.462909	0.366527	1,2,1,2,3,2	0.092720	0.106327	0.032247	0.112696	0.040962	0.188075	0.519693	0.276762	0.302174	0.007496	0.081780	0.188258	0.143529	0.106327	0.032247	0.112696	0.040962	0.188075	0.519693	0.276762	0.302174	0.007496	0.081780	0.188258	0.143529	0.196421	0.138946	0.073629	0.170421	0.407158	0.013425	0.276762	0.302174	0.007496	0.081780	0.188258	0.143529	1,1,1,1,1,1	0.092720	3.047732	3.047732	3.047732	3.047732	3.047732	3.047732	
7000	-139684	1,1,1,1,2,1	0.092720	7.327273	7.327273	7.327273	7.327273	5.272128	7.327273	1,1,1,1,2,1	0.092720	0.060882	0.100175	0.464937	0.374006	0.060882	0.100175	0.464937	0.374006	0.060882	0.100175	0.464937	0.374006	0.060882	0.100175	0.464937	0.374006	0.205666	0.307790	0.095547	0.390998	0.060882	0.100175	0.464937	0.374006	1,2,1,2,2,2	0.092720	0.110992	0.026454	0.111386	0.047917	0.190497	0.512755	0.206209	0.305498	0.000525	0.098123	0.261171	0.128474	0.110992	0.026454	0.111386	0.047917	0.190497	0.512755	0.206209	0.305498	0.000525	0.098123	0.261171	0.128474	0.206209	0.305498	0.000525	0.098123	0.261171	0.128474	0.206209	0.305498	0.000525	0.098123	0.261171	0.128474	1,1,1,1,2,1	0.092720	3.283139	3.283139	3.283139	3.283139	0.954274	3.283139	
8000	-139588	1,1,1,1,2,1	0.092720	7.228144	7.228144	7.228144	7.228144	6.589305	7.228144	1,1,1,1,2,1	0.092720	0.069899	0.105551	0.461565	0.362985	0.069899	0.105551	0.461565	0.362985	0.069899	0.105551	0.461565	0.362985	0.069899	0.105551	0.461565	0.362985	0.100224	0.333460	0.160628	0.405689	0.069899	0.105551	0.461565	0.362985	1,2,1,2,2,2	0.092720	0.129064	0.028081	0.102530	0.052301	0.167356	0.520668	0.224534	0.291028	0.000158	0.096854	0.231166	0.156259	0.129064	0.028081	0.102530	0.052301	0.167356	0.520668	0.224534	0.291028	0.000158	0.096854	0.231166	0.156259	0.224534	0.291028	0.000158	0.096854	0.231166	0.156259	0.224534	0.291028	0.000158	0.096854	0.231166	0.156259	1,1,1,1,1,1	0.092720	3.176828	3.176828	3.176828	3.176828	3.176828	3.176828	
9000	-139472	1,1,1,1,2,1	0.092720	7.383614	7.383614	7.383614	7.383614	6.586894	7.383614	1,1,1,1,2,1	0.092720	0.070294	0.101233	0.460458	0.368015	0.070294	0.101233	0.460458	0.368015	0.070294	0.101233	0.460458	0.368015	0.070294	0.101233	0.460458	0.368015	0.255777	0.464894	0.048080	0.231249	0.070294	0.101233	0.460458	0.368015	1,2,1,2,3,2	0.092720	0.122282	0.028671	0.098587	0.047776	0.180374	0.522309	0.290259	0.266882	0.000108	0.087041	0.238352	0.117358	0.122282	0.028671	0.098587	0.047776	0.180374	0.522309	0.290259	0.266882	0.000108	0.087041	0.238352	0.117358	0.232764	0.313908	0.044213	0.062204	0.325287	0.021624	0.290259	0.266882	0.000108	0.087041	0.238352	0.117358	1,1,1,1,1,1	0.092720	3.226203	3.226203	3.226203	3.226203	3.226203	3.226203	
