Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	1.695768	4	9.397159	20.095517	20.095517	10.721404	12.711077	20.095517	
2000	1.695768	4	10.269993	19.487983	19.487983	9.427399	11.222036	19.487983	
3000	1.695768	2	8.506105	18.501475	18.501475	8.506105	18.501475	18.501475	
4000	1.695768	4	10.838020	20.179931	20.179931	9.220753	11.486707	20.179931	
5000	1.695768	3	9.940410	19.354816	19.354816	8.677488	19.354816	19.354816	
6000	1.695768	3	10.561238	19.653472	19.653472	7.692222	19.653472	19.653472	
7000	1.695768	3	10.985040	20.179773	20.179773	9.395161	20.179773	20.179773	
8000	1.695768	3	9.536809	18.828279	18.828279	8.590684	18.828279	18.828279	
9000	1.695768	3	10.149515	18.528571	18.528571	8.763083	18.528571	18.528571	
10000	1.695768	3	8.708222	18.416089	18.416089	8.708222	9.979820	18.416089	
11000	1.695768	4	8.961230	16.207637	16.207637	8.830535	9.787144	16.207637	
12000	1.695768	3	8.403928	16.875315	16.875315	7.511056	16.875315	16.875315	
13000	1.695768	2	7.519134	16.876214	16.876214	7.519134	16.876214	16.876214	
14000	1.695768	2	8.841184	18.092305	18.092305	8.841184	18.092305	18.092305	
15000	1.695768	2	7.802032	17.474534	17.474534	7.802032	17.474534	17.474534	
16000	1.695768	4	8.523551	12.567573	17.402095	7.925087	17.402095	17.402095	
17000	1.695768	2	8.678312	17.237611	17.237611	8.678312	17.237611	17.237611	
18000	1.695768	3	8.542200	16.966695	16.966695	7.639310	16.966695	16.966695	
19000	1.695768	2	8.724075	17.003884	17.003884	8.724075	17.003884	17.003884	
20000	1.695768	2	8.045767	16.344538	16.344538	8.045767	16.344538	16.344538	
21000	1.695768	3	9.621855	16.741500	16.741500	8.374928	16.741500	16.741500	
22000	1.695768	3	8.345643	15.055706	15.055706	7.065289	15.055706	15.055706	
23000	1.695768	2	7.761952	15.449195	15.449195	7.761952	15.449195	15.449195	
24000	1.695768	3	8.216765	15.836288	15.836288	7.404688	15.836288	15.836288	
25000	1.695768	2	8.167207	16.142845	16.142845	8.167207	16.142845	16.142845	
26000	1.695768	3	7.957688	15.954755	15.954755	7.505630	15.954755	15.954755	
27000	1.695768	2	8.221967	15.980260	15.980260	8.221967	15.980260	15.980260	
28000	1.695768	3	8.527785	16.241012	16.241012	7.558707	16.241012	16.241012	
29000	1.695768	3	8.090647	15.148829	15.148829	8.112455	15.148829	15.148829	
30000	1.695768	2	7.458288	15.113196	15.113196	7.458288	15.113196	15.113196	
31000	1.695768	2	7.189794	15.677390	15.677390	7.189794	15.677390	15.677390	
32000	1.695768	3	9.281973	15.508555	15.508555	8.401440	15.508555	15.508555	
33000	1.695768	3	9.463460	15.751170	15.751170	8.928128	15.751170	15.751170	
34000	1.695768	3	9.946479	15.984384	15.984384	8.231996	15.984384	15.984384	
35000	1.695768	3	9.531284	16.057490	16.057490	8.861034	16.057490	16.057490	
36000	1.695768	2	7.477221	14.850853	14.850853	7.477221	14.850853	14.850853	
37000	1.695768	2	7.729768	15.322249	15.322249	7.729768	15.322249	15.322249	
38000	1.695768	3	9.313995	15.143045	15.143045	9.250816	15.143045	15.143045	
39000	1.695768	3	8.242954	13.381718	15.515926	8.242954	15.515926	15.515926	
40000	1.695768	3	8.640544	15.190853	15.190853	7.339073	15.190853	15.190853	
41000	1.695768	2	7.846080	15.559053	15.559053	7.846080	15.559053	15.559053	
42000	1.695768	2	8.249231	15.315615	15.315615	8.249231	15.315615	15.315615	
43000	1.695768	2	8.228654	14.811306	14.811306	8.228654	14.811306	14.811306	
44000	1.695768	3	8.500515	11.752387	15.642299	8.500515	15.642299	15.642299	
45000	1.695768	2	6.460742	15.117592	15.117592	6.460742	15.117592	15.117592	
46000	1.695768	2	7.320471	15.335346	15.335346	7.320471	15.335346	15.335346	
47000	1.695768	2	6.883566	15.365232	15.365232	6.883566	15.365232	15.365232	
48000	1.695768	2	6.830546	15.174853	15.174853	6.830546	15.174853	15.174853	
49000	1.695768	3	6.813643	11.926361	15.010564	6.813643	15.010564	15.010564	
50000	1.695768	2	8.346390	14.942868	14.942868	8.346390	14.942868	14.942868	
51000	1.695768	2	6.387887	14.011735	14.011735	6.387887	14.011735	14.011735	
52000	1.695768	2	7.627281	14.680508	14.680508	7.627281	14.680508	14.680508	
53000	1.695768	3	7.289704	12.060087	14.742486	7.289704	14.742486	14.742486	
54000	1.695768	3	6.298092	12.235934	13.884912	6.298092	13.884912	13.884912	
55000	1.695768	3	6.472515	11.046263	14.270024	6.472515	14.270024	14.270024	
56000	1.695768	3	6.857274	10.477586	15.144822	6.857274	15.144822	15.144822	
57000	1.695768	3	6.794261	11.763698	15.032117	6.794261	15.032117	15.032117	
58000	1.695768	3	6.558911	11.425034	14.159479	6.558911	14.159479	14.159479	
59000	1.695768	3	6.970150	11.668053	14.783316	6.970150	14.783316	14.783316	
60000	1.695768	3	8.344853	14.196477	14.196477	8.335588	14.196477	14.196477	
