Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	1.695768	3	8.231744	9.085161	18.893252	8.231744	18.893252	18.893252	
2000	1.695768	3	7.662598	9.888600	18.247302	7.662598	18.247302	18.247302	
3000	1.695768	3	7.141500	9.915570	19.318523	7.141500	19.318523	19.318523	
4000	1.695768	3	6.684583	9.558581	18.681412	6.684583	18.681412	18.681412	
5000	1.695768	3	7.018059	8.554871	17.763742	7.018059	17.763742	17.763742	
6000	1.695768	3	12.139509	8.634911	18.568104	8.634911	18.568104	18.568104	
7000	1.695768	4	11.680804	8.673178	18.110295	7.423358	18.110295	18.110295	
8000	1.695768	4	9.973972	12.177384	18.138991	7.800704	18.138991	18.138991	
9000	1.695768	4	10.882610	9.855630	17.363873	8.118093	17.363873	17.363873	
10000	1.695768	4	10.749406	11.521226	17.877042	9.015845	17.877042	17.877042	
11000	1.695768	3	10.275849	10.275849	17.509285	8.623322	17.509285	17.509285	
12000	1.695768	4	9.957377	9.695913	18.067345	7.879282	18.067345	18.067345	
13000	1.695768	3	10.030309	10.030309	17.938092	7.823969	17.938092	17.938092	
14000	1.695768	3	10.058283	10.058283	17.109702	7.668892	17.109702	17.109702	
15000	1.695768	4	9.726318	10.272718	17.238534	8.114695	17.238534	17.238534	
16000	1.695768	3	10.842182	10.842182	17.496239	7.411785	17.496239	17.496239	
17000	1.695768	3	10.553439	10.553439	17.096988	8.629170	17.096988	17.096988	
18000	1.695768	4	11.868331	10.912488	17.521384	8.828381	17.521384	17.521384	
19000	1.695768	3	10.467478	10.467478	16.771256	9.374740	16.771256	16.771256	
20000	1.695768	3	8.608264	9.607078	17.249065	8.608264	17.249065	17.249065	
21000	1.695768	4	9.079789	10.203100	17.660890	8.906924	17.660890	17.660890	
22000	1.695768	4	9.948146	9.783650	17.954726	8.960828	17.954726	17.954726	
23000	1.695768	4	8.907382	10.171898	17.896571	7.750213	17.896571	17.896571	
24000	1.695768	2	8.715269	8.715269	17.352723	8.715269	17.352723	17.352723	
25000	1.695768	4	10.522835	10.039520	17.688729	8.649268	17.688729	17.688729	
26000	1.695768	4	10.055688	9.804443	17.424291	7.065799	17.424291	17.424291	
27000	1.695768	4	10.248129	11.253649	17.072987	8.894559	17.072987	17.072987	
28000	1.695768	3	9.302393	10.711293	17.241410	9.302393	17.241410	17.241410	
29000	1.695768	4	9.093452	11.497124	17.201016	8.645560	17.201016	17.201016	
30000	1.695768	4	9.608432	10.095451	17.010879	7.767523	17.010879	17.010879	
31000	1.695768	3	9.962726	9.962726	16.970139	7.712235	16.970139	16.970139	
32000	1.695768	3	9.599389	9.599389	17.021452	7.873814	17.021452	17.021452	
33000	1.695768	3	7.599256	9.256844	16.660018	7.599256	16.660018	16.660018	
34000	1.695768	4	9.009023	9.572107	16.434688	7.601922	16.434688	16.434688	
35000	1.695768	3	8.751938	16.261391	16.261391	8.163952	16.261391	16.261391	
36000	1.695768	3	9.847339	10.255320	16.915101	9.847339	16.915101	16.915101	
37000	1.695768	4	9.351844	11.116154	17.542422	8.481538	17.542422	17.542422	
38000	1.695768	4	9.283891	10.072249	16.551290	8.184954	16.551290	16.551290	
39000	1.695768	3	10.210744	10.210744	15.509670	8.970487	15.509670	15.509670	
40000	1.695768	4	8.869502	11.551370	16.914693	8.403144	16.914693	16.914693	
41000	1.695768	4	8.946797	11.958868	15.142622	7.613749	15.142622	15.142622	
42000	1.695768	3	8.344816	11.490151	15.566712	8.344816	15.566712	15.566712	
43000	1.695768	3	6.891944	9.598048	15.991329	6.891944	15.991329	15.991329	
44000	1.695768	3	8.122614	10.500646	15.295809	8.122614	15.295809	15.295809	
45000	1.695768	3	7.405639	11.168231	15.007261	7.405639	15.007261	15.007261	
46000	1.695768	2	8.444293	8.444293	15.487873	8.444293	15.487873	15.487873	
47000	1.695768	3	7.697563	9.802844	15.022856	7.697563	15.022856	15.022856	
48000	1.695768	3	8.368657	9.656454	15.386984	8.368657	15.386984	15.386984	
49000	1.695768	4	8.679726	9.579177	14.966677	8.828779	14.966677	14.966677	
50000	1.695768	3	6.695124	10.677939	15.009017	6.695124	15.009017	15.009017	
51000	1.695768	3	7.150073	10.504810	15.031104	7.150073	15.031104	15.031104	
52000	1.695768	3	7.506774	9.737704	14.801129	7.506774	14.801129	14.801129	
53000	1.695768	3	7.060172	10.525854	14.684314	7.060172	14.684314	14.684314	
54000	1.695768	3	6.815816	10.380142	15.689113	6.815816	15.689113	15.689113	
55000	1.695768	3	7.718560	8.823985	14.864118	7.718560	14.864118	14.864118	
56000	1.695768	3	6.465907	9.412795	14.488199	6.465907	14.488199	14.488199	
57000	1.695768	3	6.452075	9.009194	14.329362	6.452075	14.329362	14.329362	
58000	1.695768	3	7.579361	9.234165	14.596071	7.579361	14.596071	14.596071	
