Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	1.695768	4	11.149957	7.061781	20.221312	7.061781	9.982281	20.221312	
2000	1.695768	3	9.689803	6.640302	19.136919	6.640302	9.689803	19.136919	
3000	1.695768	4	10.366196	6.578775	20.255561	6.578775	8.873931	20.255561	
4000	1.695768	4	10.017845	6.694521	18.644285	6.694521	8.963232	18.644285	
5000	1.695768	3	9.926508	6.710246	18.653328	6.710246	9.926508	18.653328	
6000	1.695768	4	9.716382	6.828578	18.440949	6.828578	9.117766	18.440949	
7000	1.695768	4	10.523317	6.612388	19.247614	6.612388	9.287193	19.247614	
8000	1.695768	4	10.993685	6.807602	18.283186	6.807602	9.385336	18.283186	
9000	1.695768	4	9.226732	6.554396	17.474362	6.554396	9.196200	17.474362	
10000	1.695768	3	9.966595	6.886443	18.312496	6.886443	9.966595	18.312496	
11000	1.695768	4	9.932191	6.756827	18.639446	6.756827	9.081009	18.639446	
12000	1.695768	4	10.234675	6.746997	17.684817	6.746997	8.919945	17.684817	
13000	1.695768	4	10.685333	6.847877	18.155304	6.847877	9.517817	18.155304	
14000	1.695768	4	9.959733	7.125428	17.937628	7.125428	9.267395	17.937628	
15000	1.695768	4	9.971795	6.451232	17.863377	6.451232	9.518650	17.863377	
16000	1.695768	4	10.977535	6.890113	18.067007	6.890113	9.128706	18.067007	
17000	1.695768	4	10.165790	6.995859	18.171554	6.995859	9.076325	18.171554	
18000	1.695768	3	9.620367	6.490136	18.386873	6.490136	9.620367	18.386873	
19000	1.695768	4	10.183056	6.951483	17.702609	6.951483	8.851078	17.702609	
20000	1.695768	3	9.540060	6.591756	17.607232	6.591756	9.540060	17.607232	
21000	1.695768	4	10.530328	6.916030	18.371412	6.916030	8.793479	18.371412	
22000	1.695768	4	10.128903	7.086360	19.181233	7.086360	9.190763	19.181233	
23000	1.695768	4	10.368828	6.930392	18.231992	6.930392	8.721594	18.231992	
24000	1.695768	4	9.746352	6.985909	18.941925	6.985909	8.977406	18.941925	
25000	1.695768	4	10.252431	7.006324	18.646504	7.006324	9.016560	18.646504	
26000	1.695768	4	10.841877	7.110402	18.699610	7.110402	9.394818	18.699610	
27000	1.695768	4	9.760260	7.169829	17.377914	7.169829	8.870259	17.377914	
28000	1.695768	4	9.505772	6.793971	17.898141	6.793971	9.260598	17.898141	
29000	1.695768	3	9.923872	6.842547	17.948479	6.842547	9.923872	17.948479	
30000	1.695768	4	9.891961	6.859335	17.281127	6.859335	9.723918	17.281127	
31000	1.695768	4	10.216723	7.323139	17.375441	7.323139	9.201529	17.375441	
32000	1.695768	4	9.834877	7.120444	17.637903	7.120444	8.677135	17.637903	
33000	1.695768	4	9.970046	6.806509	18.103729	6.806509	8.605793	18.103729	
34000	1.695768	4	10.656742	8.253430	17.674826	8.253430	9.137064	17.674826	
35000	1.695768	4	10.059187	6.734120	16.705716	6.734120	8.966359	16.705716	
36000	1.695768	3	9.165781	6.553197	17.337588	6.553197	9.165781	17.337588	
37000	1.695768	3	9.850737	6.724205	17.554592	6.724205	9.850737	17.554592	
38000	1.695768	4	9.716563	6.817027	18.360095	6.817027	9.601413	18.360095	
39000	1.695768	4	10.144894	6.351191	17.530046	6.351191	9.065566	17.530046	
40000	1.695768	4	10.365708	6.665181	16.973635	6.665181	9.753805	16.973635	
41000	1.695768	4	9.907747	6.396189	18.218924	6.396189	9.007111	18.218924	
42000	1.695768	4	9.546861	6.894570	18.045347	6.894570	8.743836	18.045347	
43000	1.695768	4	9.482762	6.590585	17.400419	6.590585	8.769984	17.400419	
44000	1.695768	4	9.715594	6.629717	17.713273	6.629717	9.101953	17.713273	
45000	1.695768	4	9.140770	6.296341	17.336980	6.296341	8.806224	17.336980	
46000	1.695768	3	8.756090	6.623769	17.476909	6.623769	8.756090	17.476909	
47000	1.695768	4	9.523403	6.324772	16.837567	6.324772	8.832281	16.837567	
48000	1.695768	3	9.346057	6.486223	16.676993	6.486223	9.346057	16.676993	
49000	1.695768	4	9.643334	6.256932	16.817520	6.256932	8.220959	16.817520	
