Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	0.118577	2	0.314339	0.284898	0.180842	0.219921	0.334157	0.165908	0.191447	0.308488	0.334157	0.165908	0.191447	0.308488	0.334157	0.165908	0.191447	0.308488	
2000	0.118577	1	0.302851	0.206026	0.192206	0.298917	0.302851	0.206026	0.192206	0.298917	0.302851	0.206026	0.192206	0.298917	0.302851	0.206026	0.192206	0.298917	
3000	0.118577	2	0.254382	0.277111	0.200105	0.268402	0.331242	0.175914	0.158835	0.334009	0.331242	0.175914	0.158835	0.334009	0.331242	0.175914	0.158835	0.334009	
4000	0.118577	1	0.307002	0.166079	0.160336	0.366583	0.307002	0.166079	0.160336	0.366583	0.307002	0.166079	0.160336	0.366583	0.307002	0.166079	0.160336	0.366583	
5000	0.118577	1	0.274828	0.209148	0.192002	0.324022	0.274828	0.209148	0.192002	0.324022	0.274828	0.209148	0.192002	0.324022	0.274828	0.209148	0.192002	0.324022	
6000	0.118577	2	0.211910	0.235398	0.329499	0.223193	0.306348	0.166658	0.161136	0.365858	0.306348	0.166658	0.161136	0.365858	0.306348	0.166658	0.161136	0.365858	
7000	0.118577	1	0.274239	0.219613	0.199659	0.306489	0.274239	0.219613	0.199659	0.306489	0.274239	0.219613	0.199659	0.306489	0.274239	0.219613	0.199659	0.306489	
8000	0.118577	2	0.278876	0.216145	0.201816	0.303163	0.278876	0.216145	0.201816	0.303163	0.288393	0.186728	0.149601	0.375278	0.288393	0.186728	0.149601	0.375278	
9000	0.118577	1	0.290949	0.220395	0.166961	0.321695	0.290949	0.220395	0.166961	0.321695	0.290949	0.220395	0.166961	0.321695	0.290949	0.220395	0.166961	0.321695	
10000	0.118577	1	0.285754	0.202648	0.183534	0.328064	0.285754	0.202648	0.183534	0.328064	0.285754	0.202648	0.183534	0.328064	0.285754	0.202648	0.183534	0.328064	
11000	0.118577	1	0.292054	0.196947	0.197219	0.313780	0.292054	0.196947	0.197219	0.313780	0.292054	0.196947	0.197219	0.313780	0.292054	0.196947	0.197219	0.313780	
12000	0.118577	1	0.291239	0.197603	0.194037	0.317121	0.291239	0.197603	0.194037	0.317121	0.291239	0.197603	0.194037	0.317121	0.291239	0.197603	0.194037	0.317121	
13000	0.118577	1	0.288054	0.201790	0.184981	0.325175	0.288054	0.201790	0.184981	0.325175	0.288054	0.201790	0.184981	0.325175	0.288054	0.201790	0.184981	0.325175	
