Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	0.118577	1	3.072207	3.072207	3.072207	3.072207	
2000	0.118577	1	0.869056	0.869056	0.869056	0.869056	
3000	0.118577	1	0.873012	0.873012	0.873012	0.873012	
4000	0.118577	1	0.845788	0.845788	0.845788	0.845788	
5000	0.118577	1	0.878091	0.878091	0.878091	0.878091	
6000	0.118577	1	0.838913	0.838913	0.838913	0.838913	
7000	0.118577	1	0.846848	0.846848	0.846848	0.846848	
8000	0.118577	1	0.906244	0.906244	0.906244	0.906244	
9000	0.118577	1	0.813610	0.813610	0.813610	0.813610	
10000	0.118577	1	0.940031	0.940031	0.940031	0.940031	
11000	0.118577	1	0.908471	0.908471	0.908471	0.908471	
12000	0.118577	1	0.879253	0.879253	0.879253	0.879253	
13000	0.118577	1	0.814214	0.814214	0.814214	0.814214	
14000	0.118577	1	0.859410	0.859410	0.859410	0.859410	
15000	0.118577	1	0.855425	0.855425	0.855425	0.855425	
16000	0.118577	1	0.881723	0.881723	0.881723	0.881723	
17000	0.118577	1	0.798297	0.798297	0.798297	0.798297	
18000	0.118577	1	0.854729	0.854729	0.854729	0.854729	
19000	0.118577	1	0.821968	0.821968	0.821968	0.821968	
20000	0.118577	1	0.870958	0.870958	0.870958	0.870958	
21000	0.118577	1	0.876044	0.876044	0.876044	0.876044	
22000	0.118577	1	0.954485	0.954485	0.954485	0.954485	
23000	0.118577	1	0.993387	0.993387	0.993387	0.993387	
24000	0.118577	1	0.923473	0.923473	0.923473	0.923473	
25000	0.118577	1	0.888605	0.888605	0.888605	0.888605	
26000	0.118577	1	0.937232	0.937232	0.937232	0.937232	
27000	0.118577	1	0.877325	0.877325	0.877325	0.877325	
28000	0.118577	1	0.967637	0.967637	0.967637	0.967637	
29000	0.118577	1	0.893677	0.893677	0.893677	0.893677	
30000	0.118577	1	0.820626	0.820626	0.820626	0.820626	
31000	0.118577	1	0.894489	0.894489	0.894489	0.894489	
32000	0.118577	1	0.975160	0.975160	0.975160	0.975160	
33000	0.118577	1	0.862548	0.862548	0.862548	0.862548	
34000	0.118577	1	0.969333	0.969333	0.969333	0.969333	
35000	0.118577	1	0.921475	0.921475	0.921475	0.921475	
36000	0.118577	1	0.850099	0.850099	0.850099	0.850099	
37000	0.118577	1	0.933490	0.933490	0.933490	0.933490	
38000	0.118577	1	0.868882	0.868882	0.868882	0.868882	
39000	0.118577	1	0.911966	0.911966	0.911966	0.911966	
40000	0.118577	1	0.899364	0.899364	0.899364	0.899364	
41000	0.118577	1	0.926637	0.926637	0.926637	0.926637	
42000	0.118577	1	0.972328	0.972328	0.972328	0.972328	
43000	0.118577	1	0.922520	0.922520	0.922520	0.922520	
44000	0.118577	1	0.895199	0.895199	0.895199	0.895199	
45000	0.118577	1	0.938691	0.938691	0.938691	0.938691	
46000	0.118577	1	0.996660	0.996660	0.996660	0.996660	
47000	0.118577	1	0.979288	0.979288	0.979288	0.979288	
48000	0.118577	1	0.921199	0.921199	0.921199	0.921199	
49000	0.118577	1	0.864174	0.864174	0.864174	0.864174	
50000	0.118577	1	0.900687	0.900687	0.900687	0.900687	
51000	0.118577	1	0.825636	0.825636	0.825636	0.825636	
52000	0.118577	1	0.843992	0.843992	0.843992	0.843992	
53000	0.118577	1	0.936787	0.936787	0.936787	0.936787	
54000	0.118577	1	0.901727	0.901727	0.901727	0.901727	
55000	0.118577	1	0.952591	0.952591	0.952591	0.952591	
56000	0.118577	1	0.947310	0.947310	0.947310	0.947310	
57000	0.118577	1	0.936591	0.936591	0.936591	0.936591	
58000	0.118577	1	0.970283	0.970283	0.970283	0.970283	
59000	0.118577	1	0.892800	0.892800	0.892800	0.892800	
60000	0.118577	1	0.928164	0.928164	0.928164	0.928164	
61000	0.118577	1	0.905073	0.905073	0.905073	0.905073	
62000	0.118577	1	0.870584	0.870584	0.870584	0.870584	
63000	0.118577	1	0.932794	0.932794	0.932794	0.932794	
64000	0.118577	1	0.902940	0.902940	0.902940	0.902940	
65000	0.118577	1	0.860580	0.860580	0.860580	0.860580	
66000	0.118577	1	0.944106	0.944106	0.944106	0.944106	
67000	0.118577	1	0.845015	0.845015	0.845015	0.845015	
68000	0.118577	1	0.933945	0.933945	0.933945	0.933945	
69000	0.118577	1	0.869529	0.869529	0.869529	0.869529	
70000	0.118577	1	0.910615	0.910615	0.910615	0.910615	
71000	0.118577	1	0.907772	0.907772	0.907772	0.907772	
72000	0.118577	1	0.869483	0.869483	0.869483	0.869483	
73000	0.118577	1	0.890478	0.890478	0.890478	0.890478	
74000	0.118577	1	0.913970	0.913970	0.913970	0.913970	
75000	0.118577	1	0.945021	0.945021	0.945021	0.945021	
76000	0.118577	1	0.818844	0.818844	0.818844	0.818844	
77000	0.118577	1	0.878119	0.878119	0.878119	0.878119	
78000	0.118577	1	0.945899	0.945899	0.945899	0.945899	
79000	0.118577	1	0.909177	0.909177	0.909177	0.909177	
80000	0.118577	1	0.825204	0.825204	0.825204	0.825204	
81000	0.118577	1	0.893516	0.893516	0.893516	0.893516	
82000	0.118577	1	0.929104	0.929104	0.929104	0.929104	
83000	0.118577	1	0.929626	0.929626	0.929626	0.929626	
84000	0.118577	1	0.926347	0.926347	0.926347	0.926347	
85000	0.118577	1	0.989803	0.989803	0.989803	0.989803	
86000	0.118577	1	0.896776	0.896776	0.896776	0.896776	
87000	0.118577	1	0.957453	0.957453	0.957453	0.957453	
88000	0.118577	1	0.841267	0.841267	0.841267	0.841267	
89000	0.118577	1	0.888512	0.888512	0.888512	0.888512	
90000	0.118577	1	0.874764	0.874764	0.874764	0.874764	
91000	0.118577	1	0.933280	0.933280	0.933280	0.933280	
92000	0.118577	1	0.860638	0.860638	0.860638	0.860638	
93000	0.118577	1	0.857331	0.857331	0.857331	0.857331	
