Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	0.118577	2	0.386733	0.175400	0.175400	0.175400	
2000	0.118577	1	0.386632	0.386632	0.386632	0.386632	
3000	0.118577	1	0.346130	0.346130	0.346130	0.346130	
4000	0.118577	1	0.394227	0.394227	0.394227	0.394227	
5000	0.118577	1	0.367227	0.367227	0.367227	0.367227	
6000	0.118577	2	0.339868	0.339868	0.339868	0.588973	
7000	0.118577	1	0.424632	0.424632	0.424632	0.424632	
8000	0.118577	1	0.377526	0.377526	0.377526	0.377526	
9000	0.118577	1	0.331669	0.331669	0.331669	0.331669	
10000	0.118577	1	0.357535	0.357535	0.357535	0.357535	
11000	0.118577	2	0.367605	0.367605	0.367605	0.463430	
12000	0.118577	1	0.380570	0.380570	0.380570	0.380570	
13000	0.118577	1	0.324280	0.324280	0.324280	0.324280	
14000	0.118577	2	0.350644	0.350644	0.350644	0.420248	
15000	0.118577	1	0.369015	0.369015	0.369015	0.369015	
16000	0.118577	1	0.332347	0.332347	0.332347	0.332347	
17000	0.118577	1	0.378983	0.378983	0.378983	0.378983	
18000	0.118577	1	0.354812	0.354812	0.354812	0.354812	
19000	0.118577	1	0.399442	0.399442	0.399442	0.399442	
20000	0.118577	2	0.363742	0.363742	0.363742	0.722723	
21000	0.118577	1	0.423321	0.423321	0.423321	0.423321	
22000	0.118577	1	0.343792	0.343792	0.343792	0.343792	
23000	0.118577	1	0.328427	0.328427	0.328427	0.328427	
24000	0.118577	1	0.427024	0.427024	0.427024	0.427024	
25000	0.118577	2	0.338895	0.406600	0.338895	0.406600	
26000	0.118577	1	0.334769	0.334769	0.334769	0.334769	
27000	0.118577	1	0.349080	0.349080	0.349080	0.349080	
28000	0.118577	1	0.340246	0.340246	0.340246	0.340246	
29000	0.118577	1	0.354847	0.354847	0.354847	0.354847	
30000	0.118577	1	0.341774	0.341774	0.341774	0.341774	
31000	0.118577	1	0.359798	0.359798	0.359798	0.359798	
32000	0.118577	1	0.325716	0.325716	0.325716	0.325716	
33000	0.118577	1	0.384414	0.384414	0.384414	0.384414	
34000	0.118577	1	0.327709	0.327709	0.327709	0.327709	
35000	0.118577	1	0.319836	0.319836	0.319836	0.319836	
36000	0.118577	2	0.336772	0.336772	0.299777	0.336772	
37000	0.118577	1	0.399049	0.399049	0.399049	0.399049	
38000	0.118577	1	0.353303	0.353303	0.353303	0.353303	
39000	0.118577	1	0.381308	0.381308	0.381308	0.381308	
40000	0.118577	1	0.354883	0.354883	0.354883	0.354883	
41000	0.118577	1	0.360495	0.360495	0.360495	0.360495	
42000	0.118577	2	0.389156	0.400993	0.389156	0.389156	
43000	0.118577	1	0.316986	0.316986	0.316986	0.316986	
44000	0.118577	1	0.378081	0.378081	0.378081	0.378081	
45000	0.118577	1	0.357375	0.357375	0.357375	0.357375	
46000	0.118577	2	0.306417	0.306417	0.306417	0.604313	
47000	0.118577	1	0.347437	0.347437	0.347437	0.347437	
48000	0.118577	2	0.323363	0.323363	0.323363	0.433046	
49000	0.118577	1	0.350786	0.350786	0.350786	0.350786	
50000	0.118577	1	0.310179	0.310179	0.310179	0.310179	
51000	0.118577	2	0.309969	0.309969	0.309969	0.584715	
52000	0.118577	2	0.360729	0.360729	0.360729	0.602759	
53000	0.118577	1	0.344601	0.344601	0.344601	0.344601	
54000	0.118577	1	0.356546	0.356546	0.356546	0.356546	
55000	0.118577	2	0.364351	0.364351	0.364351	0.456249	
56000	0.118577	1	0.351169	0.351169	0.351169	0.351169	
57000	0.118577	1	0.353606	0.353606	0.353606	0.353606	
58000	0.118577	2	0.338518	0.338518	0.338518	0.528442	
59000	0.118577	1	0.366885	0.366885	0.366885	0.366885	
60000	0.118577	1	0.341116	0.341116	0.341116	0.341116	
61000	0.118577	1	0.323154	0.323154	0.323154	0.323154	
62000	0.118577	1	0.336752	0.336752	0.336752	0.336752	
63000	0.118577	2	0.399925	0.286518	0.286518	0.399925	
64000	0.118577	1	0.378241	0.378241	0.378241	0.378241	
65000	0.118577	1	0.309546	0.309546	0.309546	0.309546	
66000	0.118577	1	0.375517	0.375517	0.375517	0.375517	
67000	0.118577	1	0.342077	0.342077	0.342077	0.342077	
68000	0.118577	1	0.386855	0.386855	0.386855	0.386855	
69000	0.118577	2	0.343487	0.343487	0.343487	0.614108	
70000	0.118577	1	0.336181	0.336181	0.336181	0.336181	
71000	0.118577	2	0.355316	0.355316	0.383634	0.383634	
72000	0.118577	1	0.389577	0.389577	0.389577	0.389577	
73000	0.118577	2	0.379480	0.379480	0.375429	0.379480	
74000	0.118577	1	0.419009	0.419009	0.419009	0.419009	
75000	0.118577	1	0.369310	0.369310	0.369310	0.369310	
76000	0.118577	1	0.369056	0.369056	0.369056	0.369056	
77000	0.118577	1	0.321784	0.321784	0.321784	0.321784	
78000	0.118577	1	0.328557	0.328557	0.328557	0.328557	
79000	0.118577	1	0.405008	0.405008	0.405008	0.405008	
80000	0.118577	1	0.401982	0.401982	0.401982	0.401982	
81000	0.118577	1	0.344448	0.344448	0.344448	0.344448	
82000	0.118577	1	0.362571	0.362571	0.362571	0.362571	
83000	0.118577	1	0.325600	0.325600	0.325600	0.325600	
84000	0.118577	1	0.344924	0.344924	0.344924	0.344924	
85000	0.118577	1	0.360654	0.360654	0.360654	0.360654	
86000	0.118577	1	0.375864	0.375864	0.375864	0.375864	
87000	0.118577	1	0.350228	0.350228	0.350228	0.350228	
88000	0.118577	1	0.369269	0.369269	0.369269	0.369269	
89000	0.118577	1	0.354888	0.354888	0.354888	0.354888	
90000	0.118577	1	0.344839	0.344839	0.344839	0.344839	
91000	0.118577	1	0.368002	0.368002	0.368002	0.368002	
92000	0.118577	2	0.288630	0.288630	0.288630	0.533896	
93000	0.118577	1	0.347070	0.347070	0.347070	0.347070	
94000	0.118577	1	0.362299	0.362299	0.362299	0.362299	
95000	0.118577	1	0.332914	0.332914	0.332914	0.332914	
96000	0.118577	1	0.320226	0.320226	0.320226	0.320226	
97000	0.118577	2	0.370293	0.314540	0.314540	0.370293	
98000	0.118577	1	0.349413	0.349413	0.349413	0.349413	
99000	0.118577	1	0.373432	0.373432	0.373432	0.373432	
100000	0.118577	1	0.373131	0.373131	0.373131	0.373131	
101000	0.118577	2	0.323326	0.444846	0.323326	0.444846	
102000	0.118577	1	0.332775	0.332775	0.332775	0.332775	
103000	0.118577	1	0.399181	0.399181	0.399181	0.399181	
104000	0.118577	1	0.363052	0.363052	0.363052	0.363052	
105000	0.118577	1	0.321859	0.321859	0.321859	0.321859	
106000	0.118577	1	0.360287	0.360287	0.360287	0.360287	
107000	0.118577	2	0.385077	0.246183	0.385077	0.385077	
108000	0.118577	1	0.407990	0.407990	0.407990	0.407990	
109000	0.118577	2	0.321550	0.321550	0.321550	0.428847	
110000	0.118577	1	0.333237	0.333237	0.333237	0.333237	
111000	0.118577	1	0.355794	0.355794	0.355794	0.355794	
112000	0.118577	1	0.321177	0.321177	0.321177	0.321177	
113000	0.118577	2	0.349737	0.349737	0.349737	0.711757	
114000	0.118577	1	0.358565	0.358565	0.358565	0.358565	
115000	0.118577	1	0.357772	0.357772	0.357772	0.357772	
116000	0.118577	1	0.409527	0.409527	0.409527	0.409527	
117000	0.118577	1	0.372655	0.372655	0.372655	0.372655	
118000	0.118577	2	0.290867	0.290867	0.290867	0.381929	
119000	0.118577	1	0.340828	0.340828	0.340828	0.340828	
120000	0.118577	1	0.331280	0.331280	0.331280	0.331280	
121000	0.118577	1	0.353288	0.353288	0.353288	0.353288	
122000	0.118577	1	0.389028	0.389028	0.389028	0.389028	
123000	0.118577	2	0.327250	0.327250	0.327250	0.447462	
124000	0.118577	1	0.347619	0.347619	0.347619	0.347619	
125000	0.118577	1	0.308960	0.308960	0.308960	0.308960	
126000	0.118577	1	0.325683	0.325683	0.325683	0.325683	
127000	0.118577	1	0.382885	0.382885	0.382885	0.382885	
128000	0.118577	1	0.348187	0.348187	0.348187	0.348187	
129000	0.118577	1	0.321493	0.321493	0.321493	0.321493	
130000	0.118577	1	0.340968	0.340968	0.340968	0.340968	
131000	0.118577	2	0.278542	0.372040	0.372040	0.372040	
132000	0.118577	1	0.407231	0.407231	0.407231	0.407231	
133000	0.118577	1	0.361191	0.361191	0.361191	0.361191	
134000	0.118577	2	0.347070	0.347070	0.347070	0.466823	
135000	0.118577	2	0.365419	0.365419	0.392487	0.392487	
136000	0.118577	1	0.352872	0.352872	0.352872	0.352872	
137000	0.118577	1	0.389079	0.389079	0.389079	0.389079	
138000	0.118577	1	0.369558	0.369558	0.369558	0.369558	
139000	0.118577	1	0.373501	0.373501	0.373501	0.373501	
140000	0.118577	2	0.317875	0.317875	0.317875	0.449404	
141000	0.118577	1	0.318199	0.318199	0.318199	0.318199	
142000	0.118577	1	0.385603	0.385603	0.385603	0.385603	
143000	0.118577	1	0.294466	0.294466	0.294466	0.294466	
144000	0.118577	1	0.338143	0.338143	0.338143	0.338143	
145000	0.118577	1	0.325992	0.325992	0.325992	0.325992	
146000	0.118577	1	0.317857	0.317857	0.317857	0.317857	
147000	0.118577	1	0.315125	0.315125	0.315125	0.315125	
148000	0.118577	1	0.356593	0.356593	0.356593	0.356593	
149000	0.118577	1	0.336805	0.336805	0.336805	0.336805	
150000	0.118577	1	0.347935	0.347935	0.347935	0.347935	
151000	0.118577	1	0.318271	0.318271	0.318271	0.318271	
152000	0.118577	1	0.307805	0.307805	0.307805	0.307805	
153000	0.118577	1	0.374296	0.374296	0.374296	0.374296	
154000	0.118577	1	0.350317	0.350317	0.350317	0.350317	
155000	0.118577	1	0.332734	0.332734	0.332734	0.332734	
156000	0.118577	1	0.332016	0.332016	0.332016	0.332016	
157000	0.118577	1	0.372825	0.372825	0.372825	0.372825	
158000	0.118577	1	0.307528	0.307528	0.307528	0.307528	
159000	0.118577	1	0.344639	0.344639	0.344639	0.344639	
160000	0.118577	1	0.324003	0.324003	0.324003	0.324003	
161000	0.118577	2	0.388402	0.321026	0.388402	0.388402	
162000	0.118577	1	0.346017	0.346017	0.346017	0.346017	
163000	0.118577	2	0.345586	0.345586	0.345586	0.524094	
164000	0.118577	1	0.352736	0.352736	0.352736	0.352736	
165000	0.118577	1	0.367587	0.367587	0.367587	0.367587	
166000	0.118577	1	0.295597	0.295597	0.295597	0.295597	
167000	0.118577	1	0.333229	0.333229	0.333229	0.333229	
168000	0.118577	2	0.315494	0.419508	0.419508	0.419508	
169000	0.118577	1	0.343648	0.343648	0.343648	0.343648	
170000	0.118577	1	0.368057	0.368057	0.368057	0.368057	
171000	0.118577	1	0.372453	0.372453	0.372453	0.372453	
172000	0.118577	1	0.343767	0.343767	0.343767	0.343767	
173000	0.118577	1	0.364478	0.364478	0.364478	0.364478	
174000	0.118577	1	0.352344	0.352344	0.352344	0.352344	
175000	0.118577	2	0.305419	0.305419	0.285845	0.305419	
176000	0.118577	1	0.345835	0.345835	0.345835	0.345835	
177000	0.118577	1	0.377431	0.377431	0.377431	0.377431	
178000	0.118577	1	0.365402	0.365402	0.365402	0.365402	
179000	0.118577	1	0.359399	0.359399	0.359399	0.359399	
180000	0.118577	1	0.345094	0.345094	0.345094	0.345094	
181000	0.118577	1	0.413725	0.413725	0.413725	0.413725	
182000	0.118577	1	0.332143	0.332143	0.332143	0.332143	
183000	0.118577	2	0.262787	0.262787	0.262787	0.402907	
184000	0.118577	1	0.343019	0.343019	0.343019	0.343019	
185000	0.118577	2	0.341468	0.341468	0.341468	0.477614	
186000	0.118577	2	0.338365	0.338365	0.338365	0.792755	
187000	0.118577	1	0.368371	0.368371	0.368371	0.368371	
188000	0.118577	1	0.397191	0.397191	0.397191	0.397191	
189000	0.118577	1	0.336205	0.336205	0.336205	0.336205	
190000	0.118577	1	0.303216	0.303216	0.303216	0.303216	
191000	0.118577	1	0.303399	0.303399	0.303399	0.303399	
192000	0.118577	1	0.357659	0.357659	0.357659	0.357659	
193000	0.118577	2	0.337615	0.337615	0.337615	0.432097	
194000	0.118577	1	0.323020	0.323020	0.323020	0.323020	
195000	0.118577	1	0.334263	0.334263	0.334263	0.334263	
196000	0.118577	1	0.322151	0.322151	0.322151	0.322151	
197000	0.118577	1	0.335206	0.335206	0.335206	0.335206	
198000	0.118577	1	0.307518	0.307518	0.307518	0.307518	
199000	0.118577	1	0.355511	0.355511	0.355511	0.355511	
200000	0.118577	1	0.356768	0.356768	0.356768	0.356768	
201000	0.118577	1	0.298165	0.298165	0.298165	0.298165	
202000	0.118577	1	0.332264	0.332264	0.332264	0.332264	
203000	0.118577	1	0.336576	0.336576	0.336576	0.336576	
204000	0.118577	1	0.337100	0.337100	0.337100	0.337100	
205000	0.118577	2	0.376372	0.320467	0.376372	0.376372	
206000	0.118577	2	0.375761	0.375761	0.375761	0.465896	
207000	0.118577	1	0.345616	0.345616	0.345616	0.345616	
208000	0.118577	2	0.277237	0.277237	0.277237	0.756031	
209000	0.118577	1	0.325792	0.325792	0.325792	0.325792	
210000	0.118577	2	0.359277	0.359277	0.270532	0.359277	
211000	0.118577	1	0.387727	0.387727	0.387727	0.387727	
212000	0.118577	2	0.309400	0.309400	0.309400	0.455594	
213000	0.118577	2	0.331727	0.287102	0.331727	0.331727	
214000	0.118577	1	0.346398	0.346398	0.346398	0.346398	
215000	0.118577	2	0.348614	0.348614	0.348614	0.640213	
216000	0.118577	1	0.345453	0.345453	0.345453	0.345453	
217000	0.118577	1	0.320581	0.320581	0.320581	0.320581	
218000	0.118577	1	0.330285	0.330285	0.330285	0.330285	
