Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	0.118577	1	0.135386	0.169340	0.029596	0.148284	0.368204	0.149191	0.135386	0.169340	0.029596	0.148284	0.368204	0.149191	0.135386	0.169340	0.029596	0.148284	0.368204	0.149191	0.135386	0.169340	0.029596	0.148284	0.368204	0.149191	
2000	0.118577	1	0.106385	0.215916	0.039599	0.222289	0.274358	0.141453	0.106385	0.215916	0.039599	0.222289	0.274358	0.141453	0.106385	0.215916	0.039599	0.222289	0.274358	0.141453	0.106385	0.215916	0.039599	0.222289	0.274358	0.141453	
3000	0.118577	1	0.135941	0.233436	0.042723	0.185617	0.262608	0.139676	0.135941	0.233436	0.042723	0.185617	0.262608	0.139676	0.135941	0.233436	0.042723	0.185617	0.262608	0.139676	0.135941	0.233436	0.042723	0.185617	0.262608	0.139676	
4000	0.118577	1	0.120904	0.231934	0.027793	0.214453	0.225710	0.179206	0.120904	0.231934	0.027793	0.214453	0.225710	0.179206	0.120904	0.231934	0.027793	0.214453	0.225710	0.179206	0.120904	0.231934	0.027793	0.214453	0.225710	0.179206	
5000	0.118577	1	0.113548	0.249677	0.037677	0.134831	0.330622	0.133645	0.113548	0.249677	0.037677	0.134831	0.330622	0.133645	0.113548	0.249677	0.037677	0.134831	0.330622	0.133645	0.113548	0.249677	0.037677	0.134831	0.330622	0.133645	
6000	0.118577	1	0.123046	0.233877	0.037979	0.171063	0.243958	0.190076	0.123046	0.233877	0.037979	0.171063	0.243958	0.190076	0.123046	0.233877	0.037979	0.171063	0.243958	0.190076	0.123046	0.233877	0.037979	0.171063	0.243958	0.190076	
7000	0.118577	1	0.133058	0.240478	0.033287	0.208095	0.253971	0.131110	0.133058	0.240478	0.033287	0.208095	0.253971	0.131110	0.133058	0.240478	0.033287	0.208095	0.253971	0.131110	0.133058	0.240478	0.033287	0.208095	0.253971	0.131110	
8000	0.118577	1	0.121030	0.236079	0.025972	0.173916	0.267255	0.175748	0.121030	0.236079	0.025972	0.173916	0.267255	0.175748	0.121030	0.236079	0.025972	0.173916	0.267255	0.175748	0.121030	0.236079	0.025972	0.173916	0.267255	0.175748	
9000	0.118577	1	0.114192	0.241546	0.050970	0.202901	0.244500	0.145891	0.114192	0.241546	0.050970	0.202901	0.244500	0.145891	0.114192	0.241546	0.050970	0.202901	0.244500	0.145891	0.114192	0.241546	0.050970	0.202901	0.244500	0.145891	
10000	0.118577	1	0.139287	0.242241	0.035128	0.206202	0.241919	0.135223	0.139287	0.242241	0.035128	0.206202	0.241919	0.135223	0.139287	0.242241	0.035128	0.206202	0.241919	0.135223	0.139287	0.242241	0.035128	0.206202	0.241919	0.135223	
