Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	27.685548	1	2.367154	2.367154	2.367154	2.367154	
2000	27.685548	1	0.945978	0.945978	0.945978	0.945978	
3000	27.685548	1	0.817879	0.817879	0.817879	0.817879	
4000	27.685548	1	0.849499	0.849499	0.849499	0.849499	
5000	27.685548	1	0.891694	0.891694	0.891694	0.891694	
6000	27.685548	1	1.010295	1.010295	1.010295	1.010295	
7000	27.685548	1	0.887121	0.887121	0.887121	0.887121	
8000	27.685548	1	0.899769	0.899769	0.899769	0.899769	
9000	27.685548	1	0.892970	0.892970	0.892970	0.892970	
10000	27.685548	1	0.868283	0.868283	0.868283	0.868283	
11000	27.685548	1	1.029614	1.029614	1.029614	1.029614	
12000	27.685548	1	0.900263	0.900263	0.900263	0.900263	
13000	27.685548	1	0.941660	0.941660	0.941660	0.941660	
14000	27.685548	1	0.924454	0.924454	0.924454	0.924454	
15000	27.685548	1	0.903036	0.903036	0.903036	0.903036	
16000	27.685548	1	0.966499	0.966499	0.966499	0.966499	
17000	27.685548	1	1.017398	1.017398	1.017398	1.017398	
18000	27.685548	1	0.989456	0.989456	0.989456	0.989456	
19000	27.685548	1	0.920672	0.920672	0.920672	0.920672	
20000	27.685548	1	0.855739	0.855739	0.855739	0.855739	
21000	27.685548	1	0.931477	0.931477	0.931477	0.931477	
22000	27.685548	1	0.891912	0.891912	0.891912	0.891912	
23000	27.685548	1	0.822755	0.822755	0.822755	0.822755	
24000	27.685548	1	0.855872	0.855872	0.855872	0.855872	
25000	27.685548	1	1.049879	1.049879	1.049879	1.049879	
26000	27.685548	1	0.850752	0.850752	0.850752	0.850752	
27000	27.685548	1	0.876099	0.876099	0.876099	0.876099	
28000	27.685548	1	0.868361	0.868361	0.868361	0.868361	
29000	27.685548	1	0.846952	0.846952	0.846952	0.846952	
30000	27.685548	1	0.818221	0.818221	0.818221	0.818221	
31000	27.685548	1	0.810373	0.810373	0.810373	0.810373	
32000	27.685548	1	0.853259	0.853259	0.853259	0.853259	
33000	27.685548	1	0.912403	0.912403	0.912403	0.912403	
34000	27.685548	1	0.934202	0.934202	0.934202	0.934202	
35000	27.685548	1	0.889061	0.889061	0.889061	0.889061	
36000	27.685548	1	0.880847	0.880847	0.880847	0.880847	
37000	27.685548	1	0.851700	0.851700	0.851700	0.851700	
38000	27.685548	1	0.887571	0.887571	0.887571	0.887571	
