Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1103000	27.685548	1	0.107269	0.247314	0.025844	0.195585	0.276489	0.147498	0.107269	0.247314	0.025844	0.195585	0.276489	0.147498	0.107269	0.247314	0.025844	0.195585	0.276489	0.147498	0.107269	0.247314	0.025844	0.195585	0.276489	0.147498	
1104000	27.685548	1	0.108772	0.243931	0.032432	0.190542	0.259005	0.165318	0.108772	0.243931	0.032432	0.190542	0.259005	0.165318	0.108772	0.243931	0.032432	0.190542	0.259005	0.165318	0.108772	0.243931	0.032432	0.190542	0.259005	0.165318	
1105000	27.685548	1	0.108307	0.244110	0.041846	0.205817	0.262227	0.137694	0.108307	0.244110	0.041846	0.205817	0.262227	0.137694	0.108307	0.244110	0.041846	0.205817	0.262227	0.137694	0.108307	0.244110	0.041846	0.205817	0.262227	0.137694	
1106000	27.685548	1	0.107855	0.256492	0.028437	0.185655	0.261471	0.160090	0.107855	0.256492	0.028437	0.185655	0.261471	0.160090	0.107855	0.256492	0.028437	0.185655	0.261471	0.160090	0.107855	0.256492	0.028437	0.185655	0.261471	0.160090	
1107000	27.685548	1	0.082449	0.228902	0.033605	0.182228	0.302809	0.170008	0.082449	0.228902	0.033605	0.182228	0.302809	0.170008	0.082449	0.228902	0.033605	0.182228	0.302809	0.170008	0.082449	0.228902	0.033605	0.182228	0.302809	0.170008	
1108000	27.685548	1	0.099660	0.240221	0.043437	0.167967	0.318353	0.130361	0.099660	0.240221	0.043437	0.167967	0.318353	0.130361	0.099660	0.240221	0.043437	0.167967	0.318353	0.130361	0.099660	0.240221	0.043437	0.167967	0.318353	0.130361	
1109000	27.685548	1	0.122647	0.241912	0.033558	0.212678	0.254196	0.135010	0.122647	0.241912	0.033558	0.212678	0.254196	0.135010	0.122647	0.241912	0.033558	0.212678	0.254196	0.135010	0.122647	0.241912	0.033558	0.212678	0.254196	0.135010	
1110000	27.685548	2	0.117618	0.226801	0.029252	0.228208	0.247244	0.150877	0.229302	0.245231	0.060336	0.066794	0.211917	0.186419	0.117618	0.226801	0.029252	0.228208	0.247244	0.150877	0.229302	0.245231	0.060336	0.066794	0.211917	0.186419	
1111000	27.685548	1	0.121421	0.260166	0.028814	0.233711	0.231714	0.124174	0.121421	0.260166	0.028814	0.233711	0.231714	0.124174	0.121421	0.260166	0.028814	0.233711	0.231714	0.124174	0.121421	0.260166	0.028814	0.233711	0.231714	0.124174	
1112000	27.685548	2	0.120584	0.233285	0.029601	0.196790	0.263391	0.156349	0.165701	0.156315	0.055762	0.135505	0.338910	0.147806	0.120584	0.233285	0.029601	0.196790	0.263391	0.156349	0.120584	0.233285	0.029601	0.196790	0.263391	0.156349	
1113000	27.685548	1	0.124743	0.224876	0.030716	0.183882	0.296800	0.138982	0.124743	0.224876	0.030716	0.183882	0.296800	0.138982	0.124743	0.224876	0.030716	0.183882	0.296800	0.138982	0.124743	0.224876	0.030716	0.183882	0.296800	0.138982	
1114000	27.685548	1	0.116195	0.252580	0.030839	0.183164	0.271999	0.145222	0.116195	0.252580	0.030839	0.183164	0.271999	0.145222	0.116195	0.252580	0.030839	0.183164	0.271999	0.145222	0.116195	0.252580	0.030839	0.183164	0.271999	0.145222	
1115000	27.685548	1	0.122079	0.240977	0.035255	0.200035	0.266994	0.134659	0.122079	0.240977	0.035255	0.200035	0.266994	0.134659	0.122079	0.240977	0.035255	0.200035	0.266994	0.134659	0.122079	0.240977	0.035255	0.200035	0.266994	0.134659	
1116000	27.685548	1	0.099784	0.255069	0.027299	0.182158	0.271192	0.164499	0.099784	0.255069	0.027299	0.182158	0.271192	0.164499	0.099784	0.255069	0.027299	0.182158	0.271192	0.164499	0.099784	0.255069	0.027299	0.182158	0.271192	0.164499	
1117000	27.685548	1	0.144230	0.240743	0.028543	0.177515	0.244176	0.164793	0.144230	0.240743	0.028543	0.177515	0.244176	0.164793	0.144230	0.240743	0.028543	0.177515	0.244176	0.164793	0.144230	0.240743	0.028543	0.177515	0.244176	0.164793	
