Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	27.685548	3	0.247646	0.199390	0.199390	0.227209	
2000	27.685548	2	0.317896	0.317896	0.317896	0.702137	
3000	27.685548	3	0.307798	0.440758	0.307798	0.964462	
4000	27.685548	3	0.296185	0.296185	0.294765	0.657472	
5000	27.685548	4	0.287475	0.262492	0.382246	0.437635	
6000	27.685548	1	0.254652	0.254652	0.254652	0.254652	
7000	27.685548	4	0.463542	0.420695	0.360717	0.422551	
8000	27.685548	3	0.305306	0.289281	0.289281	0.844599	
9000	27.685548	2	0.317375	0.317375	0.317375	0.338690	
10000	27.685548	2	0.383770	0.383770	0.383770	0.679242	
11000	27.685548	1	0.347345	0.347345	0.347345	0.347345	
12000	27.685548	3	0.366486	0.267811	0.366486	0.873154	
13000	27.685548	3	0.339687	0.285598	0.285598	0.766669	
14000	27.685548	4	0.382325	0.305347	0.377575	0.851272	
15000	27.685548	3	0.331273	0.303882	0.331273	0.749573	
16000	27.685548	2	0.387644	0.387644	0.387644	0.444222	
17000	27.685548	3	0.495798	0.296465	0.296465	0.622632	
18000	27.685548	3	0.496816	0.361565	0.343658	0.496816	
19000	27.685548	3	0.307243	0.290839	0.290839	0.810737	
20000	27.685548	3	0.267537	0.338343	0.338343	1.055736	
21000	27.685548	4	0.295008	0.305690	0.311757	0.564904	
22000	27.685548	3	0.369832	0.243165	0.369832	0.867897	
23000	27.685548	4	0.248729	0.373400	0.402925	0.544055	
24000	27.685548	3	0.331223	0.331223	0.315664	1.355301	
25000	27.685548	3	0.466888	0.212837	0.212837	0.398848	
26000	27.685548	4	0.287759	0.399331	0.321746	0.738908	
27000	27.685548	1	0.299162	0.299162	0.299162	0.299162	
28000	27.685548	2	0.335501	0.399823	0.335501	0.399823	
29000	27.685548	2	0.254863	0.468362	0.254863	0.468362	
30000	27.685548	4	0.275081	0.370010	0.339517	0.919928	
31000	27.685548	3	0.373825	0.373825	0.294253	0.558228	
32000	27.685548	3	0.357194	0.272560	0.273879	0.357194	
33000	27.685548	3	0.412703	0.287290	0.346651	0.412703	
34000	27.685548	4	0.422555	0.343477	0.355924	0.795414	
35000	27.685548	2	0.392260	0.392260	0.392260	0.394715	
36000	27.685548	4	0.291568	0.352545	0.460112	0.592583	
37000	27.685548	3	0.320748	0.349558	0.320748	0.557045	
38000	27.685548	2	0.391653	0.391653	0.391653	0.807311	
39000	27.685548	3	0.298812	0.298812	0.228552	0.468338	
40000	27.685548	3	0.346408	0.271341	0.256635	0.346408	
41000	27.685548	3	0.392078	0.392078	0.297690	0.620266	
42000	27.685548	4	0.410977	0.471001	0.261190	0.646843	
43000	27.685548	3	0.370350	0.302897	0.370350	0.537520	
44000	27.685548	3	0.296020	0.369424	0.296020	0.539007	
45000	27.685548	2	0.344724	0.344545	0.344724	0.344724	
