Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	27.685548	1	0.268476	0.208939	0.212855	0.309731	0.268476	0.208939	0.212855	0.309731	0.268476	0.208939	0.212855	0.309731	0.268476	0.208939	0.212855	0.309731	
2000	27.685548	1	0.285914	0.207844	0.196804	0.309438	0.285914	0.207844	0.196804	0.309438	0.285914	0.207844	0.196804	0.309438	0.285914	0.207844	0.196804	0.309438	
3000	27.685548	1	0.274183	0.211950	0.190800	0.323068	0.274183	0.211950	0.190800	0.323068	0.274183	0.211950	0.190800	0.323068	0.274183	0.211950	0.190800	0.323068	
4000	27.685548	1	0.248785	0.212439	0.206246	0.332530	0.248785	0.212439	0.206246	0.332530	0.248785	0.212439	0.206246	0.332530	0.248785	0.212439	0.206246	0.332530	
5000	27.685548	1	0.307331	0.187644	0.186566	0.318459	0.307331	0.187644	0.186566	0.318459	0.307331	0.187644	0.186566	0.318459	0.307331	0.187644	0.186566	0.318459	
6000	27.685548	2	0.256012	0.259289	0.225349	0.259350	0.288627	0.148118	0.169125	0.394130	0.288627	0.148118	0.169125	0.394130	0.288627	0.148118	0.169125	0.394130	
7000	27.685548	1	0.287605	0.214776	0.198581	0.299038	0.287605	0.214776	0.198581	0.299038	0.287605	0.214776	0.198581	0.299038	0.287605	0.214776	0.198581	0.299038	
8000	27.685548	1	0.265208	0.223044	0.192439	0.319309	0.265208	0.223044	0.192439	0.319309	0.265208	0.223044	0.192439	0.319309	0.265208	0.223044	0.192439	0.319309	
9000	27.685548	1	0.291646	0.163308	0.175992	0.369055	0.291646	0.163308	0.175992	0.369055	0.291646	0.163308	0.175992	0.369055	0.291646	0.163308	0.175992	0.369055	
10000	27.685548	1	0.291429	0.182405	0.167926	0.358240	0.291429	0.182405	0.167926	0.358240	0.291429	0.182405	0.167926	0.358240	0.291429	0.182405	0.167926	0.358240	
11000	27.685548	1	0.292279	0.209944	0.187715	0.310062	0.292279	0.209944	0.187715	0.310062	0.292279	0.209944	0.187715	0.310062	0.292279	0.209944	0.187715	0.310062	
