Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1848000	0.092720	3	0.100045	0.399936	0.398683	0.101336	0.250365	0.263684	0.240787	0.245163	0.396590	0.099995	0.098225	0.405190	0.100045	0.399936	0.398683	0.101336	0.250365	0.263684	0.240787	0.245163	0.396590	0.099995	0.098225	0.405190	
1849000	0.092720	3	0.103830	0.404519	0.391604	0.100047	0.224436	0.257639	0.253221	0.264704	0.396590	0.099995	0.098225	0.405190	0.103830	0.404519	0.391604	0.100047	0.224436	0.257639	0.253221	0.264704	0.396590	0.099995	0.098225	0.405190	
1850000	0.092720	3	0.105467	0.403366	0.384259	0.106907	0.256963	0.245301	0.248151	0.249585	0.396590	0.099995	0.098225	0.405190	0.105467	0.403366	0.384259	0.106907	0.256963	0.245301	0.248151	0.249585	0.396590	0.099995	0.098225	0.405190	
1851000	0.092720	3	0.100353	0.393806	0.403357	0.102483	0.247670	0.252801	0.243597	0.255933	0.399465	0.100912	0.101806	0.397818	0.100353	0.393806	0.403357	0.102483	0.247670	0.252801	0.243597	0.255933	0.399465	0.100912	0.101806	0.397818	
1852000	0.092720	3	0.106816	0.387377	0.403705	0.102102	0.241096	0.271225	0.232919	0.254760	0.399465	0.100912	0.101806	0.397818	0.106816	0.387377	0.403705	0.102102	0.241096	0.271225	0.232919	0.254760	0.399465	0.100912	0.101806	0.397818	
1853000	0.092720	3	0.100987	0.398736	0.395389	0.104888	0.241152	0.251876	0.255968	0.251004	0.399465	0.100912	0.101806	0.397818	0.100987	0.398736	0.395389	0.104888	0.241152	0.251876	0.255968	0.251004	0.399465	0.100912	0.101806	0.397818	
1854000	0.092720	3	0.100987	0.398736	0.395389	0.104888	0.248369	0.251998	0.245898	0.253736	0.399465	0.100912	0.101806	0.397818	0.100987	0.398736	0.395389	0.104888	0.248369	0.251998	0.245898	0.253736	0.399465	0.100912	0.101806	0.397818	
1855000	0.092720	3	0.099985	0.397005	0.398982	0.104029	0.256233	0.258263	0.246804	0.238700	0.399465	0.100912	0.101806	0.397818	0.099985	0.397005	0.398982	0.104029	0.256233	0.258263	0.246804	0.238700	0.399465	0.100912	0.101806	0.397818	
1856000	0.092720	3	0.103889	0.400964	0.392230	0.102917	0.240067	0.266252	0.258217	0.235464	0.399465	0.100912	0.101806	0.397818	0.103889	0.400964	0.392230	0.102917	0.240067	0.266252	0.258217	0.235464	0.399465	0.100912	0.101806	0.397818	
1857000	0.092720	3	0.103221	0.397008	0.397372	0.102399	0.247486	0.249912	0.253446	0.249156	0.391738	0.101704	0.098802	0.407757	0.103221	0.397008	0.397372	0.102399	0.247486	0.249912	0.253446	0.249156	0.391738	0.101704	0.098802	0.407757	
