Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.095569	0.407496	0.397176	0.099760	0.247246	0.266369	0.225065	0.261320	0.389856	0.110277	0.097015	0.402852	0.095569	0.407496	0.397176	0.099760	0.247246	0.266369	0.225065	0.261320	0.389856	0.110277	0.097015	0.402852	
2000	0.092720	3	0.097975	0.402472	0.401007	0.098547	0.236929	0.261548	0.218402	0.283121	0.407129	0.103830	0.097267	0.391774	0.097975	0.402472	0.401007	0.098547	0.236929	0.261548	0.218402	0.283121	0.407129	0.103830	0.097267	0.391774	
3000	0.092720	3	0.095475	0.400389	0.394925	0.109211	0.249631	0.259926	0.231892	0.258551	0.397313	0.096696	0.099782	0.406209	0.095475	0.400389	0.394925	0.109211	0.249631	0.259926	0.231892	0.258551	0.397313	0.096696	0.099782	0.406209	
4000	0.092720	3	0.096232	0.407253	0.393903	0.102612	0.250945	0.263362	0.220510	0.265183	0.403613	0.103107	0.101598	0.391682	0.096232	0.407253	0.393903	0.102612	0.250945	0.263362	0.220510	0.265183	0.403613	0.103107	0.101598	0.391682	
5000	0.092720	3	0.095102	0.399969	0.402562	0.102368	0.251911	0.263071	0.240889	0.244129	0.403613	0.103107	0.101598	0.391682	0.095102	0.399969	0.402562	0.102368	0.251911	0.263071	0.240889	0.244129	0.403613	0.103107	0.101598	0.391682	
6000	0.092720	3	0.094529	0.393450	0.403779	0.108242	0.248007	0.267294	0.230255	0.254444	0.403613	0.103107	0.101598	0.391682	0.094529	0.393450	0.403779	0.108242	0.248007	0.267294	0.230255	0.254444	0.403613	0.103107	0.101598	0.391682	
7000	0.092720	3	0.094529	0.393450	0.403779	0.108242	0.237955	0.270496	0.231102	0.260447	0.408693	0.095334	0.098664	0.397310	0.094529	0.393450	0.403779	0.108242	0.237955	0.270496	0.231102	0.260447	0.408693	0.095334	0.098664	0.397310	
8000	0.092720	3	0.094529	0.393450	0.403779	0.108242	0.243762	0.268158	0.224568	0.263512	0.400484	0.095871	0.100755	0.402890	0.094529	0.393450	0.403779	0.108242	0.243762	0.268158	0.224568	0.263512	0.400484	0.095871	0.100755	0.402890	
9000	0.092720	3	0.098382	0.385395	0.408744	0.107479	0.251505	0.272770	0.221666	0.254059	0.400484	0.095871	0.100755	0.402890	0.098382	0.385395	0.408744	0.107479	0.251505	0.272770	0.221666	0.254059	0.400484	0.095871	0.100755	0.402890	
10000	0.092720	3	0.091447	0.402296	0.406564	0.099693	0.239183	0.273240	0.240577	0.247000	0.400484	0.095871	0.100755	0.402890	0.091447	0.402296	0.406564	0.099693	0.239183	0.273240	0.240577	0.247000	0.400484	0.095871	0.100755	0.402890	
