Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	5	8.864712	10.210545	21.244804	7.732637	8.779315	21.244804	
2000	71.353907	5	7.711675	10.539453	20.773427	7.174836	7.238094	20.773427	
3000	71.353907	2	7.379895	7.379895	18.429854	7.379895	7.379895	18.429854	
4000	71.353907	4	7.321235	8.182329	17.633754	7.133313	7.133313	17.633754	
5000	71.353907	4	7.631001	7.977285	17.173062	7.323549	7.323549	17.173062	
6000	71.353907	4	8.202924	9.082827	18.423567	7.706139	7.706139	18.423567	
7000	71.353907	3	7.139796	8.439876	18.314940	7.139796	7.139796	18.314940	
8000	71.353907	5	7.668880	8.785307	18.282121	7.662194	7.169391	18.282121	
9000	71.353907	5	7.797035	9.555191	19.453249	7.611388	8.570803	19.453249	
10000	71.353907	3	7.505281	8.297110	18.468911	7.505281	7.505281	18.468911	
11000	71.353907	3	7.145517	9.044989	18.352218	7.145517	7.145517	18.352218	
12000	71.353907	3	7.737213	8.573457	18.524300	7.737213	7.737213	18.524300	
13000	71.353907	5	7.963440	9.336668	18.901406	7.547267	8.202797	18.901406	
14000	71.353907	4	7.882885	8.231092	17.254411	7.008114	7.882885	17.254411	
15000	71.353907	5	8.601033	9.648781	18.133633	6.946800	8.856723	18.133633	
16000	71.353907	5	8.052043	10.259998	18.447000	8.102921	8.560503	18.447000	
17000	71.353907	4	8.819154	9.589144	19.138622	7.215393	7.215393	19.138622	
18000	71.353907	4	7.565499	9.584816	18.840737	7.565499	8.220330	18.840737	
19000	71.353907	5	8.767009	8.861299	18.186004	7.567053	9.121435	18.186004	
20000	71.353907	5	7.813831	9.535951	18.823521	8.198087	8.477008	18.823521	
21000	71.353907	4	7.705611	9.103210	17.628620	7.705611	8.449568	17.628620	
22000	71.353907	5	8.770948	8.741533	18.463023	7.548462	8.849137	18.463023	
23000	71.353907	5	8.052538	8.761239	18.123389	7.337854	8.009799	18.123389	
24000	71.353907	5	8.441214	8.636611	18.466605	7.829962	9.014045	18.466605	
25000	71.353907	4	7.591598	9.283303	17.815587	7.591598	8.590224	17.815587	
26000	71.353907	5	9.161221	8.739154	18.088084	8.709712	9.986507	18.088084	
27000	71.353907	5	8.453102	9.251635	17.936488	7.191583	9.084330	17.936488	
28000	71.353907	5	8.301326	10.544679	18.472013	8.067608	8.692111	18.472013	
29000	71.353907	4	7.287993	10.999124	18.596158	7.287993	8.132581	18.596158	
30000	71.353907	5	9.075566	8.624847	18.145312	7.100481	8.973477	18.145312	
31000	71.353907	5	8.359832	10.449158	18.212389	6.853839	9.253686	18.212389	
32000	71.353907	4	7.262729	8.705717	18.063984	7.262729	8.438815	18.063984	
33000	71.353907	5	8.048197	9.074589	17.879844	7.645159	7.694200	17.879844	
34000	71.353907	4	8.052398	9.599949	18.522965	8.052398	9.724021	18.522965	
35000	71.353907	3	7.085007	8.534413	18.352332	7.085007	8.534413	18.352332	
36000	71.353907	4	7.758535	9.541723	18.147077	7.497103	7.758535	18.147077	
37000	71.353907	4	7.309292	8.858780	17.589945	7.309292	8.824726	17.589945	
38000	71.353907	4	8.237342	8.646734	18.204255	8.237342	8.193114	18.204255	
39000	71.353907	5	8.745950	9.436468	17.961032	7.756268	8.174194	17.961032	
40000	71.353907	3	8.048961	8.877856	17.647695	8.048961	8.048961	17.647695	
41000	71.353907	5	8.643032	8.371671	17.933172	7.253424	7.625343	17.933172	
42000	71.353907	4	7.807603	9.066345	17.286842	7.581413	9.066345	17.286842	
43000	71.353907	4	7.889449	8.165857	17.577757	7.199583	7.889449	17.577757	
44000	71.353907	4	7.469986	8.990935	17.646842	7.469986	7.853956	17.646842	
45000	71.353907	5	7.694686	8.627548	16.967671	7.335936	7.846960	16.967671	
46000	71.353907	5	7.700239	9.022826	16.955634	6.864374	7.777742	16.955634	
47000	71.353907	4	6.827980	9.056359	15.893644	6.827980	8.083473	15.893644	
48000	71.353907	3	7.682270	8.563985	17.055747	7.682270	8.563985	17.055747	
49000	71.353907	5	9.029936	8.350482	17.481875	7.630657	9.478192	17.481875	
50000	71.353907	4	7.444793	8.072127	17.031813	7.444793	9.531285	17.031813	
51000	71.353907	4	8.031377	8.224321	16.427191	8.031377	10.161471	16.427191	
52000	71.353907	4	7.251079	8.924757	16.469731	7.251079	8.640464	16.469731	
53000	71.353907	4	7.564037	8.963546	16.603850	7.564037	9.742519	16.603850	
54000	71.353907	4	7.366304	10.123598	16.665254	7.366304	8.817094	16.665254	
55000	71.353907	4	8.628330	9.230662	17.065962	7.608897	8.628330	17.065962	
56000	71.353907	5	8.708805	9.873788	16.924735	8.384731	10.207677	16.924735	
57000	71.353907	5	8.658486	8.012335	17.106726	8.225650	9.526722	17.106726	
58000	71.353907	5	8.983785	9.663434	16.815179	8.907345	8.699918	16.815179	
59000	71.353907	4	7.938558	8.939320	17.180141	7.938558	8.168869	17.180141	
60000	71.353907	4	7.845325	9.775883	16.877630	7.845325	8.699483	16.877630	
61000	71.353907	5	8.502364	8.964307	16.406491	8.403062	9.438283	16.406491	
62000	71.353907	4	7.470833	9.330612	17.060523	7.470833	10.105697	17.060523	
