Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	0.092720	3	0.200985	0.057616	0.734788	0.734788	0.057616	0.200985	
2000	0.092720	3	0.206377	0.050639	0.755299	0.755299	0.050639	0.206377	
3000	0.092720	3	0.191928	0.054941	0.739389	0.739389	0.054941	0.191928	
4000	0.092720	3	0.192343	0.055937	0.748609	0.748609	0.055937	0.192343	
5000	0.092720	3	0.196158	0.058469	0.726745	0.726745	0.058469	0.196158	
6000	0.092720	3	0.187753	0.055390	0.701065	0.701065	0.055390	0.187753	
7000	0.092720	3	0.188706	0.054869	0.744078	0.744078	0.054869	0.188706	
8000	0.092720	3	0.195884	0.054945	0.804158	0.804158	0.054945	0.195884	
9000	0.092720	3	0.193334	0.056688	0.783060	0.783060	0.056688	0.193334	
10000	0.092720	3	0.195070	0.056567	0.776179	0.776179	0.056567	0.195070	
11000	0.092720	3	0.192643	0.060233	0.765780	0.765780	0.060233	0.192643	
12000	0.092720	3	0.189890	0.062297	0.760779	0.760779	0.062297	0.189890	
13000	0.092720	3	0.192894	0.064111	0.743269	0.743269	0.064111	0.192894	
14000	0.092720	3	0.201347	0.064667	0.730721	0.730721	0.064667	0.201347	
15000	0.092720	3	0.195907	0.064146	0.747652	0.747652	0.064146	0.195907	
16000	0.092720	3	0.192783	0.060752	0.767610	0.767610	0.060752	0.192783	
17000	0.092720	3	0.198076	0.060654	0.828099	0.828099	0.060654	0.198076	
18000	0.092720	3	0.197000	0.058985	0.813640	0.813640	0.058985	0.197000	
19000	0.092720	3	0.198834	0.064409	0.746969	0.746969	0.064409	0.198834	
20000	0.092720	3	0.196992	0.061249	0.796192	0.796192	0.061249	0.196992	
21000	0.092720	3	0.202847	0.063137	0.753592	0.753592	0.063137	0.202847	
22000	0.092720	3	0.200045	0.063066	0.767838	0.767838	0.063066	0.200045	
23000	0.092720	3	0.203226	0.064666	0.764081	0.764081	0.064666	0.203226	
24000	0.092720	3	0.201888	0.062579	0.819381	0.819381	0.062579	0.201888	
25000	0.092720	3	0.202888	0.063215	0.793450	0.793450	0.063215	0.202888	
26000	0.092720	3	0.199717	0.062753	0.778473	0.778473	0.062753	0.199717	
27000	0.092720	3	0.207298	0.061326	0.784969	0.784969	0.061326	0.207298	
28000	0.092720	3	0.195662	0.063492	0.807319	0.807319	0.063492	0.195662	
29000	0.092720	3	0.201194	0.059258	0.783431	0.783431	0.059258	0.201194	
30000	0.092720	3	0.205679	0.062751	0.776001	0.776001	0.062751	0.205679	
31000	0.092720	3	0.201531	0.060698	0.772404	0.772404	0.060698	0.201531	
32000	0.092720	3	0.195867	0.062841	0.782917	0.782917	0.062841	0.195867	
33000	0.092720	3	0.200843	0.063440	0.785288	0.785288	0.063440	0.200843	
34000	0.092720	3	0.201665	0.060874	0.827625	0.827625	0.060874	0.201665	
35000	0.092720	3	0.205332	0.063252	0.777534	0.777534	0.063252	0.205332	
36000	0.092720	3	0.205506	0.062203	0.791742	0.791742	0.062203	0.205506	
37000	0.092720	4	0.207728	0.066616	0.781573	0.781573	0.059344	0.207728	
38000	0.092720	3	0.202639	0.061934	0.792705	0.792705	0.061934	0.202639	
39000	0.092720	3	0.199008	0.063512	0.838431	0.838431	0.063512	0.199008	
40000	0.092720	3	0.205503	0.064149	0.821316	0.821316	0.064149	0.205503	
41000	0.092720	3	0.214528	0.061390	0.807252	0.807252	0.061390	0.214528	
42000	0.092720	3	0.207179	0.064111	0.813981	0.813981	0.064111	0.207179	
43000	0.092720	3	0.203187	0.060755	0.771190	0.771190	0.060755	0.203187	
44000	0.092720	3	0.205035	0.061880	0.815019	0.815019	0.061880	0.205035	
45000	0.092720	3	0.200840	0.062143	0.779878	0.779878	0.062143	0.200840	
46000	0.092720	3	0.190885	0.058337	0.764950	0.764950	0.058337	0.190885	
47000	0.092720	3	0.211630	0.059262	0.786782	0.786782	0.059262	0.211630	
48000	0.092720	3	0.194683	0.060270	0.829663	0.829663	0.060270	0.194683	
49000	0.092720	4	0.208289	0.061366	0.792320	0.792320	0.060350	0.208289	
50000	0.092720	3	0.201044	0.060988	0.780999	0.780999	0.060988	0.201044	
51000	0.092720	3	0.205222	0.066246	0.771257	0.771257	0.066246	0.205222	
52000	0.092720	3	0.208278	0.061500	0.890395	0.890395	0.061500	0.208278	
53000	0.092720	4	0.205457	0.062282	0.839255	0.763507	0.062282	0.205457	
54000	0.092720	3	0.201865	0.059909	0.853728	0.853728	0.059909	0.201865	
55000	0.092720	3	0.202875	0.063849	0.770874	0.770874	0.063849	0.202875	
