Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.142511	0.240003	0.121348	0.127814	0.232063	0.136262	0.142511	0.240003	0.121348	0.127814	0.232063	0.136262	0.142511	0.240003	0.121348	0.127814	0.232063	0.136262	0.236473	0.108456	0.134075	0.144849	0.144469	0.231676	0.236473	0.108456	0.134075	0.144849	0.144469	0.231676	0.236473	0.108456	0.134075	0.144849	0.144469	0.231676	
2000	71.353907	2	0.136230	0.241210	0.128306	0.121464	0.238921	0.133870	0.136230	0.241210	0.128306	0.121464	0.238921	0.133870	0.136230	0.241210	0.128306	0.121464	0.238921	0.133870	0.245706	0.126632	0.141853	0.126658	0.132302	0.226848	0.245706	0.126632	0.141853	0.126658	0.132302	0.226848	0.245706	0.126632	0.141853	0.126658	0.132302	0.226848	
3000	71.353907	2	0.138310	0.252184	0.123606	0.127214	0.220608	0.138078	0.138310	0.252184	0.123606	0.127214	0.220608	0.138078	0.138310	0.252184	0.123606	0.127214	0.220608	0.138078	0.234317	0.115499	0.138389	0.126275	0.137090	0.248430	0.234317	0.115499	0.138389	0.126275	0.137090	0.248430	0.234317	0.115499	0.138389	0.126275	0.137090	0.248430	
4000	71.353907	2	0.135550	0.257181	0.121407	0.136133	0.213002	0.136726	0.135550	0.257181	0.121407	0.136133	0.213002	0.136726	0.135550	0.257181	0.121407	0.136133	0.213002	0.136726	0.252462	0.125343	0.134155	0.127948	0.129236	0.230855	0.252462	0.125343	0.134155	0.127948	0.129236	0.230855	0.252462	0.125343	0.134155	0.127948	0.129236	0.230855	
5000	71.353907	2	0.136088	0.245201	0.132438	0.125310	0.227700	0.133263	0.136088	0.245201	0.132438	0.125310	0.227700	0.133263	0.136088	0.245201	0.132438	0.125310	0.227700	0.133263	0.248431	0.123342	0.132013	0.120925	0.138609	0.236682	0.248431	0.123342	0.132013	0.120925	0.138609	0.236682	0.248431	0.123342	0.132013	0.120925	0.138609	0.236682	
6000	71.353907	2	0.128501	0.256654	0.126362	0.118802	0.234325	0.135355	0.128501	0.256654	0.126362	0.118802	0.234325	0.135355	0.128501	0.256654	0.126362	0.118802	0.234325	0.135355	0.238949	0.136680	0.134670	0.121844	0.140063	0.227795	0.238949	0.136680	0.134670	0.121844	0.140063	0.227795	0.238949	0.136680	0.134670	0.121844	0.140063	0.227795	
7000	71.353907	2	0.126595	0.247549	0.118286	0.134154	0.236831	0.136585	0.126595	0.247549	0.118286	0.134154	0.236831	0.136585	0.126595	0.247549	0.118286	0.134154	0.236831	0.136585	0.229546	0.123137	0.136131	0.122915	0.138303	0.249968	0.229546	0.123137	0.136131	0.122915	0.138303	0.249968	0.229546	0.123137	0.136131	0.122915	0.138303	0.249968	
8000	71.353907	2	0.124024	0.254314	0.127953	0.131568	0.226682	0.135459	0.124024	0.254314	0.127953	0.131568	0.226682	0.135459	0.124024	0.254314	0.127953	0.131568	0.226682	0.135459	0.231946	0.125528	0.130417	0.118365	0.134578	0.259166	0.231946	0.125528	0.130417	0.118365	0.134578	0.259166	0.231946	0.125528	0.130417	0.118365	0.134578	0.259166	
9000	71.353907	2	0.136880	0.246328	0.129718	0.110175	0.243574	0.133325	0.136880	0.246328	0.129718	0.110175	0.243574	0.133325	0.136880	0.246328	0.129718	0.110175	0.243574	0.133325	0.227901	0.126824	0.142189	0.116033	0.147597	0.239457	0.227901	0.126824	0.142189	0.116033	0.147597	0.239457	0.227901	0.126824	0.142189	0.116033	0.147597	0.239457	
10000	71.353907	2	0.139282	0.262239	0.124478	0.107222	0.228917	0.137862	0.139282	0.262239	0.124478	0.107222	0.228917	0.137862	0.139282	0.262239	0.124478	0.107222	0.228917	0.137862	0.232137	0.125648	0.134215	0.116126	0.150450	0.241424	0.232137	0.125648	0.134215	0.116126	0.150450	0.241424	0.232137	0.125648	0.134215	0.116126	0.150450	0.241424	
