Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	4	0.185057	0.048091	0.844353	0.703968	0.048091	0.185057	
2000	1.695768	4	0.164595	0.053274	0.789655	0.500609	0.053274	0.164595	
3000	1.695768	5	0.165808	0.052609	0.972630	0.496787	0.052609	0.205486	
4000	1.695768	3	0.209376	0.051087	0.658439	0.658439	0.051087	0.209376	
5000	1.695768	4	0.211289	0.054086	0.693572	0.693572	0.054086	0.210849	
6000	1.695768	3	0.213117	0.058126	0.754496	0.754496	0.058126	0.213117	
7000	1.695768	3	0.203441	0.060468	0.689761	0.689761	0.060468	0.203441	
8000	1.695768	3	0.209155	0.060880	0.709853	0.709853	0.060880	0.209155	
9000	1.695768	4	0.203906	0.059537	0.789064	0.689965	0.059537	0.203906	
10000	1.695768	4	0.202873	0.060596	0.798153	0.673902	0.060596	0.202873	
11000	1.695768	3	0.208041	0.059346	0.710430	0.710430	0.059346	0.208041	
12000	1.695768	3	0.205733	0.060272	0.759750	0.759750	0.060272	0.205733	
13000	1.695768	3	0.205179	0.060910	0.678342	0.678342	0.060910	0.205179	
14000	1.695768	3	0.193115	0.059626	0.772116	0.772116	0.059626	0.193115	
15000	1.695768	5	0.197783	0.059252	0.763707	0.695351	0.055542	0.197783	
16000	1.695768	3	0.187934	0.064639	0.746092	0.746092	0.064639	0.187934	
17000	1.695768	3	0.194506	0.063128	0.775384	0.775384	0.063128	0.194506	
18000	1.695768	3	0.193773	0.063870	0.749065	0.749065	0.063870	0.193773	
19000	1.695768	3	0.190977	0.059245	0.786989	0.786989	0.059245	0.190977	
20000	1.695768	3	0.190849	0.063908	0.703843	0.703843	0.063908	0.190849	
21000	1.695768	3	0.200628	0.067171	0.796202	0.796202	0.067171	0.200628	
22000	1.695768	3	0.199979	0.061160	0.741420	0.741420	0.061160	0.199979	
23000	1.695768	4	0.205833	0.061664	0.870494	0.703375	0.061664	0.205833	
24000	1.695768	4	0.203568	0.057871	0.826661	0.760048	0.057871	0.203568	
25000	1.695768	4	0.196723	0.064715	0.856962	0.724337	0.064715	0.196723	
26000	1.695768	4	0.202472	0.063624	0.857367	0.721123	0.063624	0.202472	
27000	1.695768	3	0.193535	0.061736	0.752180	0.752180	0.061736	0.193535	
28000	1.695768	3	0.199612	0.060827	0.761793	0.761793	0.060827	0.199612	
29000	1.695768	3	0.190011	0.061729	0.795026	0.795026	0.061729	0.190011	
30000	1.695768	3	0.193436	0.064099	0.727400	0.727400	0.064099	0.193436	
31000	1.695768	3	0.194499	0.065689	0.792215	0.792215	0.065689	0.194499	
32000	1.695768	3	0.196508	0.062136	0.702440	0.702440	0.062136	0.196508	
33000	1.695768	4	0.199870	0.063793	0.820159	0.719191	0.063793	0.199870	
34000	1.695768	3	0.192817	0.061739	0.827228	0.827228	0.061739	0.192817	
35000	1.695768	3	0.197563	0.061843	0.778613	0.778613	0.061843	0.197563	
36000	1.695768	3	0.199363	0.064910	0.818537	0.818537	0.064910	0.199363	
37000	1.695768	3	0.195126	0.060545	0.810936	0.810936	0.060545	0.195126	
38000	1.695768	3	0.200527	0.061034	0.852254	0.852254	0.061034	0.200527	
39000	1.695768	4	0.202050	0.064956	0.788890	0.639214	0.064956	0.202050	
40000	1.695768	3	0.196039	0.065556	0.819706	0.819706	0.065556	0.196039	
41000	1.695768	3	0.191629	0.065000	0.879433	0.879433	0.065000	0.191629	
42000	1.695768	4	0.196886	0.057029	0.781692	0.703212	0.057029	0.196886	
43000	1.695768	3	0.195765	0.058093	0.793810	0.793810	0.058093	0.195765	
44000	1.695768	3	0.194749	0.062257	0.768223	0.768223	0.062257	0.194749	
45000	1.695768	5	0.192167	0.058058	0.825775	0.725581	0.058058	0.195352	
46000	1.695768	4	0.195822	0.070944	0.754165	0.754165	0.061125	0.195822	
47000	1.695768	4	0.191709	0.066645	0.685831	0.685831	0.058028	0.191709	
