Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.105592	0.394500	0.395991	0.103918	0.244232	0.268515	0.262761	0.224491	0.384341	0.105651	0.099388	0.410621	0.105592	0.394500	0.395991	0.103918	0.244232	0.268515	0.262761	0.224491	0.384341	0.105651	0.099388	0.410621	
2000	71.353907	3	0.103938	0.408216	0.386640	0.101206	0.255501	0.251174	0.252063	0.241262	0.387758	0.100292	0.103120	0.408830	0.103938	0.408216	0.386640	0.101206	0.255501	0.251174	0.252063	0.241262	0.387758	0.100292	0.103120	0.408830	
3000	71.353907	3	0.105606	0.411139	0.384817	0.098438	0.268574	0.244144	0.236972	0.250310	0.387758	0.100292	0.103120	0.408830	0.105606	0.411139	0.384817	0.098438	0.268574	0.244144	0.236972	0.250310	0.387758	0.100292	0.103120	0.408830	
4000	71.353907	3	0.101149	0.403171	0.393396	0.102285	0.245080	0.260365	0.254354	0.240200	0.387758	0.100292	0.103120	0.408830	0.101149	0.403171	0.393396	0.102285	0.245080	0.260365	0.254354	0.240200	0.387758	0.100292	0.103120	0.408830	
5000	71.353907	3	0.107410	0.403005	0.388706	0.100879	0.255006	0.256220	0.254739	0.234035	0.387758	0.100292	0.103120	0.408830	0.107410	0.403005	0.388706	0.100879	0.255006	0.256220	0.254739	0.234035	0.387758	0.100292	0.103120	0.408830	
6000	71.353907	3	0.107410	0.403005	0.388706	0.100879	0.237424	0.257650	0.248424	0.256502	0.387758	0.100292	0.103120	0.408830	0.107410	0.403005	0.388706	0.100879	0.237424	0.257650	0.248424	0.256502	0.387758	0.100292	0.103120	0.408830	
7000	71.353907	3	0.107410	0.403005	0.388706	0.100879	0.259929	0.253419	0.237930	0.248722	0.386605	0.101220	0.103993	0.408183	0.107410	0.403005	0.388706	0.100879	0.259929	0.253419	0.237930	0.248722	0.386605	0.101220	0.103993	0.408183	
8000	71.353907	3	0.107410	0.403005	0.388706	0.100879	0.254070	0.258873	0.240348	0.246710	0.386605	0.101220	0.103993	0.408183	0.107410	0.403005	0.388706	0.100879	0.254070	0.258873	0.240348	0.246710	0.386605	0.101220	0.103993	0.408183	
9000	71.353907	3	0.106112	0.411354	0.383391	0.099142	0.249986	0.248744	0.258288	0.242982	0.379891	0.106434	0.104493	0.409181	0.106112	0.411354	0.383391	0.099142	0.249986	0.248744	0.258288	0.242982	0.379891	0.106434	0.104493	0.409181	
10000	71.353907	3	0.106112	0.411354	0.383391	0.099142	0.240080	0.266067	0.253151	0.240702	0.384123	0.103647	0.099814	0.412416	0.106112	0.411354	0.383391	0.099142	0.240080	0.266067	0.253151	0.240702	0.384123	0.103647	0.099814	0.412416	
11000	71.353907	3	0.104151	0.414205	0.382235	0.099409	0.253319	0.251249	0.246623	0.248808	0.384123	0.103647	0.099814	0.412416	0.104151	0.414205	0.382235	0.099409	0.253319	0.251249	0.246623	0.248808	0.384123	0.103647	0.099814	0.412416	
12000	71.353907	3	0.104151	0.414205	0.382235	0.099409	0.254978	0.256334	0.243733	0.244955	0.384123	0.103647	0.099814	0.412416	0.104151	0.414205	0.382235	0.099409	0.254978	0.256334	0.243733	0.244955	0.384123	0.103647	0.099814	0.412416	
13000	71.353907	3	0.106334	0.400042	0.394833	0.098791	0.257745	0.252905	0.246685	0.242665	0.384123	0.103647	0.099814	0.412416	0.106334	0.400042	0.394833	0.098791	0.257745	0.252905	0.246685	0.242665	0.384123	0.103647	0.099814	0.412416	
14000	71.353907	3	0.112127	0.390324	0.400485	0.097064	0.244166	0.264545	0.253463	0.237826	0.394936	0.102533	0.103403	0.399129	0.112127	0.390324	0.400485	0.097064	0.244166	0.264545	0.253463	0.237826	0.394936	0.102533	0.103403	0.399129	
15000	71.353907	3	0.102010	0.405258	0.396365	0.096366	0.259174	0.253905	0.246268	0.240653	0.392560	0.105695	0.102055	0.399691	0.102010	0.405258	0.396365	0.096366	0.259174	0.253905	0.246268	0.240653	0.392560	0.105695	0.102055	0.399691	
