Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	1.695768	3	8.792088	8.792088	22.483353	8.792088	10.890325	22.483353	
2000	1.695768	4	8.634076	8.634076	22.044630	7.999752	9.454561	22.044630	
3000	1.695768	3	10.500387	7.732874	20.958733	7.732874	10.500387	20.958733	
4000	1.695768	3	11.277503	7.886702	19.435932	7.886702	11.277503	19.435932	
5000	1.695768	3	11.918724	7.391179	19.757578	7.391179	11.918724	19.757578	
6000	1.695768	3	11.163453	7.448998	19.181578	7.448998	11.163453	19.181578	
7000	1.695768	3	11.339017	7.923020	19.671632	7.923020	11.339017	19.671632	
8000	1.695768	3	12.161893	8.181442	19.756446	8.181442	12.161893	19.756446	
9000	1.695768	3	12.076653	7.345036	20.430772	7.345036	12.076653	20.430772	
10000	1.695768	3	11.276973	7.434570	19.783100	7.434570	11.276973	19.783100	
11000	1.695768	4	11.451602	7.950702	20.021450	7.627055	11.451602	20.021450	
12000	1.695768	4	11.367355	7.825536	19.310960	7.825536	11.167198	19.310960	
13000	1.695768	3	10.968582	8.377426	18.736424	8.377426	10.968582	18.736424	
14000	1.695768	5	11.329568	8.564625	18.979214	7.879494	11.812728	18.979214	
15000	1.695768	4	11.388314	7.846039	19.077582	7.356388	11.388314	19.077582	
16000	1.695768	4	10.963060	8.218761	19.343888	8.222862	10.963060	19.343888	
17000	1.695768	4	12.588562	9.690210	19.394840	8.322863	12.588562	19.394840	
18000	1.695768	4	11.114753	8.709224	20.156471	7.814147	11.114753	20.156471	
19000	1.695768	5	11.605103	9.041298	19.330805	8.092712	11.796736	19.330805	
20000	1.695768	4	11.307711	9.669716	19.730492	8.075489	11.307711	19.730492	
21000	1.695768	4	11.281369	10.090396	19.193274	8.848271	11.281369	19.193274	
22000	1.695768	5	10.142469	10.476573	19.185990	7.975697	12.984523	19.185990	
23000	1.695768	3	11.484706	11.484706	20.142250	8.202098	11.484706	20.142250	
24000	1.695768	5	11.402761	9.427868	18.722071	8.666921	12.108537	18.722071	
25000	1.695768	5	10.364284	9.263494	18.537607	6.868577	12.133126	18.537607	
26000	1.695768	4	10.399207	10.399207	19.244595	7.543965	11.676050	19.244595	
27000	1.695768	4	11.099845	9.659947	19.024718	8.211438	11.099845	19.024718	
28000	1.695768	4	11.091237	9.463284	18.578223	8.488441	11.091237	18.578223	
29000	1.695768	5	10.126589	9.626076	17.702833	7.951385	11.336855	17.702833	
30000	1.695768	4	9.684531	9.441955	17.313865	9.081911	9.684531	17.313865	
31000	1.695768	4	9.168819	9.168819	18.277754	8.039716	10.757910	18.277754	
32000	1.695768	4	9.835688	9.835688	17.966203	8.760086	10.500717	17.966203	
33000	1.695768	4	9.955800	9.955800	17.432045	8.285600	10.654351	17.432045	
34000	1.695768	5	10.507108	8.783551	17.025466	8.241892	10.673331	17.025466	
35000	1.695768	5	8.878311	8.024074	17.446574	8.559739	10.903845	17.446574	
36000	1.695768	4	9.714105	8.177091	17.824764	8.177091	11.114189	17.824764	
37000	1.695768	3	8.251998	8.251998	16.695670	8.251998	10.826985	16.695670	
38000	1.695768	5	9.762413	8.329381	17.124985	7.674853	11.515911	17.124985	
39000	1.695768	4	8.797245	8.797245	17.049222	7.705249	10.333602	17.049222	
40000	1.695768	4	8.651271	8.651271	17.138987	7.859658	10.829866	17.138987	
41000	1.695768	4	8.905861	8.905861	16.430289	8.199593	10.754093	16.430289	
42000	1.695768	4	8.930958	7.518986	15.654815	7.518986	11.364984	15.654815	
43000	1.695768	5	8.825590	8.022924	16.537894	7.356564	10.919259	16.537894	
44000	1.695768	2	7.690481	7.690481	16.354106	7.690481	16.354106	16.354106	
45000	1.695768	3	8.347127	8.347127	16.405457	8.347127	10.923358	16.405457	
46000	1.695768	3	8.888233	7.379162	16.265778	7.379162	16.265778	16.265778	
47000	1.695768	4	8.860436	7.588382	16.486640	7.588382	10.983948	16.486640	
48000	1.695768	4	8.427944	8.427944	16.684082	7.116550	11.906057	16.684082	
49000	1.695768	4	8.789036	8.789036	16.583535	8.377536	11.307344	16.583535	
50000	1.695768	3	8.723770	8.723770	16.625809	8.128364	16.625809	16.625809	
51000	1.695768	4	9.443130	7.478698	16.711137	7.478698	11.499788	16.711137	
52000	1.695768	4	8.883039	8.883039	16.717717	8.266892	10.927453	16.717717	
53000	1.695768	4	8.887549	7.087827	16.857057	7.087827	11.408245	16.857057	
54000	1.695768	3	7.287413	7.287413	16.296246	7.287413	10.952231	16.296246	
55000	1.695768	5	8.651720	8.964574	15.548040	7.886784	11.241851	15.548040	
56000	1.695768	4	9.501199	8.545452	15.743869	8.545452	10.824284	15.743869	
57000	1.695768	4	8.935444	8.935444	15.400324	7.961800	11.242188	15.400324	
58000	1.695768	3	8.491223	8.491223	16.058608	8.491223	11.155209	16.058608	
59000	1.695768	4	9.211835	7.395018	15.552746	7.395018	11.301840	15.552746	
60000	1.695768	3	8.282839	8.282839	16.143528	8.282839	11.890357	16.143528	
61000	1.695768	4	8.712775	8.835918	16.444137	8.712775	10.789829	16.444137	
62000	1.695768	4	8.540513	7.520690	15.565437	7.520690	10.878222	15.565437	
63000	1.695768	5	8.723926	8.742079	15.927838	8.348104	11.255963	15.927838	
64000	1.695768	5	8.263583	9.024217	16.056291	6.866066	10.005027	16.056291	
65000	1.695768	4	8.979667	8.782449	16.509987	8.782449	11.181665	16.509987	
66000	1.695768	3	7.677612	7.677612	16.187072	7.677612	12.225533	16.187072	
67000	1.695768	3	8.526354	8.526354	15.946363	8.526354	10.038295	15.946363	
68000	1.695768	3	7.811429	7.811429	15.929001	7.811429	11.958515	15.929001	
69000	1.695768	4	8.046690	9.094725	16.205184	8.046690	10.205270	16.205184	
