Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	0.092720	4	25.374818	13.124706	25.374818	8.744448	9.975354	25.374818	
2000	0.092720	3	24.398078	12.076553	24.398078	9.022556	12.076553	24.398078	
3000	0.092720	3	23.401925	12.055451	23.401925	9.024317	12.055451	23.401925	
4000	0.092720	3	23.440656	12.810047	23.440656	8.821560	12.810047	23.440656	
5000	0.092720	3	13.566827	13.566827	21.655954	8.850011	13.566827	21.655954	
6000	0.092720	3	20.752801	12.817301	20.752801	8.860438	12.817301	20.752801	
7000	0.092720	3	22.086503	12.608826	22.086503	8.634039	12.608826	22.086503	
8000	0.092720	3	21.976003	12.771926	21.976003	8.553899	12.771926	21.976003	
9000	0.092720	3	22.788586	12.143367	22.788586	8.743599	12.143367	22.788586	
10000	0.092720	3	22.436587	12.608749	22.436587	8.987270	12.608749	22.436587	
11000	0.092720	3	14.008901	14.008901	21.422762	8.161468	14.008901	21.422762	
12000	0.092720	3	13.744690	21.274562	21.274562	9.103974	13.744690	21.274562	
13000	0.092720	3	13.039559	21.623179	21.623179	8.937943	13.039559	21.623179	
14000	0.092720	3	13.356960	13.356960	22.203552	8.214464	13.356960	22.203552	
15000	0.092720	3	12.882366	22.432377	22.432377	7.848928	12.882366	22.432377	
16000	0.092720	3	12.498618	20.335227	20.335227	8.291240	12.498618	20.335227	
17000	0.092720	3	13.903706	13.903706	22.378513	8.694906	13.903706	22.378513	
18000	0.092720	3	12.919630	12.919630	21.041235	8.784358	12.919630	21.041235	
19000	0.092720	3	13.408215	13.408215	21.255781	8.559375	13.408215	21.255781	
20000	0.092720	3	12.817949	20.606101	20.606101	8.225419	12.817949	20.606101	
21000	0.092720	3	13.666715	13.666715	20.962917	7.826919	13.666715	20.962917	
22000	0.092720	3	13.110461	13.110461	20.937502	7.941316	13.110461	20.937502	
23000	0.092720	3	13.348042	13.348042	19.908204	9.042596	13.348042	19.908204	
24000	0.092720	3	13.514787	13.514787	20.481726	8.835214	13.514787	20.481726	
25000	0.092720	3	13.381876	13.381876	21.413190	8.828978	13.381876	21.413190	
26000	0.092720	3	12.211748	19.176659	19.176659	7.658762	12.211748	19.176659	
27000	0.092720	3	12.921765	12.921765	20.340171	8.655388	12.921765	20.340171	
28000	0.092720	3	12.896385	12.896385	19.491308	7.806250	12.896385	19.491308	
29000	0.092720	3	12.684218	12.684218	20.414197	8.202607	12.684218	20.414197	
30000	0.092720	3	12.811692	12.811692	20.078887	7.634727	12.811692	20.078887	
31000	0.092720	3	12.841077	12.841077	19.772379	8.157941	12.841077	19.772379	
32000	0.092720	3	13.076047	13.076047	20.918319	7.879921	13.076047	20.918319	
33000	0.092720	3	13.206735	13.206735	20.408625	8.624352	13.206735	20.408625	
34000	0.092720	3	12.315058	19.949779	19.949779	8.446778	12.315058	19.949779	
35000	0.092720	3	13.095287	13.095287	19.848495	8.838734	13.095287	19.848495	
36000	0.092720	3	12.832504	20.016266	20.016266	7.493740	12.832504	20.016266	
37000	0.092720	3	13.001222	13.001222	20.222902	8.190861	13.001222	20.222902	
38000	0.092720	3	11.734763	20.068072	20.068072	7.411132	11.734763	20.068072	
39000	0.092720	3	12.718311	19.209603	19.209603	8.265341	12.718311	19.209603	
40000	0.092720	3	11.732459	20.440040	20.440040	8.374249	11.732459	20.440040	
41000	0.092720	3	12.361730	19.245142	19.245142	9.125845	12.361730	19.245142	
42000	0.092720	3	11.868808	19.890450	19.890450	9.381529	11.868808	19.890450	
43000	0.092720	3	12.090961	18.735072	18.735072	8.350666	12.090961	18.735072	
44000	0.092720	3	12.437027	12.437027	20.073648	8.159043	12.437027	20.073648	
45000	0.092720	3	12.648817	19.460701	19.460701	7.988307	12.648817	19.460701	
46000	0.092720	3	13.005555	13.005555	19.560529	8.893647	13.005555	19.560529	
47000	0.092720	3	12.772684	12.772684	19.537468	8.346597	12.772684	19.537468	
48000	0.092720	3	12.589318	12.589318	20.210685	7.791273	12.589318	20.210685	
49000	0.092720	3	11.644770	18.419532	18.419532	7.412101	11.644770	18.419532	
50000	0.092720	3	12.312696	18.799725	18.799725	8.634453	12.312696	18.799725	
51000	0.092720	3	11.732706	18.266601	18.266601	8.277897	11.732706	18.266601	
52000	0.092720	3	12.723168	12.723168	19.302441	7.329304	12.723168	19.302441	
53000	0.092720	3	12.930217	19.039824	19.039824	9.490250	12.930217	19.039824	
54000	0.092720	3	12.099968	17.691131	17.691131	7.941330	12.099968	17.691131	
55000	0.092720	3	11.344333	19.439628	19.439628	9.735439	11.344333	19.439628	
56000	0.092720	3	10.963195	18.226005	18.226005	8.248888	10.963195	18.226005	
57000	0.092720	3	11.766106	19.380558	19.380558	7.662689	11.766106	19.380558	
