Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	0.092720	2	22.112283	22.112283	22.112283	9.516126	22.112283	22.112283	
2000	0.092720	2	21.212040	21.212040	21.212040	10.179263	21.212040	21.212040	
3000	0.092720	2	21.778383	21.778383	21.778383	9.858345	21.778383	21.778383	
4000	0.092720	2	20.758381	20.758381	20.758381	9.595575	20.758381	20.758381	
5000	0.092720	2	21.658000	21.658000	21.658000	9.574781	21.658000	21.658000	
6000	0.092720	2	22.248395	22.248395	22.248395	9.082313	22.248395	22.248395	
7000	0.092720	2	22.907158	22.907158	22.907158	9.617066	22.907158	22.907158	
8000	0.092720	2	21.209400	21.209400	21.209400	9.336270	21.209400	21.209400	
9000	0.092720	3	11.794921	21.522777	21.522777	8.756540	21.522777	21.522777	
10000	0.092720	3	13.332440	20.359638	20.359638	8.170912	20.359638	20.359638	
11000	0.092720	3	11.308399	19.467976	19.467976	8.411014	19.467976	19.467976	
12000	0.092720	3	11.918939	19.095304	19.095304	8.996461	19.095304	19.095304	
13000	0.092720	3	12.133058	18.495687	18.495687	8.530439	12.133058	18.495687	
14000	0.092720	3	11.534470	19.194462	19.194462	8.133398	11.534470	19.194462	
15000	0.092720	3	11.602130	17.550570	17.550570	8.112517	17.550570	17.550570	
16000	0.092720	3	11.592417	17.093189	17.093189	8.655555	11.592417	17.093189	
17000	0.092720	3	11.172621	17.500801	17.500801	7.529126	11.172621	17.500801	
18000	0.092720	3	10.925715	15.546724	15.546724	8.596882	15.546724	15.546724	
19000	0.092720	3	11.444348	15.582486	15.582486	8.462106	11.444348	15.582486	
20000	0.092720	3	10.449873	15.571489	15.571489	8.049644	10.449873	15.571489	
21000	0.092720	3	10.497583	15.890292	15.890292	8.030952	10.497583	15.890292	
22000	0.092720	3	8.730687	15.607118	15.607118	8.730687	11.131767	15.607118	
23000	0.092720	3	10.308959	15.895422	15.895422	7.345352	10.308959	15.895422	
24000	0.092720	3	10.013236	15.890011	15.890011	8.625619	10.013236	15.890011	
25000	0.092720	3	8.470057	15.533590	15.533590	8.470057	11.027532	15.533590	
26000	0.092720	3	10.063911	15.004736	15.004736	8.207961	10.063911	15.004736	
27000	0.092720	2	9.140287	15.806242	15.806242	9.140287	9.140287	15.806242	
28000	0.092720	3	10.017231	15.675875	15.675875	8.713957	10.017231	15.675875	
29000	0.092720	4	9.664258	15.170526	15.170526	8.251227	11.214361	15.170526	
30000	0.092720	4	9.883480	15.626527	15.626527	9.328561	11.460398	15.626527	
31000	0.092720	3	9.759903	14.841842	14.841842	8.368172	9.759903	14.841842	
32000	0.092720	4	8.767866	15.285822	15.285822	8.672965	10.597972	15.285822	
33000	0.092720	4	9.042626	15.160017	15.160017	8.110013	10.622885	15.160017	
34000	0.092720	4	8.853316	14.963346	14.963346	7.424434	11.184353	14.963346	
35000	0.092720	4	9.209892	15.076457	15.076457	8.900473	11.592918	15.076457	
36000	0.092720	2	8.641127	15.051144	15.051144	8.641127	8.641127	15.051144	
37000	0.092720	4	8.694713	14.659053	14.659053	7.879106	10.641599	14.659053	
38000	0.092720	4	9.493791	15.041283	15.041283	8.192797	10.802655	15.041283	
