Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.131161	0.231325	0.130233	0.135408	0.233209	0.138664	0.131161	0.231325	0.130233	0.135408	0.233209	0.138664	0.131161	0.231325	0.130233	0.135408	0.233209	0.138664	0.245837	0.134666	0.140286	0.128321	0.131641	0.219250	0.245837	0.134666	0.140286	0.128321	0.131641	0.219250	0.245837	0.134666	0.140286	0.128321	0.131641	0.219250	
2000	71.353907	3	0.124050	0.233211	0.131066	0.124635	0.254285	0.132752	0.124050	0.233211	0.131066	0.124635	0.254285	0.132752	0.124050	0.233211	0.131066	0.124635	0.254285	0.132752	0.262819	0.120873	0.131298	0.134784	0.119455	0.230772	0.219901	0.145422	0.132670	0.090730	0.164699	0.246576	0.262819	0.120873	0.131298	0.134784	0.119455	0.230772	
3000	71.353907	2	0.122929	0.227419	0.125930	0.140531	0.256181	0.127011	0.122929	0.227419	0.125930	0.140531	0.256181	0.127011	0.122929	0.227419	0.125930	0.140531	0.256181	0.127011	0.239030	0.128534	0.145143	0.128027	0.121748	0.237518	0.239030	0.128534	0.145143	0.128027	0.121748	0.237518	0.239030	0.128534	0.145143	0.128027	0.121748	0.237518	
4000	71.353907	2	0.123183	0.226529	0.122444	0.136145	0.263938	0.127760	0.123183	0.226529	0.122444	0.136145	0.263938	0.127760	0.123183	0.226529	0.122444	0.136145	0.263938	0.127760	0.244080	0.130639	0.116167	0.131813	0.140602	0.236700	0.244080	0.130639	0.116167	0.131813	0.140602	0.236700	0.244080	0.130639	0.116167	0.131813	0.140602	0.236700	
5000	71.353907	2	0.119932	0.239278	0.121328	0.136029	0.255872	0.127560	0.119932	0.239278	0.121328	0.136029	0.255872	0.127560	0.119932	0.239278	0.121328	0.136029	0.255872	0.127560	0.240997	0.120965	0.133632	0.125545	0.130671	0.248189	0.240997	0.120965	0.133632	0.125545	0.130671	0.248189	0.240997	0.120965	0.133632	0.125545	0.130671	0.248189	
6000	71.353907	2	0.121760	0.251743	0.126447	0.127104	0.249905	0.123042	0.121760	0.251743	0.126447	0.127104	0.249905	0.123042	0.121760	0.251743	0.126447	0.127104	0.249905	0.123042	0.244253	0.118574	0.131974	0.126183	0.124713	0.254303	0.244253	0.118574	0.131974	0.126183	0.124713	0.254303	0.244253	0.118574	0.131974	0.126183	0.124713	0.254303	
7000	71.353907	2	0.120438	0.227995	0.123265	0.131611	0.265425	0.131267	0.120438	0.227995	0.123265	0.131611	0.265425	0.131267	0.120438	0.227995	0.123265	0.131611	0.265425	0.131267	0.243308	0.126417	0.132858	0.127993	0.124842	0.244583	0.243308	0.126417	0.132858	0.127993	0.124842	0.244583	0.243308	0.126417	0.132858	0.127993	0.124842	0.244583	
8000	71.353907	2	0.117717	0.249593	0.121187	0.132664	0.253111	0.125728	0.117717	0.249593	0.121187	0.132664	0.253111	0.125728	0.117717	0.249593	0.121187	0.132664	0.253111	0.125728	0.251872	0.126116	0.127212	0.123445	0.138080	0.233276	0.251872	0.126116	0.127212	0.123445	0.138080	0.233276	0.251872	0.126116	0.127212	0.123445	0.138080	0.233276	
9000	71.353907	2	0.118971	0.255684	0.120527	0.124161	0.252431	0.128227	0.118971	0.255684	0.120527	0.124161	0.252431	0.128227	0.118971	0.255684	0.120527	0.124161	0.252431	0.128227	0.237530	0.120257	0.144875	0.118043	0.140071	0.239224	0.237530	0.120257	0.144875	0.118043	0.140071	0.239224	0.237530	0.120257	0.144875	0.118043	0.140071	0.239224	
10000	71.353907	2	0.122693	0.248040	0.126490	0.121426	0.254091	0.127260	0.122693	0.248040	0.126490	0.121426	0.254091	0.127260	0.122693	0.248040	0.126490	0.121426	0.254091	0.127260	0.234649	0.140013	0.129143	0.117500	0.131711	0.246985	0.234649	0.140013	0.129143	0.117500	0.131711	0.246985	0.234649	0.140013	0.129143	0.117500	0.131711	0.246985	
