Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.155653	0.056938	0.601949	0.601949	0.056938	0.155653	
2000	1.695768	5	0.141969	0.054665	0.626966	0.621378	0.054665	0.251595	
3000	1.695768	3	0.150376	0.056669	0.681336	0.681336	0.056669	0.150376	
4000	1.695768	3	0.220752	0.055853	0.628622	0.628622	0.055853	0.220752	
5000	1.695768	4	0.145001	0.056058	0.659667	0.659667	0.056058	0.241279	
6000	1.695768	3	0.205105	0.057188	0.735544	0.735544	0.057188	0.205105	
7000	1.695768	3	0.212000	0.056814	0.706537	0.706537	0.056814	0.212000	
8000	1.695768	4	0.194211	0.057004	0.677803	0.677803	0.057004	0.216696	
9000	1.695768	4	0.168656	0.057138	0.727431	0.727431	0.057138	0.222363	
10000	1.695768	4	0.202088	0.059477	0.730073	0.730073	0.059477	0.203217	
11000	1.695768	3	0.205284	0.056078	0.671326	0.671326	0.056078	0.205284	
12000	1.695768	3	0.206567	0.056272	0.713340	0.713340	0.056272	0.206567	
13000	1.695768	3	0.206254	0.058827	0.714102	0.714102	0.058827	0.206254	
14000	1.695768	4	0.179668	0.058376	0.703798	0.703798	0.058376	0.246814	
15000	1.695768	3	0.212346	0.058594	0.693322	0.693322	0.058594	0.212346	
16000	1.695768	3	0.201589	0.057214	0.734990	0.734990	0.057214	0.201589	
17000	1.695768	3	0.220387	0.057116	0.676081	0.676081	0.057116	0.220387	
18000	1.695768	4	0.183492	0.060834	0.717252	0.717252	0.060834	0.260905	
19000	1.695768	3	0.211873	0.059871	0.720616	0.720616	0.059871	0.211873	
20000	1.695768	3	0.211654	0.061361	0.736334	0.736334	0.061361	0.211654	
21000	1.695768	4	0.207104	0.060453	0.721867	0.721867	0.060453	0.218945	
22000	1.695768	4	0.218231	0.061086	0.704630	0.704630	0.061086	0.219137	
23000	1.695768	3	0.193199	0.057658	0.721191	0.721191	0.057658	0.193199	
24000	1.695768	3	0.194099	0.057136	0.752644	0.752644	0.057136	0.194099	
25000	1.695768	3	0.212174	0.059182	0.749490	0.749490	0.059182	0.212174	
26000	1.695768	3	0.212687	0.057615	0.749071	0.749071	0.057615	0.212687	
27000	1.695768	3	0.213511	0.057188	0.749349	0.749349	0.057188	0.213511	
28000	1.695768	3	0.209078	0.057629	0.724522	0.724522	0.057629	0.209078	
29000	1.695768	3	0.211484	0.056599	0.711761	0.711761	0.056599	0.211484	
30000	1.695768	3	0.204816	0.056986	0.702112	0.702112	0.056986	0.204816	
31000	1.695768	3	0.206089	0.058406	0.732978	0.732978	0.058406	0.206089	
32000	1.695768	3	0.207454	0.056152	0.715570	0.715570	0.056152	0.207454	
33000	1.695768	3	0.208876	0.056567	0.675182	0.675182	0.056567	0.208876	
34000	1.695768	3	0.200977	0.056808	0.697201	0.697201	0.056808	0.200977	
35000	1.695768	3	0.196422	0.059191	0.729902	0.729902	0.059191	0.196422	
36000	1.695768	3	0.212282	0.058863	0.746139	0.746139	0.058863	0.212282	
37000	1.695768	3	0.190352	0.059271	0.757445	0.757445	0.059271	0.190352	
38000	1.695768	4	0.178155	0.060835	0.720396	0.726118	0.060835	0.178155	
39000	1.695768	4	0.213814	0.060666	0.790583	0.793139	0.060666	0.213814	
40000	1.695768	3	0.210704	0.058370	0.697464	0.697464	0.058370	0.210704	
41000	1.695768	4	0.222000	0.059955	0.700569	0.685417	0.059955	0.222000	
42000	1.695768	4	0.220987	0.060602	0.758737	0.758737	0.060602	0.225311	
43000	1.695768	4	0.190305	0.056427	0.699737	0.699737	0.056427	0.228553	
44000	1.695768	3	0.200309	0.061067	0.723164	0.723164	0.061067	0.200309	
45000	1.695768	3	0.218157	0.056503	0.768215	0.768215	0.056503	0.218157	
46000	1.695768	3	0.203608	0.056301	0.741142	0.741142	0.056301	0.203608	
47000	1.695768	4	0.212873	0.058786	0.710765	0.797002	0.058786	0.212873	
48000	1.695768	3	0.209409	0.059267	0.745088	0.745088	0.059267	0.209409	
49000	1.695768	3	0.216897	0.056633	0.733078	0.733078	0.056633	0.216897	
50000	1.695768	3	0.217997	0.057473	0.727430	0.727430	0.057473	0.217997	
51000	1.695768	3	0.209788	0.059052	0.772070	0.772070	0.059052	0.209788	
52000	1.695768	3	0.211144	0.056359	0.729487	0.729487	0.056359	0.211144	
53000	1.695768	4	0.184147	0.057855	0.744615	0.744615	0.057855	0.271543	
54000	1.695768	3	0.206838	0.059348	0.735071	0.735071	0.059348	0.206838	
55000	1.695768	3	0.204256	0.056091	0.733294	0.733294	0.056091	0.204256	
56000	1.695768	3	0.209920	0.059084	0.737368	0.737368	0.059084	0.209920	
57000	1.695768	3	0.219145	0.061433	0.755562	0.755562	0.061433	0.219145	
58000	1.695768	3	0.203274	0.058278	0.732108	0.732108	0.058278	0.203274	
59000	1.695768	3	0.210766	0.059183	0.685215	0.685215	0.059183	0.210766	
60000	1.695768	3	0.205538	0.059730	0.715306	0.715306	0.059730	0.205538	
61000	1.695768	3	0.222840	0.057847	0.761679	0.761679	0.057847	0.222840	
62000	1.695768	4	0.173003	0.059050	0.733248	0.733248	0.059050	0.193655	
63000	1.695768	3	0.209345	0.061382	0.755734	0.755734	0.061382	0.209345	
64000	1.695768	3	0.214471	0.060088	0.735789	0.735789	0.060088	0.214471	
65000	1.695768	4	0.248613	0.063050	0.738168	0.738168	0.063050	0.218215	
66000	1.695768	3	0.209919	0.060400	0.723842	0.723842	0.060400	0.209919	
67000	1.695768	3	0.212946	0.058637	0.731549	0.731549	0.058637	0.212946	
68000	1.695768	3	0.207743	0.060659	0.721064	0.721064	0.060659	0.207743	
