Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
761000	1.695768	3	0.201990	0.064158	0.748299	0.748299	0.064158	0.201990	
762000	1.695768	3	0.193158	0.063836	0.833789	0.833789	0.063836	0.193158	
763000	1.695768	3	0.200092	0.061528	0.677852	0.677852	0.061528	0.200092	
764000	1.695768	4	0.200919	0.066084	0.773088	0.715636	0.066084	0.200919	
765000	1.695768	3	0.201807	0.064437	0.748639	0.748639	0.064437	0.201807	
766000	1.695768	3	0.200275	0.061467	0.778671	0.778671	0.061467	0.200275	
767000	1.695768	4	0.200760	0.063141	0.816993	0.714497	0.063141	0.200760	
768000	1.695768	3	0.211341	0.061413	0.756807	0.756807	0.061413	0.211341	
769000	1.695768	3	0.201974	0.062442	0.821997	0.821997	0.062442	0.201974	
770000	1.695768	4	0.206054	0.065316	0.886337	0.728369	0.065316	0.206054	
771000	1.695768	4	0.197251	0.065427	0.718610	0.718610	0.065427	0.198921	
772000	1.695768	3	0.191562	0.063291	0.731921	0.731921	0.063291	0.191562	
773000	1.695768	5	0.200906	0.066599	0.841319	0.765053	0.060758	0.200906	
774000	1.695768	3	0.193419	0.067827	0.848728	0.848728	0.067827	0.193419	
775000	1.695768	4	0.198709	0.064478	0.916221	0.875713	0.064478	0.198709	
776000	1.695768	4	0.210315	0.066478	0.875534	0.581882	0.066478	0.210315	
777000	1.695768	3	0.196198	0.063726	0.631908	0.631908	0.063726	0.196198	
778000	1.695768	4	0.202149	0.063323	0.932552	0.662341	0.063323	0.202149	
779000	1.695768	3	0.195366	0.063850	0.784599	0.784599	0.063850	0.195366	
780000	1.695768	3	0.195400	0.061799	0.794622	0.794622	0.061799	0.195400	
781000	1.695768	5	0.204035	0.062659	0.878671	0.651832	0.062659	0.191037	
782000	1.695768	4	0.193743	0.063149	0.882008	0.660665	0.063149	0.193743	
783000	1.695768	3	0.202454	0.063046	0.934797	0.934797	0.063046	0.202454	
784000	1.695768	4	0.205987	0.065609	0.853732	0.721928	0.065609	0.205987	
785000	1.695768	3	0.190933	0.063971	0.860000	0.860000	0.063971	0.190933	
786000	1.695768	3	0.192506	0.066022	0.820993	0.820993	0.066022	0.192506	
787000	1.695768	3	0.203128	0.065454	0.787484	0.787484	0.065454	0.203128	
788000	1.695768	4	0.198054	0.061187	0.910902	0.768459	0.061187	0.198054	
789000	1.695768	3	0.195412	0.063955	0.795877	0.795877	0.063955	0.195412	
790000	1.695768	4	0.200058	0.064225	0.797175	0.748854	0.064225	0.200058	
791000	1.695768	3	0.190479	0.059734	0.692904	0.692904	0.059734	0.190479	
792000	1.695768	4	0.204153	0.063951	0.909091	0.718972	0.063951	0.204153	
793000	1.695768	3	0.209152	0.063717	0.810310	0.810310	0.063717	0.209152	
794000	1.695768	3	0.198955	0.064454	0.806672	0.806672	0.064454	0.198955	
795000	1.695768	4	0.195996	0.063015	0.867473	0.599898	0.063015	0.195996	
796000	1.695768	3	0.200049	0.065010	0.820922	0.820922	0.065010	0.200049	
797000	1.695768	3	0.197934	0.063693	0.748086	0.748086	0.063693	0.197934	
798000	1.695768	4	0.208293	0.067139	0.882120	0.590828	0.067139	0.208293	
799000	1.695768	3	0.197534	0.064259	0.736262	0.736262	0.064259	0.197534	
800000	1.695768	3	0.193667	0.063051	0.853574	0.853574	0.063051	0.193667	
801000	1.695768	3	0.202097	0.066662	0.738943	0.738943	0.066662	0.202097	
802000	1.695768	3	0.200025	0.064037	0.846124	0.846124	0.064037	0.200025	
803000	1.695768	3	0.192311	0.062513	0.783647	0.783647	0.062513	0.192311	
804000	1.695768	3	0.203947	0.067001	0.797215	0.797215	0.067001	0.203947	
805000	1.695768	4	0.197430	0.059596	0.854072	0.852749	0.059596	0.197430	
806000	1.695768	3	0.204068	0.065449	0.738791	0.738791	0.065449	0.204068	
807000	1.695768	3	0.206150	0.063913	0.828360	0.828360	0.063913	0.206150	
808000	1.695768	4	0.191197	0.066399	0.928684	0.614009	0.066399	0.191197	
809000	1.695768	3	0.197219	0.064563	0.886809	0.886809	0.064563	0.197219	
810000	1.695768	4	0.200075	0.061914	0.851920	0.636907	0.061914	0.200075	
811000	1.695768	3	0.196990	0.064915	0.853191	0.853191	0.064915	0.196990	
812000	1.695768	3	0.197445	0.065008	0.720808	0.720808	0.065008	0.197445	
813000	1.695768	3	0.198045	0.063166	0.785500	0.785500	0.063166	0.198045	
814000	1.695768	3	0.200139	0.069871	0.715974	0.715974	0.069871	0.200139	
815000	1.695768	3	0.213214	0.063947	0.852828	0.852828	0.063947	0.213214	
816000	1.695768	3	0.193895	0.064859	0.796040	0.796040	0.064859	0.193895	
817000	1.695768	3	0.198673	0.063582	0.783358	0.783358	0.063582	0.198673	
818000	1.695768	3	0.201344	0.067277	0.812283	0.812283	0.067277	0.201344	
819000	1.695768	3	0.205446	0.064198	0.771605	0.771605	0.064198	0.205446	
820000	1.695768	3	0.204178	0.062333	0.692274	0.692274	0.062333	0.204178	
821000	1.695768	3	0.195849	0.061511	0.819792	0.819792	0.061511	0.195849	
822000	1.695768	3	0.194792	0.063793	0.890511	0.890511	0.063793	0.194792	
823000	1.695768	4	0.199041	0.061936	0.978174	0.680984	0.061936	0.199041	
824000	1.695768	4	0.202076	0.063867	0.805877	0.752127	0.063867	0.202076	
825000	1.695768	4	0.200401	0.063641	0.783556	0.708260	0.063641	0.200401	
826000	1.695768	4	0.195334	0.062965	0.793711	0.697591	0.062965	0.195334	
827000	1.695768	3	0.196883	0.061816	0.910981	0.910981	0.061816	0.196883	
828000	1.695768	4	0.196978	0.061571	0.909985	0.669685	0.061571	0.196978	
829000	1.695768	3	0.196022	0.066415	0.628822	0.628822	0.066415	0.196022	
830000	1.695768	4	0.196813	0.065400	1.047235	0.660763	0.065400	0.196813	
831000	1.695768	3	0.209033	0.066631	0.772980	0.772980	0.066631	0.209033	
832000	1.695768	3	0.197707	0.064969	0.789019	0.789019	0.064969	0.197707	
833000	1.695768	3	0.197118	0.062691	0.827109	0.827109	0.062691	0.197118	
834000	1.695768	3	0.199785	0.062649	0.884360	0.884360	0.062649	0.199785	
835000	1.695768	3	0.199638	0.062541	0.792241	0.792241	0.062541	0.199638	
836000	1.695768	3	0.198705	0.065524	0.735252	0.735252	0.065524	0.198705	
837000	1.695768	4	0.206389	0.068073	0.823586	0.755863	0.068073	0.206389	
838000	1.695768	4	0.200929	0.064564	0.882526	0.730897	0.064564	0.200929	
839000	1.695768	4	0.205052	0.066791	0.828964	0.696896	0.066791	0.205052	
840000	1.695768	3	0.206392	0.062990	0.824472	0.824472	0.062990	0.206392	
841000	1.695768	3	0.196807	0.063718	0.860341	0.860341	0.063718	0.196807	
842000	1.695768	4	0.207080	0.063213	0.843917	0.681994	0.063213	0.207080	
843000	1.695768	4	0.196643	0.063663	1.168638	0.751421	0.063663	0.196643	
844000	1.695768	3	0.203260	0.060398	0.825619	0.825619	0.060398	0.203260	
845000	1.695768	3	0.205520	0.061914	0.808962	0.808962	0.061914	0.205520	
846000	1.695768	3	0.188044	0.061698	0.735645	0.735645	0.061698	0.188044	
847000	1.695768	4	0.202997	0.066023	0.841974	0.659923	0.066023	0.202997	
848000	1.695768	3	0.208862	0.065118	0.804981	0.804981	0.065118	0.208862	
849000	1.695768	3	0.203637	0.064454	0.904371	0.904371	0.064454	0.203637	
850000	1.695768	3	0.206218	0.061971	0.761733	0.761733	0.061971	0.206218	
851000	1.695768	3	0.194479	0.062699	0.772267	0.772267	0.062699	0.194479	
852000	1.695768	3	0.194464	0.065975	0.843282	0.843282	0.065975	0.194464	
853000	1.695768	3	0.199472	0.064958	0.799600	0.799600	0.064958	0.199472	
854000	1.695768	3	0.195351	0.063811	0.680318	0.680318	0.063811	0.195351	
855000	1.695768	3	0.197468	0.064050	0.758163	0.758163	0.064050	0.197468	
856000	1.695768	3	0.195080	0.060980	0.698233	0.698233	0.060980	0.195080	
857000	1.695768	3	0.205361	0.064629	0.831351	0.831351	0.064629	0.205361	
858000	1.695768	3	0.200584	0.064102	0.823126	0.823126	0.064102	0.200584	
859000	1.695768	3	0.200555	0.064613	0.661775	0.661775	0.064613	0.200555	
860000	1.695768	3	0.200417	0.062019	0.748295	0.748295	0.062019	0.200417	
861000	1.695768	3	0.202280	0.064817	0.734420	0.734420	0.064817	0.202280	
862000	1.695768	4	0.207340	0.065222	0.896287	0.725429	0.065222	0.207340	
863000	1.695768	3	0.201858	0.065840	0.818535	0.818535	0.065840	0.201858	
864000	1.695768	3	0.193137	0.059693	1.162783	1.162783	0.059693	0.193137	
865000	1.695768	3	0.193440	0.064611	0.773319	0.773319	0.064611	0.193440	
866000	1.695768	4	0.194313	0.064206	0.892536	0.690954	0.064206	0.194313	
867000	1.695768	3	0.203199	0.065280	0.741100	0.741100	0.065280	0.203199	
868000	1.695768	3	0.203794	0.065351	0.784836	0.784836	0.065351	0.203794	
869000	1.695768	3	0.198857	0.063517	0.806717	0.806717	0.063517	0.198857	
870000	1.695768	3	0.197930	0.061882	0.795009	0.795009	0.061882	0.197930	
871000	1.695768	3	0.200737	0.062538	0.756784	0.756784	0.062538	0.200737	
872000	1.695768	4	0.192538	0.064741	0.943866	0.663570	0.064741	0.192538	
873000	1.695768	3	0.201786	0.062267	0.751803	0.751803	0.062267	0.201786	
874000	1.695768	3	0.197240	0.066363	0.817460	0.817460	0.066363	0.197240	
875000	1.695768	3	0.205715	0.063939	0.797064	0.797064	0.063939	0.205715	
876000	1.695768	4	0.195871	0.067029	0.897352	0.692940	0.067029	0.195871	
877000	1.695768	3	0.196648	0.065625	0.713521	0.713521	0.065625	0.196648	
878000	1.695768	3	0.197851	0.067038	0.777525	0.777525	0.067038	0.197851	
879000	1.695768	3	0.194963	0.063924	0.869623	0.869623	0.063924	0.194963	
880000	1.695768	3	0.196489	0.064326	0.860260	0.860260	0.064326	0.196489	
881000	1.695768	3	0.194475	0.061960	0.766043	0.766043	0.061960	0.194475	
882000	1.695768	3	0.198116	0.061760	0.899622	0.899622	0.061760	0.198116	
883000	1.695768	3	0.196317	0.064339	0.818570	0.818570	0.064339	0.196317	
884000	1.695768	4	0.197463	0.062780	0.925992	0.671127	0.062780	0.197463	
885000	1.695768	4	0.201469	0.060451	0.974023	0.933208	0.060451	0.201469	
886000	1.695768	4	0.201740	0.064833	0.728700	0.728700	0.064833	0.200511	
887000	1.695768	3	0.199561	0.064061	0.790688	0.790688	0.064061	0.199561	
888000	1.695768	4	0.199911	0.064127	0.877679	0.689143	0.064127	0.199911	
889000	1.695768	4	0.200395	0.066225	0.806977	0.679997	0.066225	0.200395	
890000	1.695768	3	0.201620	0.063163	0.781409	0.781409	0.063163	0.201620	
891000	1.695768	3	0.201241	0.061225	0.824587	0.824587	0.061225	0.201241	
892000	1.695768	3	0.192679	0.062894	0.809055	0.809055	0.062894	0.192679	
893000	1.695768	3	0.196140	0.067023	0.752514	0.752514	0.067023	0.196140	
894000	1.695768	3	0.193650	0.062034	0.733315	0.733315	0.062034	0.193650	
895000	1.695768	3	0.194452	0.064433	0.808010	0.808010	0.064433	0.194452	
896000	1.695768	3	0.201044	0.062132	0.754652	0.754652	0.062132	0.201044	
897000	1.695768	3	0.197516	0.065557	0.854967	0.854967	0.065557	0.197516	
898000	1.695768	3	0.192677	0.061775	0.776750	0.776750	0.061775	0.192677	
899000	1.695768	3	0.201379	0.062344	0.780588	0.780588	0.062344	0.201379	
900000	1.695768	5	0.195621	0.062828	0.874849	0.749302	0.062828	0.200412	
901000	1.695768	4	0.200454	0.061847	0.822078	0.720342	0.061847	0.200454	
902000	1.695768	3	0.198819	0.067035	0.817474	0.817474	0.067035	0.198819	
903000	1.695768	3	0.199827	0.063477	0.821165	0.821165	0.063477	0.199827	
904000	1.695768	3	0.209147	0.066858	0.661354	0.661354	0.066858	0.209147	
905000	1.695768	3	0.207523	0.062759	0.805400	0.805400	0.062759	0.207523	
906000	1.695768	3	0.199817	0.063575	0.748921	0.748921	0.063575	0.199817	
907000	1.695768	3	0.198356	0.064995	0.859995	0.859995	0.064995	0.198356	
908000	1.695768	3	0.200304	0.065082	0.777256	0.777256	0.065082	0.200304	
909000	1.695768	3	0.197980	0.065529	0.703436	0.703436	0.065529	0.197980	
910000	1.695768	3	0.196827	0.058863	0.756663	0.756663	0.058863	0.196827	
911000	1.695768	3	0.204490	0.064611	0.719300	0.719300	0.064611	0.204490	
912000	1.695768	4	0.207093	0.065513	0.798508	0.669767	0.065513	0.207093	
913000	1.695768	4	0.198723	0.063502	0.834655	0.794469	0.063502	0.198723	
914000	1.695768	3	0.201300	0.063390	0.836638	0.836638	0.063390	0.201300	
915000	1.695768	4	0.202279	0.064549	0.922764	0.697495	0.064549	0.202279	
916000	1.695768	4	0.200113	0.064878	0.788499	0.788499	0.064878	0.198079	
917000	1.695768	4	0.196222	0.063041	0.755344	0.661423	0.063041	0.196222	
918000	1.695768	3	0.202311	0.064325	0.752263	0.752263	0.064325	0.202311	
919000	1.695768	3	0.200046	0.062706	0.763594	0.763594	0.062706	0.200046	
920000	1.695768	4	0.204246	0.065326	0.829810	0.776525	0.065326	0.204246	
921000	1.695768	3	0.205164	0.066030	0.787202	0.787202	0.066030	0.205164	
922000	1.695768	4	0.205492	0.065574	0.842954	0.627490	0.065574	0.205492	
923000	1.695768	3	0.195149	0.064192	0.802469	0.802469	0.064192	0.195149	
924000	1.695768	4	0.201663	0.063047	0.886879	0.718300	0.063047	0.201663	
925000	1.695768	3	0.203856	0.063914	0.747028	0.747028	0.063914	0.203856	
926000	1.695768	4	0.197395	0.062754	1.003740	0.660737	0.062754	0.197395	
927000	1.695768	3	0.191741	0.061911	0.778076	0.778076	0.061911	0.191741	
928000	1.695768	3	0.197267	0.062031	0.728111	0.728111	0.062031	0.197267	
929000	1.695768	3	0.203018	0.069926	0.806238	0.806238	0.069926	0.203018	
930000	1.695768	3	0.203122	0.062066	0.800618	0.800618	0.062066	0.203122	
931000	1.695768	3	0.194688	0.066448	0.962304	0.962304	0.066448	0.194688	
932000	1.695768	4	0.203449	0.060884	0.818758	0.727365	0.060884	0.203449	
933000	1.695768	3	0.206561	0.064338	0.836803	0.836803	0.064338	0.206561	
934000	1.695768	4	0.202971	0.061951	0.847298	0.683985	0.061951	0.202971	
935000	1.695768	4	0.191319	0.063313	0.802509	0.755134	0.063313	0.191319	
936000	1.695768	5	0.199441	0.062481	0.842457	0.661051	0.066422	0.199441	
937000	1.695768	4	0.192553	0.064622	0.835261	0.654271	0.064622	0.192553	
938000	1.695768	3	0.194619	0.063609	0.736236	0.736236	0.063609	0.194619	
939000	1.695768	3	0.199877	0.064224	0.675043	0.675043	0.064224	0.199877	
940000	1.695768	5	0.202420	0.062647	0.821268	0.665342	0.066140	0.202420	
941000	1.695768	3	0.204806	0.061789	0.871394	0.871394	0.061789	0.204806	
942000	1.695768	4	0.196172	0.065573	0.894701	0.687637	0.065573	0.196172	
943000	1.695768	3	0.201313	0.063697	0.797960	0.797960	0.063697	0.201313	
944000	1.695768	4	0.201247	0.065071	0.632899	0.615549	0.065071	0.201247	
945000	1.695768	4	0.199537	0.060549	0.865515	0.775202	0.060549	0.199537	
946000	1.695768	4	0.203239	0.064636	0.878922	0.699370	0.064636	0.203239	
947000	1.695768	3	0.202764	0.063505	0.833577	0.833577	0.063505	0.202764	
948000	1.695768	4	0.198980	0.065682	0.910393	0.797581	0.065682	0.198980	
949000	1.695768	4	0.191067	0.064721	0.856701	0.752830	0.064721	0.191067	
950000	1.695768	4	0.202706	0.064599	0.991540	0.919918	0.064599	0.202706	
951000	1.695768	3	0.202459	0.064820	0.711823	0.711823	0.064820	0.202459	
952000	1.695768	3	0.189684	0.063914	0.686804	0.686804	0.063914	0.189684	
953000	1.695768	4	0.210785	0.060582	0.870472	0.597311	0.060582	0.210785	
954000	1.695768	3	0.201724	0.063998	0.768938	0.768938	0.063998	0.201724	
955000	1.695768	4	0.193458	0.066632	0.831358	0.676683	0.066632	0.193458	
956000	1.695768	3	0.198951	0.061669	0.747278	0.747278	0.061669	0.198951	
957000	1.695768	4	0.202571	0.063089	0.771025	0.752853	0.063089	0.202571	
958000	1.695768	3	0.191696	0.061511	0.796862	0.796862	0.061511	0.191696	
959000	1.695768	4	0.206534	0.065389	0.874443	0.744230	0.065389	0.206534	
960000	1.695768	4	0.204702	0.064077	0.840741	0.761699	0.064077	0.204702	
961000	1.695768	4	0.198635	0.066456	0.855487	0.642652	0.066456	0.198635	
962000	1.695768	3	0.188222	0.065035	0.744560	0.744560	0.065035	0.188222	
963000	1.695768	3	0.196183	0.064718	0.825659	0.825659	0.064718	0.196183	
964000	1.695768	3	0.206229	0.067857	0.809740	0.809740	0.067857	0.206229	
965000	1.695768	3	0.206037	0.065876	0.790685	0.790685	0.065876	0.206037	
966000	1.695768	3	0.198570	0.063155	0.811363	0.811363	0.063155	0.198570	
967000	1.695768	3	0.201697	0.063227	0.795344	0.795344	0.063227	0.201697	
968000	1.695768	3	0.201932	0.064590	0.754971	0.754971	0.064590	0.201932	
969000	1.695768	3	0.201941	0.063024	0.792806	0.792806	0.063024	0.201941	
970000	1.695768	3	0.196392	0.062487	0.727018	0.727018	0.062487	0.196392	
971000	1.695768	4	0.197705	0.063462	0.930118	0.594620	0.063462	0.197705	
972000	1.695768	3	0.191528	0.061583	0.828139	0.828139	0.061583	0.191528	
973000	1.695768	3	0.194498	0.062275	0.694748	0.694748	0.062275	0.194498	
974000	1.695768	4	0.208006	0.060774	0.780971	0.780971	0.060774	0.204870	
975000	1.695768	5	0.215343	0.063623	0.894943	0.659387	0.063623	0.197716	
976000	1.695768	3	0.196406	0.063882	0.790119	0.790119	0.063882	0.196406	
977000	1.695768	4	0.191864	0.066706	0.809108	0.752242	0.066706	0.191864	
978000	1.695768	3	0.202376	0.064412	0.828551	0.828551	0.064412	0.202376	
979000	1.695768	4	0.194263	0.065724	0.864198	0.645791	0.065724	0.194263	
980000	1.695768	3	0.204211	0.064374	0.821859	0.821859	0.064374	0.204211	
981000	1.695768	3	0.194680	0.065955	0.913030	0.913030	0.065955	0.194680	
982000	1.695768	3	0.200489	0.065787	0.833325	0.833325	0.065787	0.200489	
983000	1.695768	4	0.199254	0.063889	0.878880	0.566653	0.063889	0.199254	
984000	1.695768	3	0.210253	0.063971	0.807335	0.807335	0.063971	0.210253	
985000	1.695768	4	0.197046	0.061654	0.750609	0.721835	0.061654	0.197046	
986000	1.695768	3	0.200004	0.063640	0.778086	0.778086	0.063640	0.200004	
987000	1.695768	3	0.198177	0.064289	0.830160	0.830160	0.064289	0.198177	
988000	1.695768	3	0.194327	0.061600	0.776474	0.776474	0.061600	0.194327	
989000	1.695768	4	0.202104	0.061545	0.709619	0.645976	0.061545	0.202104	
990000	1.695768	4	0.198661	0.061424	0.828046	0.762603	0.061424	0.198661	
991000	1.695768	3	0.201465	0.063688	0.799954	0.799954	0.063688	0.201465	
992000	1.695768	3	0.193410	0.064530	0.713111	0.713111	0.064530	0.193410	
993000	1.695768	4	0.201923	0.065928	0.805491	0.805491	0.060122	0.201923	
994000	1.695768	4	0.189815	0.064410	0.643563	0.693609	0.064410	0.189815	
995000	1.695768	3	0.197473	0.062659	0.829134	0.829134	0.062659	0.197473	
996000	1.695768	3	0.193011	0.062887	0.785607	0.785607	0.062887	0.193011	
997000	1.695768	3	0.211357	0.065150	0.686707	0.686707	0.065150	0.211357	
998000	1.695768	4	0.205157	0.064493	0.835098	0.783830	0.064493	0.205157	
999000	1.695768	4	0.198445	0.065273	0.905573	0.657997	0.065273	0.198445	
1000000	1.695768	3	0.192940	0.063105	0.807721	0.807721	0.063105	0.192940	
1001000	1.695768	4	0.191242	0.065023	0.904838	0.741655	0.065023	0.191242	
1002000	1.695768	3	0.204628	0.063758	0.783552	0.783552	0.063758	0.204628	
1003000	1.695768	3	0.194874	0.063798	0.797223	0.797223	0.063798	0.194874	
1004000	1.695768	3	0.198237	0.064198	1.058666	1.058666	0.064198	0.198237	
1005000	1.695768	3	0.190388	0.061630	0.805268	0.805268	0.061630	0.190388	
1006000	1.695768	3	0.188587	0.062799	0.618780	0.618780	0.062799	0.188587	
1007000	1.695768	3	0.192723	0.063913	0.740776	0.740776	0.063913	0.192723	
1008000	1.695768	4	0.198236	0.062840	0.825703	0.702714	0.062840	0.198236	
1009000	1.695768	3	0.195337	0.063268	0.789330	0.789330	0.063268	0.195337	
1010000	1.695768	3	0.195207	0.065611	0.785216	0.785216	0.065611	0.195207	
1011000	1.695768	4	0.199060	0.062514	0.817535	0.638903	0.062514	0.199060	
1012000	1.695768	4	0.197716	0.063523	0.808359	0.670731	0.063523	0.197716	
1013000	1.695768	4	0.195648	0.063623	0.806058	0.667470	0.063623	0.195648	
1014000	1.695768	3	0.196012	0.064464	0.902592	0.902592	0.064464	0.196012	
1015000	1.695768	3	0.197470	0.062332	0.808365	0.808365	0.062332	0.197470	
1016000	1.695768	4	0.196121	0.064320	0.806867	0.806867	0.064320	0.199323	
