Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.095814	0.420314	0.384178	0.099694	0.234526	0.269501	0.248425	0.247547	0.404784	0.108968	0.094288	0.391960	0.095814	0.420314	0.384178	0.099694	0.234526	0.269501	0.248425	0.247547	0.404784	0.108968	0.094288	0.391960	
2000	1.695768	3	0.088831	0.411316	0.404494	0.095359	0.233966	0.271991	0.240401	0.253642	0.400920	0.100073	0.100783	0.398224	0.088831	0.411316	0.404494	0.095359	0.233966	0.271991	0.240401	0.253642	0.400920	0.100073	0.100783	0.398224	
3000	1.695768	3	0.097993	0.406430	0.398224	0.097354	0.248921	0.252350	0.239074	0.259655	0.393811	0.101416	0.102961	0.401812	0.097993	0.406430	0.398224	0.097354	0.248921	0.252350	0.239074	0.259655	0.393811	0.101416	0.102961	0.401812	
4000	1.695768	3	0.096875	0.409412	0.394229	0.099485	0.254523	0.261515	0.233094	0.250869	0.402959	0.102053	0.094652	0.400336	0.096875	0.409412	0.394229	0.099485	0.254523	0.261515	0.233094	0.250869	0.402959	0.102053	0.094652	0.400336	
5000	1.695768	3	0.095457	0.402160	0.400616	0.101767	0.235022	0.257960	0.249705	0.257312	0.407155	0.102928	0.098070	0.391847	0.095457	0.402160	0.400616	0.101767	0.235022	0.257960	0.249705	0.257312	0.407155	0.102928	0.098070	0.391847	
6000	1.695768	3	0.098721	0.417014	0.387947	0.096318	0.244000	0.251670	0.241826	0.262505	0.407155	0.102928	0.098070	0.391847	0.098721	0.417014	0.387947	0.096318	0.244000	0.251670	0.241826	0.262505	0.407155	0.102928	0.098070	0.391847	
7000	1.695768	3	0.098721	0.417014	0.387947	0.096318	0.246759	0.247557	0.248620	0.257064	0.407155	0.102928	0.098070	0.391847	0.098721	0.417014	0.387947	0.096318	0.246759	0.247557	0.248620	0.257064	0.407155	0.102928	0.098070	0.391847	
8000	1.695768	3	0.098705	0.411455	0.392523	0.097317	0.253635	0.247323	0.249550	0.249492	0.407155	0.102928	0.098070	0.391847	0.098705	0.411455	0.392523	0.097317	0.253635	0.247323	0.249550	0.249492	0.407155	0.102928	0.098070	0.391847	
9000	1.695768	3	0.097747	0.403312	0.404550	0.094390	0.256140	0.244892	0.246820	0.252148	0.402657	0.096638	0.102054	0.398651	0.097747	0.403312	0.404550	0.094390	0.256140	0.244892	0.246820	0.252148	0.402657	0.096638	0.102054	0.398651	
10000	1.695768	3	0.092258	0.412283	0.396848	0.098610	0.259062	0.251856	0.239347	0.249735	0.396707	0.104053	0.099481	0.399759	0.092258	0.412283	0.396848	0.098610	0.259062	0.251856	0.239347	0.249735	0.396707	0.104053	0.099481	0.399759	
