Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.119584	0.225544	0.134375	0.133422	0.266433	0.120642	0.119584	0.225544	0.134375	0.133422	0.266433	0.120642	0.119584	0.225544	0.134375	0.133422	0.266433	0.120642	0.251720	0.108515	0.125148	0.130102	0.124254	0.260261	0.251720	0.108515	0.125148	0.130102	0.124254	0.260261	0.251720	0.108515	0.125148	0.130102	0.124254	0.260261	
2000	0.092720	2	0.126613	0.236032	0.127150	0.128736	0.268676	0.112792	0.126613	0.236032	0.127150	0.128736	0.268676	0.112792	0.126613	0.236032	0.127150	0.128736	0.268676	0.112792	0.266033	0.112731	0.135741	0.126982	0.121032	0.237482	0.266033	0.112731	0.135741	0.126982	0.121032	0.237482	0.266033	0.112731	0.135741	0.126982	0.121032	0.237482	
3000	0.092720	2	0.117996	0.235102	0.134504	0.125661	0.273217	0.113519	0.117996	0.235102	0.134504	0.125661	0.273217	0.113519	0.117996	0.235102	0.134504	0.125661	0.273217	0.113519	0.277605	0.106823	0.113199	0.122823	0.134907	0.244642	0.277605	0.106823	0.113199	0.122823	0.134907	0.244642	0.277605	0.106823	0.113199	0.122823	0.134907	0.244642	
4000	0.092720	2	0.113743	0.236164	0.127331	0.135796	0.264889	0.122076	0.113743	0.236164	0.127331	0.135796	0.264889	0.122076	0.113743	0.236164	0.127331	0.135796	0.264889	0.122076	0.254226	0.105202	0.130580	0.119557	0.139135	0.251300	0.254226	0.105202	0.130580	0.119557	0.139135	0.251300	0.254226	0.105202	0.130580	0.119557	0.139135	0.251300	
5000	0.092720	2	0.120777	0.240598	0.126560	0.130026	0.259778	0.122262	0.120777	0.240598	0.126560	0.130026	0.259778	0.122262	0.120777	0.240598	0.126560	0.130026	0.259778	0.122262	0.251138	0.114515	0.119540	0.129013	0.127437	0.258357	0.251138	0.114515	0.119540	0.129013	0.127437	0.258357	0.251138	0.114515	0.119540	0.129013	0.127437	0.258357	
6000	0.092720	2	0.122973	0.254478	0.131710	0.122039	0.254655	0.114144	0.122973	0.254478	0.131710	0.122039	0.254655	0.114144	0.122973	0.254478	0.131710	0.122039	0.254655	0.114144	0.256340	0.123167	0.118115	0.126014	0.129456	0.246909	0.256340	0.123167	0.118115	0.126014	0.129456	0.246909	0.256340	0.123167	0.118115	0.126014	0.129456	0.246909	
7000	0.092720	2	0.124812	0.237810	0.132020	0.122603	0.270159	0.112595	0.124812	0.237810	0.132020	0.122603	0.270159	0.112595	0.124812	0.237810	0.132020	0.122603	0.270159	0.112595	0.257031	0.108537	0.129007	0.129273	0.133581	0.242571	0.257031	0.108537	0.129007	0.129273	0.133581	0.242571	0.257031	0.108537	0.129007	0.129273	0.133581	0.242571	
8000	0.092720	2	0.126976	0.250918	0.120968	0.137735	0.249685	0.113719	0.126976	0.250918	0.120968	0.137735	0.249685	0.113719	0.126976	0.250918	0.120968	0.137735	0.249685	0.113719	0.259987	0.108178	0.121780	0.127453	0.136348	0.246254	0.259987	0.108178	0.121780	0.127453	0.136348	0.246254	0.259987	0.108178	0.121780	0.127453	0.136348	0.246254	
9000	0.092720	2	0.132468	0.240943	0.125884	0.124527	0.259554	0.116624	0.132468	0.240943	0.125884	0.124527	0.259554	0.116624	0.132468	0.240943	0.125884	0.124527	0.259554	0.116624	0.262481	0.116097	0.130904	0.116141	0.136644	0.237734	0.262481	0.116097	0.130904	0.116141	0.136644	0.237734	0.262481	0.116097	0.130904	0.116141	0.136644	0.237734	
10000	0.092720	2	0.122445	0.244987	0.128281	0.134840	0.256586	0.112862	0.122445	0.244987	0.128281	0.134840	0.256586	0.112862	0.122445	0.244987	0.128281	0.134840	0.256586	0.112862	0.254746	0.109892	0.129104	0.122191	0.128898	0.255170	0.254746	0.109892	0.129104	0.122191	0.128898	0.255170	0.254746	0.109892	0.129104	0.122191	0.128898	0.255170	
