Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.181936	0.064055	0.720199	0.720199	0.064055	0.181936	
2000	1.695768	3	0.206229	0.060226	0.738549	0.738549	0.060226	0.206229	
3000	1.695768	3	0.195317	0.060394	0.752887	0.752887	0.060394	0.195317	
4000	1.695768	4	0.217373	0.062749	0.753890	0.753890	0.062749	0.207619	
5000	1.695768	3	0.201902	0.062766	0.775043	0.775043	0.062766	0.201902	
6000	1.695768	3	0.196326	0.060981	0.822969	0.822969	0.060981	0.196326	
7000	1.695768	3	0.205089	0.062714	0.843653	0.843653	0.062714	0.205089	
8000	1.695768	3	0.205363	0.062247	0.786770	0.786770	0.062247	0.205363	
9000	1.695768	4	0.209994	0.064105	0.737694	0.774736	0.064105	0.209994	
10000	1.695768	3	0.206047	0.062165	0.829143	0.829143	0.062165	0.206047	
11000	1.695768	3	0.204060	0.061676	0.731347	0.731347	0.061676	0.204060	
12000	1.695768	4	0.211060	0.061592	0.763298	0.806397	0.061592	0.211060	
13000	1.695768	4	0.208010	0.062135	0.789397	0.912398	0.062135	0.208010	
14000	1.695768	3	0.209320	0.061797	0.778138	0.778138	0.061797	0.209320	
15000	1.695768	3	0.209202	0.059476	0.805568	0.805568	0.059476	0.209202	
16000	1.695768	3	0.202930	0.060575	0.798027	0.798027	0.060575	0.202930	
17000	1.695768	3	0.221918	0.062825	0.797066	0.797066	0.062825	0.221918	
18000	1.695768	3	0.213503	0.064543	0.794529	0.794529	0.064543	0.213503	
19000	1.695768	3	0.212797	0.063637	0.769156	0.769156	0.063637	0.212797	
20000	1.695768	3	0.211684	0.065334	0.811003	0.811003	0.065334	0.211684	
21000	1.695768	5	0.206789	0.062512	0.886389	0.776098	0.064003	0.206789	
22000	1.695768	3	0.218844	0.059533	0.765238	0.765238	0.059533	0.218844	
23000	1.695768	3	0.217693	0.063320	0.803225	0.803225	0.063320	0.217693	
24000	1.695768	3	0.207181	0.062855	0.783844	0.783844	0.062855	0.207181	
25000	1.695768	3	0.214880	0.061672	0.778024	0.778024	0.061672	0.214880	
26000	1.695768	3	0.205144	0.061083	0.804278	0.804278	0.061083	0.205144	
27000	1.695768	3	0.211533	0.060498	0.876137	0.876137	0.060498	0.211533	
28000	1.695768	3	0.211074	0.063269	0.800353	0.800353	0.063269	0.211074	
29000	1.695768	3	0.205931	0.061033	0.808042	0.808042	0.061033	0.205931	
30000	1.695768	3	0.218958	0.061866	0.780870	0.780870	0.061866	0.218958	
31000	1.695768	3	0.207037	0.061883	0.801919	0.801919	0.061883	0.207037	
32000	1.695768	3	0.213403	0.063645	0.812248	0.812248	0.063645	0.213403	
33000	1.695768	4	0.213567	0.059672	0.787993	0.780160	0.059672	0.213567	
34000	1.695768	3	0.208214	0.061652	0.775073	0.775073	0.061652	0.208214	
