Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.099420	0.405701	0.403597	0.091282	0.259004	0.247834	0.237957	0.255205	0.408218	0.094680	0.098020	0.399081	0.099420	0.405701	0.403597	0.091282	0.259004	0.247834	0.237957	0.255205	0.408218	0.094680	0.098020	0.399081	
2000	1.695768	3	0.101218	0.397958	0.408433	0.092390	0.268074	0.248867	0.243662	0.239397	0.406673	0.098476	0.102061	0.392790	0.101218	0.397958	0.408433	0.092390	0.268074	0.248867	0.243662	0.239397	0.406673	0.098476	0.102061	0.392790	
3000	1.695768	3	0.101218	0.397958	0.408433	0.092390	0.276218	0.232705	0.232834	0.258242	0.406673	0.098476	0.102061	0.392790	0.101218	0.397958	0.408433	0.092390	0.276218	0.232705	0.232834	0.258242	0.406673	0.098476	0.102061	0.392790	
4000	1.695768	3	0.101218	0.397958	0.408433	0.092390	0.262037	0.251024	0.240515	0.246424	0.406673	0.098476	0.102061	0.392790	0.101218	0.397958	0.408433	0.092390	0.262037	0.251024	0.240515	0.246424	0.406673	0.098476	0.102061	0.392790	
5000	1.695768	3	0.099833	0.413624	0.391285	0.095258	0.257789	0.247560	0.244077	0.250574	0.408429	0.104162	0.100322	0.387087	0.099833	0.413624	0.391285	0.095258	0.257789	0.247560	0.244077	0.250574	0.408429	0.104162	0.100322	0.387087	
6000	1.695768	3	0.099225	0.408890	0.397940	0.093945	0.253691	0.251012	0.250017	0.245280	0.407449	0.103727	0.096008	0.392816	0.099225	0.408890	0.397940	0.093945	0.253691	0.251012	0.250017	0.245280	0.407449	0.103727	0.096008	0.392816	
7000	1.695768	3	0.099225	0.408890	0.397940	0.093945	0.259160	0.261861	0.241869	0.237111	0.398004	0.102435	0.100035	0.399525	0.099225	0.408890	0.397940	0.093945	0.259160	0.261861	0.241869	0.237111	0.398004	0.102435	0.100035	0.399525	
8000	1.695768	3	0.099225	0.408890	0.397940	0.093945	0.261571	0.243846	0.251030	0.243553	0.398004	0.102435	0.100035	0.399525	0.099225	0.408890	0.397940	0.093945	0.261571	0.243846	0.251030	0.243553	0.398004	0.102435	0.100035	0.399525	
9000	1.695768	3	0.097850	0.395384	0.407883	0.098884	0.261571	0.243846	0.251030	0.243553	0.398004	0.102435	0.100035	0.399525	0.097850	0.395384	0.407883	0.098884	0.261571	0.243846	0.251030	0.243553	0.398004	0.102435	0.100035	0.399525	
10000	1.695768	3	0.105380	0.391101	0.414215	0.089305	0.254056	0.239325	0.259777	0.246842	0.398004	0.102435	0.100035	0.399525	0.105380	0.391101	0.414215	0.089305	0.254056	0.239325	0.259777	0.246842	0.398004	0.102435	0.100035	0.399525	
11000	1.695768	3	0.099629	0.398123	0.411385	0.090862	0.252917	0.237339	0.255985	0.253760	0.395981	0.101332	0.100787	0.401899	0.099629	0.398123	0.411385	0.090862	0.252917	0.237339	0.255985	0.253760	0.395981	0.101332	0.100787	0.401899	
12000	1.695768	3	0.096753	0.404665	0.399985	0.098598	0.269062	0.239337	0.245350	0.246250	0.398921	0.098050	0.099882	0.403148	0.096753	0.404665	0.399985	0.098598	0.269062	0.239337	0.245350	0.246250	0.398921	0.098050	0.099882	0.403148	
13000	1.695768	3	0.098080	0.404337	0.404354	0.093229	0.256133	0.244363	0.243970	0.255533	0.398921	0.098050	0.099882	0.403148	0.098080	0.404337	0.404354	0.093229	0.256133	0.244363	0.243970	0.255533	0.398921	0.098050	0.099882	0.403148	
14000	1.695768	3	0.098080	0.404337	0.404354	0.093229	0.275908	0.245626	0.229043	0.249422	0.394097	0.102235	0.101582	0.402086	0.098080	0.404337	0.404354	0.093229	0.275908	0.245626	0.229043	0.249422	0.394097	0.102235	0.101582	0.402086	
15000	1.695768	3	0.101938	0.391316	0.409985	0.096761	0.250291	0.247922	0.242043	0.259744	0.401168	0.102209	0.095437	0.401186	0.101938	0.391316	0.409985	0.096761	0.250291	0.247922	0.242043	0.259744	0.401168	0.102209	0.095437	0.401186	
16000	1.695768	3	0.106966	0.397072	0.402917	0.093045	0.264088	0.240854	0.247853	0.247205	0.401168	0.102209	0.095437	0.401186	0.106966	0.397072	0.402917	0.093045	0.264088	0.240854	0.247853	0.247205	0.401168	0.102209	0.095437	0.401186	
17000	1.695768	3	0.106634	0.390161	0.410480	0.092725	0.256621	0.260724	0.249306	0.233349	0.401168	0.102209	0.095437	0.401186	0.106634	0.390161	0.410480	0.092725	0.256621	0.260724	0.249306	0.233349	0.401168	0.102209	0.095437	0.401186	
18000	1.695768	3	0.106634	0.390161	0.410480	0.092725	0.260161	0.250129	0.237671	0.252039	0.401168	0.102209	0.095437	0.401186	0.106634	0.390161	0.410480	0.092725	0.260161	0.250129	0.237671	0.252039	0.401168	0.102209	0.095437	0.401186	
