Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.102045	0.389832	0.408259	0.099864	0.249874	0.244995	0.263034	0.242097	0.392205	0.095838	0.110841	0.401117	0.102045	0.389832	0.408259	0.099864	0.249874	0.244995	0.263034	0.242097	0.392205	0.095838	0.110841	0.401117	
2000	0.092720	3	0.109760	0.380112	0.407826	0.102302	0.252529	0.221395	0.283564	0.242512	0.402669	0.097051	0.099930	0.400351	0.109760	0.380112	0.407826	0.102302	0.252529	0.221395	0.283564	0.242512	0.402669	0.097051	0.099930	0.400351	
3000	0.092720	3	0.110818	0.383726	0.401405	0.104051	0.237786	0.236250	0.283444	0.242520	0.402669	0.097051	0.099930	0.400351	0.110818	0.383726	0.401405	0.104051	0.237786	0.236250	0.283444	0.242520	0.402669	0.097051	0.099930	0.400351	
4000	0.092720	3	0.110818	0.383726	0.401405	0.104051	0.247117	0.240128	0.275763	0.236992	0.411427	0.096659	0.103150	0.388764	0.110818	0.383726	0.401405	0.104051	0.247117	0.240128	0.275763	0.236992	0.411427	0.096659	0.103150	0.388764	
5000	0.092720	3	0.101476	0.387507	0.410272	0.100746	0.247117	0.240128	0.275763	0.236992	0.411427	0.096659	0.103150	0.388764	0.101476	0.387507	0.410272	0.100746	0.247117	0.240128	0.275763	0.236992	0.411427	0.096659	0.103150	0.388764	
6000	0.092720	3	0.101476	0.387507	0.410272	0.100746	0.247777	0.233974	0.266802	0.251447	0.411427	0.096659	0.103150	0.388764	0.101476	0.387507	0.410272	0.100746	0.247777	0.233974	0.266802	0.251447	0.411427	0.096659	0.103150	0.388764	
7000	0.092720	3	0.103742	0.403706	0.392620	0.099931	0.251446	0.232060	0.264730	0.251765	0.407135	0.094010	0.103435	0.395421	0.103742	0.403706	0.392620	0.099931	0.251446	0.232060	0.264730	0.251765	0.407135	0.094010	0.103435	0.395421	
8000	0.092720	3	0.103742	0.403706	0.392620	0.099931	0.243415	0.230985	0.269117	0.256482	0.407135	0.094010	0.103435	0.395421	0.103742	0.403706	0.392620	0.099931	0.243415	0.230985	0.269117	0.256482	0.407135	0.094010	0.103435	0.395421	
9000	0.092720	3	0.103742	0.403706	0.392620	0.099931	0.245008	0.241322	0.283702	0.229968	0.407135	0.094010	0.103435	0.395421	0.103742	0.403706	0.392620	0.099931	0.245008	0.241322	0.283702	0.229968	0.407135	0.094010	0.103435	0.395421	
10000	0.092720	3	0.105670	0.392584	0.394683	0.107063	0.249076	0.235264	0.262700	0.252960	0.407135	0.094010	0.103435	0.395421	0.105670	0.392584	0.394683	0.107063	0.249076	0.235264	0.262700	0.252960	0.407135	0.094010	0.103435	0.395421	
