Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.109195	0.390983	0.394982	0.104839	0.267688	0.260160	0.240390	0.231763	0.395421	0.098646	0.095080	0.410853	0.109195	0.390983	0.394982	0.104839	0.267688	0.260160	0.240390	0.231763	0.395421	0.098646	0.095080	0.410853	
2000	0.092720	3	0.103280	0.388377	0.415812	0.092531	0.257240	0.261451	0.255301	0.226008	0.393672	0.100086	0.102581	0.403661	0.103280	0.388377	0.415812	0.092531	0.257240	0.261451	0.255301	0.226008	0.393672	0.100086	0.102581	0.403661	
3000	0.092720	3	0.108198	0.395666	0.403613	0.092523	0.262763	0.255073	0.247930	0.234234	0.393672	0.100086	0.102581	0.403661	0.108198	0.395666	0.403613	0.092523	0.262763	0.255073	0.247930	0.234234	0.393672	0.100086	0.102581	0.403661	
4000	0.092720	3	0.103648	0.401225	0.406672	0.088455	0.263581	0.256695	0.238487	0.241236	0.393672	0.100086	0.102581	0.403661	0.103648	0.401225	0.406672	0.088455	0.263581	0.256695	0.238487	0.241236	0.393672	0.100086	0.102581	0.403661	
5000	0.092720	3	0.099005	0.397919	0.414682	0.088394	0.254691	0.252300	0.250889	0.242120	0.393672	0.100086	0.102581	0.403661	0.099005	0.397919	0.414682	0.088394	0.254691	0.252300	0.250889	0.242120	0.393672	0.100086	0.102581	0.403661	
6000	0.092720	3	0.099005	0.397919	0.414682	0.088394	0.267106	0.261955	0.251755	0.219185	0.392557	0.099736	0.102749	0.404958	0.099005	0.397919	0.414682	0.088394	0.267106	0.261955	0.251755	0.219185	0.392557	0.099736	0.102749	0.404958	
7000	0.092720	3	0.099816	0.397569	0.410223	0.092392	0.247089	0.262813	0.252100	0.237998	0.392557	0.099736	0.102749	0.404958	0.099816	0.397569	0.410223	0.092392	0.247089	0.262813	0.252100	0.237998	0.392557	0.099736	0.102749	0.404958	
8000	0.092720	3	0.103402	0.396298	0.408631	0.091670	0.264729	0.259330	0.250374	0.225567	0.392557	0.099736	0.102749	0.404958	0.103402	0.396298	0.408631	0.091670	0.264729	0.259330	0.250374	0.225567	0.392557	0.099736	0.102749	0.404958	
9000	0.092720	3	0.103402	0.396298	0.408631	0.091670	0.264729	0.259330	0.250374	0.225567	0.392557	0.099736	0.102749	0.404958	0.103402	0.396298	0.408631	0.091670	0.264729	0.259330	0.250374	0.225567	0.392557	0.099736	0.102749	0.404958	
10000	0.092720	3	0.103402	0.396298	0.408631	0.091670	0.258040	0.259296	0.248169	0.234494	0.392557	0.099736	0.102749	0.404958	0.103402	0.396298	0.408631	0.091670	0.258040	0.259296	0.248169	0.234494	0.392557	0.099736	0.102749	0.404958	
11000	0.092720	3	0.103402	0.396298	0.408631	0.091670	0.250758	0.266876	0.253705	0.228661	0.392557	0.099736	0.102749	0.404958	0.103402	0.396298	0.408631	0.091670	0.250758	0.266876	0.253705	0.228661	0.392557	0.099736	0.102749	0.404958	
