Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	71.353907	2	0.126880	0.245214	0.120121	0.134834	0.238926	0.134025	0.126880	0.245214	0.120121	0.134834	0.238926	0.134025	0.126880	0.245214	0.120121	0.134834	0.238926	0.134025	0.225813	0.131695	0.137429	0.129796	0.128165	0.247103	0.225813	0.131695	0.137429	0.129796	0.128165	0.247103	0.225813	0.131695	0.137429	0.129796	0.128165	0.247103	
2000	71.353907	2	0.121340	0.241225	0.123268	0.130931	0.255949	0.127287	0.121340	0.241225	0.123268	0.130931	0.255949	0.127287	0.121340	0.241225	0.123268	0.130931	0.255949	0.127287	0.248500	0.132642	0.123920	0.128666	0.125135	0.241137	0.248500	0.132642	0.123920	0.128666	0.125135	0.241137	0.248500	0.132642	0.123920	0.128666	0.125135	0.241137	
3000	71.353907	2	0.135067	0.236837	0.119366	0.137845	0.250013	0.120872	0.135067	0.236837	0.119366	0.137845	0.250013	0.120872	0.135067	0.236837	0.119366	0.137845	0.250013	0.120872	0.250815	0.121605	0.127271	0.133928	0.119520	0.246860	0.250815	0.121605	0.127271	0.133928	0.119520	0.246860	0.250815	0.121605	0.127271	0.133928	0.119520	0.246860	
4000	71.353907	2	0.140540	0.229285	0.124534	0.124929	0.249457	0.131256	0.140540	0.229285	0.124534	0.124929	0.249457	0.131256	0.140540	0.229285	0.124534	0.124929	0.249457	0.131256	0.256411	0.119979	0.120197	0.132542	0.119788	0.251083	0.256411	0.119979	0.120197	0.132542	0.119788	0.251083	0.256411	0.119979	0.120197	0.132542	0.119788	0.251083	
5000	71.353907	2	0.127909	0.238631	0.121324	0.131196	0.250066	0.130874	0.127909	0.238631	0.121324	0.131196	0.250066	0.130874	0.127909	0.238631	0.121324	0.131196	0.250066	0.130874	0.237619	0.116955	0.125919	0.126364	0.129265	0.263877	0.237619	0.116955	0.125919	0.126364	0.129265	0.263877	0.237619	0.116955	0.125919	0.126364	0.129265	0.263877	
6000	71.353907	2	0.122524	0.244074	0.125789	0.125326	0.250452	0.131835	0.122524	0.244074	0.125789	0.125326	0.250452	0.131835	0.122524	0.244074	0.125789	0.125326	0.250452	0.131835	0.230118	0.132068	0.117354	0.130789	0.122315	0.267355	0.230118	0.132068	0.117354	0.130789	0.122315	0.267355	0.230118	0.132068	0.117354	0.130789	0.122315	0.267355	
7000	71.353907	2	0.132807	0.249082	0.126742	0.118845	0.236104	0.136420	0.132807	0.249082	0.126742	0.118845	0.236104	0.136420	0.132807	0.249082	0.126742	0.118845	0.236104	0.136420	0.225493	0.127103	0.120323	0.126878	0.125309	0.274894	0.225493	0.127103	0.120323	0.126878	0.125309	0.274894	0.225493	0.127103	0.120323	0.126878	0.125309	0.274894	
8000	71.353907	2	0.124333	0.248121	0.120463	0.136221	0.238412	0.132449	0.124333	0.248121	0.120463	0.136221	0.238412	0.132449	0.124333	0.248121	0.120463	0.136221	0.238412	0.132449	0.249031	0.118436	0.119971	0.114241	0.130329	0.267991	0.249031	0.118436	0.119971	0.114241	0.130329	0.267991	0.249031	0.118436	0.119971	0.114241	0.130329	0.267991	
9000	71.353907	2	0.123513	0.237495	0.119425	0.128857	0.245924	0.144787	0.123513	0.237495	0.119425	0.128857	0.245924	0.144787	0.123513	0.237495	0.119425	0.128857	0.245924	0.144787	0.252419	0.116943	0.118633	0.124091	0.137052	0.250864	0.252419	0.116943	0.118633	0.124091	0.137052	0.250864	0.252419	0.116943	0.118633	0.124091	0.137052	0.250864	
10000	71.353907	2	0.129717	0.254336	0.124505	0.133946	0.224099	0.133396	0.129717	0.254336	0.124505	0.133946	0.224099	0.133396	0.129717	0.254336	0.124505	0.133946	0.224099	0.133396	0.232564	0.118467	0.116439	0.127974	0.133278	0.271279	0.232564	0.118467	0.116439	0.127974	0.133278	0.271279	0.232564	0.118467	0.116439	0.127974	0.133278	0.271279	
11000	71.353907	2	0.129385	0.238439	0.124109	0.118231	0.257471	0.132366	0.129385	0.238439	0.124109	0.118231	0.257471	0.132366	0.129385	0.238439	0.124109	0.118231	0.257471	0.132366	0.234785	0.126226	0.119750	0.118724	0.137781	0.262735	0.234785	0.126226	0.119750	0.118724	0.137781	0.262735	0.234785	0.126226	0.119750	0.118724	0.137781	0.262735	
12000	71.353907	2	0.130206	0.251682	0.129381	0.120683	0.244171	0.123877	0.130206	0.251682	0.129381	0.120683	0.244171	0.123877	0.130206	0.251682	0.129381	0.120683	0.244171	0.123877	0.236466	0.127396	0.126440	0.111502	0.134537	0.263659	0.236466	0.127396	0.126440	0.111502	0.134537	0.263659	0.236466	0.127396	0.126440	0.111502	0.134537	0.263659	
13000	71.353907	2	0.128077	0.248154	0.128040	0.126477	0.241640	0.127612	0.128077	0.248154	0.128040	0.126477	0.241640	0.127612	0.128077	0.248154	0.128040	0.126477	0.241640	0.127612	0.243431	0.115661	0.120434	0.124165	0.139700	0.256609	0.243431	0.115661	0.120434	0.124165	0.139700	0.256609	0.243431	0.115661	0.120434	0.124165	0.139700	0.256609	
14000	71.353907	2	0.122313	0.243360	0.122234	0.127999	0.255949	0.128146	0.122313	0.243360	0.122234	0.127999	0.255949	0.128146	0.122313	0.243360	0.122234	0.127999	0.255949	0.128146	0.227142	0.115902	0.133033	0.125686	0.127047	0.271190	0.227142	0.115902	0.133033	0.125686	0.127047	0.271190	0.227142	0.115902	0.133033	0.125686	0.127047	0.271190	
15000	71.353907	2	0.133180	0.250868	0.122319	0.130885	0.244641	0.118106	0.133180	0.250868	0.122319	0.130885	0.244641	0.118106	0.133180	0.250868	0.122319	0.130885	0.244641	0.118106	0.247840	0.120116	0.112839	0.125007	0.134257	0.259942	0.247840	0.120116	0.112839	0.125007	0.134257	0.259942	0.247840	0.120116	0.112839	0.125007	0.134257	0.259942	
