Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.099797	0.396683	0.410143	0.093377	0.234629	0.255683	0.263329	0.246359	0.393561	0.105351	0.096315	0.404773	0.099797	0.396683	0.410143	0.093377	0.234629	0.255683	0.263329	0.246359	0.393561	0.105351	0.096315	0.404773	
2000	1.695768	3	0.099797	0.396683	0.410143	0.093377	0.246956	0.248323	0.269128	0.235593	0.397534	0.103343	0.093042	0.406081	0.099797	0.396683	0.410143	0.093377	0.246956	0.248323	0.269128	0.235593	0.397534	0.103343	0.093042	0.406081	
3000	1.695768	3	0.099797	0.396683	0.410143	0.093377	0.246540	0.249258	0.268134	0.236069	0.397902	0.102863	0.096344	0.402890	0.099797	0.396683	0.410143	0.093377	0.246540	0.249258	0.268134	0.236069	0.397902	0.102863	0.096344	0.402890	
4000	1.695768	3	0.100356	0.390828	0.411346	0.097469	0.249951	0.244489	0.260670	0.244890	0.408347	0.099903	0.096271	0.395478	0.100356	0.390828	0.411346	0.097469	0.249951	0.244489	0.260670	0.244890	0.408347	0.099903	0.096271	0.395478	
5000	1.695768	3	0.100356	0.390828	0.411346	0.097469	0.251451	0.251266	0.257918	0.239365	0.408347	0.099903	0.096271	0.395478	0.100356	0.390828	0.411346	0.097469	0.251451	0.251266	0.257918	0.239365	0.408347	0.099903	0.096271	0.395478	
6000	1.695768	3	0.102646	0.390030	0.408722	0.098602	0.254630	0.253566	0.259179	0.232625	0.403462	0.099617	0.093265	0.403657	0.102646	0.390030	0.408722	0.098602	0.254630	0.253566	0.259179	0.232625	0.403462	0.099617	0.093265	0.403657	
7000	1.695768	3	0.093211	0.399418	0.408005	0.099366	0.258178	0.246395	0.254058	0.241369	0.401101	0.099983	0.096929	0.401987	0.093211	0.399418	0.408005	0.099366	0.258178	0.246395	0.254058	0.241369	0.401101	0.099983	0.096929	0.401987	
8000	1.695768	3	0.098060	0.391499	0.407757	0.102684	0.244493	0.249105	0.261359	0.245043	0.401101	0.099983	0.096929	0.401987	0.098060	0.391499	0.407757	0.102684	0.244493	0.249105	0.261359	0.245043	0.401101	0.099983	0.096929	0.401987	
9000	1.695768	3	0.098060	0.391499	0.407757	0.102684	0.233255	0.249830	0.268386	0.248529	0.401101	0.099983	0.096929	0.401987	0.098060	0.391499	0.407757	0.102684	0.233255	0.249830	0.268386	0.248529	0.401101	0.099983	0.096929	0.401987	
10000	1.695768	3	0.098060	0.391499	0.407757	0.102684	0.251849	0.229504	0.275237	0.243410	0.401101	0.099983	0.096929	0.401987	0.098060	0.391499	0.407757	0.102684	0.251849	0.229504	0.275237	0.243410	0.401101	0.099983	0.096929	0.401987	
