Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.110768	0.399614	0.388820	0.100797	0.273376	0.256722	0.239271	0.230631	0.396717	0.095182	0.098065	0.410036	0.110768	0.399614	0.388820	0.100797	0.273376	0.256722	0.239271	0.230631	0.396717	0.095182	0.098065	0.410036	
2000	71.353907	3	0.098503	0.410143	0.395779	0.095575	0.268294	0.251370	0.234506	0.245830	0.396717	0.095182	0.098065	0.410036	0.098503	0.410143	0.395779	0.095575	0.268294	0.251370	0.234506	0.245830	0.396717	0.095182	0.098065	0.410036	
3000	71.353907	3	0.103024	0.400518	0.394923	0.101534	0.263007	0.249860	0.249597	0.237536	0.402685	0.099315	0.101971	0.396029	0.103024	0.400518	0.394923	0.101534	0.263007	0.249860	0.249597	0.237536	0.402685	0.099315	0.101971	0.396029	
4000	71.353907	3	0.097084	0.405690	0.403916	0.093311	0.260076	0.257014	0.240252	0.242659	0.392173	0.107302	0.099156	0.401369	0.097084	0.405690	0.403916	0.093311	0.260076	0.257014	0.240252	0.242659	0.392173	0.107302	0.099156	0.401369	
5000	71.353907	3	0.101921	0.405000	0.393353	0.099726	0.261841	0.259591	0.245937	0.232632	0.392173	0.107302	0.099156	0.401369	0.101921	0.405000	0.393353	0.099726	0.261841	0.259591	0.245937	0.232632	0.392173	0.107302	0.099156	0.401369	
6000	71.353907	3	0.101921	0.405000	0.393353	0.099726	0.267741	0.247438	0.245372	0.239449	0.392173	0.107302	0.099156	0.401369	0.101921	0.405000	0.393353	0.099726	0.267741	0.247438	0.245372	0.239449	0.392173	0.107302	0.099156	0.401369	
7000	71.353907	3	0.105398	0.399368	0.400961	0.094273	0.267899	0.258979	0.246998	0.226125	0.396060	0.100288	0.100126	0.403525	0.105398	0.399368	0.400961	0.094273	0.267899	0.258979	0.246998	0.226125	0.396060	0.100288	0.100126	0.403525	
8000	71.353907	3	0.103420	0.392715	0.402260	0.101605	0.274074	0.245286	0.251916	0.228725	0.396060	0.100288	0.100126	0.403525	0.103420	0.392715	0.402260	0.101605	0.274074	0.245286	0.251916	0.228725	0.396060	0.100288	0.100126	0.403525	
9000	71.353907	3	0.100366	0.396527	0.404617	0.098491	0.272194	0.263115	0.236708	0.227983	0.396060	0.100288	0.100126	0.403525	0.100366	0.396527	0.404617	0.098491	0.272194	0.263115	0.236708	0.227983	0.396060	0.100288	0.100126	0.403525	
10000	71.353907	3	0.100366	0.396527	0.404617	0.098491	0.264120	0.249986	0.243669	0.242226	0.396060	0.100288	0.100126	0.403525	0.100366	0.396527	0.404617	0.098491	0.264120	0.249986	0.243669	0.242226	0.396060	0.100288	0.100126	0.403525	
11000	71.353907	3	0.104773	0.396289	0.399794	0.099144	0.281155	0.238234	0.248319	0.232292	0.393172	0.103705	0.101613	0.401510	0.104773	0.396289	0.399794	0.099144	0.281155	0.238234	0.248319	0.232292	0.393172	0.103705	0.101613	0.401510	
12000	71.353907	3	0.099551	0.400255	0.406334	0.093860	0.263027	0.245647	0.241385	0.249941	0.393172	0.103705	0.101613	0.401510	0.099551	0.400255	0.406334	0.093860	0.263027	0.245647	0.241385	0.249941	0.393172	0.103705	0.101613	0.401510	
13000	71.353907	3	0.097737	0.406711	0.399275	0.096277	0.264762	0.248192	0.242103	0.244944	0.395356	0.098835	0.100614	0.405194	0.097737	0.406711	0.399275	0.096277	0.264762	0.248192	0.242103	0.244944	0.395356	0.098835	0.100614	0.405194	
14000	71.353907	3	0.107395	0.386562	0.404041	0.102003	0.264551	0.250083	0.252208	0.233157	0.395356	0.098835	0.100614	0.405194	0.107395	0.386562	0.404041	0.102003	0.264551	0.250083	0.252208	0.233157	0.395356	0.098835	0.100614	0.405194	
15000	71.353907	3	0.101056	0.404578	0.396638	0.097728	0.269900	0.241952	0.256413	0.231735	0.395356	0.098835	0.100614	0.405194	0.101056	0.404578	0.396638	0.097728	0.269900	0.241952	0.256413	0.231735	0.395356	0.098835	0.100614	0.405194	
16000	71.353907	3	0.094677	0.396314	0.407499	0.101511	0.268796	0.244068	0.246041	0.241094	0.395356	0.098835	0.100614	0.405194	0.094677	0.396314	0.407499	0.101511	0.268796	0.244068	0.246041	0.241094	0.395356	0.098835	0.100614	0.405194	
17000	71.353907	3	0.095503	0.396080	0.409835	0.098581	0.266642	0.246275	0.240713	0.246370	0.396808	0.098459	0.097244	0.407490	0.095503	0.396080	0.409835	0.098581	0.266642	0.246275	0.240713	0.246370	0.396808	0.098459	0.097244	0.407490	
18000	71.353907	3	0.100938	0.397065	0.401651	0.100346	0.273631	0.246389	0.241037	0.238943	0.396808	0.098459	0.097244	0.407490	0.100938	0.397065	0.401651	0.100346	0.273631	0.246389	0.241037	0.238943	0.396808	0.098459	0.097244	0.407490	
19000	71.353907	3	0.100938	0.397065	0.401651	0.100346	0.261804	0.255149	0.249373	0.233674	0.396808	0.098459	0.097244	0.407490	0.100938	0.397065	0.401651	0.100346	0.261804	0.255149	0.249373	0.233674	0.396808	0.098459	0.097244	0.407490	
20000	71.353907	3	0.100938	0.397065	0.401651	0.100346	0.262085	0.246969	0.249227	0.241720	0.390862	0.101658	0.098225	0.409255	0.100938	0.397065	0.401651	0.100346	0.262085	0.246969	0.249227	0.241720	0.390862	0.101658	0.098225	0.409255	
21000	71.353907	3	0.100551	0.383132	0.416668	0.099649	0.258909	0.249431	0.255552	0.236107	0.396214	0.098660	0.101638	0.403488	0.100551	0.383132	0.416668	0.099649	0.258909	0.249431	0.255552	0.236107	0.396214	0.098660	0.101638	0.403488	
22000	71.353907	3	0.099197	0.387664	0.415518	0.097621	0.262750	0.248450	0.251588	0.237212	0.398068	0.100556	0.102616	0.398760	0.099197	0.387664	0.415518	0.097621	0.262750	0.248450	0.251588	0.237212	0.398068	0.100556	0.102616	0.398760	
23000	71.353907	3	0.104311	0.389986	0.402738	0.102965	0.267255	0.247005	0.257891	0.227849	0.398068	0.100556	0.102616	0.398760	0.104311	0.389986	0.402738	0.102965	0.267255	0.247005	0.257891	0.227849	0.398068	0.100556	0.102616	0.398760	
24000	71.353907	3	0.100387	0.411048	0.396126	0.092439	0.265689	0.270227	0.237121	0.226963	0.398068	0.100556	0.102616	0.398760	0.100387	0.411048	0.396126	0.092439	0.265689	0.270227	0.237121	0.226963	0.398068	0.100556	0.102616	0.398760	
25000	71.353907	3	0.100387	0.411048	0.396126	0.092439	0.268421	0.253012	0.250138	0.228429	0.388297	0.104494	0.103342	0.403867	0.100387	0.411048	0.396126	0.092439	0.268421	0.253012	0.250138	0.228429	0.388297	0.104494	0.103342	0.403867	
26000	71.353907	3	0.104165	0.396962	0.402193	0.096680	0.268421	0.253012	0.250138	0.228429	0.394611	0.098894	0.102888	0.403607	0.104165	0.396962	0.402193	0.096680	0.268421	0.253012	0.250138	0.228429	0.394611	0.098894	0.102888	0.403607	
27000	71.353907	3	0.102751	0.396294	0.403752	0.097203	0.273219	0.246163	0.245186	0.235433	0.394611	0.098894	0.102888	0.403607	0.102751	0.396294	0.403752	0.097203	0.273219	0.246163	0.245186	0.235433	0.394611	0.098894	0.102888	0.403607	
28000	71.353907	3	0.099573	0.395700	0.407208	0.097519	0.267232	0.244414	0.246207	0.242146	0.394611	0.098894	0.102888	0.403607	0.099573	0.395700	0.407208	0.097519	0.267232	0.244414	0.246207	0.242146	0.394611	0.098894	0.102888	0.403607	
29000	71.353907	3	0.104101	0.400164	0.396134	0.099601	0.267232	0.244414	0.246207	0.242146	0.394611	0.098894	0.102888	0.403607	0.104101	0.400164	0.396134	0.099601	0.267232	0.244414	0.246207	0.242146	0.394611	0.098894	0.102888	0.403607	
30000	71.353907	3	0.104101	0.400164	0.396134	0.099601	0.267483	0.260661	0.231426	0.240430	0.400073	0.101680	0.097896	0.400351	0.104101	0.400164	0.396134	0.099601	0.267483	0.260661	0.231426	0.240430	0.400073	0.101680	0.097896	0.400351	
31000	71.353907	3	0.103975	0.394521	0.402844	0.098659	0.260453	0.246253	0.263478	0.229816	0.400073	0.101680	0.097896	0.400351	0.103975	0.394521	0.402844	0.098659	0.260453	0.246253	0.263478	0.229816	0.400073	0.101680	0.097896	0.400351	
32000	71.353907	3	0.109883	0.397978	0.393002	0.099138	0.261923	0.242356	0.243595	0.252125	0.400378	0.096325	0.098962	0.404335	0.109883	0.397978	0.393002	0.099138	0.261923	0.242356	0.243595	0.252125	0.400378	0.096325	0.098962	0.404335	
33000	71.353907	3	0.109827	0.401788	0.392163	0.096222	0.269497	0.255364	0.244023	0.231117	0.387144	0.100812	0.101389	0.410655	0.109827	0.401788	0.392163	0.096222	0.269497	0.255364	0.244023	0.231117	0.387144	0.100812	0.101389	0.410655	
34000	71.353907	3	0.108965	0.387243	0.408870	0.094923	0.256027	0.249584	0.267808	0.226581	0.387144	0.100812	0.101389	0.410655	0.108965	0.387243	0.408870	0.094923	0.256027	0.249584	0.267808	0.226581	0.387144	0.100812	0.101389	0.410655	
35000	71.353907	3	0.097911	0.398727	0.399604	0.103758	0.262059	0.255514	0.242374	0.240053	0.387144	0.100812	0.101389	0.410655	0.097911	0.398727	0.399604	0.103758	0.262059	0.255514	0.242374	0.240053	0.387144	0.100812	0.101389	0.410655	
36000	71.353907	3	0.101618	0.387029	0.412540	0.098813	0.262059	0.255514	0.242374	0.240053	0.398539	0.096880	0.099465	0.405116	0.101618	0.387029	0.412540	0.098813	0.262059	0.255514	0.242374	0.240053	0.398539	0.096880	0.099465	0.405116	
37000	71.353907	3	0.101618	0.387029	0.412540	0.098813	0.273520	0.259157	0.239143	0.228181	0.398539	0.096880	0.099465	0.405116	0.101618	0.387029	0.412540	0.098813	0.273520	0.259157	0.239143	0.228181	0.398539	0.096880	0.099465	0.405116	
38000	71.353907	3	0.104312	0.384651	0.412271	0.098765	0.261254	0.256230	0.262205	0.220311	0.395529	0.102984	0.098941	0.402546	0.104312	0.384651	0.412271	0.098765	0.261254	0.256230	0.262205	0.220311	0.395529	0.102984	0.098941	0.402546	
39000	71.353907	3	0.102668	0.391483	0.408167	0.097682	0.254632	0.252917	0.246708	0.245744	0.395529	0.102984	0.098941	0.402546	0.102668	0.391483	0.408167	0.097682	0.254632	0.252917	0.246708	0.245744	0.395529	0.102984	0.098941	0.402546	
40000	71.353907	3	0.104797	0.401107	0.401663	0.092434	0.270531	0.238643	0.251680	0.239146	0.395529	0.102984	0.098941	0.402546	0.104797	0.401107	0.401663	0.092434	0.270531	0.238643	0.251680	0.239146	0.395529	0.102984	0.098941	0.402546	
41000	71.353907	3	0.101338	0.403240	0.402977	0.092445	0.256869	0.256569	0.246284	0.240279	0.395529	0.102984	0.098941	0.402546	0.101338	0.403240	0.402977	0.092445	0.256869	0.256569	0.246284	0.240279	0.395529	0.102984	0.098941	0.402546	
42000	71.353907	3	0.096859	0.400996	0.403015	0.099130	0.276281	0.251397	0.246712	0.225610	0.395529	0.102984	0.098941	0.402546	0.096859	0.400996	0.403015	0.099130	0.276281	0.251397	0.246712	0.225610	0.395529	0.102984	0.098941	0.402546	
43000	71.353907	3	0.102489	0.393812	0.400224	0.103474	0.289297	0.249097	0.215172	0.246434	0.395529	0.102984	0.098941	0.402546	0.102489	0.393812	0.400224	0.103474	0.289297	0.249097	0.215172	0.246434	0.395529	0.102984	0.098941	0.402546	
44000	71.353907	3	0.101545	0.406202	0.394023	0.098229	0.271345	0.254145	0.245629	0.228881	0.395529	0.102984	0.098941	0.402546	0.101545	0.406202	0.394023	0.098229	0.271345	0.254145	0.245629	0.228881	0.395529	0.102984	0.098941	0.402546	
45000	71.353907	3	0.101396	0.401419	0.400070	0.097116	0.255359	0.247734	0.250919	0.245988	0.395529	0.102984	0.098941	0.402546	0.101396	0.401419	0.400070	0.097116	0.255359	0.247734	0.250919	0.245988	0.395529	0.102984	0.098941	0.402546	
