Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	1.695768	2	0.129768	0.234376	0.134213	0.119980	0.244685	0.136977	0.129768	0.234376	0.134213	0.119980	0.244685	0.136977	0.129768	0.234376	0.134213	0.119980	0.244685	0.136977	0.232449	0.118486	0.143244	0.129395	0.134066	0.242359	0.232449	0.118486	0.143244	0.129395	0.134066	0.242359	0.232449	0.118486	0.143244	0.129395	0.134066	0.242359	
2000	1.695768	2	0.119156	0.250911	0.124974	0.123009	0.244819	0.137132	0.119156	0.250911	0.124974	0.123009	0.244819	0.137132	0.119156	0.250911	0.124974	0.123009	0.244819	0.137132	0.232345	0.139513	0.127647	0.129943	0.129476	0.241075	0.232345	0.139513	0.127647	0.129943	0.129476	0.241075	0.232345	0.139513	0.127647	0.129943	0.129476	0.241075	
3000	1.695768	2	0.128280	0.242117	0.132568	0.136841	0.230618	0.129576	0.128280	0.242117	0.132568	0.136841	0.230618	0.129576	0.128280	0.242117	0.132568	0.136841	0.230618	0.129576	0.237602	0.141537	0.131184	0.135663	0.128007	0.226007	0.237602	0.141537	0.131184	0.135663	0.128007	0.226007	0.237602	0.141537	0.131184	0.135663	0.128007	0.226007	
4000	1.695768	2	0.118881	0.257017	0.125258	0.135920	0.240017	0.122906	0.118881	0.257017	0.125258	0.135920	0.240017	0.122906	0.118881	0.257017	0.125258	0.135920	0.240017	0.122906	0.224303	0.151186	0.134443	0.130879	0.135942	0.223246	0.224303	0.151186	0.134443	0.130879	0.135942	0.223246	0.224303	0.151186	0.134443	0.130879	0.135942	0.223246	
5000	1.695768	2	0.122471	0.257679	0.123855	0.126450	0.248691	0.120854	0.122471	0.257679	0.123855	0.126450	0.248691	0.120854	0.122471	0.257679	0.123855	0.126450	0.248691	0.120854	0.225677	0.141913	0.132117	0.139493	0.124737	0.236063	0.225677	0.141913	0.132117	0.139493	0.124737	0.236063	0.225677	0.141913	0.132117	0.139493	0.124737	0.236063	
6000	1.695768	2	0.129437	0.246154	0.134239	0.134860	0.236291	0.119019	0.129437	0.246154	0.134239	0.134860	0.236291	0.119019	0.129437	0.246154	0.134239	0.134860	0.236291	0.119019	0.229443	0.147513	0.134390	0.124758	0.127759	0.236137	0.229443	0.147513	0.134390	0.124758	0.127759	0.236137	0.229443	0.147513	0.134390	0.124758	0.127759	0.236137	
7000	1.695768	2	0.122374	0.252413	0.129818	0.136960	0.234485	0.123951	0.122374	0.252413	0.129818	0.136960	0.234485	0.123951	0.122374	0.252413	0.129818	0.136960	0.234485	0.123951	0.220908	0.150261	0.136529	0.126744	0.125913	0.239645	0.220908	0.150261	0.136529	0.126744	0.125913	0.239645	0.220908	0.150261	0.136529	0.126744	0.125913	0.239645	
8000	1.695768	2	0.128536	0.254703	0.129453	0.121494	0.242125	0.123690	0.128536	0.254703	0.129453	0.121494	0.242125	0.123690	0.128536	0.254703	0.129453	0.121494	0.242125	0.123690	0.220908	0.130899	0.135237	0.133133	0.131085	0.248738	0.220908	0.130899	0.135237	0.133133	0.131085	0.248738	0.220908	0.130899	0.135237	0.133133	0.131085	0.248738	
9000	1.695768	2	0.122965	0.255303	0.132337	0.130960	0.235391	0.123045	0.122965	0.255303	0.132337	0.130960	0.235391	0.123045	0.122965	0.255303	0.132337	0.130960	0.235391	0.123045	0.239208	0.140665	0.138718	0.130654	0.123133	0.227622	0.239208	0.140665	0.138718	0.130654	0.123133	0.227622	0.239208	0.140665	0.138718	0.130654	0.123133	0.227622	
10000	1.695768	2	0.123372	0.246108	0.127873	0.126867	0.253244	0.122536	0.123372	0.246108	0.127873	0.126867	0.253244	0.122536	0.123372	0.246108	0.127873	0.126867	0.253244	0.122536	0.236582	0.145018	0.124998	0.135435	0.121729	0.236238	0.236582	0.145018	0.124998	0.135435	0.121729	0.236238	0.236582	0.145018	0.124998	0.135435	0.121729	0.236238	
