Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.191959	0.059442	0.775939	0.775939	0.059442	0.191959	
2000	1.695768	3	0.191526	0.061396	0.815593	0.815593	0.061396	0.191526	
3000	1.695768	3	0.205174	0.061133	0.795471	0.795471	0.061133	0.205174	
4000	1.695768	3	0.214446	0.061024	0.802671	0.802671	0.061024	0.214446	
5000	1.695768	3	0.200690	0.067828	0.784605	0.784605	0.067828	0.200690	
6000	1.695768	3	0.197396	0.064197	0.818017	0.818017	0.064197	0.197396	
7000	1.695768	3	0.196184	0.065571	0.821231	0.821231	0.065571	0.196184	
8000	1.695768	3	0.201318	0.064948	0.819343	0.819343	0.064948	0.201318	
9000	1.695768	3	0.200178	0.063720	0.760156	0.760156	0.063720	0.200178	
10000	1.695768	3	0.189713	0.058118	0.803463	0.803463	0.058118	0.189713	
11000	1.695768	3	0.200026	0.064466	0.739636	0.739636	0.064466	0.200026	
12000	1.695768	3	0.194771	0.065871	0.804789	0.804789	0.065871	0.194771	
13000	1.695768	3	0.205160	0.063802	0.797281	0.797281	0.063802	0.205160	
14000	1.695768	3	0.186880	0.063757	0.805518	0.805518	0.063757	0.186880	
15000	1.695768	4	0.191794	0.068240	0.795969	0.843768	0.068240	0.191794	
16000	1.695768	3	0.189572	0.065524	0.813706	0.813706	0.065524	0.189572	
17000	1.695768	3	0.189283	0.064322	0.806670	0.806670	0.064322	0.189283	
18000	1.695768	3	0.191487	0.063843	0.769295	0.769295	0.063843	0.191487	
19000	1.695768	3	0.187793	0.065759	0.800517	0.800517	0.065759	0.187793	
20000	1.695768	3	0.192448	0.062720	0.784186	0.784186	0.062720	0.192448	
21000	1.695768	3	0.189939	0.063783	0.761013	0.761013	0.063783	0.189939	
22000	1.695768	3	0.192536	0.062719	0.788292	0.788292	0.062719	0.192536	
23000	1.695768	3	0.203680	0.063719	0.833917	0.833917	0.063719	0.203680	
24000	1.695768	3	0.190895	0.063109	0.779273	0.779273	0.063109	0.190895	
25000	1.695768	4	0.196124	0.061479	0.803341	0.803341	0.061479	0.186839	
26000	1.695768	3	0.191723	0.066014	0.772924	0.772924	0.066014	0.191723	
27000	1.695768	4	0.184119	0.066552	0.790281	0.790281	0.064460	0.184119	
28000	1.695768	3	0.188352	0.061947	0.789002	0.789002	0.061947	0.188352	
29000	1.695768	3	0.190549	0.068302	0.812519	0.812519	0.068302	0.190549	
30000	1.695768	3	0.191236	0.064878	0.823895	0.823895	0.064878	0.191236	
31000	1.695768	4	0.190499	0.063380	0.749616	0.819223	0.063380	0.190499	
32000	1.695768	3	0.190627	0.064627	0.784289	0.784289	0.064627	0.190627	
33000	1.695768	3	0.188976	0.065907	0.781075	0.781075	0.065907	0.188976	
34000	1.695768	3	0.194761	0.063771	0.767064	0.767064	0.063771	0.194761	
35000	1.695768	3	0.197511	0.062887	0.776676	0.776676	0.062887	0.197511	
36000	1.695768	3	0.187650	0.065400	0.793547	0.793547	0.065400	0.187650	
37000	1.695768	3	0.195486	0.062884	0.783100	0.783100	0.062884	0.195486	
38000	1.695768	3	0.187443	0.065936	0.797256	0.797256	0.065936	0.187443	
39000	1.695768	3	0.195138	0.065090	0.786337	0.786337	0.065090	0.195138	
40000	1.695768	3	0.192426	0.064643	0.756384	0.756384	0.064643	0.192426	
41000	1.695768	3	0.193167	0.067304	0.810404	0.810404	0.067304	0.193167	
42000	1.695768	3	0.190668	0.066787	0.802700	0.802700	0.066787	0.190668	
43000	1.695768	3	0.189355	0.062741	0.764802	0.764802	0.062741	0.189355	
44000	1.695768	4	0.191939	0.066331	0.777322	0.777322	0.059887	0.191939	
45000	1.695768	3	0.191952	0.065788	0.795137	0.795137	0.065788	0.191952	
46000	1.695768	3	0.190899	0.062647	0.748437	0.748437	0.062647	0.190899	
47000	1.695768	3	0.188680	0.065540	0.792927	0.792927	0.065540	0.188680	
48000	1.695768	3	0.193401	0.065087	0.799765	0.799765	0.065087	0.193401	
49000	1.695768	3	0.189458	0.064533	0.741847	0.741847	0.064533	0.189458	
50000	1.695768	3	0.189049	0.064324	0.766352	0.766352	0.064324	0.189049	
51000	1.695768	3	0.188519	0.063418	0.768179	0.768179	0.063418	0.188519	
52000	1.695768	3	0.188692	0.063171	0.820423	0.820423	0.063171	0.188692	
53000	1.695768	3	0.195946	0.064755	0.814724	0.814724	0.064755	0.195946	
54000	1.695768	3	0.191910	0.062583	0.821836	0.821836	0.062583	0.191910	
55000	1.695768	3	0.187572	0.066319	0.841399	0.841399	0.066319	0.187572	
56000	1.695768	3	0.188947	0.065801	0.760405	0.760405	0.065801	0.188947	
57000	1.695768	3	0.190554	0.065112	0.813705	0.813705	0.065112	0.190554	
58000	1.695768	3	0.192987	0.066811	0.829960	0.829960	0.066811	0.192987	
59000	1.695768	4	0.193122	0.065007	0.826260	0.729144	0.065007	0.193122	
60000	1.695768	3	0.189484	0.066258	0.834373	0.834373	0.066258	0.189484	
