Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.084266	0.398173	0.419318	0.098243	0.264815	0.257635	0.240463	0.237087	0.392646	0.097823	0.099562	0.409969	0.084266	0.398173	0.419318	0.098243	0.264815	0.257635	0.240463	0.237087	0.392646	0.097823	0.099562	0.409969	
2000	71.353907	3	0.100719	0.406607	0.391332	0.101342	0.256238	0.252215	0.232382	0.259165	0.395145	0.096868	0.098619	0.409368	0.100719	0.406607	0.391332	0.101342	0.256238	0.252215	0.232382	0.259165	0.395145	0.096868	0.098619	0.409368	
3000	71.353907	3	0.092969	0.403563	0.399424	0.104045	0.256548	0.253477	0.248742	0.241233	0.403548	0.106369	0.097311	0.392772	0.092969	0.403563	0.399424	0.104045	0.256548	0.253477	0.248742	0.241233	0.403548	0.106369	0.097311	0.392772	
4000	71.353907	3	0.094938	0.407242	0.398720	0.099099	0.253091	0.261670	0.235817	0.249422	0.397670	0.102536	0.104551	0.395244	0.094938	0.407242	0.398720	0.099099	0.253091	0.261670	0.235817	0.249422	0.397670	0.102536	0.104551	0.395244	
5000	71.353907	3	0.093820	0.409178	0.396241	0.100761	0.246458	0.259803	0.234306	0.259434	0.403217	0.097193	0.098644	0.400947	0.093820	0.409178	0.396241	0.100761	0.246458	0.259803	0.234306	0.259434	0.403217	0.097193	0.098644	0.400947	
6000	71.353907	3	0.096373	0.405283	0.396291	0.102052	0.248924	0.253528	0.254475	0.243073	0.403217	0.097193	0.098644	0.400947	0.096373	0.405283	0.396291	0.102052	0.248924	0.253528	0.254475	0.243073	0.403217	0.097193	0.098644	0.400947	
7000	71.353907	3	0.096962	0.405145	0.399870	0.098023	0.241539	0.254691	0.239421	0.264349	0.399755	0.103324	0.095838	0.401084	0.096962	0.405145	0.399870	0.098023	0.241539	0.254691	0.239421	0.264349	0.399755	0.103324	0.095838	0.401084	
8000	71.353907	3	0.094829	0.411828	0.395719	0.097625	0.236002	0.256502	0.249268	0.258228	0.399755	0.103324	0.095838	0.401084	0.094829	0.411828	0.395719	0.097625	0.236002	0.256502	0.249268	0.258228	0.399755	0.103324	0.095838	0.401084	
9000	71.353907	3	0.095021	0.414721	0.389064	0.101193	0.242616	0.260978	0.242833	0.253574	0.403373	0.101256	0.095208	0.400163	0.095021	0.414721	0.389064	0.101193	0.242616	0.260978	0.242833	0.253574	0.403373	0.101256	0.095208	0.400163	
10000	71.353907	3	0.096708	0.408150	0.391022	0.104121	0.245666	0.259904	0.240968	0.253461	0.400787	0.097961	0.100418	0.400833	0.096708	0.408150	0.391022	0.104121	0.245666	0.259904	0.240968	0.253461	0.400787	0.097961	0.100418	0.400833	
