Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1059000	71.353907	4	9.091778	7.429485	15.663419	7.429485	8.124834	15.663419	
1060000	71.353907	5	9.921181	8.658050	16.702224	6.971367	7.999053	16.702224	
1061000	71.353907	5	8.760698	8.517094	15.993804	7.442864	7.751124	15.993804	
1062000	71.353907	5	9.155815	8.012565	16.006783	7.328718	8.854908	16.006783	
1063000	71.353907	4	9.852432	7.748196	15.860937	6.361947	7.748196	15.860937	
1064000	71.353907	4	9.029501	8.165329	16.405240	8.165329	8.830451	16.405240	
1065000	71.353907	4	9.571383	7.497332	15.534486	7.497332	8.722256	15.534486	
1066000	71.353907	5	9.658154	7.686568	15.504222	7.429375	7.984552	15.504222	
1067000	71.353907	5	9.134768	7.995137	15.476583	7.525007	9.344988	15.476583	
1068000	71.353907	5	9.574541	7.590545	15.861949	7.585623	8.781736	15.861949	
1069000	71.353907	4	9.409217	6.855128	15.906370	6.855128	8.854695	15.906370	
1070000	71.353907	5	9.955020	8.000982	15.995318	7.638135	8.409298	15.995318	
1071000	71.353907	4	9.966782	8.058291	15.477838	7.620409	8.058291	15.477838	
1072000	71.353907	3	10.399384	8.642575	15.929359	8.642575	8.642575	15.929359	
1073000	71.353907	5	9.280154	8.263697	15.688345	7.195197	8.452889	15.688345	
1074000	71.353907	5	9.380543	7.680312	15.273819	7.521327	8.340620	15.273819	
1075000	71.353907	4	8.968394	8.150947	15.216293	8.150947	8.801709	15.216293	
1076000	71.353907	4	9.838784	7.850545	15.575283	7.850545	8.344959	15.575283	
1077000	71.353907	3	9.572284	7.914289	15.464132	7.914289	7.914289	15.464132	
1078000	71.353907	4	9.569916	6.959474	15.643023	6.959474	7.940386	15.643023	
1079000	71.353907	4	9.189653	8.212654	16.164046	8.212654	7.989150	16.164046	
1080000	71.353907	4	8.933950	7.106466	16.491434	7.106466	8.763432	16.491434	
1081000	71.353907	4	10.178286	8.211181	15.891395	7.502534	7.502534	15.891395	
1082000	71.353907	5	9.300190	7.827620	15.790789	7.724652	7.504330	15.790789	
1083000	71.353907	4	9.556064	8.771449	16.184150	8.506097	8.771449	16.184150	
1084000	71.353907	5	10.420216	9.092277	15.597836	8.780950	8.690897	15.597836	
1085000	71.353907	3	8.880100	6.811110	15.099459	6.811110	6.811110	15.099459	
1086000	71.353907	5	9.726700	8.106882	15.464808	7.385778	8.511893	15.464808	
1087000	71.353907	3	9.652045	7.735566	15.746095	7.735566	7.735566	15.746095	
1088000	71.353907	3	9.071549	7.396211	16.133566	7.396211	7.396211	16.133566	
1089000	71.353907	4	9.700016	6.921632	16.525277	6.921632	7.737718	16.525277	
1090000	71.353907	4	9.276305	7.949978	15.745337	7.949978	9.115196	15.745337	
1091000	71.353907	5	9.855594	7.733330	15.858337	7.414879	9.049939	15.858337	
1092000	71.353907	3	9.221855	7.729972	15.624418	7.729972	7.729972	15.624418	
1093000	71.353907	5	9.150217	8.811313	15.432372	8.620201	9.251885	15.432372	
1094000	71.353907	3	9.483178	7.574873	15.587495	7.574873	7.574873	15.587495	
1095000	71.353907	4	9.353533	7.604913	15.168788	7.604913	9.733197	15.168788	
1096000	71.353907	4	10.091924	7.922654	15.568788	7.922654	8.711140	15.568788	
1097000	71.353907	4	8.934849	9.243899	15.405258	8.732489	8.732489	15.405258	
1098000	71.353907	4	8.664247	7.897482	15.992326	7.897482	8.699911	15.992326	
1099000	71.353907	4	9.042960	7.521041	16.595415	7.453485	7.521041	16.595415	
1100000	71.353907	3	9.949583	7.128981	16.127750	7.128981	7.128981	16.127750	
1101000	71.353907	5	9.345070	8.249895	15.721049	7.656319	7.874507	15.721049	
1102000	71.353907	4	8.497584	7.239509	16.111437	7.239509	8.342582	16.111437	
1103000	71.353907	4	9.211948	6.571890	14.799043	6.571890	8.400182	14.799043	
1104000	71.353907	3	8.887168	7.233207	15.185390	7.233207	7.233207	15.185390	
1105000	71.353907	4	8.838588	8.746246	15.679457	8.166430	8.166430	15.679457	
1106000	71.353907	4	9.927042	7.054232	17.049444	7.054232	8.544175	17.049444	
1107000	71.353907	4	9.933884	8.336640	16.562432	8.453366	8.336640	16.562432	
1108000	71.353907	4	9.270890	6.038839	16.282308	6.038839	8.819636	16.282308	
1109000	71.353907	4	9.414860	7.798956	15.821150	7.606352	7.798956	15.821150	
1110000	71.353907	3	9.660191	6.962565	15.765091	6.962565	6.962565	15.765091	
1111000	71.353907	3	9.022688	7.201676	15.047153	7.201676	7.201676	15.047153	
1112000	71.353907	5	9.554126	7.926939	15.325748	7.252935	8.509150	15.325748	
1113000	71.353907	4	9.032143	8.196858	15.299733	8.196858	8.339216	15.299733	
1114000	71.353907	4	9.473330	7.219885	15.697325	7.219885	8.150168	15.697325	
1115000	71.353907	3	8.975595	7.112277	16.022520	7.112277	7.112277	16.022520	
1116000	71.353907	5	9.397115	8.622243	15.947529	7.574201	8.407486	15.947529	
1117000	71.353907	5	9.677234	8.128679	15.398315	7.208174	7.676468	15.398315	
1118000	71.353907	3	9.727617	7.507156	15.893257	7.507156	7.507156	15.893257	
1119000	71.353907	5	9.450547	7.981518	15.975145	7.318875	8.968098	15.975145	
1120000	71.353907	4	9.959172	8.404116	15.301426	8.404116	7.818337	15.301426	
1121000	71.353907	4	9.112673	5.877784	15.218465	5.877784	8.646954	15.218465	
1122000	71.353907	5	9.523754	8.396368	16.356848	7.514939	9.058871	16.356848	
1123000	71.353907	4	9.340178	7.263584	15.305540	7.263584	8.313312	15.305540	
1124000	71.353907	4	9.838748	6.780115	15.549367	6.780115	9.115535	15.549367	
1125000	71.353907	4	9.526919	6.524609	15.038706	6.524609	8.438869	15.038706	
1126000	71.353907	5	9.772333	8.624469	15.263946	6.718469	8.094286	15.263946	
1127000	71.353907	3	9.280663	7.747798	15.047218	7.747798	7.747798	15.047218	
1128000	71.353907	4	9.568284	7.360278	15.592059	7.360278	8.132931	15.592059	
1129000	71.353907	3	9.462274	8.099852	16.402012	8.099852	8.099852	16.402012	
1130000	71.353907	3	9.763789	7.032310	16.535787	7.032310	7.032310	16.535787	
1131000	71.353907	4	10.168477	7.569576	15.755699	7.569576	7.944730	15.755699	
1132000	71.353907	5	9.209575	8.358681	16.410189	8.537586	8.454947	16.410189	
1133000	71.353907	3	10.457972	7.334566	16.000914	7.334566	7.334566	16.000914	
1134000	71.353907	4	9.851465	8.415138	16.457838	8.218106	8.218106	16.457838	
1135000	71.353907	4	9.367298	7.458494	16.446712	7.458494	7.879309	16.446712	
1136000	71.353907	5	9.346298	9.228885	15.638406	8.697139	8.709562	15.638406	
1137000	71.353907	5	9.347055	7.629656	16.285724	8.150023	8.069512	16.285724	
1138000	71.353907	5	9.411704	8.344080	16.306847	6.964232	8.083402	16.306847	
1139000	71.353907	4	9.424317	8.208941	16.235989	7.413557	8.208941	16.235989	
1140000	71.353907	5	9.124004	7.862462	15.790918	7.681543	8.375268	15.790918	
1141000	71.353907	4	9.208401	8.827080	17.595421	7.137294	8.827080	17.595421	
1142000	71.353907	5	8.305251	7.368360	15.342530	7.148897	7.950673	15.342530	
1143000	71.353907	3	9.230884	7.529466	15.845931	7.529466	7.529466	15.845931	
1144000	71.353907	4	9.856774	7.431898	15.093587	7.431898	8.085527	15.093587	
1145000	71.353907	4	9.427217	7.950249	16.275724	7.950249	8.694363	16.275724	
1146000	71.353907	4	9.434684	7.840340	16.049376	7.840340	7.362158	16.049376	
1147000	71.353907	4	10.359873	7.259783	15.928115	7.259783	7.964134	15.928115	
1148000	71.353907	3	9.565637	7.466913	15.459906	7.466913	7.466913	15.459906	
1149000	71.353907	3	9.370240	7.467459	16.274642	7.467459	7.467459	16.274642	
1150000	71.353907	4	9.192815	8.128284	15.446241	8.128284	8.478094	15.446241	
1151000	71.353907	3	9.695400	8.049281	16.825788	8.049281	8.049281	16.825788	
