Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.131477	0.252732	0.126745	0.142764	0.240111	0.106172	0.131477	0.252732	0.126745	0.142764	0.240111	0.106172	0.131477	0.252732	0.126745	0.142764	0.240111	0.106172	0.246111	0.120960	0.127583	0.128449	0.126149	0.250748	0.246111	0.120960	0.127583	0.128449	0.126149	0.250748	0.246111	0.120960	0.127583	0.128449	0.126149	0.250748	
2000	0.092720	2	0.130303	0.238537	0.126027	0.124601	0.260893	0.119638	0.130303	0.238537	0.126027	0.124601	0.260893	0.119638	0.130303	0.238537	0.126027	0.124601	0.260893	0.119638	0.221158	0.122964	0.123082	0.132084	0.131388	0.269325	0.221158	0.122964	0.123082	0.132084	0.131388	0.269325	0.221158	0.122964	0.123082	0.132084	0.131388	0.269325	
3000	0.092720	2	0.127206	0.256060	0.133176	0.124574	0.246986	0.111999	0.127206	0.256060	0.133176	0.124574	0.246986	0.111999	0.127206	0.256060	0.133176	0.124574	0.246986	0.111999	0.244267	0.120587	0.126941	0.122292	0.130148	0.255767	0.244267	0.120587	0.126941	0.122292	0.130148	0.255767	0.244267	0.120587	0.126941	0.122292	0.130148	0.255767	
4000	0.092720	2	0.133699	0.242940	0.129679	0.120448	0.260796	0.112438	0.133699	0.242940	0.129679	0.120448	0.260796	0.112438	0.133699	0.242940	0.129679	0.120448	0.260796	0.112438	0.250013	0.113387	0.121178	0.119765	0.132539	0.263117	0.250013	0.113387	0.121178	0.119765	0.132539	0.263117	0.250013	0.113387	0.121178	0.119765	0.132539	0.263117	
5000	0.092720	2	0.133840	0.262156	0.126156	0.118985	0.248793	0.110070	0.133840	0.262156	0.126156	0.118985	0.248793	0.110070	0.133840	0.262156	0.126156	0.118985	0.248793	0.110070	0.254019	0.118571	0.126560	0.113674	0.114170	0.273007	0.254019	0.118571	0.126560	0.113674	0.114170	0.273007	0.254019	0.118571	0.126560	0.113674	0.114170	0.273007	
6000	0.092720	2	0.135635	0.242751	0.129883	0.118306	0.256419	0.117005	0.135635	0.242751	0.129883	0.118306	0.256419	0.117005	0.135635	0.242751	0.129883	0.118306	0.256419	0.117005	0.244860	0.129360	0.120178	0.113796	0.115783	0.276024	0.244860	0.129360	0.120178	0.113796	0.115783	0.276024	0.244860	0.129360	0.120178	0.113796	0.115783	0.276024	
7000	0.092720	2	0.140756	0.239610	0.129245	0.112504	0.270690	0.107195	0.140756	0.239610	0.129245	0.112504	0.270690	0.107195	0.140756	0.239610	0.129245	0.112504	0.270690	0.107195	0.245890	0.123395	0.134662	0.117070	0.120953	0.258030	0.245890	0.123395	0.134662	0.117070	0.120953	0.258030	0.245890	0.123395	0.134662	0.117070	0.120953	0.258030	
8000	0.092720	2	0.126223	0.259520	0.131878	0.111366	0.257111	0.113902	0.126223	0.259520	0.131878	0.111366	0.257111	0.113902	0.126223	0.259520	0.131878	0.111366	0.257111	0.113902	0.244982	0.112214	0.134023	0.122904	0.115497	0.270381	0.244982	0.112214	0.134023	0.122904	0.115497	0.270381	0.244982	0.112214	0.134023	0.122904	0.115497	0.270381	
9000	0.092720	2	0.133255	0.245531	0.126084	0.112155	0.270256	0.112720	0.133255	0.245531	0.126084	0.112155	0.270256	0.112720	0.133255	0.245531	0.126084	0.112155	0.270256	0.112720	0.246970	0.122427	0.128694	0.123738	0.121122	0.257049	0.246970	0.122427	0.128694	0.123738	0.121122	0.257049	0.246970	0.122427	0.128694	0.123738	0.121122	0.257049	
10000	0.092720	2	0.134119	0.247124	0.130824	0.112883	0.260709	0.114342	0.134119	0.247124	0.130824	0.112883	0.260709	0.114342	0.134119	0.247124	0.130824	0.112883	0.260709	0.114342	0.245560	0.113807	0.142601	0.122956	0.118992	0.256083	0.245560	0.113807	0.142601	0.122956	0.118992	0.256083	0.245560	0.113807	0.142601	0.122956	0.118992	0.256083	
11000	0.092720	2	0.130985	0.251813	0.133418	0.124949	0.251088	0.107747	0.130985	0.251813	0.133418	0.124949	0.251088	0.107747	0.130985	0.251813	0.133418	0.124949	0.251088	0.107747	0.241733	0.111354	0.140490	0.128633	0.114103	0.263687	0.241733	0.111354	0.140490	0.128633	0.114103	0.263687	0.241733	0.111354	0.140490	0.128633	0.114103	0.263687	
12000	0.092720	2	0.136930	0.244253	0.125710	0.121315	0.262483	0.109309	0.136930	0.244253	0.125710	0.121315	0.262483	0.109309	0.136930	0.244253	0.125710	0.121315	0.262483	0.109309	0.253211	0.114995	0.111844	0.128606	0.116551	0.274794	0.253211	0.114995	0.111844	0.128606	0.116551	0.274794	0.253211	0.114995	0.111844	0.128606	0.116551	0.274794	
13000	0.092720	2	0.130629	0.252235	0.129817	0.115455	0.262399	0.109465	0.130629	0.252235	0.129817	0.115455	0.262399	0.109465	0.130629	0.252235	0.129817	0.115455	0.262399	0.109465	0.246359	0.116799	0.129651	0.126982	0.108613	0.271596	0.246359	0.116799	0.129651	0.126982	0.108613	0.271596	0.246359	0.116799	0.129651	0.126982	0.108613	0.271596	
14000	0.092720	2	0.133470	0.253069	0.128785	0.120293	0.260214	0.104169	0.133470	0.253069	0.128785	0.120293	0.260214	0.104169	0.133470	0.253069	0.128785	0.120293	0.260214	0.104169	0.246056	0.127326	0.128157	0.121563	0.123939	0.252959	0.246056	0.127326	0.128157	0.121563	0.123939	0.252959	0.246056	0.127326	0.128157	0.121563	0.123939	0.252959	
15000	0.092720	2	0.133014	0.265879	0.127842	0.111556	0.244902	0.116807	0.133014	0.265879	0.127842	0.111556	0.244902	0.116807	0.133014	0.265879	0.127842	0.111556	0.244902	0.116807	0.237846	0.116972	0.147627	0.115204	0.118463	0.263889	0.237846	0.116972	0.147627	0.115204	0.118463	0.263889	0.237846	0.116972	0.147627	0.115204	0.118463	0.263889	
16000	0.092720	2	0.144037	0.258729	0.131330	0.113887	0.241293	0.110723	0.144037	0.258729	0.131330	0.113887	0.241293	0.110723	0.144037	0.258729	0.131330	0.113887	0.241293	0.110723	0.235646	0.118114	0.138307	0.117056	0.123053	0.267825	0.235646	0.118114	0.138307	0.117056	0.123053	0.267825	0.235646	0.118114	0.138307	0.117056	0.123053	0.267825	
17000	0.092720	2	0.125044	0.244677	0.137127	0.115158	0.259495	0.118500	0.125044	0.244677	0.137127	0.115158	0.259495	0.118500	0.125044	0.244677	0.137127	0.115158	0.259495	0.118500	0.243004	0.133904	0.132887	0.115535	0.117283	0.257387	0.243004	0.133904	0.132887	0.115535	0.117283	0.257387	0.243004	0.133904	0.132887	0.115535	0.117283	0.257387	
18000	0.092720	2	0.125580	0.258545	0.134397	0.118128	0.249397	0.113953	0.125580	0.258545	0.134397	0.118128	0.249397	0.113953	0.125580	0.258545	0.134397	0.118128	0.249397	0.113953	0.242277	0.125299	0.126846	0.123510	0.120928	0.261141	0.242277	0.125299	0.126846	0.123510	0.120928	0.261141	0.242277	0.125299	0.126846	0.123510	0.120928	0.261141	
19000	0.092720	2	0.131365	0.240695	0.124508	0.123184	0.263981	0.116267	0.131365	0.240695	0.124508	0.123184	0.263981	0.116267	0.131365	0.240695	0.124508	0.123184	0.263981	0.116267	0.246102	0.131405	0.119081	0.125860	0.125726	0.251826	0.246102	0.131405	0.119081	0.125860	0.125726	0.251826	0.246102	0.131405	0.119081	0.125860	0.125726	0.251826	
20000	0.092720	2	0.136831	0.236749	0.121585	0.113596	0.274461	0.116779	0.136831	0.236749	0.121585	0.113596	0.274461	0.116779	0.136831	0.236749	0.121585	0.113596	0.274461	0.116779	0.236281	0.120119	0.132270	0.117684	0.120847	0.272799	0.236281	0.120119	0.132270	0.117684	0.120847	0.272799	0.236281	0.120119	0.132270	0.117684	0.120847	0.272799	
21000	0.092720	2	0.130442	0.246144	0.134545	0.108679	0.267150	0.113040	0.130442	0.246144	0.134545	0.108679	0.267150	0.113040	0.130442	0.246144	0.134545	0.108679	0.267150	0.113040	0.234954	0.128722	0.129970	0.118993	0.119592	0.267769	0.234954	0.128722	0.129970	0.118993	0.119592	0.267769	0.234954	0.128722	0.129970	0.118993	0.119592	0.267769	
22000	0.092720	2	0.122955	0.253257	0.135062	0.111591	0.252570	0.124564	0.122955	0.253257	0.135062	0.111591	0.252570	0.124564	0.122955	0.253257	0.135062	0.111591	0.252570	0.124564	0.248368	0.120805	0.128865	0.125201	0.119571	0.257190	0.248368	0.120805	0.128865	0.125201	0.119571	0.257190	0.248368	0.120805	0.128865	0.125201	0.119571	0.257190	
23000	0.092720	2	0.131306	0.244188	0.134144	0.118353	0.252690	0.119320	0.131306	0.244188	0.134144	0.118353	0.252690	0.119320	0.131306	0.244188	0.134144	0.118353	0.252690	0.119320	0.245186	0.118790	0.128218	0.123564	0.122948	0.261293	0.245186	0.118790	0.128218	0.123564	0.122948	0.261293	0.245186	0.118790	0.128218	0.123564	0.122948	0.261293	
24000	0.092720	2	0.126433	0.239392	0.130139	0.119973	0.270253	0.113811	0.126433	0.239392	0.130139	0.119973	0.270253	0.113811	0.126433	0.239392	0.130139	0.119973	0.270253	0.113811	0.239364	0.115086	0.130860	0.116703	0.123332	0.274654	0.239364	0.115086	0.130860	0.116703	0.123332	0.274654	0.239364	0.115086	0.130860	0.116703	0.123332	0.274654	
25000	0.092720	2	0.140406	0.231021	0.130634	0.120012	0.273284	0.104642	0.140406	0.231021	0.130634	0.120012	0.273284	0.104642	0.140406	0.231021	0.130634	0.120012	0.273284	0.104642	0.245728	0.115747	0.122827	0.116704	0.126122	0.272872	0.245728	0.115747	0.122827	0.116704	0.126122	0.272872	0.245728	0.115747	0.122827	0.116704	0.126122	0.272872	
26000	0.092720	2	0.133572	0.250790	0.130672	0.116372	0.257516	0.111078	0.133572	0.250790	0.130672	0.116372	0.257516	0.111078	0.133572	0.250790	0.130672	0.116372	0.257516	0.111078	0.258564	0.126771	0.122892	0.114848	0.118249	0.258677	0.258564	0.126771	0.122892	0.114848	0.118249	0.258677	0.258564	0.126771	0.122892	0.114848	0.118249	0.258677	
