Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.106890	0.416912	0.390451	0.085747	0.247651	0.244434	0.268753	0.239163	0.375421	0.111801	0.093001	0.419776	0.106890	0.416912	0.390451	0.085747	0.247651	0.244434	0.268753	0.239163	0.375421	0.111801	0.093001	0.419776	
2000	1.695768	3	0.100323	0.411053	0.392153	0.096472	0.244764	0.247412	0.271369	0.236455	0.379752	0.104020	0.097192	0.419036	0.100323	0.411053	0.392153	0.096472	0.244764	0.247412	0.271369	0.236455	0.379752	0.104020	0.097192	0.419036	
3000	1.695768	3	0.100323	0.411053	0.392153	0.096472	0.247420	0.248229	0.257065	0.247286	0.393253	0.106696	0.092298	0.407752	0.100323	0.411053	0.392153	0.096472	0.247420	0.248229	0.257065	0.247286	0.393253	0.106696	0.092298	0.407752	
4000	1.695768	3	0.103076	0.399840	0.404579	0.092505	0.247199	0.244885	0.259979	0.247938	0.396563	0.106324	0.096760	0.400353	0.103076	0.399840	0.404579	0.092505	0.247199	0.244885	0.259979	0.247938	0.396563	0.106324	0.096760	0.400353	
5000	1.695768	3	0.103076	0.399840	0.404579	0.092505	0.256652	0.242871	0.269613	0.230863	0.401229	0.107926	0.100991	0.389855	0.103076	0.399840	0.404579	0.092505	0.256652	0.242871	0.269613	0.230863	0.401229	0.107926	0.100991	0.389855	
6000	1.695768	3	0.100231	0.401197	0.403527	0.095045	0.239989	0.250041	0.271078	0.238892	0.399101	0.104749	0.100444	0.395707	0.100231	0.401197	0.403527	0.095045	0.239989	0.250041	0.271078	0.238892	0.399101	0.104749	0.100444	0.395707	
7000	1.695768	3	0.098183	0.407973	0.400145	0.093700	0.245571	0.249249	0.270616	0.234565	0.399101	0.104749	0.100444	0.395707	0.098183	0.407973	0.400145	0.093700	0.245571	0.249249	0.270616	0.234565	0.399101	0.104749	0.100444	0.395707	
8000	1.695768	3	0.098183	0.407973	0.400145	0.093700	0.244677	0.243492	0.274723	0.237108	0.387436	0.105853	0.099969	0.406742	0.098183	0.407973	0.400145	0.093700	0.244677	0.243492	0.274723	0.237108	0.387436	0.105853	0.099969	0.406742	
9000	1.695768	3	0.098183	0.407973	0.400145	0.093700	0.249665	0.251385	0.271993	0.226957	0.392204	0.106096	0.099708	0.401992	0.098183	0.407973	0.400145	0.093700	0.249665	0.251385	0.271993	0.226957	0.392204	0.106096	0.099708	0.401992	
10000	1.695768	3	0.098183	0.407973	0.400145	0.093700	0.250040	0.249415	0.267676	0.232869	0.392204	0.106096	0.099708	0.401992	0.098183	0.407973	0.400145	0.093700	0.250040	0.249415	0.267676	0.232869	0.392204	0.106096	0.099708	0.401992	
11000	1.695768	3	0.108875	0.402965	0.392741	0.095420	0.254899	0.252440	0.270556	0.222104	0.392204	0.106096	0.099708	0.401992	0.108875	0.402965	0.392741	0.095420	0.254899	0.252440	0.270556	0.222104	0.392204	0.106096	0.099708	0.401992	
12000	1.695768	3	0.108875	0.402965	0.392741	0.095420	0.268972	0.234093	0.268809	0.228126	0.392204	0.106096	0.099708	0.401992	0.108875	0.402965	0.392741	0.095420	0.268972	0.234093	0.268809	0.228126	0.392204	0.106096	0.099708	0.401992	
13000	1.695768	3	0.100163	0.408966	0.390196	0.100676	0.255810	0.245471	0.258754	0.239966	0.392204	0.106096	0.099708	0.401992	0.100163	0.408966	0.390196	0.100676	0.255810	0.245471	0.258754	0.239966	0.392204	0.106096	0.099708	0.401992	
14000	1.695768	3	0.100163	0.408966	0.390196	0.100676	0.253606	0.252107	0.254576	0.239711	0.393942	0.105798	0.098171	0.402089	0.100163	0.408966	0.390196	0.100676	0.253606	0.252107	0.254576	0.239711	0.393942	0.105798	0.098171	0.402089	
15000	1.695768	3	0.100428	0.399644	0.404637	0.095291	0.234506	0.257948	0.264860	0.242686	0.393942	0.105798	0.098171	0.402089	0.100428	0.399644	0.404637	0.095291	0.234506	0.257948	0.264860	0.242686	0.393942	0.105798	0.098171	0.402089	
