Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.100619	0.403013	0.397584	0.098783	0.252994	0.259037	0.243885	0.244084	0.388545	0.102243	0.100892	0.408320	0.100619	0.403013	0.397584	0.098783	0.252994	0.259037	0.243885	0.244084	0.388545	0.102243	0.100892	0.408320	
2000	1.695768	3	0.100619	0.403013	0.397584	0.098783	0.236787	0.262046	0.255356	0.245810	0.388545	0.102243	0.100892	0.408320	0.100619	0.403013	0.397584	0.098783	0.236787	0.262046	0.255356	0.245810	0.388545	0.102243	0.100892	0.408320	
3000	1.695768	3	0.100619	0.403013	0.397584	0.098783	0.256395	0.244705	0.261766	0.237134	0.388545	0.102243	0.100892	0.408320	0.100619	0.403013	0.397584	0.098783	0.256395	0.244705	0.261766	0.237134	0.388545	0.102243	0.100892	0.408320	
4000	1.695768	3	0.100619	0.403013	0.397584	0.098783	0.242707	0.252862	0.256790	0.247642	0.388545	0.102243	0.100892	0.408320	0.100619	0.403013	0.397584	0.098783	0.242707	0.252862	0.256790	0.247642	0.388545	0.102243	0.100892	0.408320	
5000	1.695768	3	0.103354	0.400295	0.394240	0.102112	0.243209	0.258376	0.263696	0.234719	0.388545	0.102243	0.100892	0.408320	0.103354	0.400295	0.394240	0.102112	0.243209	0.258376	0.263696	0.234719	0.388545	0.102243	0.100892	0.408320	
6000	1.695768	3	0.101763	0.401955	0.397453	0.098829	0.248477	0.262546	0.241750	0.247227	0.388545	0.102243	0.100892	0.408320	0.101763	0.401955	0.397453	0.098829	0.248477	0.262546	0.241750	0.247227	0.388545	0.102243	0.100892	0.408320	
7000	1.695768	3	0.099281	0.397116	0.406809	0.096794	0.232242	0.259003	0.260908	0.247846	0.393339	0.101930	0.102189	0.402543	0.099281	0.397116	0.406809	0.096794	0.232242	0.259003	0.260908	0.247846	0.393339	0.101930	0.102189	0.402543	
8000	1.695768	3	0.102514	0.409942	0.386887	0.100657	0.253425	0.250190	0.252545	0.243840	0.393339	0.101930	0.102189	0.402543	0.102514	0.409942	0.386887	0.100657	0.253425	0.250190	0.252545	0.243840	0.393339	0.101930	0.102189	0.402543	
9000	1.695768	3	0.102514	0.409942	0.386887	0.100657	0.241211	0.247657	0.259717	0.251416	0.393339	0.101930	0.102189	0.402543	0.102514	0.409942	0.386887	0.100657	0.241211	0.247657	0.259717	0.251416	0.393339	0.101930	0.102189	0.402543	
10000	1.695768	3	0.102514	0.409942	0.386887	0.100657	0.259051	0.252868	0.251768	0.236314	0.388844	0.100230	0.098366	0.412559	0.102514	0.409942	0.386887	0.100657	0.259051	0.252868	0.251768	0.236314	0.388844	0.100230	0.098366	0.412559	
