Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	1.695768	3	0.101567	0.392536	0.404794	0.101103	0.257846	0.254358	0.252961	0.234836	0.412803	0.093338	0.105963	0.387896	0.101567	0.392536	0.404794	0.101103	0.257846	0.254358	0.252961	0.234836	0.412803	0.093338	0.105963	0.387896	
2000	1.695768	3	0.102645	0.398612	0.399686	0.099057	0.260574	0.249539	0.245975	0.243913	0.393941	0.100537	0.106533	0.398990	0.102645	0.398612	0.399686	0.099057	0.260574	0.249539	0.245975	0.243913	0.393941	0.100537	0.106533	0.398990	
3000	1.695768	3	0.096499	0.406226	0.399360	0.097916	0.252793	0.247051	0.247272	0.252884	0.392455	0.093602	0.105171	0.408771	0.096499	0.406226	0.399360	0.097916	0.252793	0.247051	0.247272	0.252884	0.392455	0.093602	0.105171	0.408771	
4000	1.695768	3	0.096901	0.398189	0.404327	0.100583	0.261005	0.257884	0.230824	0.250288	0.392455	0.093602	0.105171	0.408771	0.096901	0.398189	0.404327	0.100583	0.261005	0.257884	0.230824	0.250288	0.392455	0.093602	0.105171	0.408771	
5000	1.695768	3	0.094586	0.412775	0.392911	0.099727	0.260260	0.249266	0.250670	0.239803	0.399756	0.096799	0.105313	0.398132	0.094586	0.412775	0.392911	0.099727	0.260260	0.249266	0.250670	0.239803	0.399756	0.096799	0.105313	0.398132	
6000	1.695768	3	0.094586	0.412775	0.392911	0.099727	0.270296	0.248961	0.241662	0.239081	0.399756	0.096799	0.105313	0.398132	0.094586	0.412775	0.392911	0.099727	0.270296	0.248961	0.241662	0.239081	0.399756	0.096799	0.105313	0.398132	
7000	1.695768	3	0.099607	0.407927	0.399163	0.093303	0.261437	0.248619	0.239517	0.250427	0.399772	0.095531	0.102887	0.401810	0.099607	0.407927	0.399163	0.093303	0.261437	0.248619	0.239517	0.250427	0.399772	0.095531	0.102887	0.401810	
8000	1.695768	3	0.098683	0.395904	0.401708	0.103705	0.263641	0.241144	0.247469	0.247746	0.399772	0.095531	0.102887	0.401810	0.098683	0.395904	0.401708	0.103705	0.263641	0.241144	0.247469	0.247746	0.399772	0.095531	0.102887	0.401810	
9000	1.695768	3	0.102307	0.402736	0.393390	0.101566	0.251312	0.255518	0.247075	0.246094	0.399772	0.095531	0.102887	0.401810	0.102307	0.402736	0.393390	0.101566	0.251312	0.255518	0.247075	0.246094	0.399772	0.095531	0.102887	0.401810	
10000	1.695768	3	0.102307	0.402736	0.393390	0.101566	0.262374	0.240624	0.246053	0.250950	0.397660	0.098229	0.097902	0.406208	0.102307	0.402736	0.393390	0.101566	0.262374	0.240624	0.246053	0.250950	0.397660	0.098229	0.097902	0.406208	
11000	1.695768	3	0.102307	0.402736	0.393390	0.101566	0.259112	0.247026	0.252694	0.241168	0.397660	0.098229	0.097902	0.406208	0.102307	0.402736	0.393390	0.101566	0.259112	0.247026	0.252694	0.241168	0.397660	0.098229	0.097902	0.406208	
12000	1.695768	3	0.102307	0.402736	0.393390	0.101566	0.244799	0.264011	0.243931	0.247259	0.398906	0.100630	0.101331	0.399132	0.102307	0.402736	0.393390	0.101566	0.244799	0.264011	0.243931	0.247259	0.398906	0.100630	0.101331	0.399132	
13000	1.695768	3	0.102307	0.402736	0.393390	0.101566	0.251849	0.264566	0.234593	0.248992	0.398906	0.100630	0.101331	0.399132	0.102307	0.402736	0.393390	0.101566	0.251849	0.264566	0.234593	0.248992	0.398906	0.100630	0.101331	0.399132	
14000	1.695768	3	0.105466	0.411358	0.384992	0.098184	0.243061	0.249102	0.254742	0.253096	0.398906	0.100630	0.101331	0.399132	0.105466	0.411358	0.384992	0.098184	0.243061	0.249102	0.254742	0.253096	0.398906	0.100630	0.101331	0.399132	
15000	1.695768	3	0.105466	0.411358	0.384992	0.098184	0.248888	0.255979	0.250591	0.244542	0.398906	0.100630	0.101331	0.399132	0.105466	0.411358	0.384992	0.098184	0.248888	0.255979	0.250591	0.244542	0.398906	0.100630	0.101331	0.399132	
16000	1.695768	3	0.096604	0.403488	0.402111	0.097797	0.257284	0.262677	0.246474	0.233565	0.398906	0.100630	0.101331	0.399132	0.096604	0.403488	0.402111	0.097797	0.257284	0.262677	0.246474	0.233565	0.398906	0.100630	0.101331	0.399132	
