Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
7045000	6.431263	5	0.258329	0.258329	0.258329	2.890050	0.421266	0.461100	0.215407	0.215407	2.890050	
7046000	5.911587	4	0.230930	0.230930	0.230930	2.840959	0.441151	0.441151	0.230930	0.216602	2.840959	
7047000	9.546838	5	0.253903	0.253903	0.253903	2.608097	0.581215	0.563666	0.223290	0.223290	2.608097	
7048000	6.307439	5	0.237114	0.256224	0.256224	2.793846	0.442013	0.442013	0.237114	0.237114	2.422995	
7049000	4.739740	5	0.264756	0.264756	0.264756	3.221336	0.464618	0.464618	0.211828	0.167430	3.221336	
7050000	5.517683	5	0.228574	0.228574	0.228574	3.018658	0.401472	0.464645	0.228574	0.173360	3.018658	
7051000	8.515200	3	0.249923	0.249923	0.249923	2.710054	0.432842	0.432842	0.249923	0.249923	2.710054	
7052000	4.161720	6	0.245300	0.280073	0.245300	3.142710	0.376957	0.483789	0.245300	0.245300	2.833691	
7053000	7.986783	4	0.245794	0.245794	0.245794	2.226571	0.558468	0.558468	0.245794	0.186222	2.226571	
7054000	6.062032	6	0.234995	0.239726	0.239726	2.554174	0.327901	0.712301	0.239726	0.152457	2.554174	
7055000	6.769404	5	0.225956	0.264175	0.264175	2.499734	0.264175	0.687100	0.225956	0.194128	2.499734	
7056000	5.281376	7	0.235887	0.235887	0.235887	3.066020	0.447616	0.455360	0.228444	0.186528	1.979726	
7057000	6.582803	5	0.260856	0.260856	0.260856	2.734227	0.412227	0.465400	0.260856	0.143203	2.734227	
7058000	6.219004	5	0.243173	0.243173	0.243173	2.775772	0.429028	0.461776	0.243173	0.211212	2.775772	
7059000	6.478652	4	0.257441	0.257441	0.257441	2.439432	0.363172	0.528850	0.257441	0.257441	2.439432	
7060000	5.291173	4	0.272592	0.272592	0.272592	2.727050	0.526424	0.526424	0.227664	0.227664	2.727050	
7061000	7.951602	4	0.260381	0.245075	0.245075	2.018907	0.455273	0.455273	0.245075	0.245075	2.018907	
7062000	6.010737	3	0.251719	0.251719	0.251719	2.905934	0.450822	0.450822	0.251719	0.251719	2.905934	
7063000	4.774825	4	0.258013	0.258013	0.258013	2.394055	0.460937	0.460937	0.258013	0.159466	2.394055	
7064000	6.546955	6	0.300136	0.231139	0.231139	3.112521	0.385947	0.466500	0.231139	0.182241	3.112521	
7065000	4.909292	4	0.233366	0.233366	0.233366	1.953842	0.321695	0.582561	0.233366	0.233366	1.953842	
7066000	3.795724	4	0.232521	0.232521	0.232521	3.268748	0.312640	0.855821	0.232521	0.232521	3.268748	
7067000	4.257507	3	0.238893	0.238893	0.238893	2.793021	0.524057	0.524057	0.238893	0.238893	2.793021	
7068000	5.338435	6	0.253126	0.243963	0.241576	2.726955	0.502387	0.502387	0.243963	0.206984	2.726955	
7069000	5.146492	4	0.240247	0.240247	0.240247	2.585516	0.527238	0.527238	0.240247	0.136260	2.585516	
7070000	4.559738	6	0.248892	0.257963	0.248892	2.206941	0.429696	0.429696	0.233059	0.150077	2.206941	
7071000	6.023558	4	0.262953	0.262953	0.262953	2.714127	0.432154	0.432154	0.262953	0.132639	2.714127	
7072000	7.175058	4	0.244284	0.244284	0.244284	2.110471	0.447747	0.447747	0.244284	0.201312	2.110471	
7073000	6.652292	5	0.263615	0.263615	0.263615	2.407974	0.401350	0.510891	0.214798	0.214798	2.407974	
7074000	3.162253	3	0.236943	0.236943	0.236943	3.139746	0.443648	0.443648	0.236943	0.236943	3.139746	
7075000	4.346198	6	0.257942	0.251312	0.251312	2.637858	0.538773	0.472775	0.206062	0.206062	2.637858	
7076000	4.735854	5	0.258465	0.245140	0.258465	3.174284	0.532976	0.532976	0.218523	0.218523	3.174284	
7077000	7.862662	4	0.253744	0.253744	0.253744	2.552830	0.394707	0.540597	0.253744	0.253744	2.552830	
7078000	5.728975	6	0.227234	0.243806	0.227234	2.695722	0.401857	0.592809	0.227234	0.174888	2.695722	
7079000	4.260257	3	0.260516	0.260516	0.260516	2.829408	0.488788	0.488788	0.260516	0.260516	2.829408	
7080000	6.393933	4	0.242294	0.242294	0.242294	3.027794	0.396965	0.396965	0.242294	0.219854	3.027794	
7081000	5.105889	3	0.236693	0.236693	0.236693	1.794665	0.463088	0.463088	0.236693	0.236693	1.794665	
7082000	5.285416	5	0.241069	0.241069	0.241069	2.767041	0.502221	0.502221	0.216898	0.167578	2.767041	
7083000	5.913202	3	0.251405	0.251405	0.251405	2.785917	0.395255	0.395255	0.251405	0.251405	2.785917	
7084000	6.214691	6	0.231165	0.277037	0.231165	2.244216	0.575827	0.575827	0.218965	0.189919	2.244216	
7085000	6.000133	4	0.218485	0.258892	0.218485	3.100217	0.431872	0.431872	0.218485	0.218485	3.100217	
7086000	5.034028	3	0.233883	0.233883	0.233883	2.081449	0.496688	0.496688	0.233883	0.233883	2.081449	
7087000	4.123946	4	0.231639	0.231639	0.231639	2.923983	0.497560	0.497560	0.231639	0.196813	2.923983	
7088000	3.435862	5	0.248678	0.248678	0.248678	2.196810	0.489954	0.498061	0.248678	0.134128	2.196810	
7089000	5.777033	3	0.239419	0.239419	0.239419	2.885379	0.490742	0.490742	0.239419	0.239419	2.885379	
7090000	5.956716	5	0.256631	0.256631	0.234665	1.872041	0.491794	0.491794	0.234665	0.173365	1.872041	
7091000	4.222709	4	0.247398	0.247398	0.247398	2.927103	0.435425	0.518521	0.247398	0.247398	2.927103	
7092000	5.889129	4	0.251692	0.251692	0.251692	3.015958	0.367507	0.367507	0.251692	0.195047	3.015958	
7093000	4.682305	5	0.240312	0.240312	0.240312	2.533721	0.467944	0.492761	0.240312	0.224198	2.533721	
7094000	4.447207	3	0.232477	0.232477	0.232477	3.118100	0.489191	0.489191	0.232477	0.232477	3.118100	
7095000	6.456022	3	0.228835	0.228835	0.228835	2.120096	0.463864	0.463864	0.228835	0.228835	2.120096	
7096000	4.890054	6	0.244137	0.253932	0.244137	3.050566	0.505131	0.505131	0.200921	0.192967	3.050566	
7097000	5.549591	4	0.241484	0.241484	0.241484	2.862047	0.554101	0.554101	0.241484	0.192249	2.862047	
7098000	5.290979	4	0.229558	0.229558	0.232571	2.694153	0.311012	0.311012	0.229558	0.229558	2.694153	
7099000	6.983050	3	0.244059	0.244059	0.244059	2.756003	0.521088	0.521088	0.244059	0.244059	2.756003	
7100000	3.378083	3	0.245384	0.245384	0.245384	2.747419	0.401029	0.401029	0.245384	0.245384	2.747419	
7101000	5.117469	5	0.248994	0.248994	0.248994	2.608817	0.516440	0.554740	0.248994	0.148563	2.608817	
7102000	5.653060	5	0.257351	0.251082	0.251082	3.866232	0.380741	0.715897	0.251082	0.251082	3.866232	
7103000	5.286523	6	0.224647	0.253010	0.224647	2.577358	0.470394	0.465529	0.224647	0.209955	2.577358	
7104000	6.836285	6	0.246576	0.246576	0.232743	2.797643	0.564383	0.564383	0.222683	0.137079	2.797643	
7105000	5.314169	4	0.247743	0.247743	0.261861	3.041242	0.437512	0.437512	0.247743	0.247743	3.041242	
7106000	7.409005	5	0.252975	0.242859	0.242859	2.201334	0.538729	0.538729	0.242859	0.128661	2.201334	
7107000	4.817087	4	0.242174	0.242174	0.242174	2.848641	0.333382	0.455828	0.242174	0.242174	2.848641	
7108000	4.441798	4	0.245462	0.245462	0.245462	2.892548	0.395251	0.598592	0.245462	0.245462	2.892548	
7109000	6.531863	3	0.234280	0.234280	0.234280	1.970639	0.521880	0.521880	0.234280	0.234280	1.970639	
7110000	5.920347	3	0.228339	0.228339	0.228339	2.682381	0.464949	0.464949	0.228339	0.228339	2.682381	
7111000	6.188000	5	0.244468	0.244468	0.244468	2.024074	0.478386	0.553857	0.244468	0.169189	2.024074	
7112000	4.316988	4	0.246716	0.276553	0.246716	2.485461	0.497763	0.497763	0.246716	0.246716	2.485461	
7113000	3.797300	4	0.263060	0.263060	0.263060	2.160060	0.435758	0.531517	0.263060	0.263060	2.160060	
7114000	5.617431	4	0.278452	0.278452	0.222789	3.025538	0.521906	0.521906	0.222789	0.222789	3.025538	
7115000	4.527195	3	0.248032	0.248032	0.248032	2.780501	0.411854	0.411854	0.248032	0.248032	2.780501	
7116000	6.321933	4	0.251677	0.251677	0.251677	3.010837	0.507646	0.507646	0.251677	0.134526	3.010837	
7117000	7.406547	5	0.249982	0.249982	0.249982	2.279465	0.336408	0.477231	0.249982	0.238254	2.279465	
7118000	5.089288	4	0.259426	0.233066	0.233066	2.758044	0.546720	0.546720	0.233066	0.233066	2.758044	
7119000	7.181508	5	0.222257	0.268784	0.222257	2.903314	0.435169	0.435169	0.222257	0.212450	2.903314	
7120000	7.211512	4	0.250816	0.250816	0.250816	2.492307	0.420444	0.492909	0.250816	0.250816	2.492307	
7121000	6.819566	5	0.276666	0.276666	0.230868	2.853730	0.486379	0.486379	0.230868	0.150619	2.853730	
7122000	6.331576	5	0.263201	0.263201	0.263201	2.845323	0.446064	0.446064	0.221974	0.135519	2.845323	
7123000	4.938007	3	0.245498	0.245498	0.245498	2.729063	0.410908	0.410908	0.245498	0.245498	2.729063	
7124000	6.816332	4	0.252379	0.252379	0.251272	2.711198	0.451824	0.451824	0.252379	0.252379	2.711198	
7125000	5.889932	3	0.235909	0.235909	0.235909	2.412708	0.515909	0.515909	0.235909	0.235909	2.412708	
7126000	4.844297	4	0.236756	0.236756	0.236756	2.975119	0.546192	0.490809	0.236756	0.236756	2.975119	
7127000	5.534037	4	0.240826	0.240826	0.240826	2.048317	0.497364	0.543788	0.240826	0.240826	2.048317	
7128000	5.218163	5	0.256985	0.256985	0.256985	2.876964	0.417775	0.566081	0.256985	0.135326	2.876964	
7129000	9.530142	6	0.234797	0.250585	0.234797	2.243532	0.348045	0.590651	0.221321	0.221321	2.243532	
7130000	3.619950	4	0.225659	0.225659	0.225659	2.673726	0.542861	0.542861	0.225659	0.225659	2.181531	
7131000	5.597272	3	0.226186	0.226186	0.226186	2.978931	0.457775	0.457775	0.226186	0.226186	2.978931	
7132000	5.889195	4	0.240091	0.237524	0.240091	3.240928	0.474559	0.474559	0.240091	0.237524	3.240928	
7133000	5.276016	4	0.250616	0.250616	0.250616	2.812040	0.408187	0.478757	0.250616	0.250616	2.812040	
7134000	4.512505	4	0.245120	0.245120	0.245120	2.124832	0.468088	0.468088	0.245120	0.229916	2.124832	
7135000	7.865309	4	0.264235	0.264235	0.264235	2.496998	0.426196	0.426196	0.264235	0.202083	2.496998	
7136000	6.414368	6	0.264909	0.264909	0.229094	2.574784	0.375267	0.514483	0.229094	0.178905	2.574784	
7137000	4.264831	4	0.245427	0.245427	0.245427	2.367079	0.475810	0.471965	0.245427	0.245427	2.367079	
7138000	5.747215	3	0.248229	0.248229	0.248229	2.904494	0.492335	0.492335	0.248229	0.248229	2.904494	
7139000	4.679582	4	0.244480	0.244480	0.244480	2.540825	0.373995	0.558844	0.244480	0.244480	2.540825	
7140000	4.899754	5	0.237748	0.237748	0.237748	2.653199	0.393558	0.485225	0.237748	0.185980	2.653199	
7141000	5.490592	4	0.235214	0.235214	0.235214	2.769933	0.572088	0.588083	0.235214	0.235214	2.769933	
7142000	5.395800	4	0.255249	0.255249	0.255249	2.880119	0.466925	0.466925	0.201411	0.201411	2.880119	
