Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
4160000	0.264313	2	0.394351	0.409467	0.056255	0.139926	0.394351	0.409467	0.056255	0.139926	0.267119	0.272529	0.171588	0.288765	0.394351	0.409467	0.056255	0.139926	0.267119	0.272529	0.171588	0.288765	0.267119	0.272529	0.171588	0.288765	0.394351	0.409467	0.056255	0.139926	0.267119	0.272529	0.171588	0.288765	0.394351	0.409467	0.056255	0.139926	
4161000	0.744625	2	0.394351	0.409467	0.056255	0.139926	0.394351	0.409467	0.056255	0.139926	0.252300	0.269817	0.182630	0.295252	0.394351	0.409467	0.056255	0.139926	0.252300	0.269817	0.182630	0.295252	0.252300	0.269817	0.182630	0.295252	0.394351	0.409467	0.056255	0.139926	0.252300	0.269817	0.182630	0.295252	0.394351	0.409467	0.056255	0.139926	
4162000	1.953294	3	0.413936	0.340324	0.070152	0.175587	0.413936	0.340324	0.070152	0.175587	0.253286	0.263107	0.184460	0.299146	0.394351	0.409467	0.056255	0.139926	0.253286	0.263107	0.184460	0.299146	0.253286	0.263107	0.184460	0.299146	0.394351	0.409467	0.056255	0.139926	0.253286	0.263107	0.184460	0.299146	0.394351	0.409467	0.056255	0.139926	
4163000	0.762389	3	0.407056	0.347927	0.074292	0.170725	0.407056	0.347927	0.074292	0.170725	0.253286	0.263107	0.184460	0.299146	0.390550	0.407636	0.052852	0.148963	0.253286	0.263107	0.184460	0.299146	0.253286	0.263107	0.184460	0.299146	0.390550	0.407636	0.052852	0.148963	0.253286	0.263107	0.184460	0.299146	0.390550	0.407636	0.052852	0.148963	
4164000	0.597761	3	0.400568	0.335455	0.072010	0.191968	0.400568	0.335455	0.072010	0.191968	0.273861	0.240681	0.174897	0.310561	0.390550	0.407636	0.052852	0.148963	0.273861	0.240681	0.174897	0.310561	0.273861	0.240681	0.174897	0.310561	0.390550	0.407636	0.052852	0.148963	0.273861	0.240681	0.174897	0.310561	0.390550	0.407636	0.052852	0.148963	
4165000	1.050860	3	0.401287	0.348635	0.072070	0.178009	0.401287	0.348635	0.072070	0.178009	0.260160	0.260557	0.174023	0.305260	0.385836	0.411297	0.056099	0.146768	0.260160	0.260557	0.174023	0.305260	0.260160	0.260557	0.174023	0.305260	0.385836	0.411297	0.056099	0.146768	0.260160	0.260557	0.174023	0.305260	0.385836	0.411297	0.056099	0.146768	
4166000	1.063896	4	0.385836	0.411297	0.056099	0.146768	0.385836	0.411297	0.056099	0.146768	0.182050	0.265527	0.121125	0.431298	0.385836	0.411297	0.056099	0.146768	0.252814	0.282717	0.179271	0.285198	0.236622	0.236038	0.206342	0.320998	0.385836	0.411297	0.056099	0.146768	0.252814	0.282717	0.179271	0.285198	0.385836	0.411297	0.056099	0.146768	
4167000	0.686309	3	0.402739	0.362041	0.071667	0.163553	0.402739	0.362041	0.071667	0.163553	0.253759	0.255053	0.200443	0.290745	0.385836	0.411297	0.056099	0.146768	0.253759	0.255053	0.200443	0.290745	0.253759	0.255053	0.200443	0.290745	0.385836	0.411297	0.056099	0.146768	0.253759	0.255053	0.200443	0.290745	0.385836	0.411297	0.056099	0.146768	
4168000	0.427821	2	0.403746	0.405195	0.053423	0.137636	0.403746	0.405195	0.053423	0.137636	0.258871	0.243874	0.193178	0.304077	0.403746	0.405195	0.053423	0.137636	0.258871	0.243874	0.193178	0.304077	0.258871	0.243874	0.193178	0.304077	0.403746	0.405195	0.053423	0.137636	0.258871	0.243874	0.193178	0.304077	0.403746	0.405195	0.053423	0.137636	
4169000	1.369505	2	0.380646	0.420124	0.054304	0.144926	0.380646	0.420124	0.054304	0.144926	0.272395	0.248142	0.178809	0.300655	0.380646	0.420124	0.054304	0.144926	0.272395	0.248142	0.178809	0.300655	0.272395	0.248142	0.178809	0.300655	0.380646	0.420124	0.054304	0.144926	0.272395	0.248142	0.178809	0.300655	0.380646	0.420124	0.054304	0.144926	
4170000	0.581000	2	0.380646	0.420124	0.054304	0.144926	0.380646	0.420124	0.054304	0.144926	0.270863	0.260088	0.186488	0.282560	0.380646	0.420124	0.054304	0.144926	0.270863	0.260088	0.186488	0.282560	0.270863	0.260088	0.186488	0.282560	0.380646	0.420124	0.054304	0.144926	0.270863	0.260088	0.186488	0.282560	0.380646	0.420124	0.054304	0.144926	
4171000	0.340688	2	0.380646	0.420124	0.054304	0.144926	0.380646	0.420124	0.054304	0.144926	0.273064	0.262445	0.192304	0.272187	0.380646	0.420124	0.054304	0.144926	0.273064	0.262445	0.192304	0.272187	0.273064	0.262445	0.192304	0.272187	0.380646	0.420124	0.054304	0.144926	0.273064	0.262445	0.192304	0.272187	0.380646	0.420124	0.054304	0.144926	
4172000	0.688607	3	0.394636	0.408956	0.055266	0.141143	0.394636	0.408956	0.055266	0.141143	0.299954	0.332567	0.120677	0.246802	0.394636	0.408956	0.055266	0.141143	0.276226	0.264190	0.210736	0.248848	0.276226	0.264190	0.210736	0.248848	0.394636	0.408956	0.055266	0.141143	0.276226	0.264190	0.210736	0.248848	0.394636	0.408956	0.055266	0.141143	
4173000	1.059106	2	0.394636	0.408956	0.055266	0.141143	0.394636	0.408956	0.055266	0.141143	0.279090	0.253129	0.198113	0.269668	0.394636	0.408956	0.055266	0.141143	0.279090	0.253129	0.198113	0.269668	0.279090	0.253129	0.198113	0.269668	0.394636	0.408956	0.055266	0.141143	0.279090	0.253129	0.198113	0.269668	0.394636	0.408956	0.055266	0.141143	
4174000	0.186000	2	0.399246	0.393036	0.057314	0.150403	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	
4175000	0.991660	2	0.399246	0.393036	0.057314	0.150403	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	0.247059	0.257783	0.188882	0.306276	0.399246	0.393036	0.057314	0.150403	
4176000	0.361443	2	0.399246	0.393036	0.057314	0.150403	0.399246	0.393036	0.057314	0.150403	0.259155	0.252256	0.176087	0.312503	0.399246	0.393036	0.057314	0.150403	0.259155	0.252256	0.176087	0.312503	0.259155	0.252256	0.176087	0.312503	0.399246	0.393036	0.057314	0.150403	0.259155	0.252256	0.176087	0.312503	0.399246	0.393036	0.057314	0.150403	
4177000	3.030636	2	0.399246	0.393036	0.057314	0.150403	0.399246	0.393036	0.057314	0.150403	0.276359	0.252332	0.176036	0.295273	0.399246	0.393036	0.057314	0.150403	0.276359	0.252332	0.176036	0.295273	0.276359	0.252332	0.176036	0.295273	0.399246	0.393036	0.057314	0.150403	0.276359	0.252332	0.176036	0.295273	0.399246	0.393036	0.057314	0.150403	
