Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	3.442627	2	0.340672	0.465960	0.054425	0.138943	0.340672	0.465960	0.054425	0.138943	0.183862	0.337027	0.150184	0.328926	0.340672	0.465960	0.054425	0.138943	0.183862	0.337027	0.150184	0.328926	0.183862	0.337027	0.150184	0.328926	0.340672	0.465960	0.054425	0.138943	0.183862	0.337027	0.150184	0.328926	0.340672	0.465960	0.054425	0.138943	
2000	4.844636	2	0.393210	0.404219	0.060862	0.141708	0.393210	0.404219	0.060862	0.141708	0.182037	0.385797	0.134237	0.297929	0.393210	0.404219	0.060862	0.141708	0.182037	0.385797	0.134237	0.297929	0.182037	0.385797	0.134237	0.297929	0.393210	0.404219	0.060862	0.141708	0.182037	0.385797	0.134237	0.297929	0.393210	0.404219	0.060862	0.141708	
3000	4.487397	3	0.502623	0.202299	0.061731	0.233346	0.393210	0.404219	0.060862	0.141708	0.253501	0.304852	0.180061	0.261586	0.393210	0.404219	0.060862	0.141708	0.253501	0.304852	0.180061	0.261586	0.253501	0.304852	0.180061	0.261586	0.393210	0.404219	0.060862	0.141708	0.253501	0.304852	0.180061	0.261586	0.393210	0.404219	0.060862	0.141708	
4000	3.301676	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.217907	0.350661	0.116697	0.314736	0.399760	0.398694	0.058657	0.142889	0.160643	0.409622	0.265264	0.164470	0.217907	0.350661	0.116697	0.314736	0.399760	0.398694	0.058657	0.142889	0.217907	0.350661	0.116697	0.314736	0.399760	0.398694	0.058657	0.142889	
5000	3.946882	2	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.246217	0.311999	0.166106	0.275679	0.399760	0.398694	0.058657	0.142889	0.246217	0.311999	0.166106	0.275679	0.246217	0.311999	0.166106	0.275679	0.399760	0.398694	0.058657	0.142889	0.246217	0.311999	0.166106	0.275679	0.399760	0.398694	0.058657	0.142889	
6000	5.299749	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.174215	0.398693	0.171721	0.255371	0.399760	0.398694	0.058657	0.142889	0.246392	0.302117	0.176005	0.275487	0.246392	0.302117	0.176005	0.275487	0.399760	0.398694	0.058657	0.142889	0.174215	0.398693	0.171721	0.255371	0.399760	0.398694	0.058657	0.142889	
7000	5.451613	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.234197	0.365259	0.105361	0.295183	0.399760	0.398694	0.058657	0.142889	0.269418	0.272398	0.169609	0.288575	0.269418	0.272398	0.169609	0.288575	0.399760	0.398694	0.058657	0.142889	0.269418	0.272398	0.169609	0.288575	0.399760	0.398694	0.058657	0.142889	
8000	4.719481	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.158363	0.341173	0.169920	0.330544	0.399760	0.398694	0.058657	0.142889	0.289086	0.247011	0.184681	0.279223	0.289086	0.247011	0.184681	0.279223	0.399760	0.398694	0.058657	0.142889	0.158363	0.341173	0.169920	0.330544	0.399760	0.398694	0.058657	0.142889	
9000	5.466285	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.236338	0.359093	0.139451	0.265118	0.399760	0.398694	0.058657	0.142889	0.295251	0.273105	0.220199	0.211445	0.295251	0.273105	0.220199	0.211445	0.399760	0.398694	0.058657	0.142889	0.236338	0.359093	0.139451	0.265118	0.399760	0.398694	0.058657	0.142889	
10000	4.392778	2	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.246586	0.256664	0.196686	0.300064	0.399760	0.398694	0.058657	0.142889	0.246586	0.256664	0.196686	0.300064	0.246586	0.256664	0.196686	0.300064	0.399760	0.398694	0.058657	0.142889	0.246586	0.256664	0.196686	0.300064	0.399760	0.398694	0.058657	0.142889	
11000	5.011130	3	0.399760	0.398694	0.058657	0.142889	0.399760	0.398694	0.058657	0.142889	0.176097	0.336410	0.119817	0.367676	0.399760	0.398694	0.058657	0.142889	0.247174	0.279654	0.217160	0.256011	0.247174	0.279654	0.217160	0.256011	0.399760	0.398694	0.058657	0.142889	0.247174	0.279654	0.217160	0.256011	0.399760	0.398694	0.058657	0.142889	
12000	4.594729	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.244108	0.273951	0.202809	0.279132	0.411732	0.387142	0.058431	0.142696	0.244108	0.273951	0.202809	0.279132	0.244108	0.273951	0.202809	0.279132	0.411732	0.387142	0.058431	0.142696	0.244108	0.273951	0.202809	0.279132	0.411732	0.387142	0.058431	0.142696	
13000	3.504550	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.275131	0.273855	0.166144	0.284871	0.411732	0.387142	0.058431	0.142696	0.275131	0.273855	0.166144	0.284871	0.275131	0.273855	0.166144	0.284871	0.411732	0.387142	0.058431	0.142696	0.275131	0.273855	0.166144	0.284871	0.411732	0.387142	0.058431	0.142696	
14000	4.722780	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.264443	0.244797	0.202366	0.288394	0.411732	0.387142	0.058431	0.142696	0.264443	0.244797	0.202366	0.288394	0.264443	0.244797	0.202366	0.288394	0.411732	0.387142	0.058431	0.142696	0.264443	0.244797	0.202366	0.288394	0.411732	0.387142	0.058431	0.142696	
15000	6.805238	3	0.310020	0.311287	0.081483	0.297210	0.411732	0.387142	0.058431	0.142696	0.310020	0.311287	0.081483	0.297210	0.411732	0.387142	0.058431	0.142696	0.266487	0.220701	0.239527	0.273286	0.266487	0.220701	0.239527	0.273286	0.411732	0.387142	0.058431	0.142696	0.266487	0.220701	0.239527	0.273286	0.411732	0.387142	0.058431	0.142696	
16000	4.848245	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.298214	0.236087	0.192565	0.273134	0.411732	0.387142	0.058431	0.142696	0.298214	0.236087	0.192565	0.273134	0.298214	0.236087	0.192565	0.273134	0.411732	0.387142	0.058431	0.142696	0.298214	0.236087	0.192565	0.273134	0.411732	0.387142	0.058431	0.142696	
17000	4.656422	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.272313	0.243883	0.203535	0.280270	0.411732	0.387142	0.058431	0.142696	0.272313	0.243883	0.203535	0.280270	0.272313	0.243883	0.203535	0.280270	0.411732	0.387142	0.058431	0.142696	0.272313	0.243883	0.203535	0.280270	0.411732	0.387142	0.058431	0.142696	
18000	7.107418	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.262510	0.295135	0.168066	0.274290	0.411732	0.387142	0.058431	0.142696	0.262510	0.295135	0.168066	0.274290	0.262510	0.295135	0.168066	0.274290	0.411732	0.387142	0.058431	0.142696	0.262510	0.295135	0.168066	0.274290	0.411732	0.387142	0.058431	0.142696	
19000	3.202890	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.267379	0.284146	0.145834	0.302641	0.411732	0.387142	0.058431	0.142696	0.267379	0.284146	0.145834	0.302641	0.267379	0.284146	0.145834	0.302641	0.411732	0.387142	0.058431	0.142696	0.267379	0.284146	0.145834	0.302641	0.411732	0.387142	0.058431	0.142696	
20000	3.513846	2	0.411732	0.387142	0.058431	0.142696	0.411732	0.387142	0.058431	0.142696	0.260824	0.251210	0.170314	0.317652	0.411732	0.387142	0.058431	0.142696	0.260824	0.251210	0.170314	0.317652	0.260824	0.251210	0.170314	0.317652	0.411732	0.387142	0.058431	0.142696	0.260824	0.251210	0.170314	0.317652	0.411732	0.387142	0.058431	0.142696	
