Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.358090	3	0.284260	0.437202	0.284260	1.782697	0.437202	0.437202	0.284260	0.284260	1.782697	
2000	2.279735	5	0.241562	0.344924	0.241562	1.886264	0.536648	0.536648	0.241562	0.156933	1.886264	
3000	3.845449	3	0.235770	0.235770	0.235770	2.206906	0.539609	0.539609	0.235770	0.235770	2.206906	
4000	1.399679	5	0.263420	0.315089	0.244854	1.878038	0.474157	0.474157	0.244854	0.244854	1.878038	
5000	0.552232	4	0.243487	0.243487	0.243487	2.527758	0.451062	0.451062	0.243487	0.183307	2.527758	
6000	2.347432	3	0.245651	0.245651	0.245651	2.549591	0.472255	0.472255	0.245651	0.245651	2.549591	
7000	0.733319	3	0.263281	0.263281	0.263281	2.372429	0.458226	0.458226	0.263281	0.263281	2.372429	
8000	1.175800	5	0.247653	0.247653	0.257401	2.564496	0.463286	0.515104	0.247653	0.247653	2.564496	
9000	0.628639	3	0.240879	0.240879	0.240879	2.790452	0.503602	0.503602	0.240879	0.240879	2.790452	
10000	0.721790	3	0.257176	0.257176	0.257176	2.924698	0.475163	0.475163	0.257176	0.257176	2.924698	
11000	3.317342	5	0.244527	0.296939	0.244527	2.545275	0.504382	0.504382	0.244527	0.140089	2.545275	
12000	3.668113	3	0.254591	0.254591	0.254591	2.178401	0.449845	0.449845	0.254591	0.254591	2.178401	
13000	0.763135	3	0.262467	0.262467	0.262467	2.798234	0.541610	0.541610	0.262467	0.262467	2.798234	
14000	3.274528	4	0.282797	0.282797	0.282797	3.038253	0.470678	0.470678	0.282797	0.239218	3.038253	
15000	1.831097	4	0.270793	0.270793	0.270793	3.032650	0.531397	0.531397	0.270793	0.270793	3.110509	
16000	0.907914	4	0.245177	0.287262	0.287262	2.035746	0.491680	0.491680	0.245177	0.245177	2.035746	
17000	1.960815	3	0.265988	0.265988	0.265988	2.570743	0.413972	0.413972	0.265988	0.265988	2.570743	
18000	0.449306	3	0.264398	0.264398	0.264398	2.723710	0.564873	0.564873	0.264398	0.264398	2.723710	
19000	0.386044	4	0.263170	0.263170	0.263170	2.583526	0.486080	0.486080	0.263170	0.247171	2.583526	
20000	0.953798	4	0.267894	0.267894	0.267894	2.683702	0.454139	0.454139	0.267894	0.176857	2.683702	
21000	0.808935	3	0.274942	0.274942	0.274942	2.744243	0.542607	0.542607	0.274942	0.274942	2.744243	
22000	1.857566	3	0.240235	0.240235	0.240235	2.960260	0.498477	0.498477	0.240235	0.240235	2.960260	
23000	0.983766	3	0.259937	0.259937	0.259937	3.295905	0.484410	0.484410	0.259937	0.259937	3.295905	
24000	0.742572	4	0.296995	0.296995	0.296995	2.106734	0.493281	0.493281	0.296995	0.258920	2.106734	
25000	1.333504	4	0.258485	0.258485	0.258485	3.061950	0.374051	0.829764	0.258485	0.258485	3.061950	
26000	1.826760	4	0.241991	0.241991	0.241991	3.038487	0.379296	0.619462	0.241991	0.241991	3.038487	
27000	2.347624	4	0.251918	0.251918	0.251918	2.954993	0.546464	0.546464	0.251918	0.164282	2.954993	
28000	5.390541	5	0.268972	0.251174	0.251174	3.160794	0.488832	0.655293	0.268972	0.251174	3.160794	
29000	3.667197	4	0.257266	0.257266	0.257266	3.284089	0.462191	0.462191	0.271664	0.257266	3.284089	
30000	1.533275	4	0.243608	0.243608	0.243608	2.932945	0.487537	0.487537	0.243608	0.152202	2.932945	
31000	2.736710	4	0.264033	0.264033	0.264033	2.194596	0.544806	0.544806	0.252077	0.252077	2.194596	
32000	4.686819	5	0.244280	0.244280	0.251780	1.960558	0.430487	0.497721	0.244280	0.244280	1.960558	
33000	0.821060	3	0.234004	0.234004	0.234004	2.969611	0.591097	0.591097	0.234004	0.234004	2.969611	
