Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	3.329705	5	0.284241	0.236605	0.236605	1.185692	0.409975	0.409975	0.236605	0.236605	0.999690	
2000	3.088591	3	0.244281	0.244281	0.244281	1.445053	0.431416	0.431416	0.244281	0.244281	1.445053	
3000	2.948350	5	0.258797	0.258797	0.258797	1.536013	0.397333	0.570644	0.258797	0.148773	1.536013	
4000	5.123471	6	0.243778	0.246102	0.243778	1.887400	0.365613	0.564058	0.246102	0.246102	1.970629	
5000	3.333130	4	0.249651	0.249651	0.249651	2.199795	0.493639	0.493639	0.249651	0.234605	2.199795	
6000	2.154913	4	0.242221	0.242221	0.242221	1.934190	0.453916	0.480874	0.242221	0.242221	1.934190	
7000	4.598325	3	0.253216	0.253216	0.253216	1.744129	0.572154	0.572154	0.253216	0.253216	1.744129	
8000	5.059656	5	0.239514	0.270500	0.239514	2.386630	0.418091	0.418091	0.239514	0.198149	2.386630	
9000	4.211646	3	0.246951	0.246951	0.246951	2.434534	0.530964	0.530964	0.246951	0.246951	2.434534	
10000	1.984693	3	0.266655	0.266655	0.266655	1.560028	0.454154	0.454154	0.266655	0.266655	1.560028	
11000	2.145095	4	0.249238	0.249238	0.249238	2.343564	0.527087	0.527087	0.249238	0.249238	2.049213	
12000	2.747565	3	0.252433	0.252433	0.252433	2.498800	0.455269	0.455269	0.252433	0.252433	2.498800	
13000	3.550693	4	0.250276	0.250276	0.250276	1.552640	0.483021	0.483021	0.250276	0.250276	2.361949	
14000	3.832399	4	0.264673	0.264673	0.264673	2.163313	0.423591	0.450609	0.264673	0.264673	2.163313	
15000	5.078707	4	0.271246	0.271246	0.272075	2.237759	0.494240	0.494240	0.272075	0.271246	2.237759	
16000	3.211334	5	0.260690	0.260690	0.260690	2.432186	0.502630	0.535830	0.260690	0.158263	2.432186	
17000	2.100689	4	0.270804	0.273489	0.270804	2.799707	0.465873	0.465873	0.270804	0.273489	2.799707	
18000	2.309863	3	0.260219	0.260219	0.260219	2.866973	0.502886	0.502886	0.260219	0.260219	2.866973	
19000	5.458771	3	0.260602	0.260602	0.260602	2.658973	0.477791	0.477791	0.260602	0.260602	2.658973	
20000	2.964876	4	0.262460	0.262460	0.262460	2.278025	0.412418	0.412418	0.262460	0.172751	2.278025	
21000	3.095803	4	0.264397	0.264397	0.264397	2.450783	0.563192	0.563192	0.264397	0.137744	2.450783	
22000	2.726873	3	0.265723	0.265723	0.265723	2.790295	0.391198	0.391198	0.265723	0.265723	2.790295	
23000	2.424046	3	0.266599	0.266599	0.266599	2.704581	0.513016	0.513016	0.266599	0.266599	2.704581	
24000	2.400726	4	0.270692	0.270692	0.270692	2.842418	0.489953	0.504241	0.270692	0.270692	2.842418	
