Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.805661	3	0.268975	0.268975	0.268975	1.107753	0.370280	0.370280	0.268975	0.268975	1.107753	
2000	0.797935	4	0.263456	0.263456	0.263456	1.470380	0.449208	0.449208	0.263456	0.181510	1.470380	
3000	3.054843	4	0.242444	0.242444	0.242444	1.536631	0.423866	0.423866	0.242444	0.183721	1.536631	
4000	2.678989	5	0.273106	0.273106	0.273106	1.651829	0.526090	0.468927	0.251418	0.251418	1.651829	
5000	1.184891	4	0.253355	0.253355	0.253355	2.235797	0.448980	0.448980	0.253355	0.161236	2.235797	
6000	1.816581	3	0.260674	0.260674	0.260674	1.994477	0.434887	0.434887	0.260674	0.260674	1.994477	
7000	0.350080	3	0.249042	0.249042	0.249042	1.982604	0.447118	0.447118	0.249042	0.249042	1.982604	
8000	2.880785	4	0.244923	0.244923	0.244923	2.091395	0.507687	0.507687	0.244923	0.206500	2.091395	
9000	3.005758	6	0.245187	0.242848	0.245187	2.216186	0.342423	0.476837	0.245187	0.161340	2.216186	
10000	1.335412	4	0.240354	0.260929	0.240354	2.364337	0.525415	0.525415	0.240354	0.240354	2.364337	
11000	2.192705	3	0.262780	0.262780	0.262780	2.141260	0.488012	0.488012	0.262780	0.262780	2.141260	
12000	1.935776	5	0.241882	0.241882	0.241882	2.157870	0.406358	0.459761	0.241882	0.146611	2.157870	
13000	1.662208	3	0.251788	0.251788	0.251788	2.561794	0.444003	0.444003	0.251788	0.251788	2.561794	
14000	2.062791	3	0.238724	0.238724	0.238724	2.064490	0.478698	0.478698	0.238724	0.238724	2.064490	
15000	1.776478	5	0.250994	0.250994	0.250994	2.253144	0.478087	0.478087	0.235551	0.186932	2.253144	
16000	2.333775	4	0.260317	0.260317	0.260317	2.426787	0.446946	0.446946	0.247392	0.247392	2.426787	
